edgeR_CmasM_1	edgeR_CmasM_2	edgeR_CmasM_3	edgeR_pEhEx_1	edgeR_pEhEx_2	edgeR_pEhEx_3	NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_CmasM_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_CmasM_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_012020A	237.551907191796	231.985046761493	354.688009417029	151.630152556635	175.949740824975	13.2582352406954	2201.62758522007	2230.77672800698	3052.12234120251	1498.46633108144	1761.37378109505	122.877129391702	2027.91530129155	2060.19049676421	2939.81166310508	1336.82262507459	1619.74493259835	118.573430078779
EHI_013220A	50.5139112994049	110.050812828949	118.500090678005	146.264245331457	228.892701761831	254.592778674269	468.162187661739	1058.25265716144	1019.70397811677	1445.4384129724	2291.36798768204	2359.56213171777	431.223368665445	977.328676638703	982.181352075565	1289.51497510049	2107.12327309575	2276.91985340819
EHI_014400A	47.6317361802197	48.696193000603	96.8397542250566	73.5648571193718	86.3944835188499	286.655177622355	441.450231008366	468.264379988103	833.314827508981	726.995651494992	864.86616796284	2656.71597403757	406.619032315164	432.456468418769	802.650868832506	648.572620612673	795.323859120145	2563.66605686668
EHI_017660A	3.03386854651081	13.5626001725817	14.1694700963037	25.3582389835011	59.5279063270124	51.5598037138154	28.1178491088131	130.418461269896	121.929569355927	250.599677515333	595.913884023176	477.855503189951	25.899301421348	120.445435501249	117.442857788167	223.566797458251	547.997537076686	461.118894750808
EHI_017750A	24.1192549447609	40.4294652763627	64.5297523494086	82.2195461922391	115.89503886675	277.296423334806	223.536900415064	388.771222642643	555.284344519032	812.524551670874	1160.18632287698	2569.9791768199	205.899446299717	359.042107732293	534.851231328278	724.875281861223	1066.89785979532	2479.96716504636
EHI_023400A	665.630759104471	311.681468727997	55.4143607587928	149.120292725503	57.6841216177686	50.0866664648493	6169.0560944736	2997.14044804056	476.845576971588	1473.66295003044	577.456374341043	464.202488813095	5682.30673184376	2767.95081775726	459.298819630157	1314.69485331251	531.024162034487	447.944069186499
EHI_024690A	12.7422478953454	4.90836958626768	20.1260626208645	8.39504840068125	5.79475194333749	218.457588508452	118.094966257015	47.1990621738671	173.186585773069	82.963033170605	58.009316143849	2024.66172023843	108.777065969662	43.5897766575947	166.813740680008	74.0135814110933	53.3448929897659	1953.74913221309
EHI_025360A	27.3048169185973	25.7043565175597	38.2665944002087	47.1680554471266	49.9138860573843	166.031233471715	253.060641979318	247.174036121041	329.28749940709	466.132505958554	499.671154966336	1538.77503212092	233.093712792132	228.272777759509	317.17052039607	415.849503804596	459.493510070938	1484.88034007151
EHI_025600A	14038.6199252695	12175.7274292197	22876.5643447814	7848.67787951114	9300.57686905667	2348.70070564581	130109.723181211	117082.242044612	196854.901414414	77563.5937025016	93104.9524108777	21767.7236276646	119843.837467004	108129.029396707	189611.119877156	69196.5944064723	85618.5532485742	21005.3218879427
EHI_025850A	1694.56727665361	1929.76425312734	1984.62832750139	1268.43123051943	1039.36778038226	88.5615452025536	15705.2246197276	18556.6839178309	17077.9059244385	12535.1156097772	10404.7618865286	820.787099596856	14466.0548088939	17137.6648227491	16449.4805271452	11182.9180325875	9568.13398807346	792.039513336682
