edgeR	NOISeq	DESeq2
EHI_049360A	-3.1625506533191	3.2766393616787	-3.25661867389279
EHI_050000A	-2.1733570171917	2.25974181139741	-2.26024902522725
EHI_054480A	-2.55310651128949	2.64914150524573	-2.6298751699694
EHI_054490A	-2.60814414993677	2.70795966246092	-2.6887744477703
EHI_058090A	-1.90233312751093	1.98760004907739	-1.97339734839877
EHI_062500A	-1.87519734164209	1.97858216143319	-1.9582943143574
EHI_062790A	-2.05176142569833	2.15234949339947	-2.13616719845281
EHI_067090A	-2.7783612641212	2.88912997585149	-2.87208642451206
EHI_068170A	-1.2253270080478	1.31206339439273	-1.30101514525471
EHI_069560A	-1.50993891380313	1.60538274163109	-1.59066606559742
EHI_069590A	-1.33847081858716	1.42686914837374	-1.40914776872885
EHI_073360A	-2.65676041675107	2.74852393777699	-2.72841310371259
EHI_074380A	-3.07224997617246	3.16593539378978	-3.15942558992068
EHI_075040A	3.99374597716525	-3.93318850155194	3.94171070977518
EHI_076020A	-1.19488097489351	1.26813391848043	-1.25366862448255
EHI_087570A	-1.34460430732663	1.42860578845449	-1.41934061713474
EHI_089770A	-8.35425173732803	9.54371658433369	-7.685163207947
EHI_090020A	-1.22231943910337	1.29959484677947	-1.29364443525441
EHI_092110A	-3.31237643348445	3.40943890022297	-3.39213343647225
EHI_093910A	-2.4644764198852	2.56415079844319	-2.5463545994198
EHI_095830A	-1.49290677202153	1.58033020882823	-1.5639784533876
EHI_098470A	-4.45147351140144	4.493079237244	-4.50190916100059
EHI_099720A	-2.00174994328136	2.08944780088054	-2.07362479510912
EHI_099860A	-2.37401325490694	2.48749088104019	-2.46719742741029
EHI_103510A	-1.39248785925082	1.47304539537319	-1.46542947559942
EHI_104360A	-1.29496883116481	1.38624438056178	-1.37632322555969
EHI_105140A	-1.04906816466758	1.12868965002306	-1.11914580561516
EHI_105860A	-2.76526112952019	2.87475792972477	-2.856638731051
EHI_110570A	-1.77350709485211	1.8690039892014	-1.85611525535127
EHI_110740A	1.32184621010203	-1.24500524680738	1.25344931122414
EHI_112800A	-1.66050810671706	1.7463831829566	-1.73040829391324
EHI_112880A	-2.06303402205036	2.14871875496497	-2.13150537053066
EHI_114920A	-1.83561029374843	1.91541033430561	-1.91038072743444
EHI_117850A	-1.08890725538083	1.15877608887796	-1.14970411557153
EHI_118270A	-2.04884286808935	2.13802270733748	-2.13387295981941
EHI_118670A	-2.21650121772173	2.31091322919606	-2.29373971476445
EHI_119540A	-1.96893293111953	2.0626106036741	-2.05093832384748
EHI_126980A	-2.69080931350547	2.79922395196516	-2.79983711445944
EHI_129370A	-2.85810537629798	2.96315367847024	-2.94349699421156
EHI_131210A	-2.53100440496111	2.6304384798257	-2.61188512987243
EHI_131230A	1.68073322983685	-1.59837680340917	1.60202822866058
EHI_134810A	-1.31488545282191	1.39567338924322	-1.38184527799155
EHI_135060A	-1.4603685776657	1.5511487900296	-1.54385465150745
EHI_135090A	-2.4738558711066	2.57469329172578	-2.5566011519233
EHI_137720A	-1.72797685637861	1.82032697232062	-1.80451267529376
EHI_138790A	-2.87979912153276	2.99832916497175	-2.97172846539261
EHI_141810A	-1.16075962862756	1.24735114608728	-1.23293754948694
EHI_144610A	-1.47975242598031	1.55973912359162	-1.54809739803815
EHI_147570A	-0.939772090988631	1.02678207136421	-1.01719297408821
EHI_148190A	-1.89726191323852	1.98472409648631	-1.97374866685236
EHI_148240A	-2.65500945730113	2.75729761533921	-2.74081145850868
EHI_148470A	-1.26914812201923	1.35974202853577	-1.35326545614614
EHI_155680A	-1.56473517069216	1.63629061547377	-1.62598059544794
EHI_156310A	-1.58756725956292	1.68251614606066	-1.68098757777444
EHI_156660A	-1.00338005088097	1.09452852157333	-1.07990157742493
EHI_157010A	1.60940025493714	-1.51299288515207	1.52522655330669
EHI_158070A	-2.68860793197297	2.79238008085982	-2.77344034665819
EHI_158270A	1.17970972134328	-1.09236248696771	1.10584998723147
EHI_158570A	-1.88701675339979	1.97293913849967	-1.97569912408107
EHI_163670A	-1.51853374426616	1.60561574268945	-1.59536337412924
EHI_166410A	-2.91612239527418	3.05245667590441	-3.02099534844603
EHI_167270A	-1.04906816466758	1.12868965002306	-1.11914580561516
EHI_167310A	-1.17683394643923	1.27023554690175	-1.26322846536661
EHI_169280A	-1.06673476750847	1.14929854324578	-1.13477974992633
