baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_035510A	84.9389697058666	-1.38556792546627	0.428390926339666	-3.23435404504266	0.00121918217940907	0.0447308056364274	38	45	168	119	42.6786991836548	51.2713109374851	114.21067321918	131.595195483146	95.53	UP_pEhEx_DOWN_U2AF84
EHI_035670A	151.081206611717	-2.58621962006624	0.471936475750115	-5.48001638558578	4.25286447949996e-08	2.53072193903785e-05	28	48	284	294	31.4474625563772	54.6893983333175	193.070423775281	325.117541781891	100	UP_pEhEx_DOWN_U2AF84
EHI_048140A	1013.23062848451	-2.21442641995258	0.551549344824339	-4.01491986298677	5.94659961604723e-05	0.00672709081565343	181	452	1320	2204	203.285382953724	514.991834305406	897.369575293557	2437.27572138533	99.33	UP_pEhEx_DOWN_U2AF84
EHI_048300A	49.1607886848523	-1.92687631493506	0.604852100251633	-3.18569831225424	0.0014440509588689	0.0496278272573301	15	21	78	93	16.8468549409164	23.9266117708264	53.0263839946193	102.843304033047	95.04	UP_pEhEx_DOWN_U2AF84
EHI_051690A	39.7698306400778	-2.66846674115512	0.733280127265947	-3.63908231238253	0.000273611340044388	0.0195488102163293	4	15	77	77	4.49249465091103	17.0904369791617	52.3465585587909	85.1498323714476	98.05	UP_pEhEx_DOWN_U2AF84
EHI_057550A	430.524313658264	1.70135106918975	0.376671877303018	4.51679876228475	6.27815167932481e-06	0.00154956198266971	731	436	341	156	821.00339745399	496.762034860967	231.820473617502	172.511348700595	99.85	DOWN_pEhEx_UP_U2AF84
EHI_058090A	2086.73494249468	-1.29746270120494	0.343674081037806	-3.77527073699285	0.000159833970691213	0.0127632126596072	1047	1086	3209	3393	1175.91047487596	1237.34763729131	2181.5598235735	3752.12183423795	98.72	UP_pEhEx_DOWN_U2AF84
EHI_062500A	84.0863879381541	-1.72075600153444	0.45976315028893	-3.74270099822715	0.00018205280646489	0.0141175036189798	31	38	157	137	34.8168335445605	43.295773680543	106.732593425067	151.500351102446	98.59	UP_pEhEx_DOWN_U2AF84
EHI_077770A	73.9970524379017	-1.84132104766663	0.533050699856745	-3.45430753240073	0.00055170785704695	0.0253879124047876	36	21	126	132	40.4324518581992	23.9266117708264	85.658004914385	145.971141208196	97.46	UP_pEhEx_DOWN_U2AF84
EHI_083100A	49.9279776734985	-2.80155258286217	0.718136676223889	-3.90114121115956	9.57402799702091e-05	0.0085322610069252	7	15	70	115	7.8618656390943	17.0904369791617	47.5877805079917	127.171827567746	99.15	UP_pEhEx_DOWN_U2AF84
EHI_092110A	166.436771968029	-1.62334986997524	0.439330932479116	-3.69505024564234	0.000219843308125813	0.0161317454476103	80	64	260	295	89.8498930182205	72.9191977777566	176.754613315398	326.223383760741	98.39	UP_pEhEx_DOWN_U2AF84
