CmasM_1	CmasM_2	pEhEx_1	pEhEx_2
EHI_002670A	197.067886862961	191.07612054254	242.796074171484	317.262121891003
EHI_002780A	23.743118899152	22.47954359324	32.418793994488	22.5008597085818
EHI_002790A	27.3045867340248	32.6975179538036	33.1085555688388	52.8770203151672
EHI_002990A	47.4862377983039	48.0244794946491	57.2502106711171	41.6265904608763
EHI_003000A	130.587153945336	80.7219974484527	68.9761574350808	67.5025791257453
EHI_003010A	637.50274244223	866.484225775796	845.647690154091	1210.5462523217
EHI_003040A	13.0587153945336	9.19617692450727	13.1054699126654	13.5005158251491
EHI_003240.mRNA	65.2935769726679	10.2179743605636	51.0423565019598	5.62521492714544
EHI_003260A	1707.13024884903	1126.02077453411	990.497620767761	1254.42292875343
EHI_003890A	42.7376140184735	22.47954359324	24.1416551022783	11.2504298542909
EHI_003900A	18.9944951193216	26.5667333374655	26.2109398253307	28.1260746357272
EHI_003930A	112.779814770972	189.032525670427	94.4973356860607	182.256963639512
EHI_003940A	6919.93200315784	10445.8351888042	8845.50242947476	10759.9111126438
EHI_003950A	17.807339174364	11.23977179662	16.5542777844194	10.1253868688618
EHI_004170A	519.974303891428	717.301800111567	784.258910036869	1310.67507802489
EHI_004190A	43.9247699634311	35.7629102619727	31.0392708457864	28.1260746357272
EHI_004200A	86117.4794031691	52104.5166568221	42436.8911003591	65079.2365351311
EHI_004230A	347.836691872576	362.738089800009	441.447407584517	610.898341087995
EHI_004350A	22.5559629541944	64.3732384715509	55.8706875224155	82.1281379363235
EHI_004370A	261.174307890672	121.593894890707	226.931557961416	288.011004269847
EHI_004380A	402.445865340626	458.787048789307	456.622162220235	484.893526719937
EHI_004400A	70.0422007524983	146.11703335606	160.714446823738	255.384757692403
EHI_004430A	108.031190991141	175.749159001695	54.4911643737139	68.6276221111744
EHI_004440A	60.5449531928375	0	129.675175977952	109.129169586622
EHI_004470A	14.2458713394912	17.3705564129582	12.4157083383145	5.62521492714544
EHI_004490A	400.071553450711	203.337689775216	281.42272233513	601.897997204562
EHI_004510A	7.12293566974559	8.17437948845091	8.2771388922097	2.25008597085818
EHI_004530A	125.838530165505	117.506705146482	75.1840116042381	70.8777080820326
EHI_004550A	3168.51921709183	2090.59755417132	1764.41010718937	3982.65216841897
EHI_004560A	3.5614678348728	6.13078461633818	11.7259467639637	14.6255588105782
EHI_004570A	90.2238518167775	99.1143512974673	117.949229213988	97.8787397323307
EHI_004580A	14.2458713394912	14.3051641047891	17.2440393587702	27.0010316502981
EHI_004590A	37.9889902386431	24.5231384653527	33.1085555688388	34.8763325483017
EHI_004600A	586.455036809054	583.446335988184	624.234224787481	972.037139410732
EHI_004610A	73.6036685873711	84.8091871926782	95.1870972604115	118.129513470054
EHI_004630A	9.49724755966079	8.17437948845091	4.13856944610485	2.25008597085818
EHI_004640A	167.388988239021	145.095235920004	131.744460701004	103.503954659476
EHI_004750A	268.297243560417	398.501000061982	326.257224667932	338.637938614156
EHI_004760A	522.348615781343	585.489930860296	508.354280296546	659.275189461446
EHI_004770A	372.766966716686	263.623738502542	286.940814929936	283.51083232813
EHI_004780A	197.067886862961	219.686448752118	208.997757028295	169.881490799792
EHI_004790A	3922.36324213991	4662.46170072519	4362.74195776886	5440.70787753507
EHI_004800A	100.908255321396	96.0489589892982	113.810659767883	70.8777080820326
EHI_004810A	749.095401268245	1055.51675144622	745.632261873224	803.280691596369
EHI_004820A	174.511923908767	195.163310286765	183.476578777315	227.258683056676
EHI_004830A	161.453208514233	151.226020536342	146.229453762371	176.631748712367
EHI_004840A	632.7541186624	861.375238595514	1009.12118327523	1680.81422023106
EHI_004850A	10.6844035046184	7.15258205239454	13.7952314870162	6.75025791257453
EHI_004860A	223.185317652028	415.87155647494	489.040956214723	484.893526719937
EHI_004870A	10.6844035046184	19.4141512850709	20.6928472305242	12.37547283972
EHI_004880A	231.495409266732	255.449359014091	326.946986242283	558.021320772828
EHI_004900A	41.5504580735159	22.47954359324	27.5904629740323	47.2518053880217
EHI_004930A	35.6146783487279	79.7002000123964	71.7352037324841	86.6283098780398
EHI_004940A	59.3577972478799	126.702882070989	113.120898193533	130.504986309774
EHI_004960A	151.955960954573	177.792753873807	157.955400526335	151.880803032927
EHI_004970A	500.979808772107	442.438289812405	440.067884435816	276.760574415556
EHI_004980A	16.6201832294064	14.3051641047891	15.8645162100686	15.7506017960072
EHI_004990A	49.8605496882191	35.7629102619727	38.6266481636453	66.3775361403162
EHI_005000A	11.871559449576	23.5013410292964	25.5211782509799	42.7516334463054
