baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_020080A	594.526390086394	-1.20636732656102	0.300460401922303	-4.0150626133855	5.94300154037666e-05	0.00672709081565343	299	336	1073	841	335.813975155599	382.825788333222	729.45269264393	930.013104212824	99.33	UP_pEhEx_DOWN_U2AF84
EHI_048140A	1013.23062848451	-2.21442641995258	0.551549344824339	-4.01491986298677	5.94659961604723e-05	0.00672709081565343	181	452	1320	2204	203.285382953724	514.991834305406	897.369575293557	2437.27572138533	99.33	UP_pEhEx_DOWN_U2AF84
EHI_148190A	1180.27340778211	-1.64082936918842	0.410783739571328	-3.99438734089306	6.48617530751838e-05	0.00704398638396496	440	572	1695	2191	494.174411600213	651.7153301387	1152.30411372923	2422.89977566028	99.3	UP_pEhEx_DOWN_U2AF84
EHI_157010A	808.232396588478	1.05486548651721	0.265240452512461	3.97701586060916	6.97855120504173e-05	0.00728721789295704	1009	921	787	466	1133.23177569231	1049.35283052053	535.022617996992	515.322362144086	99.27	DOWN_pEhEx_UP_U2AF84
EHI_136740A	190.466618894173	-2.4306478800952	0.616523556806026	-3.94250609447506	8.06346005809698e-05	0.00810825705841974	39	66	199	459	43.8018228463825	75.1979227083115	135.285261729862	507.581468292136	99.19	UP_pEhEx_DOWN_U2AF84
EHI_092170A	101.873478407988	-1.56552598843639	0.398229907866691	-3.93121148741157	8.45188811379601e-05	0.00819531293891292	45	46	230	134	50.5405648227491	52.4106734027626	156.359850240544	148.182825165896	99.18	UP_pEhEx_DOWN_U2AF84
EHI_000130A	177.782398703027	-1.97693572050539	0.507306584240388	-3.89692501914901	9.74217647199563e-05	0.0085322610069252	59	68	236	368	66.2642961009377	77.4766476388664	160.438802855515	406.949848216789	99.15	UP_pEhEx_DOWN_U2AF84
EHI_083100A	49.9279776734985	-2.80155258286217	0.718136676223889	-3.90114121115956	9.57402799702091e-05	0.0085322610069252	7	15	70	115	7.8618656390943	17.0904369791617	47.5877805079917	127.171827567746	99.15	UP_pEhEx_DOWN_U2AF84
EHI_152800A	621.937219978291	-2.36055557337858	0.605546768169892	-3.89822173523071	9.69016673407288e-05	0.0085322610069252	90	267	755	1419	101.081129645498	304.209778229078	513.268204050482	1569.18976798811	99.15	UP_pEhEx_DOWN_U2AF84
EHI_135060A	1172.08475302962	-1.81391092552002	0.476307989579246	-3.80827314511848	0.0001399406462866	0.0118730892083787	282	633	1817	2184	316.720872889227	721.216440520624	1235.2428169003	2415.15888180833	98.81	UP_pEhEx_DOWN_U2AF84
