baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_048140A	927.087946017166	-2.5803471560864	0.461572011951608	-5.59034579496324	2.26617860114973e-08	2.06675488424856e-06	227	226	1320	2204	297.394175661019	233.824679530946	852.484453523787	2324.64847535291	100	UP_pEhEx_DOWN_CDC5
EHI_048300A	37.4437679467848	-6.98462916396747	1.54163273497028	-4.5306699874287	5.87969233975882e-06	0.000297904411881113	1	0	78	93	1.31010650070933	0	50.3740813445874	98.0908839418425	99.97	UP_pEhEx_DOWN_CDC5
EHI_049000A	3114.13934786433	-2.48064195802321	0.321096491212107	-7.72553430484102	1.11385138572708e-14	8.12665971026474e-12	660	993	6747	5885	864.67029046816	1027.38011847004	4357.35803630681	6207.14894621229	100	UP_pEhEx_DOWN_CDC5
EHI_049690A	2123.4425037674	-1.29330289569728	0.28186926569708	-4.58830760600615	4.46853867764467e-06	0.000232874701372111	927	1205	4559	2928	1214.46872615755	1246.72008333978	2944.30047243557	3088.28073313672	99.98	UP_pEhEx_DOWN_CDC5
EHI_050520A	673.893528650212	-1.62744810369523	0.365702067841865	-4.45020208198265	8.57895260809311e-06	0.000393271715344203	219	359	1211	1190	286.913323655344	371.429468812433	782.089903952505	1255.14141818057	99.96	UP_pEhEx_DOWN_CDC5
EHI_052110A	47.3869196304704	-1.99813321732116	0.598106143358819	-3.34076691822646	0.000835473296545834	0.0164746301935092	13	20	93	87	17.0313845092213	20.692449516013	60.061404680085	91.7624398165623	98.35	UP_pEhEx_DOWN_CDC5
EHI_056460A	191.993508410085	-1.53580822546158	0.395156913284881	-3.8865781511821	0.000101667205660426	0.00309068305207694	63	110	387	305	82.536709544688	113.808472338071	249.932942055838	321.695909701741	99.69	UP_pEhEx_DOWN_CDC5
EHI_056690A	163.228260834288	-1.55484798808015	0.404082595134809	-3.84784696693363	0.00011916044630199	0.00342281344968235	64	79	312	271	83.8468160453973	81.7351755882512	201.49632537835	285.834726325154	99.66	UP_pEhEx_DOWN_CDC5
EHI_057550A	503.445419946708	2.07776505488516	0.361333419385357	5.75027092268278	8.91005542400127e-09	9.28682348193047e-07	738	640	341	156	966.858597523488	662.158384512415	220.225150493645	164.539547257284	100	DOWN_pEhEx_UP_CDC5
EHI_057850A	557.809679978898	-1.28927676943009	0.312856187525863	-4.1209885590756	3.77250161719243e-05	0.0013361248446134	236	327	1149	798	309.185134167403	338.321549586812	742.048967499115	841.683068662261	99.87	UP_pEhEx_DOWN_CDC5
EHI_065340A	306.479722748331	-2.05064371073266	0.410140663581405	-4.99985466650918	5.73735441079933e-07	3.60859808458551e-05	62	151	696	511	81.2266030439787	156.227993845898	449.491802767088	538.97249133636	100	UP_pEhEx_DOWN_CDC5
EHI_066770A	662.259988085323	-1.8324471318654	0.329679524495824	-5.55826794117028	2.72464898784778e-08	2.31151616457412e-06	194	315	1430	1086	254.160661137611	325.906079877204	923.524824650769	1145.44838667571	100	UP_pEhEx_DOWN_CDC5
EHI_068610A	132.15734018683	1.55159701470631	0.399925694109473	3.87971325063596	0.000104579679557115	0.00315294769441615	149	192	96	69	195.205868605691	198.647515353724	61.9988693471845	72.7771074407218	99.68	DOWN_pEhEx_UP_CDC5
EHI_069280A	69.2719978971547	-1.60142441984252	0.491799703843737	-3.25625332290023	0.00112892979220499	0.0208111677963079	28	31	156	102	36.6829820198613	32.0732967498201	100.748162689175	107.583550129763	97.92	UP_pEhEx_DOWN_CDC5
EHI_073180A	241.304595989495	-2.03503472553384	0.363880858076929	-5.59258526620163	2.23713227207742e-08	2.06675488424856e-06	75	88	540	405	98.2579875532	91.046777870457	348.743640077913	427.169978456411	100	UP_pEhEx_DOWN_CDC5
EHI_076020A	434.254837357077	-1.33252670697819	0.348065125269407	-3.82838328300429	0.000128987775184303	0.00358068901771606	191	235	789	696	250.230341635483	243.136281813152	509.553207447173	734.099518532499	99.64	UP_pEhEx_DOWN_CDC5
EHI_077770A	67.580562426759	-2.1438138676443	0.546738925141255	-3.92109244296157	8.81484360807685e-05	0.00275328226845989	19	24	126	132	24.8920235134773	24.8309394192155	81.3735160181797	139.225770756164	99.72	UP_pEhEx_DOWN_CDC5
EHI_083270A	2098.48498208003	-2.7757523511837	0.306979250735736	-9.04214973660621	1.53620468308945e-19	1.86802489463677e-16	353	586	5365	3660	462.467594750395	606.288770819179	3464.83264632963	3860.3509164209	100	UP_pEhEx_DOWN_CDC5
EHI_083410A	2098.48498208003	-2.7757523511837	0.306979250735736	-9.04214973660621	1.53620468308945e-19	1.86802489463677e-16	353	586	5365	3660	462.467594750395	606.288770819179	3464.83264632963	3860.3509164209	100	UP_pEhEx_DOWN_CDC5
EHI_087410A	92.3423830238939	-1.7510286302125	0.460108419271085	-3.80568700087366	0.000141411123681224	0.00382124280880819	28	46	203	146	36.6829820198613	47.5926338868298	131.101775807067	153.992140381817	99.62	UP_pEhEx_DOWN_CDC5
EHI_087570A	3190.84360970881	-1.84644899697843	0.378121470985808	-4.88321647581799	1.04369180233285e-06	5.94904327329725e-05	978	1445	5229	6267	1281.28415769373	1495.02947753194	3377.00091475446	6610.05988885513	99.99	UP_pEhEx_DOWN_CDC5
EHI_089770A	17.4632058512065	-7.34809588831378	1.6605615225084	-4.42506693592054	9.6412384238717e-06	0.000434212811978814	0	0	51	35	0	0	32.9368993406918	36.9159240641343	99.96	UP_pEhEx_DOWN_CDC5
EHI_090020A	9271.08336551679	-2.6757803696364	0.388841917955235	-6.8814092464806	5.9263325240075e-12	2.34043670430084e-09	1723	2668	16174	20499	2257.31350072218	2760.37276543613	10445.5178418892	21621.1293540197	100	UP_pEhEx_DOWN_CDC5
