CDC5_1	CDC5_2	pEhEx_1	pEhEx_2
EHI_002780A	49.7840470269547	30.0040517982188	30.3536131178924	21.0948137509339
EHI_002790A	30.1324495163147	25.8655618950162	30.9994346735923	49.5728123146946
EHI_002990A	40.6133015219893	51.7311237900324	53.6031891230866	39.0254054392277
EHI_003000A	107.428733058165	72.4235733060453	64.5821555699839	63.2844412528016
EHI_003010A	644.572398348992	632.154332714196	791.777227288002	1134.90097980024
EHI_003040A	3.930319502128	13.4500921854084	12.2706095582969	12.6568882505603
EHI_003240.mRNA	57.6446860312107	120.016207192875	47.7907951217881	5.27370343773347
EHI_003260A	850.259118960357	1163.95028527573	927.399753984968	1176.03586661456
EHI_003890A	51.094153527664	41.3848990320259	22.6037544494944	10.5474068754669
EHI_003900A	26.2021300141867	16.5539596128104	24.5412191165939	26.3685171886673
