logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000440A	-0.295251566762588	5.10822421888227	-0.449345763701418	0.666803380541846	0.99987725339431	-4.60392485935543	282	711	84	545	235	422	37.5969030538155	59.0867290021237	13.3064357631828	48.2633579750286	31.9552569435711	36.4771868872724	0.01	UP_pEhEx_DOWN_UmasM
EHI_000480A	-0.616053555906718	0.816717980743817	-0.804689372891371	0.447537257521607	0.99987725339431	-4.59734547157783	16	25	3	34	19	16	2.13315762007464	2.07759244029971	0.4752298486851	3.01092508468068	2.58361651884192	1.38302130378284	0.01	UP_pEhEx_DOWN_UmasM
EHI_000510A	-0.327409945972904	9.97909833499808	-0.737137436590409	0.485074285221711	0.99987725339431	-4.60120547384774	9230	10046	4482	12568	10304	10746	1230.56530208056	834.859746210035	709.993393935539	1112.9796018902	1401.13603211301	928.87168315315	0.01	UP_pEhEx_DOWN_UmasM
EHI_000520A	-0.352554550316762	0.747982993888899	-0.411955780954511	0.692729050346309	0.99987725339431	-4.60062779213908	20	31	2	23	17	18	2.6664470250933	2.57621462597164	0.3168198991234	2.03680226316635	2.31165688527961	1.5558989667557	0.01	UP_pEhEx_DOWN_UmasM
EHI_000540A	0.0496490758314182	1.98500363938611	0.0639827171169855	0.950777846123686	0.99987725339431	-4.60338841464416	32	35	33	44	11	106	4.26631524014927	2.90862941641959	5.2275283355361	3.89649128605736	1.49577798459269	9.16251613756132	0.01	DOWN_pEhEx_UP_UmasM
EHI_000550A	-0.077514847764133	4.59902390346376	-0.131380945991753	0.899180748801034	0.99987725339431	-4.60596457991777	252	319	91	388	225	171	33.5972325161755	26.5100795382243	14.4153054101147	34.3599686134149	30.5954587757596	14.7810401841791	0.01	UP_pEhEx_DOWN_UmasM
EHI_000560A	0.390696422910489	1.87598691368746	0.418234066455282	0.688343535189851	0.99987725339431	-4.60175339519485	56	68	10	63	41	12	7.46605167026123	5.65105143761521	1.584099495617	5.57906706867303	5.5751724880273	1.03726597783713	0.01	DOWN_pEhEx_UP_UmasM
EHI_000570A	-0.0585560081182396	3.01946689332328	-0.0949779932167525	0.927001516997618	0.99987725339431	-4.60433234418891	62	84	55	67	41	189	8.26598577778922	6.98071059940703	8.7125472258935	5.9332935492237	5.5751724880273	16.3369391509348	0.01	UP_pEhEx_DOWN_UmasM
EHI_000580A	0.0293338635461038	4.10153018660812	0.0624992062831891	0.951917399347873	0.99987725339431	-4.6056928985174	133	196	114	187	100	247	17.7318727168704	16.2883247319497	18.0587342500338	16.5600879657438	13.5979816781154	21.3503913771476	0.01	DOWN_pEhEx_UP_UmasM
EHI_000590A	-0.432272045502954	9.87031150748312	-0.655199507335326	0.533330218774026	0.99987725339431	-4.60276525336966	12570	10945	2149	13989	9838	9040	1675.86195527114	909.569970363213	340.422981608093	1238.81855910583	1337.76943749299	781.407036637305	0.01	UP_pEhEx_DOWN_UmasM
EHI_000610A	-0.333926606798916	8.03172544181178	-0.386035579405053	0.710967428969591	0.99987725339431	-4.60595456522076	967	1412	5426	1952	2279	5326	128.922713663261	117.342421028128	859.532386321784	172.862522508726	309.898002444249	460.373216496713	0.01	UP_pEhEx_DOWN_UmasM
