logFC	AveExpr	t	P.Value	adj.P.Val	B	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_005010A	-1.14603131423897	3.92997295736468	-2.91432195305989	0.0230068939212703	0.710207247707873	-3.60836901223917	49	114	106	198	190	314	7.43297793895148	14.725108758803	9.56664860005218	17.1362843642772	25.0227924825937	27.2097115397278	28.98	UP_pEhEx_DOWN_CmasM
EHI_005020A	-0.532431897712621	6.88671455710387	-1.3833220682332	0.20986181057136	0.710207247707873	-4.50138791590387	477	890	1249	1570	1609	1170	72.3577648342827	114.959182415217	112.724000957219	135.878618444016	211.903542655228	101.386504781788	28.98	UP_pEhEx_DOWN_CmasM
EHI_005040A	-0.820937878031286	0.685836788226112	-1.24887735331145	0.252595792223171	0.710207247707873	-4.54730175441297	5	6	24	15	18	39	0.758467136627702	0.775005724147528	2.16603364529483	1.29820336093009	2.37058034045625	3.37955015939295	28.98	UP_pEhEx_DOWN_CmasM
EHI_005060A	-0.519004371407366	6.06420996836138	-1.60710173347727	0.152891125152583	0.710207247707873	-4.34946655526452	422	441	528	729	801	891	64.014626331378	56.9629207248433	47.6527401964864	63.0926833412024	105.490825150303	77.209722872285	28.98	UP_pEhEx_DOWN_CmasM
EHI_005070A	-1.20087414386839	3.93842934035553	-2.48793044079082	0.0423597851985749	0.710207247707873	-3.83452128352638	50	86	132	174	154	476	7.58467136627702	11.1084153794479	11.9131850491216	15.0591589867891	20.2816318016812	41.2478429710524	28.98	UP_pEhEx_DOWN_CmasM
EHI_005100A	-1.0718208608519	3.21995691902165	-2.16432180708819	0.0679223761968468	0.710207247707873	-4.05040900599379	31	46	101	108	86	268	4.70249624709175	5.94171055179771	9.11539159061576	9.34706419869665	11.3261060710687	23.22357545429	28.98	UP_pEhEx_DOWN_CmasM
EHI_005140A	1.03125118283702	5.11805087735321	1.60759901667107	0.152782170382172	0.710207247707873	-4.3502387443613	269	408	608	355	407	103	40.8055319505703	52.7003892420319	54.8728523474691	30.7241462086788	53.6014554758718	8.92547862608906	28.98	DOWN_pEhEx_UP_CmasM
EHI_005657A	1.9380045451755	-0.322653343528251	1.54100256056424	0.168033826795597	0.710207247707873	-4.48885149562035	8	10	18	12	14	0	1.21354741860432	1.29167620691255	1.62452523397113	1.03856268874407	1.84378470924375	0	28.98	DOWN_pEhEx_UP_CmasM
EHI_005860A	-0.596428957884381	1.67901523967973	-1.42088699780766	0.199123852187105	0.710207247707873	-4.47199481884542	21	23	20	40	27	53	3.18556197383635	2.97085527589886	1.8050280377457	3.46187562914691	3.55587051068437	4.59272201148272	28.98	UP_pEhEx_DOWN_CmasM
EHI_005890A	1.40217124379306	10.4112711619739	1.83433793612812	0.110064382640506	0.710207247707873	-4.17086627638101	15820	17756	21581	19395	12304	2523	2399.79002029005	2293.50027299392	1947.71550412949	1678.57694568261	1620.42336160965	218.630898773036	28.98	DOWN_pEhEx_UP_CmasM
EHI_005910A	1.80807106821565	4.69365439158884	1.57511310054072	0.160053892582833	0.710207247707873	-4.37295388947139	307	439	452	526	260	20	46.5698821889409	56.7045854834608	40.7936336530527	45.5236645232819	34.2417160288124	1.73310264584254	28.98	DOWN_pEhEx_UP_CmasM
EHI_005940A	0.616963676934814	3.20366310835626	1.30075175358631	0.235285235678995	0.710207247707873	-4.53222882319321	79	124	88	137	38	75	11.9837807587177	16.0167849657156	7.94212336608106	11.8569240298282	5.00455849651874	6.49913492190951	28.98	DOWN_pEhEx_UP_CmasM
