logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_013930A	1.7441157305661	1.24637442431803	2.08772962290016	0.0735724725501803	0.728802950726254	-4.57471608760724	24	31	46	26	20	4	4.05021744918984	4.32300000987903	3.95301481066902	2.34106323621321	2.78851912945401	0.320221363070339	27.12	DOWN_pEhEx_UP_CDC5
EHI_013960A	2.15500755377986	0.637410478453812	1.92867950059733	0.0933784762192255	0.728802950726254	-4.58103511984185	20	30	23	27	11	1	3.3751812076582	4.18354839665713	1.97650740533451	2.43110412991371	1.53368552119971	0.0800553407675847	27.12	DOWN_pEhEx_UP_CDC5
EHI_014010A	2.49306488633478	2.43633577167836	2.37953493607847	0.0474659248525699	0.728802950726254	-4.56493065466176	77	81	156	62	44	4	12.9944476494841	11.2955806709742	13.4058763144428	5.58253540943149	6.13474208479882	0.320221363070339	27.12	DOWN_pEhEx_UP_CDC5
EHI_014070A	2.30011969129237	0.981960432182509	3.11664594298035	0.01603257813677	0.728802950726254	-4.56350572417259	25	18	89	20	4	7	4.21897650957275	2.51012903799428	7.64822430759876	1.80081787401016	0.557703825890802	0.560387385373093	27.12	DOWN_pEhEx_UP_CDC5
EHI_014240A	1.19590861689985	3.36635623571355	2.19400258104255	0.0627149608230706	0.728802950726254	-4.56575377477246	93	99	198	122	57	45	15.6945926156106	13.8057097089685	17.0151507067927	10.984989031462	7.94727951894393	3.60249033454131	27.12	DOWN_pEhEx_UP_CDC5
EHI_014250A	2.89658288728543	4.2561110483887	3.13788856745448	0.0155515321607283	0.728802950726254	-4.54353053931283	315	326	638	117	167	18	53.1591040206167	45.4612259103408	54.8265967218877	10.5347845629594	23.284134730941	1.44099613381652	27.12	DOWN_pEhEx_UP_CDC5
EHI_014400A	-1.5403334154881	6.17243262784332	-2.72232893239358	0.0284843315781945	0.728802950726254	-4.54555473099862	274	319	427	850	656	3308	46.2399825449174	44.4850646177875	36.6942896555581	76.5347596454317	91.4634274460915	264.82306725917	27.12	UP_pEhEx_DOWN_CDC5
EHI_015230A	1.54498255820544	2.0008553955082	2.13301519051285	0.068734188757712	0.728802950726254	-4.57119692612004	48	43	72	34	36	10	8.10043489837968	5.99641936854189	6.18732752974282	3.06139038581727	5.01933443301722	0.800553407675847	27.12	DOWN_pEhEx_UP_CDC5
EHI_015320A	1.05776562427832	10.5799305846251	2.34921463163469	0.0496741185662393	0.728802950726254	-4.54918309846274	11518	12490	36902	9253	6695	19235	1943.76685749036	1741.75064914158	3171.17722920235	833.148389410799	933.45677858473	1539.86447966449	27.12	DOWN_pEhEx_UP_CDC5
EHI_015410A	1.31010584394861	-0.0708347728957731	1.98687083383333	0.0855902336801912	0.728802950726254	-4.58296537916725	8	9	20	11	3	5	1.35007248306328	1.25506451899714	1.71870209159523	0.990449830705587	0.418277869418101	0.400276703837923	27.12	DOWN_pEhEx_UP_CDC5
EHI_015430A	1.63654989116702	-0.0220443630261766	2.31444118145133	0.0523352393804609	0.728802950726254	-4.57910479228181	8	14	18	7	7	3	1.35007248306328	1.95232258510666	1.5468318824357	0.630286255903555	0.975981695308903	0.240166022302754	27.12	DOWN_pEhEx_UP_CDC5
EHI_015440A	-1.30063854185304	5.00744546835472	-2.44929077365149	0.0427570914421962	0.728802950726254	-4.55420289814192	90	107	425	401	405	808	15.1883154344619	14.9213226147438	36.5224194463986	36.1063983739037	56.4675123714437	64.6847153402084	27.12	UP_pEhEx_DOWN_CDC5
EHI_016370A	1.26316417536558	8.00418019250157	3.04898302767649	0.0176727208894912	0.728802950726254	-4.53634185271594	2600	2701	4429	2381	1260	1508	438.773556995566	376.658807312364	380.606578183763	214.387367900909	175.676705155603	120.723453877518	27.12	DOWN_pEhEx_UP_CDC5
EHI_017030A	-1.48258754089147	3.27814015706822	-2.29819904094188	0.0536271820083431	0.728802950726254	-4.56361633628212	20	27	163	142	156	199	3.3751812076582	3.76519355699142	14.0074220465011	12.7858069054721	21.7504492097413	15.9310128127494	27.12	UP_pEhEx_DOWN_CDC5
EHI_017580A	2.4284538842669	-0.124606838740489	2.67510205763782	0.030545576171763	0.728802950726254	-4.57792146110931	12	10	31	10	4	1	2.02510872459492	1.39451613221904	2.6639882419726	0.900408937005079	0.557703825890802	0.0800553407675847	27.12	DOWN_pEhEx_UP_CDC5
EHI_017650A	-2.39580613641514	-0.578656702462163	-2.98414324750238	0.0194114700620092	0.728802950726254	-4.57871541826792	3	2	1	16	10	19	0.50627718114873	0.278903226443809	0.0859351045797613	1.44065429920813	1.394259564727	1.52105147458411	27.12	UP_pEhEx_DOWN_CDC5
EHI_017660A	-1.8258952601718	4.46966687429761	-2.17987206949104	0.0640609923947741	0.728802950726254	-4.56332870522547	30	49	487	293	452	595	5.0627718114873	6.83312904787331	41.8503959303438	26.3819818542488	63.0205323256606	47.6329277567129	27.12	UP_pEhEx_DOWN_CDC5
