logFC	AveExpr	t	P.Value	adj.P.Val	B	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000440A	-0.301420924174458	4.89762846927597	-0.614192832037344	0.558808756997848	0.999791217706948	-4.60138517085616	227	332	59	545	235	422	25.1341966236308	35.495698729531	21.1717145580725	41.8618966258544	28.3712366035756	30.7606328815439	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000480A	0.134920344558721	1.00376710432544	0.215827350985984	0.835370691256402	0.999791217706948	-4.60204134740124	24	18	4	34	19	16	2.65735999544996	1.92446559376975	1.43537047851339	2.61156786289734	2.29384466156569	1.16627991967939	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000510A	-0.79480721427852	9.50666155694709	-0.867143401739065	0.415031832946913	0.999791217706948	-4.59782863033879	12088	9033	339	12568	10304	10746	1338.42365104163	965.760983806787	121.64764805401	965.358379438051	1243.98817856699	783.302751054669	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000520A	-0.390248191490901	0.357103802915421	-0.413647631280078	0.691700111165874	0.999791217706948	-4.59997288304484	16	24	0	23	17	18	1.77157333029997	2.56595412502634	0	1.76664884843055	2.0523873287693	1.31206490963931	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000540A	0.0942778820009056	1.81870418750389	0.119256889064891	0.9084735071571	0.999791217706948	-4.60326919282481	21	39	14	44	11	106	2.32518999601871	4.1696754531678	5.02379667479687	3.37967605786714	1.32801533038014	7.72660446787595	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000550A	-0.425512265642821	4.18622076539547	-0.573955827134081	0.5842340481889	0.999791217706948	-4.60176907022706	252	202	16	388	225	171	27.9022799522246	21.596780552305	5.74148191405357	29.8025979648285	27.1639499395937	12.4646166415735	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000560A	0.275916761683375	1.46286294583192	0.241301241056636	0.816343183519276	0.999791217706948	-4.60244593203293	66	46	1	63	41	12	7.30773998748738	4.91807873963381	0.358842619628348	4.83908162830977	4.94987532232596	0.874709939759541	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000570A	-0.480307606864775	2.58068499121783	-0.731385554915527	0.488659054800483	0.999791217706948	-4.59906382387938	39	72	10	67	41	189	4.31820999260618	7.69786237507901	3.58842619628348	5.1463249062977	4.94987532232596	13.7766815512128	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000580A	0.0861050863686475	3.89573672206324	0.154093499001073	0.881951095847816	0.999791217706948	-4.60510878652603	179	192	23	187	100	247	19.8194766327309	20.5276330002107	8.253380251452	14.3636232459354	12.0728666398194	18.0044462600506	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000590A	-0.673357234995097	9.50616170201325	-0.610870810380981	0.560882711626427	0.999791217706948	-4.60212411308699	12628	13625	240	13989	9838	9040	1398.21425093925	1456.71353972849	86.1222287108035	1074.50655394326	1187.72862002543	658.948154618855	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000610A	0.219028390180623	8.10951246226631	0.265264430079083	0.798564644556293	0.999791217706948	-4.60539096112872	1800	1347	2687	1952	2279	5326	199.301999658747	144.014175267103	964.210118941371	149.934719658106	275.140630721484	388.225428263277	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000620A	-1.93316381749629	1.04694728020189	-1.77590271366541	0.119674692252949	0.999791217706948	-4.58511713264485	9	2	19	25	28	80	0.996509998293734	0.213829510418861	6.81800977293861	1.92027048742451	3.38040265914944	5.83139959839694	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000640A	1.85309375980282	0.492555274814921	0.727224432542774	0.491047139408263	0.999791217706948	-4.59776762727681	5	8	216	2	0	213	0.553616665718741	0.855318041675445	77.5100058397232	0.153621638993961	0	15.5261014307319	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000650A	-0.0756216852912465	2.62230914726338	-0.148632624449034	0.88609886254166	0.999791217706948	-4.6040186186548	53	64	14	103	53	68	5.86833665661866	6.84254433340356	5.02379667479687	7.911514408189	6.39861931910429	4.9566896586374	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000660A	0.116192421012452	0.822485413249828	0.170626437887467	0.869418456374029	0.999791217706948	-4.60193649719706	23	21	2	33	9	26	2.54663666230621	2.24520985939804	0.717685239256696	2.53475704340036	1.08655799758375	1.89520486947901	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000670A	0.561347763720677	1.54293199652194	0.455404149879964	0.662818533216275	0.999791217706948	-4.60133453699332	10	33	36	11	10	137	1.10723333143748	3.52818692191121	12.9183343066205	0.844919014466786	1.20728666398194	9.98627181225477	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000690A	-3.21751880764847	-0.255243205993753	-0.9202478161092	0.388518590215506	0.999791217706948	-4.59574160421502	17	0	0	184	298	0	1.88229666344372	0	0	14.1331907874444	35.9771425866619	0	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000700A	-0.12049353920875	2.10186605442797	-0.129945945363392	0.900320439492148	0.999791217706948	-4.60348398171418	79	66	2	79	52	39	8.74714331835611	7.05637384382242	0.717685239256696	6.06805474026146	6.2778906527061	2.84280730421851	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000710A	-0.469666439289229	0.692080963600932	-0.43275683632076	0.678410510783658	0.999791217706948	-4.60024765926642	23	29	0	46	26	14	2.54663666230621	3.10052790107349	0	3.5332976968611	3.13894532635305	1.02049492971947	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000720A	-0.0820902872518545	3.87060224376821	-0.176104147156544	0.865274822978508	0.999791217706948	-4.60499585616013	149	123	36	218	107	215	16.4977766384185	13.15051489076	12.9183343066205	16.7447586503418	12.9179673046068	15.6718864206918	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000730A	-0.376266250815046	6.62492861035924	-0.579739747271128	0.580538688805503	0.999791217706948	-4.60185067247533	945	448	359	916	835	2757	104.633549820842	47.8978103338249	128.824500446577	70.3587106592342	100.808436442492	200.964608659755	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000740A	0.966872607609252	3.21223546153261	1.49540980694346	0.179121611374947	0.999791217706948	-4.58616417250264	109	175	25	124	79	45	12.0688433126686	18.7100821616504	8.9710654907087	9.52454161762559	9.53756464545734	3.28016227409828	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000780A	1.13596015522645	0.525671958307554	0.863780310368391	0.416754386976312	0.999791217706948	-4.59668116630365	28	34	1	28	29	2	3.10025332802495	3.63510167712064	0.358842619628348	2.15070294591546	3.50113132554763	0.145784989959924	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000790A	0.304334151271869	3.2684442656556	0.37220551732602	0.720920655993135	0.999791217706948	-4.60341345591785	60	80	64	71	40	306	6.64339998862489	8.55318041675445	22.9659276562143	5.45356818428562	4.82914665592777	22.3051034638683	0.02	DOWN_pEhEx_UP_EhMyb10
EHI_000800A	-0.0506795978284985	4.89082141478382	-0.106130311053328	0.918501942918235	0.999791217706948	-4.60555680957527	234	294	84	344	211	558	25.9092599556371	31.4329380315726	30.1427800487812	26.4229219069613	25.473748610019	40.6740121988187	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_000900A	-0.881207517912518	1.68541518084302	-1.20189383104026	0.269070383453683	0.999791217706948	-4.59227389186113	16	18	11	27	35	112	1.77157333029997	1.92446559376975	3.94726881591183	2.07389212641847	4.2255033239368	8.16395943775572	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001040A	-0.747123750846272	-0.0891322071770907	-0.376091406660549	0.71815835727395	0.999791217706948	-4.59978171210645	0	8	59	6	2	58	0	0.855318041675445	21.1717145580725	0.460864916981883	0.241457332796388	4.22776470883778	0.02	UP_pEhEx_DOWN_EhMyb10
EHI_001050A	-0.47233051553707	5.8472116286156	-0.9472990331133	0.375508630681709	0.999791217706948	-4.59616261194477	587	446	104	774	494	1207	64.9945965553802	47.6839808234061	37.3196324413482	59.4515742906629	59.6399612007079	87.9812414408139	0.02	UP_pEhEx_DOWN_EhMyb10
