CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_001130A	1949.97283569619	2753.69265367009	3220.64919821039	1314.5791957033	2394.2026844825	31.3216212174926
EHI_001140A	23.9001717424912	28.5678534210249	23.2986438259734	48.7514731002524	39.5518064617152	4.0155924637811
EHI_001150A	111.065503979812	124.208058352282	66.0128241735912	98.3582352022637	61.9644967900206	28.9122657392239
EHI_001180A	8.43535473264394	3.72624175056846	18.6389150607787	9.40817901934696	5.27357419489537	177.489186899124
EHI_001400A	2482.8060763082	2137.62068424277	1353.65120628905	2044.99600320533	2518.13167806254	2130.67336128225
EHI_001410A	29.5237415642538	24.8416116704564	16.3090506781814	29.9351150615585	18.4575096821338	20.8810808116617
EHI_001420A	7707.10244072568	10753.9336921406	9244.12524868537	10359.2603893028	14102.8557906989	4138.4695931728
EHI_001430A	9.8412471880846	19.8732893363651	14.7558077564498	10.2634680211058	21.0942967795815	2.40935547826866
EHI_001635A	205.260298494336	690.596804438688	267.934403998694	468.69837296383	276.862645232007	33.7309766957612
EHI_001780A	8158.39391892213	3953.54249735314	11034.237715981	5413.9793811333	3288.07351051726	24573.016522862
EHI_001800A	8.43535473264394	6.2104029176141	16.3090506781814	10.2634680211058	1.31839354872384	39.3528061450547
EHI_001810A	694.510872987684	704.259690857439	564.603802049421	724.429784489716	589.321916279557	346.144070377931
EHI_001820A	26.7119566533725	16.1470475857967	20.968779443376	29.0798260597997	27.6862645232007	28.9122657392239
EHI_001830A	47.8003434849823	36.0203369221618	45.0440447302152	59.870230123117	51.4173484002298	83.5243232466468
EHI_001840A	219.319223048742	146.565508855693	135.132134190646	142.833263293722	163.480800041756	320.444278609732
EHI_001850A	216.507438137861	219.848263283539	267.934403998694	200.992915413321	172.709554882823	436.093341566627
EHI_001870A	15.4648170098472	3.72624175056846	10.8727004521209	11.1187570228646	3.95518064617152	20.8810808116617
EHI_001910A	30.9296340196945	14.9049670022738	21.7454009042418	18.8163580386939	11.8655419385146	53.8089390146667
EHI_001940A	289.613845820775	885.60345605177	879.135493700062	1125.5603263146	1649.31032945353	2683.21888429853
EHI_001950A	172.924772019201	309.278065297182	280.360347372546	289.087682594479	352.011077509266	30.5185027247363
EHI_001990A	35.1473113860164	37.2624175056846	55.1401237214703	46.185606094976	10.5471483897907	94.7679821452339
EHI_002110A	151.836385187591	232.269069118767	139.015241494974	194.150603399251	117.337025836422	43.3683986088358
EHI_002130A	185.577804118167	151.533831189784	147.558077564498	194.150603399251	155.570438749413	92.3586266669652
EHI_002140A	433.014876275722	314.246387631273	278.807104450815	307.048751631414	305.867303303931	631.251135306389
EHI_002150A	29.5237415642538	29.8099340045477	21.7454009042418	30.7904040633173	26.3678709744768	16.0623698551244
EHI_002160A	2257.86328343769	1660.66174017001	1181.24124197685	1650.70777339451	2019.77891664493	1052.8883440034
EHI_002180A	799.952807145734	812.320701623924	611.977711162234	670.54657737891	395.518064617152	310.806856696657
EHI_002190A	154.648170098472	616.071969427319	462.089769215139	158.228465325381	465.392922699516	4.81871095653732
EHI_002200A	298.049200553419	291.888937127863	180.952800381727	216.38811744498	163.480800041756	20.8810808116617
EHI_002210A	28.1178491088131	23.5995310869336	14.7558077564498	23.092803047488	26.3678709744768	16.0623698551244
EHI_002670A	233.378147603149	232.269069118767	229.103330955405	301.061728619103	371.786980740123	766.97816058219
EHI_002780A	28.1178491088131	27.325772837502	52.0336378780072	40.1985830826643	26.3678709744768	417.621616233234
EHI_002790A	32.3355264751351	39.7465786727302	44.2674232693494	41.0538720844231	61.9644967900206	77.0993753045971
EHI_002990A	56.2356982176263	58.3777874255725	62.9063383301281	70.9889871459816	48.7805613027821	17.6686068406368
EHI_003000A	154.648170098472	98.1243660983028	104.84389721688	85.5289001758814	79.1036129234305	106.011641043821
EHI_003010A	754.964248571633	1053.28433482735	612.7543326231	1048.58431615631	1418.59145842685	968.560902264001
EHI_003020A	7.02946227720328	6.2104029176141	11.6493219129867	11.9740460246234	9.22875484106689	43.3683986088358
EHI_003040A	15.4648170098472	11.1787252517054	10.0960789912551	16.2504910334175	15.8207225846861	32.927858203005
EHI_003240.mRNA	77.3240850492361	12.4208058352282	45.820666191081	63.2913861301523	6.59196774361921	0
EHI_003260A	2021.67335092366	1368.77280304215	813.899290987336	1228.19500652566	1470.00880682708	1875.28168058577
EHI_003890A	50.6121283958636	27.325772837502	29.5116155128996	29.9351150615585	13.1839354872384	51.399583536398
EHI_003900A	22.4942792870505	32.2940951715933	31.8414798954969	32.500982066835	32.959838718096	40.155924637811
EHI_003930A	133.559783266862	229.784907951722	195.708608138176	117.174593240958	213.579754893262	6.42494794204976
EHI_003940A	8194.94712276359	12697.7898053538	10736.0150750085	10968.226158555	12609.1158999948	1493.80039652657
EHI_003950A	21.0883868316099	13.662886418751	35.7245871998258	20.5269360422115	11.8655419385146	183.111016348418
EHI_004170A	615.780895483008	871.940569633019	757.205924344135	972.463594999772	1535.92848426328	1272.94281101861
EHI_004190A	52.0180208513043	43.4728204232987	26.4051296694365	38.4880050791466	32.959838718096	27.3060287537115
