pEhEx_mean	UmasM_mean	theta	prob	log2FC	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_196590A	827.383601997175	970.698891346349	-0.140902814546272	0.854565913241068	-0.230467479291318	903	1423	434	1155	517	1173	1153.38281090617	1138.64910992718	611.641002956789	956.898728867379	673.515748350659	870.284202050667	85.46	DOWN_pEhEx_UP_UmasM
EHI_093810A	4.54383902839478	7.35743310607108	-0.14235531533403	0.854565858447183	-0.695290793876291	8	15	0	12	0	5	10.2182308828897	12.0026258952268	0.704655533360356	9.94180497524549	0.651369195696963	3.70965133013925	85.46	DOWN_pEhEx_UP_UmasM
EHI_186800A	40.9374933513021	60.6285957979241	-0.140894431970034	0.854565852617646	-0.56657564173844	68	97	13	47	62	10	86.8549625045622	77.6169807891331	18.3210438673693	38.9387361530448	80.7697802664234	7.41930266027849	85.46	DOWN_pEhEx_UP_UmasM
EHI_148530A	8.53226181804201	12.3762538052069	-0.142413204662129	0.85456544729322	-0.536574546663577	16	14	4	15	4	11	20.4364617657793	11.202450835545	5.63724426688285	12.4272562190569	5.2109535655757	8.16123292630634	85.46	DOWN_pEhEx_UP_UmasM
EHI_050985A	6.31655193541055	9.1592893788478	-0.142528636244816	0.854564626599248	-0.536098433253719	9	11	5	7	2	14	11.4955097432509	8.80192565649963	7.04655533360356	5.79938623555987	2.60547678278785	10.3870237243899	85.46	DOWN_pEhEx_UP_UmasM
EHI_122840A	8.22433860935554	11.4751583750377	-0.14070441778314	0.854564480030729	-0.480542496251237	12	15	5	11	4	14	15.3273463243345	12.0026258952268	7.04655533360356	9.11332122730837	5.2109535655757	10.3870237243899	85.46	DOWN_pEhEx_UP_UmasM
EHI_182630A	343.718804747643	434.012619034162	-0.140696811475797	0.854564425149907	-0.336508206766603	402	238	410	377	236	561	513.466101865206	190.441664204265	577.817537355492	312.338372972296	307.446260368966	416.222879241623	85.46	DOWN_pEhEx_UP_UmasM
EHI_153120A	26.0384370060486	35.5414983562235	-0.1406951669082	0.854564413284715	-0.448861652398838	33	39	23	46	18	24	42.1502023919199	31.2068273275896	32.4141545345764	38.1102524051077	23.4492910450907	17.8063263846684	85.46	DOWN_pEhEx_UP_UmasM
EHI_182490A	8.11172496882305	11.3327100600307	-0.140691516451406	0.854564386948301	-0.482412259725578	9	8	11	10	5	13	11.4955097432509	6.40140047745428	15.5024217339278	8.28483747937124	6.51369195696963	9.64509345836204	85.46	DOWN_pEhEx_UP_UmasM
EHI_081660A	54.7841969878075	79.2604139447717	-0.140690222760745	0.854564377615173	-0.532840707565865	93	35	63	50	19	130	118.786934013592	28.0061270888625	88.7865972034049	41.4241873968562	24.7520294364846	96.4509345836204	85.46	DOWN_pEhEx_UP_UmasM
EHI_144600A	328.677136317964	430.58167620353	-0.140670423642703	0.854564234795341	-0.389615823517196	206	226	574	270	252	589	263.119445234409	180.839563488083	808.944552297689	223.690611943024	328.290074631269	436.996926690403	85.46	DOWN_pEhEx_UP_UmasM
EHI_122890A	14.0939275808277	21.4492542152953	-0.140653785628077	0.854564114803767	-0.605853780316945	28	33	2	30	12	4	35.7638080901138	26.4057769694989	2.81862213344143	24.8545124381137	15.6328606967271	2.9677210641114	85.46	DOWN_pEhEx_UP_UmasM
EHI_148060A	460.253715479976	586.487470522984	-0.142605096085008	0.854564082360969	-0.349670919405236	323	338	730	417	297	874	412.56107189667	270.459170172443	1028.79707870612	345.477722889781	386.913302243996	648.44705250834	85.46	DOWN_pEhEx_UP_UmasM
EHI_169260A	70.1971498183811	98.3050437603278	-0.142670978888098	0.854563613009483	-0.485852984507684	133	96	35	123	49	65	169.878088428041	76.8168057294513	49.3258873352249	101.903500996266	63.8341811783023	48.2254672918102	85.46	DOWN_pEhEx_UP_UmasM
EHI_004530A	58.0795904168967	86.7712153821813	-0.140515217705817	0.85456311638169	-0.579185257425361	138	97	7	109	63	10	176.264482729847	77.6169807891331	9.86517746704499	90.3047285251465	82.0725186578173	7.41930266027849	85.46	DOWN_pEhEx_UP_UmasM
EHI_098780A	27912.8322542244	30492.5271606642	-0.140486590377332	0.854562910316873	-0.127527204078279	17215	22427	34986	26466	24670	41042	21988.3555811182	17945.5260634834	49306.1569802909	21926.6508729039	32138.5561156881	30450.301978315	85.46	DOWN_pEhEx_UP_UmasM
EHI_165810.mRNA	847.165888735281	1070.87968955307	-0.140417530883977	0.854562413500111	-0.338080001017919	737	124	1475	627	275	2194	941.354520086211	99.2217074005413	2078.73382341305	519.459309956577	358.253057633329	1627.7950036651	85.46	DOWN_pEhEx_UP_UmasM
EHI_109920A	13765.2074187326	15330.6159846651	-0.140410542409123	0.854562363247281	-0.155389316589567	22269	14801	4268	19984	13126	11418	28443.7229413838	11843.3910583501	6014.939632764	16556.4192187755	17099.7441254367	8471.35977750598	85.46	DOWN_pEhEx_UP_UmasM
EHI_123290.mRNA	8.72321511724182	13.9452859880451	-0.140399135720749	0.854562281232789	-0.676845648718831	11	35	0	20	8	0	14.0500674639733	28.0061270888625	0.704655533360356	16.5696749587425	10.4219071311514	0.370965133013925	85.46	DOWN_pEhEx_UP_UmasM
EHI_164070A	26.2793355945278	36.6315685632917	-0.142857805434129	0.854562280031794	-0.479158677267702	16	51	33	29	16	46	20.4364617657793	40.808928043771	46.5072652017835	24.0260286901766	20.8438142623028	34.1287922372811	85.46	DOWN_pEhEx_UP_UmasM
EHI_021440A	29.5542892455506	42.0071785509906	-0.140369747876096	0.85456206998395	-0.507268363730501	49	55	14	54	25	18	62.5866641576992	44.0096282824981	19.73035493409	44.7381223886047	32.5684597848481	13.3547447885013	85.46	DOWN_pEhEx_UP_UmasM
EHI_049310A	23.9199494692659	39.2852500966686	-0.140347120161441	0.854561843587609	-0.715773403028458	9	18	62	12	4	74	11.4955097432509	14.4031510742721	87.3772861366842	9.94180497524549	5.2109535655757	54.9028396860608	85.46	DOWN_pEhEx_UP_UmasM
EHI_153530A	64.7173730753058	90.7511686660084	-0.142929984008715	0.854561406736492	-0.487763172889327	102	129	28	120	52	42	130.282443756843	103.22258269895	39.46070986818	99.4180497524549	67.7423963524841	31.1610711731697	85.46	DOWN_pEhEx_UP_UmasM
EHI_092830.mRNA	26.7601940859952	41.0836756457929	-0.140278730632182	0.854560851881071	-0.618476681891972	48	79	0	50	32	0	61.309385297338	63.213829714861	0.704655533360356	41.4241873968562	41.6876285246056	0.370965133013925	85.46	DOWN_pEhEx_UP_UmasM
EHI_169970A	20.0853451990439	28.6647373896021	-0.1402672785989	0.85456068589477	-0.51313380528965	26	52	8	35	17	14	33.2092503693914	41.6091031034528	11.2744885337657	28.9969311777993	22.1465526536967	10.3870237243899	85.46	DOWN_pEhEx_UP_UmasM
EHI_148870A	25.9915312667291	43.3224772703236	-0.143062645966762	0.854559581408622	-0.737074110298808	76	42	1	14	53	1	97.0731933874519	33.607352506635	1.40931106672071	11.5987724711197	69.045134743878	0.741930266027849	85.46	DOWN_pEhEx_UP_UmasM
EHI_109960A	6.51381330066241	9.72095055229253	-0.143082649096039	0.854559305927812	-0.5775950233441	12	14	2	9	8	3	15.3273463243345	11.202450835545	2.81862213344143	7.45635373143412	10.4219071311514	2.22579079808355	85.46	DOWN_pEhEx_UP_UmasM
