EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000670A	9.55036248674747	30.4321257936737	111.42617536002	7.28778897003324	10.4133654028231	86.1358784913048
EHI_000690A	16.2356162274707	0	0	121.904833680556	310.318289004128	0
EHI_000700A	75.447863645305	60.8642515873474	6.19034307555664	52.3395753302387	54.1495000946801	24.5204325632182
EHI_000710A	21.9658337195192	26.7433832732284	0	30.476208420139	27.07475004734	8.80220656115523
EHI_000720A	142.300401052537	113.428832503693	111.42617536002	144.430726860659	111.423009810207	135.176743617741
EHI_000730A	902.509254997636	413.139162289873	1111.16658206242	606.874063322768	869.516011135728	1733.4059635075
EHI_000740A	104.098951105547	161.382485269482	77.379288444458	82.1532574803746	82.2655866823025	28.2928068037133
EHI_000780A	26.7410149628929	31.354311423785	3.09517153777832	18.5507355600846	30.198759668187	1.25745808016503
EHI_000790A	57.3021749204848	73.7748504089059	198.090978417813	47.0393651702145	41.6534616112924	192.39108626525
EHI_000800A	223.478482189891	271.122575252729	259.994409173379	227.909036881039	219.722009999567	350.830804366044
EHI_000900A	15.280579978796	16.5993413420038	34.0468869155615	17.8882092900816	36.4467789098808	70.4176524892419
EHI_001040A	0	7.37748504089059	182.615120728921	3.97515762001813	2.08267308056462	36.466284324786
EHI_001050A	560.606277972077	411.294791029651	321.897839928945	512.795332982339	514.420250899461	758.875951379598
EHI_001060A	2.86510874602424	2.76655689033397	68.0937738311231	14.5755779400665	16.661384644517	13.8320388818154
EHI_001070A	613.133271649188	414.061347919984	9.28551461333497	590.973432842695	677.910087723783	205.594396106983
EHI_001100A	21.9658337195192	33.1986826840077	337.373697617837	16.5631567500755	19.7853942653639	187.36125394459
EHI_001120A	117.469458586994	25.8211976431171	6.19034307555664	69.5652583503172	93.7202886254079	44.6397618458587
EHI_001130A	1514.68749039815	2287.9425483062	198.090978417813	1018.30287699464	1891.06715715267	24.5204325632182
EHI_001140A	18.1456887248202	17.5215269721152	18.5710292266699	37.7639973901722	31.2400962084693	3.14364520041258
EHI_001150A	74.4928273966303	79.3079641895739	18.5710292266699	76.1905210503475	48.9428173932685	22.6342454429706
EHI_001180A	6.68525374072323	10.1440419312246	501.417789120088	7.28778897003324	4.16534616112924	138.949117858236
EHI_001400A	2015.12648470372	1871.11464349588	950.217662097945	1584.10031157722	1988.95279193921	1668.01814333892
EHI_001410A	19.1007249734949	15.6771557118925	6.19034307555664	23.1884194501057	14.5787115639523	16.3469550421454
EHI_001420A	9861.70430381544	6741.17695611378	888.314231342378	8024.51818227659	11139.1769713999	3239.84074354521
EHI_001430A	8.59532623807272	10.1440419312246	6.19034307555664	7.95031524003626	16.661384644517	1.88618712024755
EHI_001635A	510.94439304099	61.7864372174587	0	363.064395961656	218.680673459285	26.4066196834657
EHI_001780A	3019.82461830955	6861.98327365836	13036.8625171223	4193.79128911913	2597.09333146408	19237.2224394048
EHI_001800A	6.68525374072323	14.7549700817812	58.8082592177881	7.95031524003626	1.04133654028231	30.8077229640433
EHI_001810A	478.473160586048	495.213683369781	89.7599745955713	561.159750692559	465.477433506192	270.982216275565
EHI_001820A	23.8759062168687	13.8327844516699	0	22.5258931801027	21.8680673459285	22.6342454429706
EHI_001830A	31.5161962062667	38.7317964646756	12.3806861511133	46.3768389002115	40.6121250710101	65.3878201685817
EHI_001840A	160.446089777358	130.028173845697	424.03850067563	110.641887090505	129.125730995006	250.862886992924
EHI_001850A	206.287829713745	131.872545105919	201.186149955591	155.69367345071	136.415086776983	341.399868764807
EHI_001870A	10.5053987354222	4.61092815055662	21.6662007644483	8.61284151003928	3.12400962084693	16.3469550421454
