pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_167270A	9126.52739174385	4119.87371426304	1.22405986006813	0.896036567238586	1.14746590933472	4781	1688	1992	11325	11496	13200	4566.02830491397	1556.64934362791	6165.58170325442	7503.11000778422	11971.2048670854	8299.22332908922	89.6	UP_pEhEx_DOWN_EhMyb10
EHI_049360A	77.6401814626964	856.672532683534	-0.737323531114714	0.895813816840847	-3.46386843731877	13	8	819	5	3	359	12.4154712327717	7.37748504089059	2534.94548944045	3.31263135001511	3.12400962084693	225.713725389624	89.58	DOWN_pEhEx_UP_EhMyb10
EHI_202040A	1126.77917669882	4205.72318002453	-0.73753491826426	0.895537807007886	-1.90014908772828	852	1093	3458	1093	979	2651	813.690883870885	1007.94889371168	10703.1031776374	724.141213113302	1019.46847293638	1666.76068525875	89.55	DOWN_pEhEx_UP_EhMyb10
EHI_114920A	1677.14716289146	349.872432147689	0.951538823787837	0.895499795040077	2.26110838668139	815	29	79	1963	2567	1825	778.354542669919	26.7433832732284	244.518551484487	1300.53906801593	2673.11089890469	1147.43049815059	89.55	UP_pEhEx_DOWN_EhMyb10
EHI_192590A	3394.67765396254	10678.1401295949	-0.690642923185015	0.894782346612597	-1.65331389367522	2247	1891	9024	2681	3272	8113	2145.96645077216	1743.85302654051	27930.8279569116	1776.2329298781	3407.25315980372	5100.87870218946	89.48	DOWN_pEhEx_UP_EhMyb10
EHI_058330A	727.942123548493	2917.04500854586	-0.690547121804363	0.894646273378906	-2.00261199064422	429	342	2575	706	712	1586	409.710550681467	315.387485498073	7970.06670977918	467.743546622133	741.431616681004	997.164257570872	89.46	DOWN_pEhEx_UP_EhMyb10
EHI_141940A	14608.4991686328	6144.18249185007	1.27189003513419	0.894509322688536	1.24951499568089	11106	4256	1224	21731	19399	15767	10606.6325777817	3924.8220417538	3788.48996224067	14397.3583734357	20200.8875449365	9913.17077498104	89.45	UP_pEhEx_DOWN_EhMyb10
EHI_049690A	2590.55504851282	904.310209748211	1.04415097635118	0.894477353628761	1.51837158368496	1410	901	165	4559	2928	2874	1346.60111063139	830.889252730303	510.703303733423	3020.45726494377	3049.0333899466	1806.96726119715	89.45	UP_pEhEx_DOWN_EhMyb10
EHI_118190A	60.9266279422344	710.330434843515	-0.739783581178146	0.892556781804362	-3.54334550043023	7	14	678	9	7	269	6.68525374072323	12.9105988215585	2098.5263026137	5.96273643002719	7.28935578197617	169.128111782197	89.26	DOWN_pEhEx_UP_EhMyb10
EHI_030070A	14882.5851942309	7457.86020359535	1.0105893991784	0.891494277057082	0.996791493599762	12057	1118	3157	22124	18829	17567	11514.8720502714	1031.00353446446	9771.45654476616	14657.7311975468	19607.3257169756	11044.8830471296	89.15	UP_pEhEx_DOWN_EhMyb10
