pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_148240A	1973.24485202527	291.844618340617	0.964703569860073	0.957267586856183	2.75729761533921	180	94	635	399	190	6350	253.060641979318	116.755574851145	493.15462764977	341.260311701767	250.49477425753	5099.80242900199	95.73	UP_pEhEx_DOWN_CmasM
EHI_110570A	775.074999415489	212.18636157196	0.813591841876374	0.957044267362755	1.8690039892014	82	142	434	341	397	1820	115.283181346134	176.37544286024	337.053714015748	291.653549599756	523.402238843365	1461.67565681632	95.7	UP_pEhEx_DOWN_CmasM
EHI_166410A	25.9767540090181	3.13114991740824	0.814854922318325	0.957042613728735	3.05245667590441	0	5	4	33	9	46	0.702946227720328	6.2104029176141	3.10648584346312	28.2245370580409	11.8655419385146	36.9434506667861	95.7	UP_pEhEx_DOWN_CmasM
EHI_197840A	2580.35554222246	1123.51184085358	0.959144030797858	0.957034693531182	1.1995545361478	589	869	1856	1876	1627	4855	828.070656254547	1079.36802708133	1441.40943136689	1604.52216729954	2145.02630377369	3899.14028233145	95.7	UP_pEhEx_DOWN_CmasM
EHI_198930A	1566.82610500309	778.906842614178	0.811224601410419	0.957020800721896	1.00832237329387	312	630	1410	1232	1361	2288	438.638446097485	782.510767619376	1095.03625982075	1053.71605016686	1794.33361981315	1837.53511142623	95.7	UP_pEhEx_DOWN_CmasM
EHI_194430A	154.718778708014	30.2559763509279	0.818186829257816	0.956983693280485	2.35435626602379	8	27	58	92	117	282	11.2471396435253	33.5361757551161	45.0440447302152	78.6865881618109	154.252045200689	226.479414957254	95.7	UP_pEhEx_DOWN_CmasM
EHI_186840A	2139.67703781075	500.124939204868	0.80660261631159	0.956864268545301	2.09703259980685	262	190	1124	343	360	6741	368.343823325452	235.995310869336	872.922522013136	293.364127603273	474.621677540583	5413.82175966967	95.69	UP_pEhEx_DOWN_CmasM
EHI_035670A	428.355042512834	99.1164346985159	0.96882384287965	0.956829741977462	2.11161087314344	75	59	151	284	294	797	105.441934158049	73.2827544278464	117.269840590733	242.902076499503	387.607703324809	640.085438726707	95.68	UP_pEhEx_DOWN_CmasM
EHI_025360A	851.447218826381	277.777813545777	0.805573588740742	0.956809613889236	1.61598572597623	180	199	424	545	379	1916	253.060641979318	247.174036121041	329.28749940709	466.132505958554	499.671154966336	1538.77503212092	95.68	UP_pEhEx_DOWN_CmasM
EHI_112880A	513.190286992219	115.730979950525	0.805042876982231	0.956780841021091	2.14871875496497	45	114	181	209	195	1325	63.2651604948296	141.597186521601	140.568484416706	178.755401367592	257.086742001149	1064.13200290199	95.68	UP_pEhEx_DOWN_CmasM
EHI_099860A	196.888369462635	35.1083721490338	0.823740945010683	0.956731476352137	2.48749088104019	6	24	84	117	162	339	8.43535473264394	29.8099340045477	65.2362027127254	100.068813205781	213.579754893262	272.257169044358	95.67	UP_pEhEx_DOWN_CmasM
EHI_126980A	110.485104887485	15.8727932050916	0.829029022369605	0.956340051828714	2.79922395196516	21	0	23	61	127	140	29.5237415642538	0.62104029176141	17.8622935999129	52.1726291072877	167.435980687928	112.436588985871	95.63	UP_pEhEx_DOWN_CmasM
EHI_156660A	15598.2396097814	7304.48617259238	1.01134597677059	0.956233661562312	1.09452852157333	3553	5119	13342	12553	7754	31302	4995.13589418065	6358.21050705331	10361.6835308712	10736.4428390784	10222.8235768047	25139.2150602552	95.62	UP_pEhEx_DOWN_CmasM
EHI_187780A	255.523611555045	45.1026925932807	0.796085087568885	0.956085056916118	2.5021711401093	16	28	98	99	118	633	22.4942792870505	34.778256338639	76.1089031648463	84.6736111741226	155.570438749413	508.374005914687	95.61	UP_pEhEx_DOWN_CmasM
EHI_135090A	1101.70930518189	184.929888200654	0.833045935393136	0.955975472531056	2.57469329172578	144	57	355	153	41	3714	202.448513583455	70.7985932608007	275.700618607352	130.859217269099	54.0541354976775	2982.7820820966	95.6	UP_pEhEx_DOWN_CmasM
EHI_024690A	752.796318276876	114.087164240681	0.833248591703164	0.955955874025941	2.7221230867434	84	38	223	97	44	2521	118.094966257015	47.1990621738671	173.186585773069	82.963033170605	58.009316143849	2024.66172023843	95.6	UP_pEhEx_DOWN_CmasM
EHI_177520A	2150.81942255387	949.362055170258	0.953831668773345	0.955874766551331	1.17985611146812	353	1124	1227	2107	2448	1844	496.280036770552	1396.09857587965	952.914532482311	1802.09392670582	3227.42740727596	1480.95050064247	95.59	UP_pEhEx_DOWN_CmasM
EHI_148470A	836.551654298927	325.963990168168	0.836621890816068	0.955619799518528	1.35974202853577	183	246	527	564	909	1038	257.27831934564	305.551823546614	409.279509876266	482.382996991971	1198.41973578997	833.636995480956	95.56	UP_pEhEx_DOWN_CmasM
EHI_017660A	441.600329602619	94.1100043541878	0.974354013916985	0.955592582328427	2.23032124715388	20	105	157	293	452	595	28.1178491088131	130.418461269896	121.929569355927	250.599677515333	595.913884023176	477.855503189951	95.56	UP_pEhEx_DOWN_CmasM
EHI_010350A	524.121823014767	83.1767991805309	0.790833605341529	0.955589906606837	2.6556491069418	42	34	186	119	43	1685	59.0474831285076	42.2307398397759	144.451591721035	101.779391209299	56.6909225951252	1353.25466029423	95.56	UP_pEhEx_DOWN_CmasM
EHI_076020A	874.639877937843	363.14738945109	0.790682791110385	0.955575716624959	1.26813391848043	124	487	402	789	696	1273	174.330664474641	604.893244175613	312.201827268043	674.823022387705	917.601909911794	1022.36984127867	95.56	UP_pEhEx_DOWN_CmasM
EHI_131210A	922.418716978584	148.966022708609	0.838903857993727	0.955384368031249	2.6304384798257	122	51	268	142	44	3081	171.51887956376	63.3461097596638	208.134551512029	121.451038249752	58.009316143849	2474.40807618191	95.54	UP_pEhEx_DOWN_CmasM
EHI_095830A	364.16753771359	121.779569314371	0.788490860408078	0.955372789588556	1.58033020882823	42	125	192	384	304	453	59.0474831285076	155.260072940352	149.11132048623	328.430976675385	400.791638812048	363.812677218567	95.54	UP_pEhEx_DOWN_CmasM
EHI_054480A	739.732633336945	117.924412755505	0.839221301470063	0.955351219875906	2.64914150524573	72	65	217	153	43	2420	101.224256791727	80.7352379289833	168.526857007874	130.859217269099	56.6909225951252	1943.54675247005	95.54	UP_pEhEx_DOWN_CmasM
EHI_074380A	52.4052873350137	5.83893430131275	0.78752631008501	0.955286512139072	3.16593539378978	0	11	5	49	71	30	0.702946227720328	13.662886418751	3.8831073043289	41.9091610861819	93.6059419593928	24.0935547826866	95.53	UP_pEhEx_DOWN_CmasM
EHI_068170A	928.702533267329	374.029789007514	0.840459806682916	0.955221718754656	1.31206339439273	211	316	552	613	749	1561	296.643308097979	392.497464393211	428.69504639791	524.292158078153	987.476767994157	1253.66796719246	95.52	UP_pEhEx_DOWN_CmasM
EHI_030820A	2202.88115297174	995.216527673628	0.783064934135498	0.954923740063415	1.14630931291943	557	626	1801	1418	1199	4617	783.082097680446	777.542445285285	1398.69525101927	1212.799804494	1580.75386491989	3707.99808105547	95.49	UP_pEhEx_DOWN_CmasM
