pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_189150A	25532.404493694	11237.5871393783	1.04366017408183	0.949226331941001	1.18399710594812	9334	13435	1790	18486	16340	51117	14983.4186027512	17821.2117776775	1506.43488407966	15073.9322698687	20701.5503542505	36825.7196926856	94.92	UP_pEhEx_DOWN_CDC5
EHI_140120A	61795.400195726	21186.8498817528	1.56886257581512	0.949070979294281	1.54433035378736	14783	30186	1272	43799	60078	92377	23730.4346694313	40041.0196293987	1070.49450980409	35714.765740992	76114.3049071394	66550.2574104743	94.91	UP_pEhEx_DOWN_CDC5
EHI_009680A	26187.7702692225	32059.1691175649	-1.26134342920373	0.949043851420271	-0.291843807295383	21067	23106	41777	28526	21101	35713	33817.8358371717	30649.5660093052	35158.8436604446	23260.7915141336	26733.3790712998	25728.3668326561	94.9	DOWN_pEhEx_UP_CDC5
EHI_161200A	417679.641419949	140657.328238745	1.0360195960879	0.946344937416396	1.57021210629843	114632	180756	6284	190808	230823	1008932	184013.203478742	239768.586236388	5288.51218522713	155589.466003954	292435.370711086	726854.99972574	94.63	UP_pEhEx_DOWN_CDC5
EHI_049660A	189.353645101053	49.6969239188082	0.74769682366567	0.946092478022636	1.92985473226075	38	38	50	137	141	348	60.9995614853811	50.4061070005019	42.0791867061356	111.71311916975	178.636389225784	250.706231841747	94.61	UP_pEhEx_DOWN_CDC5
EHI_129910A	581.769934200974	114.516179837776	0.749219716511235	0.946067842148742	2.3448972908867	83	40	203	187	111	1818	133.235884297017	53.0590600005284	170.841498026911	152.484330545572	140.628646837319	1309.7239353112	94.61	UP_pEhEx_DOWN_CDC5
EHI_026360A	77.0906718709719	13.3141197231074	0.751992689436724	0.94589909349122	2.5335992552329	9	18	3	57	78	108	14.4472645623271	23.8765770002378	2.52475120236814	46.4791809684363	98.8201302100083	77.8053822957146	94.59	UP_pEhEx_DOWN_CDC5
EHI_023360A	1260.69884468518	535.564047222357	0.752126348337695	0.945887232713233	1.23509266638826	433	661	76	1070	1189	1760	695.073950609737	876.800966508731	63.9603637933262	872.503923442576	1506.37352332949	1267.93956333757	94.59	UP_pEhEx_DOWN_CDC5
EHI_167300A	21306.5727234577	7851.02841917261	1.17066595003192	0.945719075722842	1.44034499404466	6426	6834	5648	11682	13848	46191	10315.3468975015	9065.14040109027	4753.26493032508	9525.78582584689	17544.3738865153	33276.9297557533	94.57	UP_pEhEx_DOWN_CDC5
EHI_036900A	821.728150053329	327.534005294252	0.753744298639538	0.945710473906164	1.32701649204243	200	262	416	610	572	1557	321.050323607269	347.536843003461	350.098833395048	497.40877878502	724.680954873394	1121.69426142989	94.57	UP_pEhEx_DOWN_CDC5
EHI_130700A	39324.0479829797	25521.7551733206	0.753813515741819	0.945702177942346	0.623684290044816	17396	33124	7720	40311	38176	46020	27924.9571473602	43938.2075864375	6497.02642742734	32870.5660354147	48366.1191140676	33153.7379004517	94.57	UP_pEhEx_DOWN_CDC5
EHI_187160A	157.37771167677	30.2928684508073	0.740576233722775	0.945604018573125	2.3771811369161	19	33	23	81	83	377	30.4997807426905	43.7737245004359	19.3564258848224	66.0493624288305	105.154753941419	271.598417828559	94.56	UP_pEhEx_DOWN_CDC5
EHI_092930A	514.876409047469	145.128451750121	0.739419150855656	0.9454373471942	1.82689578857387	71	163	144	814	630	102	113.97286488058	216.215669502153	121.188057713671	663.755321198371	798.162590157759	73.4828610570638	94.54	UP_pEhEx_DOWN_CDC5
EHI_163260A	755.139316162013	342.562727828001	0.737901641660506	0.945190082133589	1.14037464370812	219	247	459	743	557	1193	351.550104349959	327.639695503263	386.286933962325	605.860201044705	705.677083679162	859.46130628507	94.52	UP_pEhEx_DOWN_CDC5
EHI_096200A	42.276612278139	6.52584197155675	0.757054923082051	0.945179232964119	2.6956238179314	3	3	14	19	30	92	4.81575485410903	3.97942950003963	11.782172277718	15.4930603228121	38.0077423884647	66.2786589926458	94.52	UP_pEhEx_DOWN_CDC5
EHI_098470A	3382.14069810319	142.948765517388	1.17001882231745	0.94512335382836	4.56436661130548	0	0	552	486	7755	0	0.802625809018172	0.663238250006605	464.554221235737	396.296174572983	9825.00140741813	0.360210103220901	94.51	UP_pEhEx_DOWN_CDC5
EHI_111050A	2068.16661989393	910.406216409754	0.757483904467548	0.945093909801839	1.18377010594101	623	1155	314	2574	2529	1131	1000.07175803664	1532.08035751526	264.257292514532	2098.90196162728	3204.05268334758	814.795253485678	94.51	UP_pEhEx_DOWN_CDC5
EHI_095830A	353.49660711508	52.855033391173	1.16981540468535	0.944936682463557	2.74158359672956	31	61	39	384	304	453	49.7628001591267	80.9150665008058	32.8217656307858	313.122903366308	385.145122869776	326.350353518136	94.49	UP_pEhEx_DOWN_CDC5
EHI_110120A	3135.87006158687	2016.75761516885	0.736351577335107	0.944902298194316	0.636828077467772	1475	1721	1875	2761	2739	4619	2367.74613660361	2282.86605652273	1577.96950148009	2251.38629217285	3470.10688006683	3327.62093355468	94.49	UP_pEhEx_DOWN_CDC5
