baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1.1	U2AF84_2.1	U2AF84_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_000410A	43.2653707413993	0.775945539943097	0.969604597023702	0.800270071248568	0.423554339352499	0.999772996314194	15	15	57	38	21	91	15.157616233451	15.5246423191258	134.383222572475	22.5683661022138	19.7974237848335	52.1609534362968	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000430A	18.4970369543467	0.761118913888081	0.599897013826971	1.26874929587099	0.204530494457691	0.999772996314194	18	23	12	35	12	15	18.1891394801413	23.804451555993	28.2912047520999	20.7866529888811	11.3128135913334	8.59795935763134	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000440A	235.753050080113	-0.320192109648612	0.490493132343906	-0.652796315655877	0.513887599175494	0.999772996314194	283	216	50	545	235	422	285.973692937776	223.554849395412	117.880019800416	323.677882255435	221.542599496946	241.889256594695	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000480A	15.527319777009	0.0224511281265576	0.65031305893129	0.0345235695611792	0.97245964775671	0.999772996314194	21	17	3	34	19	16	21.2206627268315	17.5945946283426	7.07280118802498	20.1927486177702	17.9119548529446	9.17115664814009	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000510A	7251.60720080426	-0.210095081920718	0.733178725938448	-0.286553707149375	0.77445406477782	0.999772996314194	9106	9374	538	12568	10304	10746	9201.68356145368	9701.86647329905	1268.38901305248	7464.19013612166	9713.93593709163	6159.57808380709	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000520A	12.3218515500725	-0.195820846139049	0.578268757359364	-0.338632934335335	0.734886268952538	0.999772996314194	14	10	4	23	17	18	14.1471084845543	10.3497615460839	9.4304015840333	13.6598005355505	16.0264859210557	10.3175512291576	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000540A	34.7920694697551	0.165870636546747	0.839592659239772	0.197560846585936	0.843388670848631	0.999772996314194	33	14	27	44	11	106	33.3467557135923	14.4896661645175	63.6552106922248	26.1317923288791	10.370079125389	60.7589127939281	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000550A	195.190122475237	0.22838292785602	0.746908131924377	0.305771109048714	0.759778927198296	0.999772996314194	278	290	21	388	225	171	280.921154193293	300.143084836433	49.5096083161748	230.434895991025	212.115254837502	98.0167366769973	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000560A	31.7759498970305	0.388442894407181	0.78034573968436	0.497783065445197	0.618636953234022	0.999772996314194	23	52	13	63	41	12	23.2416782246249	53.8187600396363	30.6488051481082	37.415975379986	38.6521131037225	6.87836748610507	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000570A	57.8017353934822	-0.231834153395761	0.603483369607265	-0.384159970384327	0.700859885190284	0.999772996314194	56	43	25	67	41	189	56.5884339382172	44.5039746481608	58.9400099002081	39.7915928644296	38.6521131037225	108.334287906155	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000580A	121.563932960421	0.142241807710509	0.376979012315948	0.377320230207659	0.705935639842072	0.999772996314194	130	131	49	187	100	247	131.366007356576	135.581876253699	115.522419404408	111.060117397736	94.2734465944451	141.579730755663	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000590A	7464.18498526417	-0.0477576281227118	0.840842241619803	-0.0567973702542717	0.954706608791435	0.999772996314194	10622	10122	344	13989	9838	9040	10733.6133087811	10476.0286369461	811.014536226864	8308.12824747023	9274.62167596151	5181.70350619915	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000610A	3427.18202128329	1.15858992194473	0.952967771988119	1.21577030829451	0.224072432467129	0.999772996314194	1120	1253	4994	1952	2279	5326	1131.76867876434	1296.82512172431	11773.8563776656	1159.30133240846	2148.4918478874	3052.84876924963	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000620A	39.3645148619277	0.752968911720409	1.20837614133809	0.623124609930327	0.533202638657389	0.999772996314194	3	9	58	25	28	80	3.03152324669021	9.31478539147551	136.740822968483	14.8476092777722	26.3965650464446	45.8557832407005	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000650A	48.5327443857084	-0.060594972094333	0.625909082108578	-0.0968111405097352	0.922876376647685	0.999772996314194	69	53	7	103	53	68	69.7250346738748	54.8537361942447	16.5032027720583	61.1721502244216	49.9649266950559	38.9774157545954	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000660A	14.6919638124135	0.099899641956121	0.619288121378716	0.16131367372866	0.871846354223041	0.999772996314194	20	15	4	33	9	26	20.2101549779347	15.5246423191258	9.4304015840333	19.5988442466593	8.48461019350006	14.9031295532277	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000670A	30.5277936043978	-0.122989710878909	1.20069457171951	-0.102432137011144	0.918413676174371	0.999772996314194	16	4	29	11	10	137	16.1681239823478	4.13990461843356	68.3704114842415	6.53294808221978	9.42734465944451	78.5280287996996	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000690A	68.6579623971044	-4.15724807668385	3.66162029651455	-1.13535750297241	0.256225557941026	0.999772996314194	0	21	0	184	298	0	0	21.7344992467762	0	109.278404284404	280.934870851446	0	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000700A	42.65300826419	0.242168813979326	0.872441225545898	0.277576078351637	0.781337797476131	0.999772996314194	67	63	2	79	52	39	67.7040191760813	65.2034977403286	4.71520079201665	46.9184453177603	49.0221922291115	22.3546943298415	0.02	DOWN_pEhEx_UP_U2AF84
EHI_000710A	18.7110407117307	-0.135142072824932	0.858293760771534	-0.157454334403468	0.874886794770029	0.999772996314194	27	22	1	46	26	14	27.2837092202119	22.7694754013846	2.35760039600833	27.3196010711009	24.5110961145557	8.02476206712258	0.02	UP_pEhEx_DOWN_U2AF84
EHI_000720A	124.564418177885	0.156374769713761	0.350818267787846	0.445742950330988	0.655782935679856	0.999772996314194	125	140	52	218	107	215	126.313468612092	144.896661645175	122.595220592433	129.471152902174	100.872587856056	123.237417459383	0.02	DOWN_pEhEx_UP_U2AF84
