baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,UmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,UmasM_1.1,UmasM_2.1,UmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_001140A,30.7699058,0.366333466,1.128839058,0.324522316,0.74554263,0.999887746,24,101,4,57,30,5,28.7976508,68.44875766,6.24433985,42.28020802,35.25766525,3.590813251,0.01,DOWN_pEhEx_UP_UmasM
EHI_001150A,60.84332201,0.2603074,0.883604974,0.294597028,0.768301733,0.999887746,88,112,11,115,47,36,105.5913863,75.90357285,17.17193459,85.30217407,55.23700889,25.8538554,0.01,DOWN_pEhEx_UP_UmasM
EHI_001400A,1900.102103,-0.11327587,0.558404165,-0.202856421,0.839247257,0.999887746,1824,1761,1342,2391,1910,2653,2188.62146,1193.448141,2094.97602,1773.543463,2244.738021,1905.285511,0.01,UP_pEhEx_DOWN_UmasM
EHI_001410A,20.50266993,0.027483762,0.677329306,0.040576661,0.967633391,0.999887746,22,34,8,35,14,26,26.39784656,23.04215604,12.4886797,25.96153124,16.45357712,18.6722289,0.01,DOWN_pEhEx_UP_UmasM
EHI_001420A,7228.713479,-0.479328426,0.788614873,-0.607810533,0.543313143,0.999887746,6940,10714,1619,12112,10697,5153,8327.320689,7260.989995,2527.396554,8984.173325,12571.70817,3700.692136,0.01,UP_pEhEx_DOWN_UmasM
EHI_001430A,9.903074588,0.03752773,0.982000556,0.03821559,0.969515791,0.999887746,10,19,3,12,16,3,11.99902117,12.87649897,4.683254888,8.901096425,18.80408813,2.15448795,0.01,DOWN_pEhEx_UP_UmasM
EHI_001635A,177.5043761,-0.839257633,1.523601864,-0.550837888,0.581744809,0.999887746,148,301,0,548,210,42,177.5855132,203.990852,0,406.4834034,246.8036567,30.16283131,0.01,UP_pEhEx_DOWN_UmasM
EHI_001780A,9508.381587,-0.108839908,0.998315164,-0.109023595,0.913183776,0.999887746,6054,5385,10593,6330,2494,30597,7264.207413,3649.470891,16536.57301,4695.328364,2931.087238,21973.62261,0.01,UP_pEhEx_DOWN_UmasM
EHI_001790A,12.543389,0.851404023,1.050424865,0.810533006,0.417633903,0.999887746,6,11,22,9,2,24,7.199412699,7.45481519,34.34386918,6.675822319,2.350511017,17.2359036,0.01,DOWN_pEhEx_UP_UmasM
EHI_001800A,19.43468745,0.629911438,1.27348685,0.494635212,0.620857642,0.999887746,15,5,32,12,1,49,17.99853175,3.388552359,49.9547188,8.901096425,1.175255508,35.18996986,0.01,DOWN_pEhEx_UP_UmasM
EHI_001810A,467.0077497,-0.126886973,0.709792991,-0.178766168,0.858121312,0.999887746,485,829,125,847,447,431,581.9525265,561.8219812,195.1356203,628.269056,525.3392122,309.5281022,0.01,UP_pEhEx_DOWN_UmasM
EHI_001820A,25.96579383,0.06366577,0.814837373,0.0781331,0.937722178,0.999887746,7,32,32,34,21,36,8.399314816,21.6867351,49.9547188,25.2197732,24.68036567,25.8538554,0.01,DOWN_pEhEx_UP_UmasM
EHI_001830A,52.02267849,-0.292885128,0.679688106,-0.430911069,0.666533035,0.999887746,32,108,18,70,39,104,38.39686773,73.19273096,28.09952933,51.92306248,45.83496482,74.68891561,0.01,UP_pEhEx_DOWN_UmasM
EHI_001840A,224.0548451,0.500231821,0.926617555,0.539847123,0.589302466,0.999887746,121,108,365,167,124,399,145.1881561,73.19273096,569.7960113,123.8735919,145.731683,286.5468974,0.01,DOWN_pEhEx_UP_UmasM
EHI_001850A,243.432926,0.044992295,0.762173102,0.059031596,0.952926942,0.999887746,120,261,270,235,131,543,143.988254,176.8824332,421.4929399,174.3131383,153.9584716,389.962319,0.01,DOWN_pEhEx_UP_UmasM
EHI_001860A,17.10568118,0.990143637,1.351080238,0.732853319,0.463647897,0.999887746,15,8,29,8,0,39,17.99853175,5.421683775,45.27146391,5.934064283,0,28.00834336,0.01,DOWN_pEhEx_UP_UmasM
EHI_001870A,9.770429105,-0.291056416,0.869137799,-0.334879482,0.737716,0.999887746,7,11,7,13,3,26,8.399314816,7.45481519,10.92759474,9.642854461,3.525766525,18.6722289,0.01,UP_pEhEx_DOWN_UmasM
EHI_001910A,29.00590542,0.382650667,0.853114567,0.448533739,0.653768042,0.999887746,17,40,33,22,9,67,20.39833598,27.10841887,51.51580376,16.31867678,10.57729957,48.11689756,0.01,DOWN_pEhEx_UP_UmasM
EHI_001920A,9.877459701,0.329534205,0.864338435,0.381255989,0.703013308,0.999887746,8,10,11,8,4,21,9.599216932,6.777104719,17.17193459,5.934064283,4.701022033,15.08141565,0.01,DOWN_pEhEx_UP_UmasM
EHI_001940A,2201.095589,0.786736585,1.071485267,0.734248626,0.462797223,0.999887746,279,1984,4280,1316,1251,3341,334.7726905,1344.577576,6681.44364,976.1535746,1470.244641,2399.381414,0.01,DOWN_pEhEx_UP_UmasM
EHI_001950A,172.1912139,-0.420285658,1.155716301,-0.363658155,0.716113294,0.999887746,156,352,10,338,267,38,187.1847302,238.5540861,15.61084963,250.714216,313.7932207,27.29018071,0.01,UP_pEhEx_DOWN_UmasM
EHI_001990A,38.10460712,-0.518934982,0.900672632,-0.576163817,0.564504459,0.999887746,32,32,22,54,8,118,38.39686773,21.6867351,34.34386918,40.05493391,9.402044067,84.74319272,0.01,UP_pEhEx_DOWN_UmasM
EHI_002110A,113.7357662,0.25043978,0.755885279,0.331319828,0.740402916,0.999887746,135,172,59,227,89,54,161.9867857,116.5662012,92.10401279,168.379074,104.5977402,38.78078311,0.01,DOWN_pEhEx_UP_UmasM
EHI_002130A,115.0714328,-0.368248458,0.776719358,-0.474107481,0.635423264,0.999887746,107,206,21,227,118,115,128.3895265,139.6083572,32.78278421,168.379074,138.68015,82.58870477,0.01,UP_pEhEx_DOWN_UmasM
EHI_002140A,453.3274244,0.54938766,0.795198718,0.690880967,0.489640348,0.999887746,355,324,622,359,232,786,425.9652514,219.5781929,970.9948467,266.2911347,272.6592779,564.475843,0.01,DOWN_pEhEx_UP_UmasM
