baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CDC5_1,CDC5_2,CDC5_3,pEhEx_1,pEhEx_2,pEhEx_3,CDC5_1.1,CDC5_2.1,CDC5_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_181540A,105.9363965,0.498251209,0.569806197,0.874422237,0.381888352,0.913236511,99,131,111,133,56,149,140.9194116,153.4482943,78.43964772,95.76544853,62.59651832,104.4490584,8.68,DOWN_pEhEx_UP_CDC5
EHI_181710A,106.428179,-0.662995689,0.781206973,-0.848681222,0.396058698,0.913236511,63,44,150,74,61,385,89.6759892,51.5398851,105.9995239,53.28303151,68.18549317,269.8851509,8.68,UP_pEhEx_DOWN_CDC5
EHI_182820A,143.1665068,0.465884579,0.534553304,0.871539986,0.383459383,0.913236511,96,116,319,146,96,212,136.6491264,135.8778789,225.4256542,105.1259811,107.3083171,148.6120831,8.68,DOWN_pEhEx_UP_CDC5
EHI_184470A,37135.20708,0.609281052,0.719211506,0.847151425,0.396910724,0.913236511,13837,20436,128706,37211,28876,41590,19695.97877,23937.93391,90951.83152,26793.4444,32277.44755,29154.60631,8.68,DOWN_pEhEx_UP_CDC5
EHI_185410A,612.6676325,0.623572766,0.770969822,0.80881605,0.418620963,0.913236511,650,869,405,991,516,223,925.22846,1017.912731,286.1987146,713.5605977,576.7822045,156.3230874,8.68,DOWN_pEhEx_UP_CDC5
EHI_187190A,54.60047715,0.745722619,0.900233944,0.828365364,0.407463616,0.913236511,31,52,141,63,65,7,44.1262804,60.9107733,99.6395525,45.36258088,72.65667305,4.907002744,8.68,DOWN_pEhEx_UP_CDC5
EHI_188840A,46.27649234,0.483491699,0.576118971,0.839221971,0.40134476,0.913236511,31,43,95,70,33,41,44.1262804,50.36852408,67.13303183,50.40286765,36.88723401,28.74101607,8.68,DOWN_pEhEx_UP_CDC5
EHI_189460A,232.5664012,0.595444472,0.73218027,0.813248453,0.416075625,0.913236511,123,128,728,219,91,423,175.0816932,149.9342112,514.4510229,157.6889716,101.7193423,296.5231658,8.68,DOWN_pEhEx_UP_CDC5
EHI_191780A,55.55906238,-0.452499399,0.55528356,-0.814897886,0.415130764,0.913236511,29,42,71,66,54,121,41.2794236,49.19716305,50.173108,47.52270378,60.36092838,84.82104744,8.68,UP_pEhEx_DOWN_CDC5
EHI_194330A,702.6588101,-0.627407289,0.742062547,-0.845491114,0.397836692,0.913236511,547,635,191,868,759,1548,778.6153348,743.8142509,134.9727272,624.9955588,848.4063822,1085.148607,8.68,UP_pEhEx_DOWN_CDC5
EHI_196590A,855.5258203,0.378079313,0.474133792,0.797410602,0.425212604,0.913236511,746,733,1388,1155,517,1173,1061.877586,858.6076314,980.8489282,831.6473162,577.8999995,822.2734599,8.68,DOWN_pEhEx_UP_CDC5
EHI_197860A,42.05214189,0.601610088,0.736733209,0.816591516,0.414161905,0.913236511,38,54,49,58,43,15,54.0902792,63.25349535,34.62651115,41.76237605,48.06518371,10.51500588,8.68,DOWN_pEhEx_UP_CDC5
EHI_198620A,56.4658182,-0.75259382,0.856792684,-0.878384975,0.379734835,0.913236511,31,60,17,107,101,32,44.1262804,70.2816615,12.01327938,77.0443834,112.897292,22.43201255,8.68,UP_pEhEx_DOWN_CDC5
EHI_200980A,130.20672,-0.569574622,0.710023434,-0.802191301,0.422442308,0.913236511,54,76,210,123,77,417,76.8651336,89.0234379,148.3993335,88.56503887,86.07021269,292.3171635,8.68,UP_pEhEx_DOWN_CDC5
EHI_201080A,54.57190558,-0.574858659,0.663008265,-0.867045992,0.385916811,0.913236511,32,55,31,108,69,58,45.5497088,64.42485638,21.90656828,77.76442437,77.12785293,40.65802274,8.68,UP_pEhEx_DOWN_CDC5
EHI_201830A,83.94524239,-0.545911802,0.635437881,-0.859111202,0.390279168,0.913236511,53,79,53,124,59,204,75.4417052,92.53752098,37.45316513,89.28507983,65.94990323,143.00408,8.68,UP_pEhEx_DOWN_CDC5
EHI_040300A,151.718793,0.568935985,0.718343587,0.792010948,0.428354292,0.913378024,147,214,119,257,117,72,209.2439748,250.6712594,84.09295566,185.0505284,130.7820115,50.47202823,8.66,DOWN_pEhEx_UP_CDC5
EHI_092530A,88.50912269,-0.643051056,0.811803166,-0.792126815,0.428286736,0.913378024,45,110,21,197,99,101,64.054278,128.8497128,14.83993335,141.8480704,110.661702,70.8010396,8.66,UP_pEhEx_DOWN_CDC5
EHI_132040A,356.0076702,0.441377148,0.556884482,0.792582955,0.428020843,0.913378024,354,334,475,387,173,618,503.8936536,391.2345824,335.6651591,278.655854,193.3785298,433.2182423,8.66,DOWN_pEhEx_UP_CDC5
EHI_182780A,65.30514257,0.639639709,0.806392214,0.793211663,0.427654513,0.913378024,54,65,121,118,53,13,76.8651336,76.13846663,85.50628265,84.96483403,59.24313341,9.113005097,8.66,DOWN_pEhEx_UP_CDC5
EHI_006190A,126.7776297,-0.514926028,0.652178832,-0.789547288,0.429792203,0.913984036,76,123,87,142,92,345,108.1805584,144.0774061,61.47972389,102.2458172,102.8371372,241.8451353,8.6,UP_pEhEx_DOWN_CDC5
EHI_011920A,105.6603095,-0.782304229,0.990336048,-0.789938153,0.429563888,0.913984036,38,147,10,253,144,82,54.0902792,172.1900707,7.066634929,182.1703645,160.9624757,57.48203215,8.6,UP_pEhEx_DOWN_CDC5
EHI_130700A,28829.35257,-0.590984503,0.748803695,-0.78923823,0.429972782,0.913984036,17396,33124,7720,40311,38176,46020,24761.96045,38800.16259,5455.442165,29025.5714,42672.94078,32260.03804,8.6,UP_pEhEx_DOWN_CDC5
EHI_183000A,92.86691205,0.611835773,0.773560026,0.790935095,0.428981868,0.913984036,113,120,51,172,35,81,160.8474092,140.563323,36.03983814,123.8470462,39.12282395,56.78103176,8.6,DOWN_pEhEx_UP_CDC5
EHI_099700A,545.0687884,-0.757746912,0.96090443,-0.78857677,0.430359412,0.914096736,197,741,95,1052,997,261,280.4153948,867.9785196,67.13303183,757.4830966,1114.441585,182.9611023,8.59,UP_pEhEx_DOWN_CDC5
EHI_148280A,941.314779,-0.376006795,0.478408332,-0.785953692,0.431894617,0.915336303,584,640,1241,1140,953,1860,831.2821856,749.671056,876.9693947,820.8467017,1065.258606,1303.860729,8.47,UP_pEhEx_DOWN_CDC5
EHI_152450A,193.8671998,-0.656844778,0.836391233,-0.785331973,0.432258954,0.915336303,66,92,353,147,82,734,93.9462744,107.7652143,249.452213,105.8460221,91.65918754,514.5342878,8.47,UP_pEhEx_DOWN_CDC5
EHI_176830A,90.58706331,-0.608601891,0.774995493,-0.785297329,0.432279262,0.915336303,56,66,83,77,38,328,79.7119904,77.30982765,58.65306991,55.44315441,42.47620886,229.9281286,8.47,UP_pEhEx_DOWN_CDC5
EHI_184480A,18772.85593,-0.607892264,0.773375402,-0.786024823,0.431852945,0.915336303,14355,17991,4414,22610,18809,43803,20433.31468,21073.9562,3119.212658,16280.12625,21024.60559,30705.92017,8.47,UP_pEhEx_DOWN_CDC5
EHI_013050A,112.1301234,-0.57581652,0.73727118,-0.781010482,0.43479633,0.915354242,80,114,33,215,129,147,113.874272,133.5351569,23.31989527,154.8088078,144.1955511,103.0470576,8.46,UP_pEhEx_DOWN_CDC5
EHI_017000A,341.8937091,-0.521918252,0.66520415,-0.784598612,0.432688944,0.915354242,221,330,200,674,473,278,314.5776764,386.5491383,141.3326986,485.3076113,528.7170208,194.878109,8.46,UP_pEhEx_DOWN_CDC5
EHI_068660A,3434.209989,-0.655846851,0.838570666,-0.782100875,0.434155293,0.915354242,1907,4189,537,5878,4304,5080,2714.477959,4906.831334,379.4782957,4232.4008,4810.989551,3561.081992,8.46,UP_pEhEx_DOWN_CDC5
EHI_087540A,166.7780742,-0.551664271,0.70814325,-0.779029202,0.435962513,0.915354242,118,171,54,249,195,281,167.9645512,200.3027353,38.15982862,179.2902006,217.9700192,196.9811102,8.46,UP_pEhEx_DOWN_CDC5
EHI_097180A,96.89817083,-0.420631021,0.537941853,-0.781926556,0.434257737,0.915354242,74,71,86,141,84,195,105.3337016,83.16663278,60.77306039,101.5257763,93.89477748,136.6950764,8.46,UP_pEhEx_DOWN_CDC5
EHI_140350A,1370.070335,-0.539417207,0.691468319,-0.780104009,0.435329657,0.915354242,943,1434,466,2238,1339,2512,1342.292981,1679.73171,329.3051877,1611.451683,1496.727465,1760.912985,8.46,UP_pEhEx_DOWN_CDC5
EHI_155450A,737.7043673,-0.583624101,0.747886886,-0.780364133,0.435176573,0.915354242,448,818,249,1323,1096,680,637.6959232,958.1733185,175.9592097,952.6141985,1225.103287,476.6802666,8.46,UP_pEhEx_DOWN_CDC5
EHI_155550A,704.2099365,-0.715888964,0.918807327,-0.779150256,0.435891209,0.915354242,293,265,1233,342,248,3000,417.0645212,310.4106716,871.3160868,246.2540105,277.2131526,2103.001176,8.46,UP_pEhEx_DOWN_CDC5
EHI_174910A,948.1605899,-0.602082815,0.772260258,-0.779637186,0.435604462,0.915354242,262,271,2219,940,1181,2045,372.9382408,317.4388378,1568.086291,676.8385084,1320.11586,1433.545802,8.46,UP_pEhEx_DOWN_CDC5
EHI_192780A,342.7520412,0.375481028,0.48139359,0.779987593,0.435398178,0.915354242,276,324,550,439,317,321,392.8662384,379.5209721,388.6649211,316.0979842,354.3410055,225.0211258,8.46,DOWN_pEhEx_UP_CDC5
EHI_200690A,39.61613384,-0.531880613,0.67848458,-0.783924393,0.433084476,0.915354242,30,35,20,49,39,87,42.702852,40.99763588,14.13326986,35.28200735,43.59400383,60.98703411,8.46,UP_pEhEx_DOWN_CDC5
EHI_001400A,1528.690409,-0.726379213,0.934432562,-0.777347925,0.436953527,0.915457753,965,1710,112,2391,1910,2653,1373.608406,2003.027353,79.14631121,1721.617951,2134.988393,1859.75404,8.45,UP_pEhEx_DOWN_CDC5
EHI_052090A,148.5993753,0.441205399,0.567652805,0.777245167,0.437014139,0.915457753,96,113,345,201,131,125,136.6491264,132.3637958,243.7989051,144.7282342,146.4311411,87.62504901,8.45,DOWN_pEhEx_UP_CDC5
EHI_113690A,148.5993753,0.441205399,0.567652805,0.777245167,0.437014139,0.915457753,96,113,345,201,131,125,136.6491264,132.3637958,243.7989051,144.7282342,146.4311411,87.62504901,8.45,DOWN_pEhEx_UP_CDC5
EHI_140140A,427.6331646,-0.60995114,0.785749699,-0.776266464,0.43759167,0.915967285,305,439,96,855,532,484,434.145662,514.22749,67.83969532,615.6350263,594.666924,339.2841897,8.4,UP_pEhEx_DOWN_CDC5
EHI_008730A,293.58211,-0.643479913,0.831246884,-0.774114075,0.438863335,0.917927891,156,367,51,580,324,419,222.0548304,429.8894962,36.03983814,417.6237605,362.1655703,293.7191643,8.21,UP_pEhEx_DOWN_CDC5
EHI_004970A,486.8826211,0.404900531,0.529207335,0.765107557,0.4442075,0.919306539,447,370,842,638,246,745,636.2724948,433.4035793,595.0106611,459.3861366,274.9775626,522.2452921,8.07,DOWN_pEhEx_UP_CDC5
EHI_058460A,108.4728417,0.527757918,0.691700864,0.762985772,0.445471881,0.919306539,110,147,79,172,86,66,156.577124,172.1900707,55.82641594,123.8470462,96.13036742,46.26602587,8.07,DOWN_pEhEx_UP_CDC5
EHI_065330A,868.2847628,-0.540490545,0.70685084,-0.764645827,0.444482473,0.919306539,461,862,646,1178,1635,587,656.2004924,1009.713204,456.5046164,848.2082584,1827.594776,411.4872301,8.07,UP_pEhEx_DOWN_CDC5
EHI_065740A,49625.95462,-0.484408,0.628857718,-0.77029825,0.441122994,0.919306539,38636,41313,29333,53968,43867,122319,54995.57966,48392.43803,20728.56024,38859.17087,49034.31195,85745.66695,8.07,UP_pEhEx_DOWN_CDC5
EHI_096570A,22452.67224,-0.420823388,0.551016803,-0.763721516,0.445033216,0.919306539,12342,14725,32245,20093,29756,41918,17567.95331,17248.29109,22786.36433,14467.78314,33261.10713,29384.53443,8.07,UP_pEhEx_DOWN_CDC5
EHI_114120A,180.6572591,-0.621226055,0.811389386,-0.765632465,0.443895022,0.919306539,104,178,100,405,284,68,148.0365536,208.5022625,70.66634929,291.6165914,317.4537715,47.66802666,8.07,UP_pEhEx_DOWN_CDC5
EHI_115820A,153.0952738,0.526907013,0.686822856,0.76716581,0.442982938,0.919306539,179,186,99,227,123,107,254.7936836,217.8731507,69.9596858,163.4492994,137.4887813,75.00704195,8.07,DOWN_pEhEx_UP_CDC5
EHI_127400A,38.42800001,-0.502906769,0.659205477,-0.762898348,0.445524022,0.919306539,16,44,30,77,43,45,22.7748544,51.5398851,21.19990479,55.44315441,48.06518371,31.54501764,8.07,UP_pEhEx_DOWN_CDC5
EHI_131470A,3902.883941,-0.540325408,0.704750949,-0.766689862,0.443265933,0.919306539,1205,1281,8950,5832,4039,7365,1715.231222,1500.513473,6324.638262,4199.278916,4514.773884,5162.867887,8.07,UP_pEhEx_DOWN_CDC5
EHI_134490A,495.7714933,-0.518557251,0.678503287,-0.76426638,0.444708516,0.919306539,157,214,1058,789,693,585,223.4782588,250.6712594,747.6499755,568.1123225,774.6319142,410.0852293,8.07,UP_pEhEx_DOWN_CDC5
EHI_138080A,1093.731954,0.420423632,0.551149083,0.762812903,0.445574985,0.919306539,798,747,2469,1008,751,1771,1135.895863,875.0066857,1744.752164,725.8012941,839.4640225,1241.471694,8.07,DOWN_pEhEx_UP_CDC5
EHI_158100A,178.8791641,0.479793357,0.624514155,0.768266584,0.442328823,0.919306539,107,99,504,186,140,226,152.3068388,115.9647415,356.1584004,133.9276197,156.4912958,158.4260886,8.07,DOWN_pEhEx_UP_CDC5
EHI_160670A,356.8960318,-0.578289076,0.750392435,-0.770648862,0.440915091,0.919306539,196,343,252,527,690,188,278.9919664,401.7768316,178.0792002,379.4615893,771.2785293,131.7880737,8.07,UP_pEhEx_DOWN_CDC5
EHI_164880A,87.25225807,-0.508005621,0.662170548,-0.767182447,0.442973048,0.919306539,33,50,156,142,49,215,46.9731372,58.56805125,110.2395049,102.2458172,54.77195353,150.7150843,8.07,UP_pEhEx_DOWN_CDC5
EHI_165770A,94.9573704,-0.546907147,0.710216099,-0.770057378,0.441265857,0.919306539,29,35,210,132,91,203,41.2794236,40.99763588,148.3993335,95.04540756,101.7193423,142.3030796,8.07,UP_pEhEx_DOWN_CDC5
EHI_166360A,49.33448707,-0.55985937,0.734460671,-0.762272769,0.445897223,0.919306539,33,31,52,57,21,159,46.9731372,36.31219178,36.74650163,41.04233508,23.47369437,111.4590623,8.07,UP_pEhEx_DOWN_CDC5
EHI_169070A,53.98019508,0.543229493,0.708847109,0.766356364,0.44346429,0.919306539,60,74,29,70,36,58,85.405704,86.68071585,20.4932413,50.40286765,40.24061892,40.65802274,8.07,DOWN_pEhEx_UP_CDC5
EHI_188940A,13425.73624,0.478913744,0.625889497,0.765173,0.444168535,0.919306539,6427,8906,38661,16353,11391,13047,9148.374327,10432.14129,27320.3173,11774.82992,12732.8025,9145.952115,8.07,DOWN_pEhEx_UP_CDC5
EHI_198950A,147.9452855,-0.628191774,0.82211779,-0.764114074,0.444799266,0.919306539,98,164,25,225,158,285,139.4959832,192.1032081,17.66658732,162.0092174,176.6116053,199.7851117,8.07,UP_pEhEx_DOWN_CDC5
EHI_107050A,4680.614281,0.505776348,0.664955492,0.760616845,0.446885955,0.920652269,2667,2591,13651,4247,2613,8027,3796.283543,3034.996416,9646.663342,3058.013984,2920.798257,5626.930147,7.93,DOWN_pEhEx_UP_CDC5
EHI_110810A,174.3214486,-0.683979123,0.900558527,-0.759505465,0.447550246,0.92132808,91,219,22,328,251,182,129.5319844,256.5280645,15.54659684,236.173437,280.5665375,127.5820714,7.87,UP_pEhEx_DOWN_CDC5
EHI_000260A,56.8877372,-0.837342638,1.107784501,-0.755871414,0.449726294,0.922282994,9,92,3,147,57,70,12.8108556,107.7652143,2.119990479,105.8460221,63.71431329,49.07002744,7.77,UP_pEhEx_DOWN_CDC5
EHI_054530A,243.3736153,-0.355943732,0.470998792,-0.755721115,0.449816422,0.922282994,148,195,285,312,269,420,210.6674032,228.4153999,201.3990955,224.6527815,300.6868469,294.4201647,7.77,UP_pEhEx_DOWN_CDC5
EHI_064700A,58.27043723,-0.553698453,0.73315214,-0.755229949,0.450111022,0.922282994,33,68,22,127,58,73,46.9731372,79.6525497,15.54659684,91.44520273,64.83210826,51.17302862,7.77,UP_pEhEx_DOWN_CDC5
EHI_069110A,33267.75518,0.327699958,0.432787841,0.757183836,0.448939733,0.922282994,26835,31391,51116,41631,25831,42321,38197.70111,36770.19394,36121.81111,29976.02547,28873.76187,29667.03759,7.77,DOWN_pEhEx_UP_CDC5
EHI_087720A,8190.270346,0.330426925,0.437606515,0.755077709,0.450202357,0.922282994,6908,7584,12249,10484,6170,10447,9833.043387,8883.602014,8655.921125,7548.909492,6896.794965,7323.351096,7.77,DOWN_pEhEx_UP_CDC5
EHI_095950A,74.3729172,0.546999377,0.721940867,0.75767892,0.448643221,0.922282994,69,84,97,153,44,31,98.2165596,98.39432611,68.54635882,110.1662679,49.18297868,21.73101215,7.77,DOWN_pEhEx_UP_CDC5
EHI_153750A,55.73218454,-0.567253849,0.751530863,-0.754797809,0.450370309,0.922282994,20,19,118,58,49,148,28.468568,22.25585948,83.38629217,41.76237605,54.77195353,103.748058,7.77,UP_pEhEx_DOWN_CDC5
EHI_175040A,182.1499628,0.763826719,1.01357789,0.753594496,0.451092751,0.923072544,139,196,368,224,214,7,197.8565476,229.5867609,260.0521654,161.2891765,239.2081236,4.907002744,7.69,DOWN_pEhEx_UP_CDC5
EHI_023240A,46.25605492,0.588897566,0.784331932,0.750826968,0.452756797,0.923606961,44,68,35,89,29,20,62.6308496,79.6525497,24.73322225,64.08364601,32.41605413,14.02000784,7.64,DOWN_pEhEx_UP_CDC5
EHI_027640A,644.7989754,-0.452159543,0.606475576,-0.745552766,0.455937625,0.923606961,348,340,1047,692,491,1695,495.3530832,398.2627485,739.8766771,498.2683487,548.8373303,1188.195665,7.64,UP_pEhEx_DOWN_CDC5
EHI_040370A,74.13957698,0.714391456,0.956000209,0.747271234,0.454899853,0.923606961,51,28,242,28,16,186,72.5948484,32.7981087,171.0125653,20.16114706,17.88471952,130.3860729,7.64,DOWN_pEhEx_UP_CDC5
EHI_044790A,40.16625614,-0.511931921,0.685897184,-0.746368308,0.455444958,0.923606961,28,36,25,83,51,35,39.8559952,42.1689969,17.66658732,59.76340021,57.00754347,24.53501372,7.64,UP_pEhEx_DOWN_CDC5
EHI_049920A,1061.139969,-0.46778099,0.628558479,-0.744212361,0.456748011,0.923606961,831,955,525,1329,1110,2135,1182.869,1118.649779,370.9983338,956.9344443,1240.752417,1496.635837,7.64,UP_pEhEx_DOWN_CDC5
EHI_049950A,214.2043272,0.784727891,1.052948341,0.745267227,0.456110189,0.923606961,184,365,175,311,217,8,261.9108256,427.5467741,123.6661113,223.9327405,242.5615085,5.608003136,7.64,DOWN_pEhEx_UP_CDC5
EHI_051760A,51.78171395,-0.590719863,0.794345069,-0.743656486,0.457084321,0.923606961,35,46,29,113,79,24,49.819994,53.88260715,20.4932413,81.3646292,88.30580263,16.82400941,7.64,UP_pEhEx_DOWN_CDC5
EHI_069200A,43.10735272,-0.993662121,1.330277514,-0.746958519,0.455088601,0.923606961,6,12,90,15,1,229,8.5405704,14.0563323,63.59971436,10.8006145,1.11779497,160.5290898,7.64,UP_pEhEx_DOWN_CDC5
EHI_095810A,323.8580182,-0.366485935,0.48781811,-0.751275787,0.452486698,0.923606961,202,227,418,391,317,654,287.5325368,265.8989527,295.38534,281.5360179,354.3410055,458.4542564,7.64,UP_pEhEx_DOWN_CDC5
EHI_098730A,52.77220618,0.408143778,0.543966339,0.750310726,0.453067584,0.923606961,48,52,73,79,38,52,68.3245632,60.9107733,51.58643498,56.88323635,42.47620886,36.45202039,7.64,DOWN_pEhEx_UP_CDC5
EHI_117820A,571.0460931,-0.383006525,0.514168744,-0.744904333,0.456329556,0.923606961,389,459,560,749,782,750,553.7136476,537.6547105,395.731556,539.3106838,874.1156666,525.750294,7.64,UP_pEhEx_DOWN_CDC5
EHI_118840A,1934.823141,-0.437519261,0.58722558,-0.745061652,0.45623445,0.923606961,1390,1761,1260,2417,1693,4343,1978.565476,2062.766765,890.3960011,1740.339016,1892.426884,3044.444703,7.64,UP_pEhEx_DOWN_CDC5
EHI_121470A,98.18864912,0.465304216,0.622949377,0.746937445,0.455101321,0.923606961,59,59,266,92,78,135,83.9822756,69.11030048,187.9724891,66.24376891,87.18800766,94.63505293,7.64,DOWN_pEhEx_UP_CDC5
EHI_143080A,47.09650463,0.419736611,0.564014652,0.744194517,0.456758805,0.923606961,39,33,95,53,43,50,55.5137076,38.65491383,67.13303183,38.16217122,48.06518371,35.0500196,7.64,DOWN_pEhEx_UP_CDC5
EHI_153180A,40.63729153,-0.640068789,0.85885961,-0.745254266,0.456118023,0.923606961,29,43,6,68,39,79,41.2794236,50.36852408,4.239980958,48.96278571,43.59400383,55.37903097,7.64,UP_pEhEx_DOWN_CDC5
EHI_182030A,92.83596924,0.421045472,0.562232616,0.748881264,0.453928774,0.923606961,60,70,214,124,55,125,85.405704,81.99527175,151.2259875,89.28507983,61.47872335,87.62504901,7.64,DOWN_pEhEx_UP_CDC5
EHI_182550A,155.674783,-0.64040971,0.860919748,-0.743866906,0.456956998,0.923606961,32,36,391,220,261,171,45.5497088,42.1689969,276.3054257,158.4090126,291.7444872,119.871067,7.64,UP_pEhEx_DOWN_CDC5
EHI_000280A,77.53021636,0.506145335,0.708948901,0.713937682,0.475265715,0.924477329,41,36,243,74,71,86,58.3605644,42.1689969,171.7192288,53.28303151,79.36344287,60.28603372,7.55,DOWN_pEhEx_UP_CDC5
EHI_000650A,48.84682657,-0.701435011,0.979559427,-0.716071932,0.473946934,0.924477329,27,61,3,103,53,68,38.4325668,71.45302253,2.119990479,74.16421954,59.24313341,47.66802666,7.55,UP_pEhEx_DOWN_CDC5
EHI_001050A,584.4986019,-0.334768726,0.489330792,-0.684135827,0.4938894,0.924477329,401,445,650,774,494,1207,570.7947884,521.2556562,459.3312704,557.311708,552.1907152,846.1074732,7.55,UP_pEhEx_DOWN_CDC5
EHI_001070A,625.1849125,0.429152611,0.62325336,0.688568468,0.49109487,0.924477329,442,529,1278,892,651,327,629.1553528,619.6499823,903.115944,642.276542,727.6845255,229.2271282,7.55,DOWN_pEhEx_UP_CDC5
EHI_002130A,108.0701578,-0.468793163,0.672194716,-0.697406796,0.48554825,0.924477329,67,118,55,227,118,115,95.3697028,138.220601,38.86649211,163.4492994,131.8998065,80.61504509,7.55,UP_pEhEx_DOWN_CDC5
EHI_004170A,942.4096318,-0.414993844,0.582747235,-0.712133528,0.476382094,0.924477329,418,473,1802,1137,1165,1585,594.9930712,554.0537649,1273.407614,818.6865788,1302.23114,1111.085621,7.55,UP_pEhEx_DOWN_CDC5
EHI_006860A,11214.422,-0.682106936,0.977281347,-0.697963731,0.485199876,0.924477329,5973,14401,657,18866,14098,17273,8502.137833,16868.77012,464.2779149,13584.29287,15758.67349,12108.37977,7.55,UP_pEhEx_DOWN_CDC5
EHI_009540A,76.13003855,0.682335761,0.93122475,0.732729409,0.463723483,0.924477329,75,122,45,121,72,11,106.75713,142.9060451,31.79985718,87.12495693,80.48123784,7.711004312,7.55,DOWN_pEhEx_UP_CDC5
EHI_009680A,25956.07033,0.323989825,0.442431008,0.732294572,0.463988792,0.924477329,21067,23106,41777,28526,21101,35713,29987.3661,27065.46785,29522.28074,20539.88861,23586.59166,25034.827,7.55,DOWN_pEhEx_UP_CDC5
EHI_011910A,46.4358809,-0.434184239,0.604114214,-0.718712172,0.472318282,0.924477329,34,22,63,71,34,101,48.3965656,25.76994255,44.51980006,51.12290861,38.00502898,70.8010396,7.55,UP_pEhEx_DOWN_CDC5
EHI_012490A,65.31315438,-0.753820412,1.045650931,-0.720910191,0.470964772,0.924477329,17,98,10,182,87,25,24.1982828,114.7933805,7.066634929,131.0474559,97.24816239,17.5250098,7.55,UP_pEhEx_DOWN_CDC5
EHI_013170A,587.9014206,0.435762007,0.623453647,0.698948524,0.484584201,0.924477329,614,695,482,1018,347,539,873.9850376,814.0959124,340.6118036,733.0017038,387.8748546,377.8392113,7.55,DOWN_pEhEx_UP_CDC5
EHI_013260A,624.3727089,0.359455486,0.502067715,0.715950209,0.474022094,0.924477329,539,546,989,723,356,1030,767.2279076,639.5631197,698.8901945,520.5896187,397.9350093,722.0304038,7.55,DOWN_pEhEx_UP_CDC5
EHI_013920A,129.1457038,0.383150977,0.547496358,0.699823792,0.484037355,0.924477329,83,95,295,146,119,141,118.1445572,111.2792974,208.4657304,105.1259811,133.0176014,98.84105528,7.55,DOWN_pEhEx_UP_CDC5
EHI_021450A,14547.49249,-0.412005915,0.597391996,-0.689674314,0.490399023,0.924477329,10128,12665,11606,14642,12052,36829,14416.48284,14835.28738,8201.536499,10542.83983,13471.66498,25817.14344,7.55,UP_pEhEx_DOWN_CDC5
EHI_027570A,8439.023529,0.445079567,0.631854587,0.704401893,0.481182527,0.924477329,6187,5991,18916,6686,4080,17215,8806.751511,7017.623901,13367.24663,4814.193901,4560.603478,12067.72175,7.55,DOWN_pEhEx_UP_CDC5
EHI_029020A,395.0952578,-0.339730348,0.492414202,-0.689928004,0.490239464,0.924477329,250,260,546,468,391,785,355.8571,304.5538665,385.8382671,336.9791723,437.0578333,550.2853078,7.55,UP_pEhEx_DOWN_CDC5
EHI_029530A,2740.306754,-0.61172131,0.865038786,-0.707160557,0.479466707,0.924477329,1627,3074,831,5867,4382,1163,2315.918007,3600.763791,587.2373626,4224.48035,4898.177559,815.2634559,7.55,UP_pEhEx_DOWN_CDC5
EHI_030170A,114.6884847,-0.496301109,0.696338548,-0.712729619,0.476013084,0.924477329,42,41,250,151,161,164,59.7839928,48.02580203,176.6658732,108.7261859,179.9649902,114.9640643,7.55,UP_pEhEx_DOWN_CDC5
EHI_035540A,52.32681145,0.410726301,0.59435692,0.691043188,0.489538401,0.924477329,42,34,112,71,47,45,59.7839928,39.82627485,79.14631121,51.12290861,52.53636359,31.54501764,7.55,DOWN_pEhEx_UP_CDC5
EHI_039350A,166.9582851,-0.400094658,0.566849408,-0.70582178,0.480298976,0.924477329,123,154,109,251,177,272,175.0816932,180.3895979,77.02632073,180.7302826,197.8497097,190.6721066,7.55,UP_pEhEx_DOWN_CDC5
EHI_040440A,128.070957,-0.538789568,0.728074593,-0.740019737,0.459288019,0.924477329,84,138,46,235,172,133,119.5679856,161.6478215,32.50652068,169.2096271,192.2607348,93.23305214,7.55,UP_pEhEx_DOWN_CDC5
EHI_044740A,667.0353909,0.337966013,0.467217336,0.723359316,0.46945916,0.924477329,553,577,1092,858,424,964,787.1559052,675.8753115,771.6765343,617.7951492,473.9450673,675.7643779,7.55,DOWN_pEhEx_UP_CDC5
EHI_045310A,130.9273529,-0.442737255,0.646132026,-0.685211748,0.493210312,0.924477329,77,67,205,151,80,363,109.6039868,78.48118868,144.8660161,108.7261859,89.4235976,254.4631423,7.55,UP_pEhEx_DOWN_CDC5
EHI_045930A,53.97866027,0.898072025,1.277664879,0.702901082,0.482117397,0.924477329,21,34,199,49,70,0,29.8919964,39.82627485,140.6260351,35.28200735,78.2456479,0,7.55,DOWN_pEhEx_UP_CDC5
EHI_048240A,7397.010284,0.34453209,0.48817465,0.705755798,0.480340015,0.924477329,5575,5510,14771,7807,5684,10812,7935.61333,6454.199248,10438.12645,5621.359825,6353.54661,7579.216239,7.55,DOWN_pEhEx_UP_CDC5
EHI_049510A,71.09369645,0.462520339,0.674423362,0.685801182,0.492838491,0.924477329,83,83,46,100,39,90,118.1445572,97.22296508,32.50652068,72.00409664,43.59400383,63.09003528,7.55,DOWN_pEhEx_UP_CDC5
