"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
"93","EHI_001990A",31.94488813,-0.274369247,0.830547541,-0.330347432,0.741137457,0.999126624,40,19,11,54,8,118,35.86054004,17.09827973,34.49442968,31.92147965,7.512125698,64.78247399,0.09,"UP_pEhEx_DOWN_EhMyb10"
"94","EHI_002110A",91.21328081,0.290669964,0.700237151,0.415102174,0.678067108,0.999126624,132,139,18,227,89,54,118.3397821,125.0874148,56.44543038,134.1884422,83.57239839,29.64621691,0.09,"DOWN_pEhEx_UP_EhMyb10"
"95","EHI_002130A",107.539376,0.148506681,0.693816081,0.214043297,0.830513294,0.999126624,193,144,11,227,118,115,173.0271057,129.5869621,34.49442968,134.1884422,110.803854,63.13546194,0.09,"DOWN_pEhEx_UP_EhMyb10"
"96","EHI_002140A",387.7371387,0.759917285,0.646935575,1.174641363,0.240138228,0.999126624,306,396,266,359,232,786,274.3331313,356.3641459,834.1380267,212.2187258,217.8516452,431.5171573,0.09,"DOWN_pEhEx_UP_EhMyb10"
"97","EHI_002150A",24.94783085,0.873995019,0.71574175,1.221103867,0.222046696,0.999126624,20,20,20,36,20,20,17.93027002,17.99818919,62.71714487,21.28098643,18.78031425,10.98008034,0.09,"DOWN_pEhEx_UP_EhMyb10"
"98","EHI_002160A",1153.502964,0.136319982,0.764425228,0.178330041,0.858463787,0.999126624,1843,1868,92,1930,1532,1311,1652.274382,1681.03087,288.4988664,1140.897328,1438.572071,719.7442661,0.09,"DOWN_pEhEx_UP_EhMyb10"
"99","EHI_002180A",335.079432,0.141583162,0.864388046,0.163795835,0.86989187,0.999126624,613,507,15,784,300,387,549.5627761,456.2540959,47.03785865,463.4525934,281.7047137,212.4645545,0.09,"DOWN_pEhEx_UP_EhMyb10"
"100","EHI_002190A",135.4780604,-0.26094548,1.203286514,-0.216860637,0.828316955,0.999126624,153,219,11,185,353,6,137.1665657,197.0801716,34.49442968,109.3606247,331.4725464,3.294024101,0.09,"UP_pEhEx_DOWN_EhMyb10"
"101","EHI_002200A",127.6998928,0.802208638,1.03637908,0.774049432,0.43890156,0.999126624,247,273,6,253,124,26,221.4388348,245.6752824,18.81514346,149.5580435,116.4379483,14.27410444,0.09,"DOWN_pEhEx_UP_EhMyb10"
"102","EHI_002210A",17.78649795,0.330709412,0.604307174,0.547253825,0.584204362,0.999126624,17,16,10,27,20,20,15.24072952,14.39855135,31.35857243,15.96073982,18.78031425,10.98008034,0.09,"DOWN_pEhEx_UP_EhMyb10"
