"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","CDC5_3","pEhEx_1","pEhEx_2","pEhEx_3","CDC5_1.1","CDC5_2.1","CDC5_3.1","pEhEx_1.1","pEhEx_2.1","pEhEx_3.1","Certeza","DE"
"35","EHI_000780A",16.33078807,0.271387634,1.058838651,0.256306883,0.797713883,0.999772996,20,27,2,28,29,2,20.21015498,27.94435617,4.715200792,16.62932239,27.33929951,1.146394581,0.02,"DOWN_pEhEx_UP_U2AF84"
"36","EHI_000790A",83.11946295,-0.083843179,0.824272683,-0.10171777,0.918980697,0.999772996,43,52,62,71,40,306,43.4518332,53.81876004,146.1712246,42.16721035,37.70937864,175.3983709,0.02,"UP_pEhEx_DOWN_U2AF84"
"37","EHI_000800A",268.0787737,0.28548902,0.508022416,0.561961462,0.574142276,0.999772996,225,203,190,344,211,558,227.3642435,210.1001594,447.9440752,204.3031037,198.9169723,319.8440881,0.02,"DOWN_pEhEx_UP_U2AF84"
"38","EHI_000900A",27.39288891,-1.212942224,0.779727504,-1.555597588,0.119803813,0.999772996,9,11,13,27,35,112,9.09456974,11.3847377,30.64880515,16.03541802,32.99570631,64.19809654,0.02,"UP_pEhEx_DOWN_U2AF84"
"39","EHI_001050A",501.1081664,-0.218947363,0.379795255,-0.576487884,0.564285457,0.999772996,499,427,188,774,494,1207,504.2433667,441.934818,443.2288744,459.6819832,465.7108262,691.8491296,0.02,"UP_pEhEx_DOWN_U2AF84"
"40","EHI_001060A",20.41045791,0.952405152,0.980393795,0.971451632,0.331323428,0.999772996,5,8,29,22,16,22,5.052538744,8.279809237,68.37041148,13.06589616,15.08375146,12.61034039,0.02,"DOWN_pEhEx_UP_U2AF84"
"41","EHI_001070A",401.4444616,-0.301471127,0.889182529,-0.339043017,0.734577324,0.999772996,414,587,22,892,651,327,418.350208,607.5310028,51.86720871,529.762699,613.7201373,187.435514,0.02,"UP_pEhEx_DOWN_U2AF84"
"42","EHI_001100A",92.3171638,0.773737956,1.29072767,0.599458719,0.54886703,0.999772996,20,16,133,25,19,298,20.21015498,16.55961847,313.5608527,14.84760928,17.91195485,170.8127926,0.02,"DOWN_pEhEx_UP_U2AF84"
"43","EHI_001120A",51.6879921,-0.59028996,0.658101867,-0.896958343,0.369741146,0.999772996,36,67,7,105,90,71,36.37827896,69.34340236,16.50320277,62.35995897,84.84610194,40.69700763,0.02,"UP_pEhEx_DOWN_U2AF84"
"44","EHI_001130A",998.5222051,0.337656427,1.168483055,0.288969896,0.772604415,0.999772996,1402,1468,173,1537,1816,39,1416.731864,1519.344995,407.8648685,912.8310184,1712.00579,22.35469433,0.02,"DOWN_pEhEx_UP_U2AF84"
"45","EHI_001140A",18.6182269,-0.435312477,0.971772409,-0.44795723,0.654184064,0.999772996,18,23,2,57,30,5,18.18913948,23.80445156,4.715200792,33.85254915,28.28203398,2.865986453,0.02,"UP_pEhEx_DOWN_U2AF84"
