baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,CmasM_3,pEhEx_1,pEhEx_2,pEhEx_3,CmasM_1.1,CmasM_2.1,CmasM_3.1,pEhEx_1.1,pEhEx_2.1,pEhEx_3.1,Certeza,DE,
EHI_191530A,23.44000741,-1.673994729,0.556989831,-3.005431404,0.002652044,0.311853183,7,10,17,32,32,57,9.064755497,11.47099386,12.71674256,24.4168516,38.79628581,44.17441513,68.81,UP_pEhEx_DOWN_CmasM
EHI_000620A,23.30013228,-2.18052649,0.732568806,-2.976548377,0.002915131,0.314754646,4,6,17,25,28,80,5.179860284,6.882596314,12.71674256,19.07566531,33.94675008,61.99917913,68.52,UP_pEhEx_DOWN_CmasM
EHI_010030A,533.3927353,-1.769068523,0.597643434,-2.960073554,0.003075656,0.314754646,71,273,428,704,770,1296,91.94252005,313.1581323,320.1626951,537.1707352,933.5356273,1004.386702,68.52,UP_pEhEx_DOWN_CmasM
EHI_112800A,222.3311589,-1.730408294,0.582546769,-2.97041952,0.002973933,0.314754646,47,109,164,250,225,725,60.86335834,125.033833,122.6791635,190.7566531,272.7863846,561.8675608,68.52,UP_pEhEx_DOWN_CmasM
EHI_134840A,69.51803222,-1.932232711,0.65304886,-2.958787357,0.003088521,0.314754646,11,26,56,69,91,217,14.24461578,29.82458403,41.89044609,52.64883626,110.3269378,168.1727734,68.52,UP_pEhEx_DOWN_CmasM
EHI_187780A,139.2193247,-2.483406389,0.832780109,-2.982067369,0.00286309,0.314754646,16,28,98,99,118,633,20.71944114,32.1187828,73.30828066,75.53963464,143.0613039,490.5685048,68.52,UP_pEhEx_DOWN_CmasM
EHI_196530A,89.67175731,-1.128843189,0.377638002,-2.98922032,0.002796904,0.314754646,35,47,92,141,102,179,45.32377749,53.91367113,68.82001858,107.5867524,123.663161,138.7231633,68.52,UP_pEhEx_DOWN_CmasM
EHI_044610A,35.01939035,-2.758329903,0.944818013,-2.919429842,0.003506723,0.349605055,4,5,21,19,32,168,5.179860284,5.735496929,15.70891728,14.49750564,38.79628581,130.1982762,65.04,UP_pEhEx_DOWN_CmasM
EHI_005960A,87.5554988,-2.738217298,0.951922533,-2.876512746,0.00402096,0.376328991,14,15,44,36,52,473,18.12951099,17.20649079,32.91392193,27.46895805,63.04396444,366.5701466,62.37,UP_pEhEx_DOWN_CmasM
EHI_040310A,1204.159374,-1.410970375,0.48973479,-2.881090753,0.003963015,0.376328991,403,867,613,1757,1241,3103,521.8709236,994.5351674,458.5507759,1340.637758,1504.568459,2404.79316,62.37,UP_pEhEx_DOWN_CmasM
