"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","U2AF84_1","U2AF84_2","pEhEx_1","pEhEx_2","U2AF84_1.1","U2AF84_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"46","EHI_144610A",1126.606037,-1.384214073,0.385632033,-3.589468593,0.000331353,0.019735944,484,618,1654,1930,543.5918528,704.1260035,1124.431271,2134.275019,98.03,"UP_pEhEx_DOWN_U2AF84"
"47","EHI_095830A",196.9493513,-1.647096825,0.461932652,-3.565664425,0.000362936,0.020621649,52,116,384,304,58.40243046,132.166046,261.0529674,336.1759616,97.94,"UP_pEhEx_DOWN_U2AF84"
"48","EHI_103310A",1936.061211,-1.509384468,0.423451809,-3.564477553,0.000364582,0.020621649,585,1190,3240,3191,657.0273427,1355.841334,2202.634412,3528.741755,97.94,"UP_pEhEx_DOWN_U2AF84"
"49","EHI_118670A",93.31011848,-1.910977823,0.537753199,-3.553633574,0.000379948,0.020631187,28,41,138,182,31.44746256,46.71386108,93.81591014,201.2632402,97.94,"UP_pEhEx_DOWN_U2AF84"
"50","EHI_161940A",341.5216064,-1.255002525,0.352935499,-3.555897694,0.000376691,0.020631187,164,192,566,523,184.1922807,218.7575933,384.7811967,578.3553549,97.94,"UP_pEhEx_DOWN_U2AF84"
"51","EHI_001940A",803.1440963,-1.284657782,0.362954069,-3.539450013,0.000400962,0.021345314,336,489,1316,1251,377.3695507,557.1482455,894.6502736,1383.408316,97.87,"UP_pEhEx_DOWN_U2AF84"
"52","EHI_022010A",2794.651901,-1.153239886,0.328024632,-3.515711241,0.000438578,0.022050713,1177,1883,5923,3332,1321.916551,2145.419522,4026.606056,3684.665474,97.79,"UP_pEhEx_DOWN_U2AF84"
"53","EHI_177520A",1405.764811,-1.479891068,0.420382672,-3.520342691,0.00043099,0.022050713,484,825,2107,2448,543.5918528,939.9740339,1432.392193,2707.101164,97.79,"UP_pEhEx_DOWN_U2AF84"
"54","EHI_182550A",142.1327515,-1.74560275,0.495980275,-3.519500348,0.00043236,0.022050713,42,73,220,261,47.17119383,83.17345997,149.5615959,288.6247565,97.79,"UP_pEhEx_DOWN_U2AF84"
"55","EHI_176820A",875.2236999,-1.517165067,0.434102528,-3.494946394,0.000474157,0.023406113,413,388,1125,1655,463.8500727,442.0726365,764.8036153,1830.168475,97.66,"UP_pEhEx_DOWN_U2AF84"
"56","EHI_014400A",485.3262617,-1.029194055,0.297898002,-3.454853834,0.000550591,0.025387912,282,282,850,656,316.7208729,321.3002152,577.8516205,725.4323381,97.46,"UP_pEhEx_DOWN_U2AF84"
"57","EHI_027610A",583.5034834,-1.295306985,0.374365287,-3.460008259,0.000540159,0.025387912,212,384,1143,797,238.1022165,437.5151867,777.0404732,881.3560571,97.46,"UP_pEhEx_DOWN_U2AF84"
"58","EHI_077770A",73.99705244,-1.841321048,0.5330507,-3.454307532,0.000551708,0.025387912,36,21,126,132,40.43245186,23.92661177,85.65800491,145.9711412,97.46,"UP_pEhEx_DOWN_U2AF84"
"59","EHI_117850A",4427.659746,-1.594680466,0.461591835,-3.454741498,0.000550821,0.025387912,1174,2709,7024,7714,1318.54718,3086.532918,4775.093861,8530.465025,97.46,"UP_pEhEx_DOWN_U2AF84"
"60","EHI_090020A",11066.18891,-1.667016117,0.483546598,-3.44747771,0.000565847,0.025604581,2808,6536,16174,20499,3153.731245,7446.873073,10995.4966,22668.65472,97.44,"UP_pEhEx_DOWN_U2AF84"
"61","EHI_015310A",7684.715866,-1.201841808,0.353382558,-3.400965278,0.000671484,0.029859571,3206,5014,12746,11539,3600.734463,5712.763401,8665.055005,12760.31059,97.01,"UP_pEhEx_DOWN_U2AF84"
"62","EHI_017660A",216.4827782,-2.064544202,0.607797259,-3.396764579,0.000681876,0.029859571,36,111,293,452,40.43245186,126.4692336,199.1888527,499.8405744,97.01,"UP_pEhEx_DOWN_U2AF84"
"63","EHI_188170A",332.1702656,-1.303681911,0.385683019,-3.380190073,0.000724357,0.031216345,154,184,510,542,172.9610441,209.6426936,346.7109723,599.3663525,96.88,"UP_pEhEx_DOWN_U2AF84"
"64","EHI_005020A",1020.192154,-1.20489332,0.357501644,-3.370315463,0.000750822,0.031342573,478,612,1570,1609,536.8531108,697.2898287,1067.325934,1779.299744,96.87,"UP_pEhEx_DOWN_U2AF84"
"65","EHI_100810A",147.1128744,1.911439042,0.567324747,3.369214989,0.000753826,0.031342573,207,205,141,24,232.4865982,233.5693054,95.85538645,26.54020749,96.87,"DOWN_pEhEx_UP_U2AF84"
"66","EHI_111760A",7468.589996,-1.053221346,0.31287482,-3.366270726,0.000761919,0.031342573,3491,5085,13331,10035,3920.824707,5793.658136,9062.752885,11097.12426,96.87,"UP_pEhEx_DOWN_U2AF84"
"67","EHI_023400A",1560.710597,1.468499159,0.437640636,3.355490869,0.000792243,0.031653795,2311,1748,1723,438,2595.538785,1991.605589,1171.339226,484.3587867,96.83,"DOWN_pEhEx_UP_U2AF84"
"68","EHI_134840A",44.25827221,-2.31604289,0.690264934,-3.35529559,0.000792802,0.031653795,8,18,69,91,8.984989302,20.50852437,46.90795507,100.6316201,96.83,"UP_pEhEx_DOWN_U2AF84"
"69","EHI_138470A",462.1728663,-1.937536997,0.578946478,-3.346659958,0.000817915,0.032183167,91,246,574,973,102.2042533,280.2831665,390.2198002,1075.984245,96.78,"UP_pEhEx_DOWN_U2AF84"
