baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,pEhEx_1,pEhEx_2,CmasM_1.1,CmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_138390A,8.600931597,-0.456312931,1.05170161,-0.433880605,0.664375145,0.999901938,7,6,11,11,8.310091615,6.130784616,7.587377318,12.37547284,0.01,UP_pEhEx_DOWN_CmasM
EHI_138410A,15.0284864,-0.601538641,0.897236176,-0.670435117,0.502580455,0.999901938,7,15,17,22,8.310091615,15.32696154,11.72594676,24.75094568,0.01,UP_pEhEx_DOWN_CmasM
EHI_138420A,25.29231015,0.491349316,0.697160762,0.704786246,0.480943269,0.999901938,31,22,33,17,36.80183429,22.47954359,22.76213195,19.12573075,0.01,DOWN_pEhEx_UP_CmasM
EHI_138450A,11.97389405,-0.759086551,1.435019501,-0.528972987,0.596824189,0.999901938,15,0,11,20,17.80733917,0,7.587377318,22.50085971,0.01,UP_pEhEx_DOWN_CmasM
EHI_138460A,169.0657344,0.143155877,0.411209647,0.348133557,0.727739884,0.999901938,156,166,223,149,185.1963274,169.6183744,153.8168311,167.6314048,0.01,DOWN_pEhEx_UP_CmasM
EHI_138480A,234.8575537,0.242093505,0.471534708,0.513416087,0.607660295,0.999901938,252,205,238,237,299.1632981,209.4684744,164.1632547,266.6351875,0.01,DOWN_pEhEx_UP_CmasM
EHI_138510A,12.56534539,0.043154586,0.896204531,0.048152609,0.961594619,0.999901938,13,10,21,9,15.43302728,10.21797436,14.48499306,10.12538687,0.01,DOWN_pEhEx_UP_CmasM
EHI_138540A,36.64487531,0.621516661,0.6737894,0.922419766,0.356309663,0.999901938,51,28,49,21,60.54495319,28.61032821,33.79831714,23.62590269,0.01,DOWN_pEhEx_UP_CmasM
EHI_138750A,39.98296047,0.437586513,0.628108582,0.696673354,0.486007238,0.999901938,46,37,62,22,54.60917347,37.80650513,42.76521761,24.75094568,0.01,DOWN_pEhEx_UP_CmasM
EHI_138760A,13.03674128,-0.28267621,0.912788706,-0.309684167,0.756801145,0.999901938,6,16,22,12,7.12293567,16.34875898,15.17475464,13.50051583,0.01,UP_pEhEx_DOWN_CmasM
EHI_138770A,5227.317834,0.567322632,0.451382217,1.256856407,0.208805636,0.999901938,6870,4236,5555,4083,8155.761342,4328.333939,3831.625546,4593.55051,0.01,DOWN_pEhEx_UP_CmasM
EHI_138800A,31.33482191,0.014588394,0.624728185,0.023351586,0.981369824,0.999901938,28,29,40,31,33.24036646,29.63212565,27.59046297,34.87633255,0.01,DOWN_pEhEx_UP_CmasM
EHI_138810A,15.12723064,0.4544047,0.820829114,0.553592328,0.579857878,0.999901938,13,19,16,13,15.43302728,19.41415129,11.03618519,14.62555881,0.01,DOWN_pEhEx_UP_CmasM
EHI_138940A,28.86668116,-0.644493784,0.65756839,-0.980116735,0.327028499,0.999901938,18,23,42,37,21.36880701,23.50134103,28.96998612,41.62659046,0.01,UP_pEhEx_DOWN_CmasM
