"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EhMyb10_1","EhMyb10_2","pEhEx_1","pEhEx_2","EhMyb10_1.1","EhMyb10_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"3613","EHI_139850A",167.7823372,-0.453768428,0.492410407,-0.921524853,0.356776472,0.999463877,166,102,232,189,176.178211,106.8145315,165.7586782,222.3779282,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3614","EHI_139960A",12.69586569,0.468188219,0.879513117,0.532326591,0.594499819,0.999463877,11,17,15,9,11.67445976,17.80242192,10.71715591,10.58942515,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3615","EHI_139970A",9.064152779,0.424439912,1.160381838,0.365776073,0.714532175,0.999463877,7,13,18,2,7.429201667,13.61361676,12.8605871,2.35320559,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3616","EHI_140000A",34.89959419,0.635318576,0.760033585,0.835908555,0.403206349,0.999463877,19,62,45,19,20.16497595,64.92647995,32.15146774,22.3554531,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3617","EHI_140120A",45736.95782,-0.332890676,0.5949216,-0.559553857,0.575783786,0.999463877,53724,22869,43799,60078,57018.06148,23948.44629,31293.38079,70687.94271,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3618","EHI_140130A",29.00489343,-0.324495576,0.655700144,-0.4948841,0.620681935,0.999463877,20,29,49,25,21.22629048,30.36883739,35.00937599,29.41506987,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3619","EHI_140150A",11.89383117,-0.986445118,1.197491157,-0.823759836,0.410076033,0.999463877,4,11,5,24,4.245258095,11.51921418,3.572385305,28.23846708,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3620","EHI_140170A",16057.1208,0.14083249,0.445697318,0.315982359,0.752015898,0.999463877,19587,12311,18051,15002,20787.96758,12892.09507,12897.02543,17651.39513,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3621","EHI_140180A",48.94612041,-0.216856212,0.545426477,-0.397590182,0.690932299,0.999463877,41,45,78,42,43.51389548,47.12405803,55.72921076,49.41731738,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3622","EHI_140190A",28.80552943,-0.054107615,0.991528138,-0.054569924,0.9564811,0.999463877,27,27,75,4,28.65549214,28.27443482,53.58577957,4.706411179,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3623","EHI_140210A",8.157960541,0.652405994,1.078506144,0.604916344,0.545234583,0.999463877,12,7,11,4,12.73577429,7.330409026,7.859247671,4.706411179,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3624","EHI_140220A",13.6249,0.100061329,0.923368049,0.108365596,0.913705691,0.999463877,9,18,25,7,9.551830714,18.84962321,17.86192652,8.236219564,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3625","EHI_140230A",14.66581884,-0.196974315,0.820495353,-0.240067557,0.810277885,0.999463877,12,14,24,12,12.73577429,14.66081805,17.14744946,14.11923354,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3626","EHI_140240A",338.8194799,-0.448346867,0.559301259,-0.801619627,0.422773021,0.999463877,375,167,410,416,397.9929464,174.8826153,292.935595,489.4667626,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3627","EHI_140270A",9.222317048,-0.403383221,1.002806832,-0.402254161,0.687496986,0.999463877,9,6,13,10,9.551830714,6.283207737,9.288201793,11.76602795,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3628","EHI_140290A",31.93229652,-0.135229569,0.644958747,-0.209671656,0.833923949,0.999463877,27,31,57,22,28.65549214,32.46323997,40.72519248,25.88526149,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3629","EHI_140300A",10.02673461,0.1610126,1.176205025,0.13689161,0.89111647,0.999463877,3,17,7,12,3.183943571,17.80242192,5.001339427,14.11923354,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3630","EHI_140310A",7.405748711,0.796550414,1.128825514,0.705645297,0.480408748,0.999463877,7,11,10,3,7.429201667,11.51921418,7.14477061,3.529808384,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3631","EHI_140320A",55.26907698,-0.467392333,0.52584443,-0.888841464,0.374088288,0.999463877,44,44,89,55,46.69783905,46.07685674,63.58845843,64.71315371,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3632","EHI_140330A",57.05201036,0.338588127,0.523157258,0.647201433,0.517501584,0.999463877,60,61,75,40,63.67887143,63.87927866,53.58577957,47.06411179,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3633","EHI_140340A",105.1731337,-0.096266475,0.461203232,-0.208728968,0.834659825,0.999463877,99,94,164,85,105.0701379,98.43692121,117.174238,100.0112376,0.05,"UP_pEhEx_DOWN_EhMyb10"
"3634","EHI_140350A",1619.370499,0.057241704,0.367280251,0.155852933,0.876148946,0.999463877,1568,1565,2238,1339,1664.141173,1638.870018,1598.999662,1575.471142,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3635","EHI_140360A",14.31839107,0.380985135,0.906019119,0.42050452,0.674116928,0.999463877,10,21,23,7,10.61314524,21.99122708,16.4329724,8.236219564,0.05,"DOWN_pEhEx_UP_EhMyb10"
"3636","EHI_140500A",17.50621009,-0.282740434,0.772101548,-0.366195916,0.714218889,0.999463877,17,13,29,15,18.04234691,13.61361676,20.71983477,17.64904192,0.05,"UP_pEhEx_DOWN_EhMyb10"
