"","GenId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CDC5_1","CDC5_2","pEhEx_1","pEhEx_2","CDC5_1.1","CDC5_2.1","pEhEx_1.1","pEhEx_2.1","Certeza","DE"
"2731","EHI_141070A",30.7946119,0.263339458,0.655716738,0.401605515,0.687974371,0.917299161,27,31,52,21,35.37287552,32.07329675,33.5827209,22.14955444,8.27,"DOWN_pEhEx_UP_CDC5"
"2732","EHI_153100A",229.3962277,0.140117513,0.348665585,0.401867918,0.687781235,0.917299161,183,233,317,220,239.7494896,241.0670369,204.7254332,232.0429513,8.27,"DOWN_pEhEx_UP_CDC5"
"2733","EHI_184220A",130.7883185,0.185556418,0.460360455,0.403067674,0.68689844,0.917299161,95,148,132,152,124.4601176,153.1241264,85.24844535,160.3205845,8.27,"DOWN_pEhEx_UP_CDC5"
"2734","EHI_197040A",35.26535262,0.246154508,0.609255827,0.404024872,0.686194429,0.917299161,26,41,51,30,34.06276902,42.41952151,32.93689934,31.64222063,8.27,"DOWN_pEhEx_UP_CDC5"
"2735","EHI_198610A",836.9047162,-0.138489302,0.342311934,-0.404570475,0.685793265,0.917299161,660,704,1082,1001,864.6702905,728.374223,698.7789233,1055.795428,8.27,"UP_pEhEx_DOWN_CDC5"
"2736","EHI_200060A",15.91040147,0.346757659,0.861156961,0.402664874,0.687194778,0.917299161,17,13,22,13,22.27181051,13.45009219,14.20807423,13.71162894,8.27,"DOWN_pEhEx_UP_CDC5"
"2737","EHI_097920A",82.01852791,-0.18104259,0.451515211,-0.400966757,0.688444599,0.917590755,63,69,139,80,82.53670954,71.38895083,89.76919624,84.379255,8.24,"UP_pEhEx_DOWN_CDC5"
"2738","EHI_189970A",94.00063514,0.172722802,0.432441781,0.399412844,0.689589032,0.918780419,78,94,146,78,102.1883071,97.25451273,94.28994713,82.26977363,8.12,"DOWN_pEhEx_UP_CDC5"
"2739","EHI_054150A",37.13086959,-0.24455816,0.614139906,-0.398212456,0.690473585,0.919287459,30,28,72,32,39.30319502,28.96942932,46.49915201,33.751702,8.07,"UP_pEhEx_DOWN_CDC5"
"2740","EHI_184480A",17965.27869,0.119775054,0.300546415,0.398524316,0.690243738,0.919287459,14355,17991,22610,18809,18806.57882,18613.89296,14602.02537,19838.61759,8.07,"DOWN_pEhEx_UP_CDC5"
"2741","EHI_021360A",5373.217375,0.134754096,0.340389866,0.395881633,0.692192351,0.920193558,4992,4550,6385,5804,6540.051652,4707.532265,4123.570633,6121.714951,7.98,"DOWN_pEhEx_UP_CDC5"
"2742","EHI_065710A",21.15353014,-0.32626522,0.823868551,-0.396016111,0.692093143,0.920193558,21,10,43,18,27.51223651,10.34622476,27.7703269,18.98533238,7.98,"UP_pEhEx_DOWN_CDC5"
"2743","EHI_067940A",219.8939933,-0.161748929,0.40754205,-0.396888931,0.691449367,0.920193558,176,178,269,276,230.5787441,184.1628007,173.7259985,291.1084298,7.98,"UP_pEhEx_DOWN_CDC5"
"2744","EHI_098390A",68.84083251,-0.19145404,0.483983925,-0.395579337,0.692415383,0.920193558,45,67,102,77,58.95479253,69.31970588,65.87379868,81.21503294,7.98,"UP_pEhEx_DOWN_CDC5"
"2745","EHI_186340A",146.5111177,0.153423685,0.387674469,0.395753906,0.692286584,0.920193558,129,135,209,135,169.0037386,139.6740342,134.9767051,142.3899928,7.98,"DOWN_pEhEx_UP_CDC5"
"2746","EHI_011850A",124.6725268,-0.175006957,0.443136213,-0.394928132,0.692895928,0.920496848,67,141,185,138,87.77713555,145.8817691,119.4769878,145.5542149,7.95,"UP_pEhEx_DOWN_CDC5"
"2747","EHI_050110A",15.60155866,0.336482402,0.853257359,0.394350425,0.69332234,0.920728029,14,16,23,12,18.34149101,16.55395961,14.85389578,12.65688825,7.93,"DOWN_pEhEx_UP_CDC5"
"2748","EHI_124520A",500.9306258,-0.128493865,0.327119047,-0.392804595,0.694463811,0.921572929,415,400,787,510,543.6941978,413.8489903,508.2615643,537.9177506,7.84,"UP_pEhEx_DOWN_CDC5"
"2749","EHI_152400A",16.51814363,0.327347128,0.832744592,0.39309427,0.694249856,0.921572929,13,19,21,15,17.03138451,19.65782704,13.56225267,15.82111031,7.84,"DOWN_pEhEx_UP_CDC5"
"2750","EHI_054840A",17.02304172,-0.322699668,0.826442473,-0.390468398,0.696190219,0.921689171,12,14,26,20,15.72127801,14.48471466,16.79136045,21.09481375,7.83,"UP_pEhEx_DOWN_CDC5"
"2751","EHI_099270A",17.16675278,-0.335711905,0.858516169,-0.39103737,0.695769613,0.921689171,9,18,38,13,11.79095851,18.62320456,24.54121912,13.71162894,7.83,"UP_pEhEx_DOWN_CDC5"
"2752","EHI_103750A",26.44415423,0.269790177,0.6912506,0.390292865,0.696319999,0.921689171,26,23,35,24,34.06276902,23.79631694,22.60375445,25.3137765,7.83,"DOWN_pEhEx_UP_CDC5"
"2753","EHI_126290A",70.82906791,0.186091236,0.474450927,0.392224412,0.694892408,0.921689171,63,66,99,65,82.53670954,68.2850834,63.93633401,68.55814469,7.83,"DOWN_pEhEx_UP_CDC5"
"2754","EHI_152700A",243.4510356,-0.140782153,0.360582831,-0.390429442,0.69621902,0.921689171,203,191,403,237,265.9516196,197.6128929,260.2660869,249.9735429,7.83,"UP_pEhEx_DOWN_CDC5"
"2755","EHI_181210A",49.89182336,0.210863552,0.539524963,0.390831874,0.695921513,0.921689171,35,59,70,45,45.85372752,61.04272607,45.2075089,47.46333094,7.83,"DOWN_pEhEx_UP_CDC5"
