baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,UmasM_1,UmasM_2,pEhEx_1,pEhEx_2,UmasM_1.1,UmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_111610A,322.3670961,-0.504617938,0.519458015,-0.971431614,0.331333392,0.999745166,225,339,386,357,279.3701042,253.5477859,303.7689968,452.7814976,0.03,UP_pEhEx_DOWN_UmasM
EHI_111740A,17.83766518,-0.033090922,0.867728012,-0.038135132,0.96957994,0.999745166,17,19,20,16,21.10796343,14.21064287,15.73932626,20.29272819,0.03,UP_pEhEx_DOWN_UmasM
EHI_111760A,10123.06299,-0.426549138,0.697867962,-0.611217539,0.541055574,0.999745166,2502,18942,13331,10035,3106.595558,14167.26301,10491.04792,12727.34546,0.03,UP_pEhEx_DOWN_UmasM
EHI_111770A,97.25858009,0.06736343,0.56857325,0.118478015,0.905688914,0.999745166,68,153,124,73,84.43185371,114.4330715,97.58382279,92.58557234,0.03,DOWN_pEhEx_UP_UmasM
EHI_111780A,15.32543057,0.229459689,0.991489295,0.231429316,0.816981293,0.999745166,6,34,20,10,7.449869445,25.42957145,15.73932626,12.68295512,0.03,DOWN_pEhEx_UP_UmasM
EHI_111790A,50.77400297,-0.660918128,0.694466522,-0.951691849,0.341253285,0.999745166,25,63,54,65,31.04112269,47.11950003,42.49618089,82.43920825,0.03,UP_pEhEx_DOWN_UmasM
EHI_111800A,21.16592447,-0.00722397,0.942703505,-0.007663035,0.993885843,0.999745166,6,46,27,17,7.449869445,34.40471431,21.24809045,21.5610237,0.03,UP_pEhEx_DOWN_UmasM
EHI_111810A,19.07715147,-0.193562683,0.891181339,-0.217197864,0.828054149,0.999745166,14,24,15,23,17.3830287,17.95028573,11.80449469,29.17079677,0.03,UP_pEhEx_DOWN_UmasM
EHI_111820A,6.397405388,0.517994172,1.32758171,0.39017875,0.696404374,0.999745166,5,12,10,2,6.208224537,8.975142864,7.869663129,2.536591023,0.03,DOWN_pEhEx_UP_UmasM
EHI_111830A,46.93343443,-0.356218481,0.643602579,-0.553475844,0.579937617,0.999745166,35,52,63,44,43.45757176,38.89228574,49.57887771,55.80500251,0.03,UP_pEhEx_DOWN_UmasM
EHI_111840A,51.57574981,0.699771098,0.821854414,0.851453841,0.394517294,0.999745166,19,139,63,23,23.59125324,103.9620715,49.57887771,29.17079677,0.03,DOWN_pEhEx_UP_UmasM
EHI_111850A,93.61069593,-0.241494112,0.561656564,-0.429967577,0.667219226,0.999745166,64,123,129,80,79.46527408,91.99521435,101.5186544,101.4636409,0.03,UP_pEhEx_DOWN_UmasM
EHI_111980A,27767.73954,0.065490809,0.567123168,0.115478987,0.908065475,0.999745166,32022,22778,32707,22499,39759.95323,17036.31701,25739.30719,28535.38071,0.03,DOWN_pEhEx_UP_UmasM
EHI_111990A,4019.614935,0.201079441,0.497125432,0.404484317,0.685856608,0.999745166,4127,4646,5209,2665,5124.268533,3474.876145,4099.307524,3380.007538,0.03,DOWN_pEhEx_UP_UmasM
EHI_112010A,12.56069766,0.238589779,1.021410924,0.233588435,0.815304507,0.999745166,10,20,21,5,12.41644907,14.95857144,16.52629257,6.341477558,0.03,DOWN_pEhEx_UP_UmasM
EHI_112060A,17.20075415,0.476989919,0.888838795,0.536643902,0.591513613,0.999745166,13,32,22,9,16.1413838,23.9337143,17.31325888,11.4146596,0.03,DOWN_pEhEx_UP_UmasM
EHI_112490A,192.0842709,1.092459325,0.762238992,1.433224142,0.151793793,0.999745166,322,166,238,45,399.8096602,124.1561429,187.2979825,57.07329802,0.03,DOWN_pEhEx_UP_UmasM
EHI_112590A,13.73206344,0.839878434,1.354461917,0.620082723,0.535203326,0.999745166,28,1,15,6,34.76605741,0.747928572,11.80449469,7.609773069,0.03,DOWN_pEhEx_UP_UmasM
EHI_112790A,404.8595888,0.138714918,0.551607813,0.25147381,0.801447808,0.999745166,447,393,444,332,555.0152736,293.9359288,349.4130429,421.0741098,0.03,DOWN_pEhEx_UP_UmasM
EHI_112800A,223.8509244,-0.216822991,0.71895659,-0.301580087,0.76297219,0.999745166,63,448,250,225,78.22362917,335.0720002,196.7415782,285.3664901,0.03,UP_pEhEx_DOWN_UmasM
EHI_112810A,32.50134702,0.294039821,0.74410638,0.395158312,0.692726057,0.999745166,23,57,28,29,28.55783287,42.6319286,22.03505676,36.78056984,0.03,DOWN_pEhEx_UP_UmasM
EHI_112820A,67.8360041,-0.323648283,0.59419328,-0.544685195,0.585970049,0.999745166,52,75,98,58,64.56553519,56.0946429,77.12269866,73.56113967,0.03,UP_pEhEx_DOWN_UmasM
EHI_112830A,976.1173517,0.228097659,0.581710974,0.392115103,0.694973169,0.999745166,1187,846,984,807,1473.832505,632.7475719,774.3748519,1023.514478,0.03,DOWN_pEhEx_UP_UmasM
EHI_112840A,11.55677948,0.536617786,1.042945318,0.514521497,0.606887435,0.999745166,15,12,14,6,18.62467361,8.975142864,11.01752838,7.609773069,0.03,DOWN_pEhEx_UP_UmasM
EHI_112870A,187.3287945,-0.626333915,0.552005985,-1.134650586,0.256521749,0.999745166,111,209,219,223,137.8225847,156.3170715,172.3456225,282.8298991,0.03,UP_pEhEx_DOWN_UmasM
