logFC	logCPM	PValue	FDR	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000440A	-0.0842763985695953	5.24825734485818	0.919593218123862	1	282	711	84	545	235	422	37.5969030538155	59.0867290021237	13.3064357631828	48.2633579750286	31.9552569435711	36.4771868872724	0	UP_pEhEx_DOWN_UmasM
EHI_000480A	-0.54699659525878	1.11407273987298	0.523727811761699	1	16	25	3	34	19	16	2.13315762007464	2.07759244029971	0.4752298486851	3.01092508468068	2.58361651884192	1.38302130378284	0	UP_pEhEx_DOWN_UmasM
EHI_000510A	-0.31093562122502	10.0176623535902	0.644021907811709	1	9230	10046	4482	12568	10304	10746	1230.56530208056	834.859746210035	709.993393935539	1112.9796018902	1401.13603211301	928.87168315315	0	UP_pEhEx_DOWN_UmasM
EHI_000520A	-0.0637712371563475	1.09163236505527	0.974842424397385	1	20	31	2	23	17	18	2.6664470250933	2.57621462597164	0.3168198991234	2.03680226316635	2.31165688527961	1.5558989667557	0	UP_pEhEx_DOWN_UmasM
EHI_000540A	-0.240938721595118	2.23638186535407	0.800456154722192	1	32	35	33	44	11	106	4.26631524014927	2.90862941641959	5.2275283355361	3.89649128605736	1.49577798459269	9.16251613756132	0	UP_pEhEx_DOWN_UmasM
EHI_000550A	-0.0965510960200753	4.69630755355326	0.903855013314596	1	252	319	91	388	225	171	33.5972325161755	26.5100795382243	14.4153054101147	34.3599686134149	30.5954587757596	14.7810401841791	0	UP_pEhEx_DOWN_UmasM
EHI_000560A	0.27640813872138	2.23171239432915	0.78787571283141	1	56	68	10	63	41	12	7.46605167026123	5.65105143761521	1.584099495617	5.57906706867303	5.5751724880273	1.03726597783713	0	DOWN_pEhEx_UP_UmasM
EHI_000570A	-0.220010089160414	3.14610896071897	0.794968252172256	1	62	84	55	67	41	189	8.26598577778922	6.98071059940703	8.7125472258935	5.9332935492237	5.5751724880273	16.3369391509348	0	UP_pEhEx_DOWN_UmasM
EHI_000580A	0.0147649298355861	4.12763542033611	0.986344738009424	1	133	196	114	187	100	247	17.7318727168704	16.2883247319497	18.0587342500338	16.5600879657438	13.5979816781154	21.3503913771476	0	DOWN_pEhEx_UP_UmasM
EHI_000590A	-0.198715460909924	10.0327667290188	0.804197131098901	1	12570	10945	2149	13989	9838	9040	1675.86195527114	909.569970363213	340.422981608093	1238.81855910583	1337.76943749299	781.407036637305	0	UP_pEhEx_DOWN_UmasM
EHI_000610A	0.229409391801391	8.41651674711121	0.817849780534932	1	967	1412	5426	1952	2279	5326	128.922713663261	117.342421028128	859.532386321784	172.862522508726	309.898002444249	460.373216496713	0	DOWN_pEhEx_UP_UmasM
EHI_000620A	0.657250750158051	2.52885937832108	0.560141537088049	1	5	65	91	25	28	80	0.666611756273324	5.40174034477925	14.4153054101147	2.21391550344168	3.8074348698723	6.9151065189142	0	DOWN_pEhEx_UP_UmasM
EHI_000640A	1.3533191656796	3.48724785925928	0.62671042775701	1	9	0	293	2	0	213	1.19990116129198	0	46.4141152215781	0.177113240275334	0	18.4114711066091	0	DOWN_pEhEx_UP_UmasM
EHI_000650A	-0.0406453173334872	2.90903360744205	0.961090888439434	1	68	95	29	103	53	68	9.06591988531721	7.8948512731389	4.5938885372893	9.12133187417972	7.20693028940114	5.87784054107707	0	UP_pEhEx_DOWN_UmasM
EHI_000660A	0.19952761087866	1.33348971065336	0.794697653519847	1	23	24	15	33	9	26	3.06641407885729	1.99448874268772	2.3761492434255	2.92236846454302	1.22381835103038	2.24740961864712	0	DOWN_pEhEx_UP_UmasM
EHI_000670A	0.208728722131243	2.41024435160246	0.869048674465582	1	18	19	79	11	10	137	2.39980232258397	1.57897025462778	12.5143860153743	0.974122821514339	1.35979816781154	11.8421199136406	0	DOWN_pEhEx_UP_UmasM
