logFC	logCPM	PValue	FDR	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_010030A	-1.69546625617479	5.90971692270086	0.00778833516855697	0.818899098171548	71	273	428	704	770	1296	10.7702333401134	35.2627604487125	38.6276000077579	60.9290110729856	101.408159008406	112.305051450596	18.11	UP_pEhEx_DOWN_CmasM
EHI_044610A	-2.65728297257116	2.06334271130655	0.00781372279461025	0.818899098171548	4	5	21	19	32	168	0.606773709302161	0.645838103456273	1.89527943963298	1.64439092384478	4.21436504969999	14.5580622250773	18.11	UP_pEhEx_DOWN_CmasM
EHI_062500A	-1.87519734164209	3.86395653905159	0.00711483835831139	0.818899098171548	21	38	113	157	137	415	3.18556197383635	4.90836958626768	10.1984084132632	13.5878618444016	18.0427503690281	35.9618799012326	18.11	UP_pEhEx_DOWN_CmasM
EHI_068610A	1.75709844623902	3.91560100289004	0.00687989916765218	0.818899098171548	220	142	192	96	69	35	33.3725540116189	18.3418021381582	17.3282691623587	8.30850150995258	9.08722463841561	3.03292963022444	18.11	DOWN_pEhEx_UP_CmasM
EHI_073540A	2.63498817455284	1.77038057182681	0.00803013398334923	0.818899098171548	42	40	57	20	7	0	6.37112394767269	5.16670482765019	5.14432990757523	1.73093781457345	0.921892354621873	0	18.11	DOWN_pEhEx_UP_CmasM
EHI_144610A	-1.47975242598031	7.37722704586473	0.00780183328617508	0.818899098171548	363	870	1057	1654	1930	3877	55.0647141191711	112.375830001392	95.39573179486	143.148557265225	254.178892060031	335.961947896576	18.11	UP_pEhEx_DOWN_CmasM
EHI_156380A	-1.68948664701466	1.02915396568332	0.00799359305128537	0.818899098171548	2	7	14	25	25	34	0.303386854651081	0.904173344838783	1.26351962642199	2.16367226821682	3.29247269507812	2.94627449793231	18.11	UP_pEhEx_DOWN_CmasM
EHI_187780A	-2.39679980529816	3.9907794625507	0.00793497393889508	0.818899098171548	16	28	98	99	118	633	2.42709483720865	3.61669337935513	8.84463738495391	8.5681421821386	15.5404711207687	54.8526987409163	18.11	UP_pEhEx_DOWN_CmasM
EHI_001060A	-2.04989526707273	0.530091554382465	0.00840613120593873	0.823159168537161	5	0	7	22	16	22	0.758467136627702	0	0.631759813210993	1.9040315960308	2.10718252485	1.90641291042679	17.68	UP_pEhEx_DOWN_CmasM
EHI_005960A	-2.65421954154421	3.3350777733927	0.0101217965707554	0.823159168537161	14	15	44	36	52	473	2.12370798255756	1.93751431036882	3.97106168304053	3.11568806623222	6.84834320576249	40.987877574176	17.68	UP_pEhEx_DOWN_CmasM
EHI_032780A	-1.9843302342299	2.62860238179958	0.0094961830961503	0.823159168537161	4	26	35	63	97	120	0.606773709302161	3.35835813797262	3.15879906605497	5.45245411590638	12.7747940569031	10.3986158750552	17.68	UP_pEhEx_DOWN_CmasM
EHI_033240A	-1.79018641433984	0.453301192595399	0.00856482888057537	0.823159168537161	2	5	6	12	18	23	0.303386854651081	0.645838103456273	0.541508411323709	1.03856268874407	2.37058034045625	1.99306804271892	17.68	UP_pEhEx_DOWN_CmasM
EHI_095830A	-1.49290677202153	4.67964895749655	0.00909528874989094	0.823159168537161	42	125	192	384	304	453	6.37112394767269	16.1459525864068	17.3282691623587	33.2340060398103	40.0364679721499	39.2547749283334	17.68	UP_pEhEx_DOWN_CmasM
EHI_112590A	2.01955952706559	1.13162496448927	0.0101776234864966	0.823159168537161	31	27	17	15	6	3	4.70249624709175	3.48752575866388	1.53427383208384	1.29820336093009	0.790193446818749	0.25996539687638	17.68	DOWN_pEhEx_UP_CmasM
EHI_112800A	-1.66050810671706	4.65874444345018	0.00953229713231045	0.823159168537161	47	109	164	250	225	725	7.1295910843004	14.0792706553468	14.8012299095147	21.6367226821682	29.6322542557031	62.8249709117919	17.68	UP_pEhEx_DOWN_CmasM
EHI_118270A	-2.04884286808935	11.9668084999871	0.00921670435488839	0.823159168537161	3177	12339	28792	25137	58145	109725	481.930018613242	1593.79927170939	2598.5183631387	2175.52919224665	7657.63299421269	9508.23439075361	17.68	UP_pEhEx_DOWN_CmasM
EHI_134840A	-1.8499564944658	3.00807514988809	0.0086886062047488	0.823159168537161	11	26	56	69	91	217	1.66862770058094	3.35835813797262	5.05407850568795	5.97173546027842	11.9846006100844	18.8041637073915	17.68	UP_pEhEx_DOWN_CmasM
EHI_140010A	-2.02034950866939	1.80339692686056	0.00986414538013478	0.823159168537161	10	9	13	29	22	118	1.5169342732554	1.16250858622129	1.1732682245347	2.50985983113151	2.89737597166874	10.225305610471	17.68	UP_pEhEx_DOWN_CmasM
EHI_157010A	1.60940025493714	6.7507990614237	0.00968302610207773	0.823159168537161	1270	581	2416	787	466	343	192.650652703436	75.0463876216189	218.04738695968	68.1124030034654	61.3716910362561	29.7227103761995	17.68	DOWN_pEhEx_UP_CmasM
EHI_176820A	-2.13641467959995	7.76077594216933	0.00953737515708215	0.823159168537161	389	464	1350	1125	1655	8582	59.0087432296352	59.9337760007422	121.839392547834	97.3652520697568	217.961692414171	743.674345331032	17.68	UP_pEhEx_DOWN_CmasM
EHI_093910A	-2.4644764198852	3.20755405772015	0.0103722800059284	0.82468416114932	13	19	42	32	68	392	1.97201455523202	2.45418479313384	3.79055887926596	2.76950050331753	8.95552573061248	33.9688118585137	17.53	UP_pEhEx_DOWN_CmasM
EHI_040310A	-1.35522587250844	7.08432297571506	0.0115612936630107	0.847406696455988	403	867	613	1757	1241	3103	61.1324512121928	111.988327139318	55.3241093569056	152.062887010278	163.438344583678	268.890875502469	15.26	UP_pEhEx_DOWN_CmasM
EHI_044550A	0.980960597890418	13.329136033481	0.0110612214454925	0.847406696455988	108717	95980	134001	80340	53808	77595	16491.6543385508	12397.5082339466	12093.778104298	6953.17720114157	7086.45483107054	6724.00499020758	15.26	DOWN_pEhEx_UP_CmasM
EHI_129910A	-2.63019871098752	5.19854440657052	0.0109431484335604	0.847406696455988	74	47	145	187	111	1818	11.22531362209	6.07087817248897	13.0864532736563	16.1842685662618	14.6185787661468	157.539030507087	15.26	UP_pEhEx_DOWN_CmasM
EHI_138790A	-2.87979912153276	3.07048665643403	0.0115241294975908	0.847406696455988	8	8	39	38	28	416	1.21354741860432	1.03334096553004	3.51980467360411	3.28878184768956	3.68756941848749	36.0485350335248	15.26	UP_pEhEx_DOWN_CmasM
EHI_142900A	-2.15958329404411	1.62177685572875	0.0113799879595413	0.847406696455988	4	4	21	32	19	100	0.606773709302161	0.516670482765019	1.89527943963298	2.76950050331753	2.50227924825937	8.66551322921268	15.26	UP_pEhEx_DOWN_CmasM
EHI_000240A	-0.875144209767111	7.29668276429492	0.0806055380564811	0.8747676826368	541	1118	1173	1584	1644	2955	82.0661441831173	144.409399932823	105.864894413785	137.090274914218	216.513004428337	256.065915923235	12.52	UP_pEhEx_DOWN_CmasM
EHI_000410A	-0.973516841904459	1.90261603705101	0.139486328079947	0.8747676826368	12	19	31	38	21	91	1.82032112790648	2.45418479313384	2.79779345850583	3.28878184768956	2.76567706386562	7.88561703858354	12.52	UP_pEhEx_DOWN_CmasM
EHI_000430A	0.590274254006531	1.42896024629516	0.315632814676666	0.8747676826368	21	24	30	35	12	15	3.18556197383635	3.10002289659011	2.70754205661854	3.02914117550355	1.5803868936375	1.2998269843819	12.52	DOWN_pEhEx_UP_CmasM
EHI_000560A	1.03312947239266	2.63991573189514	0.174915996692764	0.8747676826368	32	74	109	63	41	12	4.85418967441729	9.55840393115284	9.83740280571404	5.45245411590638	5.39965521992812	1.03986158750552	12.52	DOWN_pEhEx_UP_CmasM
EHI_000590A	0.556834344928162	10.4041113127243	0.190330358973238	0.8747676826368	12053	11376	17080	13989	9838	9040	1828.36087955474	1469.41085298371	1541.49394423482	1210.7044544034	1295.65385496714	783.362395920826	12.52	DOWN_pEhEx_UP_CmasM
EHI_000610A	-0.804627811100751	7.93144111814607	0.12369742955344	0.8747676826368	1247	1211	2074	1952	2279	5326	189.161703874949	156.421988657109	187.181407514229	168.939530702369	300.141810883321	461.525234587867	12.52	UP_pEhEx_DOWN_CmasM
EHI_000670A	-1.48088744988306	1.78503628693158	0.183245090576978	0.8747676826368	16	5	22	11	10	137	2.42709483720865	0.645838103456273	1.98553084152026	0.9520157980154	1.31698907803125	11.8717531240214	12.52	UP_pEhEx_DOWN_CmasM
EHI_000730A	-0.985705138261884	6.7497962005294	0.094882565432435	0.8747676826368	409	451	1062	916	835	2757	62.042611776146	58.2545969317558	95.8469888042964	79.2769519074642	109.968588015609	238.908199729394	12.52	UP_pEhEx_DOWN_CmasM
EHI_000740A	0.814930154198769	3.54936556360919	0.181546551359328	0.8747676826368	123	86	158	124	79	45	18.6582915610415	11.1084153794479	14.259721498191	10.7318144503554	10.4042137164469	3.89948095314571	12.52	DOWN_pEhEx_UP_CmasM
EHI_000780A	0.913238627362777	1.70857648165927	0.34243725529872	0.8747676826368	19	37	48	28	29	2	2.88217511918527	4.77920196557642	4.33206729058967	2.42331294040284	3.81926832629062	0.173310264584254	12.52	DOWN_pEhEx_UP_CmasM
EHI_000900A	-1.08584950924161	2.10633053561858	0.181686514962475	0.8747676826368	11	10	53	27	35	112	1.66862770058094	1.29167620691255	4.78332430002609	2.33676604967416	4.60946177310937	9.7053748167182	12.52	UP_pEhEx_DOWN_CmasM
EHI_001100A	-1.6058104580808	2.80766969807108	0.135936496674366	0.8747676826368	22	13	55	25	19	298	3.33725540116189	1.67917906898631	4.96382710380066	2.16367226821682	2.50227924825937	25.8232294230538	12.52	UP_pEhEx_DOWN_CmasM
EHI_001130A	1.21379635074353	7.70021702739173	0.282657343121528	0.8747676826368	1387	2217	4147	1537	1816	39	210.398783700524	286.364615072512	374.27256362657	133.02257104997	239.165216570475	3.37955015939295	12.52	DOWN_pEhEx_UP_CmasM
EHI_001150A	0.753893888267645	3.14365297615346	0.228118781787401	0.8747676826368	79	100	85	115	47	36	11.9837807587177	12.9167620691255	7.67136916041921	9.95289243379736	6.18984866674686	3.11958476251657	12.52	DOWN_pEhEx_UP_CmasM
EHI_001180A	-2.55030764502029	2.09931302259131	0.0740225051275958	0.8747676826368	6	3	24	11	4	221	0.910160563953242	0.387502862073764	2.16603364529483	0.9520157980154	0.526795631212499	19.15078423656	12.52	UP_pEhEx_DOWN_CmasM
EHI_001830A	-0.516644218006552	2.57283280575387	0.340993603049055	0.8747676826368	34	29	58	70	39	104	5.15757652906837	3.74586100004638	5.23458130946252	6.05828235100709	5.13625740432187	9.01213375838119	12.52	UP_pEhEx_DOWN_CmasM
EHI_001940A	-1.33241235389805	7.05005408263889	0.0397001428061596	0.8747676826368	206	713	1132	1316	1251	3341	31.2488460290613	92.0965135528646	102.164586936406	113.895708198933	164.755333661709	289.514796987996	12.52	UP_pEhEx_DOWN_CmasM
EHI_002110A	0.652311477022206	3.96921726488306	0.319234371522654	0.8747676826368	108	187	179	227	89	54	16.3828901511584	24.1543450692646	16.155000937824	19.6461441954087	11.7212027944781	4.67937714377485	12.52	DOWN_pEhEx_UP_CmasM
EHI_002180A	0.778992461301582	6.00011184735382	0.11611472898555	0.8747676826368	569	654	788	784	300	387	86.3135601482325	84.4756239320805	71.1181046871804	67.8527623312794	39.5096723409374	33.5355361970531	12.52	DOWN_pEhEx_UP_CmasM
EHI_002200A	1.0447928983194	4.38278929454165	0.198889742049309	0.8747676826368	212	235	233	253	124	26	32.1590065930146	30.3543908624448	21.0285766397374	21.8963633543542	16.3306645675875	2.2530334395953	12.52	DOWN_pEhEx_UP_CmasM
EHI_002670A	-0.985057177240956	5.24612294119263	0.0803661778488295	0.8747676826368	166	187	295	352	282	955	25.1811089360397	24.1543450692646	26.624163556749	30.4645055364928	37.1390920004812	82.7556513389811	12.52	UP_pEhEx_DOWN_CmasM
EHI_002780A	-2.1120355139367	3.44371617495035	0.0610979865238212	0.8747676826368	20	22	67	47	20	520	3.03386854651081	2.8416876552076	6.04684392644808	4.06770386424762	2.6339781560625	45.0606687919059	12.52	UP_pEhEx_DOWN_CmasM
EHI_002790A	-0.540287805731557	2.44947645575074	0.338584062923406	0.8747676826368	23	32	57	48	47	96	3.48894882848743	4.13336386212015	5.14432990757523	4.15425075497629	6.18984866674686	8.31889270004417	12.52	UP_pEhEx_DOWN_CmasM
EHI_003020A	-1.28271097088646	0.877900969870103	0.119290452290654	0.8747676826368	5	5	15	14	7	54	0.758467136627702	0.645838103456273	1.35377102830927	1.21165647020142	0.921892354621873	4.67937714377485	12.52	UP_pEhEx_DOWN_CmasM
