logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_027570A	1.24932683390733	10.3474068231918	0.191085635881685	1	6458	5502	13554	6686	4080	17215	839.04722778972	722.550752170029	3940.26127369742	541.325689673669	508.652860160763	1264.16353004979	0	DOWN_pEhEx_UP_U2AF84
EHI_027600A	-0.410261196849395	5.75510849318302	0.68265031703019	1	442	552	29	1026	614	334	57.4262735650443	72.4914604140051	8.43054278716432	83.0691231835453	76.5472686614481	24.526902064283	0	UP_pEhEx_DOWN_U2AF84
EHI_027610A	-0.128496258343757	6.40155106272807	0.888211579068775	1	212	384	564	1143	797	984	27.5438235198855	50.428842027134	163.959521791747	92.5419179325461	99.3618454774823	72.2588970995642	0	UP_pEhEx_DOWN_U2AF84
EHI_027620A	0.0597040855216825	0.0517821553809208	0.999999999999991	1	8	6	2	14	8	4	1.03938956678813	0.787950656673968	0.581416743942367	1.13349680757274	0.997358549334829	0.293735354063269	0	DOWN_pEhEx_UP_U2AF84
EHI_027640A	1.41394208049894	7.20758461558648	0.22448630060916	1	411	348	1876	692	491	1695	53.3986389937403	45.7011380870901	545.36890581794	56.027127917167	61.2128809654251	124.47035628431	0	DOWN_pEhEx_UP_U2AF84
EHI_027650A	-0.572960343300461	2.5051994695003	0.48369234145861	1	44	46	4	68	57	95	5.71664261733473	6.04095503450042	1.16283348788473	5.50555592249618	7.10617966401065	6.97621465900264	0	UP_pEhEx_DOWN_U2AF84
EHI_027690A	0.794927184493275	2.31635217006934	0.611176865322545	1	10	7	56	10	3	127	1.29923695848517	0.919275766119629	16.2796688303863	0.809640576837674	0.374009456000561	9.32609749150879	0	DOWN_pEhEx_UP_U2AF84
EHI_027700A	-0.268300238675187	4.56214453688306	0.710750316975707	1	200	182	47	311	157	435	25.9847391697033	23.9011699191104	13.6632934826456	25.1798219396517	19.573161530696	31.9437197543805	0	UP_pEhEx_DOWN_U2AF84
EHI_027710A	0.129208765523479	3.45174810757358	0.890114636977486	1	107	122	12	180	92	64	13.9018354557913	16.0216633523707	3.4885004636542	14.5735303830781	11.4696233173505	4.6997656650123	0	DOWN_pEhEx_UP_U2AF84
EHI_027720A	0.366960922795944	2.901942656384	0.679560905703219	1	85	77	11	108	62	35	11.0435141471239	10.1120334273159	3.19779209168302	8.74411822984688	7.72952875734492	2.5701843480536	0	DOWN_pEhEx_UP_U2AF84
EHI_027730A	0.118604793924194	1.60284800711691	0.9103763050418	1	25	28	6	49	24	16	3.24809239621291	3.67710306447852	1.7442502318271	3.9672388265046	2.99207564800449	1.17494141625308	0	DOWN_pEhEx_UP_U2AF84
EHI_027750A	1.73258351179241	2.23681806293119	0.296143478237107	1	7	3	69	9	3	71	0.909465870939616	0.393975328336984	20.0588776660116	0.728676519153906	0.374009456000561	5.21380253462302	0	DOWN_pEhEx_UP_U2AF84
EHI_027760A	-0.485108606949789	1.11686854927237	0.499735872720801	1	11	11	7	23	19	34	1.42916065433368	1.44457620390227	2.03495860379828	1.86217332672665	2.36872655467022	2.49675050953779	0	UP_pEhEx_DOWN_U2AF84
EHI_027770A	-0.371075491440489	1.0415259687201	0.591877836098412	1	11	16	4	26	14	32	1.42916065433368	2.10120175113058	1.16283348788473	2.10506549977795	1.74537746133595	2.34988283250615	0	UP_pEhEx_DOWN_U2AF84
EHI_027780A	2.08002024746354	2.96064037145525	0.252768563674403	1	6	7	123	9	2	106	0.7795421750911	0.919275766119629	35.7571297524555	0.728676519153906	0.249339637333707	7.78398688267663	0	DOWN_pEhEx_UP_U2AF84
EHI_027800A	-0.649988986427962	5.00894556825161	0.36485783585671	1	163	245	73	360	320	655	21.1775624233082	32.174651814187	21.2217111538964	29.1470607661563	39.8943419733931	48.0991642278603	0	UP_pEhEx_DOWN_U2AF84
EHI_027810A	0.709783104823751	1.45788614160551	0.557848550134818	1	28	24	9	39	21	0	3.63786348375846	3.15180262669587	2.61637534774065	3.15759824966693	2.61806619200392	0	0	DOWN_pEhEx_UP_U2AF84
EHI_028530A	0.625856619148692	0.975785324705072	0.385186071825256	1	26	13	4	19	11	17	3.37801609206143	1.7072264227936	1.16283348788473	1.53831709599158	1.37136800533539	1.24837525476889	0	DOWN_pEhEx_UP_U2AF84
EHI_028880A	-0.813687457314957	5.61831807534517	0.310652755058348	1	300	346	75	1057	572	410	38.977108754555	45.4384878681988	21.8031278978387	85.5790089717421	71.3111362774402	30.1078737914851	0	UP_pEhEx_DOWN_U2AF84
EHI_028910A	0.000284797702112095	4.22366496414108	1	1	209	189	11	253	184	163	27.15405243234	24.82044568523	3.19779209168302	20.4839065939931	22.9392466347011	11.9697156780782	0	DOWN_pEhEx_UP_U2AF84
EHI_028930A	1.23852719445625	1.36725435764037	0.335228624788307	1	40	35	0	21	13	12	5.19694783394066	4.59637883059815	0	1.70024521135911	1.6207076426691	0.881206062189807	0	DOWN_pEhEx_UP_U2AF84
EHI_028940A	-0.119930553206639	0.86610712161874	0.929428664467714	1	17	7	5	29	3	30	2.20870282942478	0.919275766119629	1.45354185985592	2.34795767282925	0.374009456000561	2.20301515547452	0	UP_pEhEx_DOWN_U2AF84
EHI_028950A	0.296497518037032	2.30424226447713	0.76869042395643	1	33	21	30	35	8	120	4.28748196300105	2.75782729835889	8.7212511591355	2.83374201893186	0.997358549334829	8.81206062189807	0	DOWN_pEhEx_UP_U2AF84
EHI_028960A	0.632639768182185	0.538216408908743	0.435185148091201	1	11	7	8	12	3	20	1.42916065433368	0.919275766119629	2.32566697576947	0.971568692205208	0.374009456000561	1.46867677031634	0	DOWN_pEhEx_UP_U2AF84
EHI_028990A	-0.978821496864682	5.26971818301146	0.277146358862875	1	81	139	168	450	641	493	10.5238193637298	18.2541902129469	48.8390064911588	36.4338259576953	79.9133537654531	36.2028823882979	0	UP_pEhEx_DOWN_U2AF84
EHI_029010A	-0.0612723260360459	1.25445964980994	0.968862366143791	1	11	20	8	35	8	37	1.42916065433368	2.62650218891323	2.32566697576947	2.83374201893186	0.997358549334829	2.71705202508524	0	UP_pEhEx_DOWN_U2AF84
EHI_029020A	0.305578579123552	5.7549433453711	0.707758502287586	1	259	287	369	468	391	785	33.6502372247658	37.6903064109048	107.271389257367	37.8911789960031	48.7458990987397	57.6455632349165	0	DOWN_pEhEx_UP_U2AF84
EHI_029030A	1.28481952537382	3.94235583656287	0.580608695529022	1	13	4	216	21	0	339	1.68900804603072	0.525300437782645	62.7930083457756	1.70024521135911	0	24.894071256862	0	DOWN_pEhEx_UP_U2AF84
EHI_029040A	0.885286927399332	0.0715057639484628	0.247491348394755	1	10	8	3	11	4	5	1.29923695848517	1.05060087556529	0.87212511591355	0.890604634521441	0.498679274667414	0.367169192579086	0	DOWN_pEhEx_UP_U2AF84
EHI_029050A	-0.368535797697307	3.91829831244542	0.661474610607322	1	134	134	13	260	128	182	17.4097752437012	17.5975646657186	3.77920883562538	21.0506549977795	15.9577367893573	13.3649586098787	0	UP_pEhEx_DOWN_U2AF84
EHI_029060A	0.134465607855659	3.95255731887206	0.879375913207309	1	62	62	110	140	95	278	8.05526914260803	8.142156785631	31.9779209168302	11.3349680757274	11.8436327733511	20.4146071073972	0	DOWN_pEhEx_UP_U2AF84
EHI_029090A	0.170389128780395	4.11506715879279	0.848325937622012	1	170	165	36	253	181	72	22.0870282942478	21.6686430585341	10.4655013909626	20.4839065939931	22.5652371787005	5.28723637313884	0	DOWN_pEhEx_UP_U2AF84
EHI_029100A	0.746996268837021	-0.134111457430115	0.377532828591811	1	8	7	2	10	5	2	1.03938956678813	0.919275766119629	0.581416743942367	0.809640576837674	0.623349093334268	0.146867677031634	0	DOWN_pEhEx_UP_U2AF84
EHI_029200A	-0.43754269344193	1.96212887535662	0.527930203354247	1	27	26	8	40	29	79	3.50793978790995	3.41445284558719	2.32566697576947	3.23856230735069	3.61542474133875	5.80127324274956	0	UP_pEhEx_DOWN_U2AF84
EHI_029210A	-1.18209982986782	3.03120187072236	0.107624971520591	1	29	34	22	90	91	195	3.76778717960698	4.46505372115249	6.39558418336603	7.28676519153906	11.3449534986837	14.3195985105844	0	UP_pEhEx_DOWN_U2AF84
EHI_029230A	-0.0324469791493291	1.99546375835638	0.999999999999999	1	12	13	28	23	22	92	1.5590843501822	1.7072264227936	8.13983441519313	1.86217332672665	2.74273601067078	6.75591314345518	0	UP_pEhEx_DOWN_U2AF84
EHI_029370A	2.48356062104272	8.05066599640393	0.0882405154641655	1	368	350	4319	505	422	2011	47.8119200722541	45.9637883059815	1255.56945854354	40.8868491303025	52.6106634774122	147.675449255308	0	DOWN_pEhEx_UP_U2AF84
EHI_029380A	2.02389979576524	1.23601744857936	0.313769317274297	1	7	11	29	0	0	35	0.909465870939616	1.44457620390227	8.43054278716432	0	0	2.5701843480536	0	DOWN_pEhEx_UP_U2AF84
EHI_029530A	-0.349250316122877	8.36403354581963	0.76921902756254	1	2862	3601	82	5867	4382	1163	371.841617518454	472.901719113826	23.838086501637	475.016126430663	546.303145398152	85.4035541938954	0	UP_pEhEx_DOWN_U2AF84
EHI_029540A	1.48291136558953	2.23845568060476	0.371271807907184	1	7	7	64	12	1	83	0.909465870939616	0.919275766119629	18.6053358061557	0.971568692205208	0.124669818666854	6.09500859681283	0	DOWN_pEhEx_UP_U2AF84
EHI_029550A	0.834023550434795	2.23139314470835	0.546590278845398	1	11	8	52	12	7	107	1.42916065433368	1.05060087556529	15.1168353425015	0.971568692205208	0.872688730667975	7.85742072119244	0	DOWN_pEhEx_UP_U2AF84
EHI_029560A	0.624027288241928	3.76003812024199	0.618004277621188	1	21	24	148	58	71	245	2.72839761281885	3.15180262669587	43.0248390517351	4.69591534565851	8.8515571253466	17.9912904363752	0	DOWN_pEhEx_UP_U2AF84
EHI_029570A	-0.198685586418683	3.23052437241115	0.780909885416466	1	63	83	22	118	101	99	8.18519283845655	10.8999840839899	6.39558418336603	9.55375880668455	12.5916516853522	7.26995001306591	0	UP_pEhEx_DOWN_U2AF84
EHI_029600A	0.813979909790842	3.74858457471559	0.580565725891918	1	186	191	4	185	108	4	24.1658074278241	25.0830959041213	1.16283348788473	14.978350671497	13.4643404160202	0.293735354063269	0	DOWN_pEhEx_UP_U2AF84
EHI_029610A	0.593010548924505	3.00465079312136	0.442504966883405	1	83	98	15	62	64	78	10.7836667554269	12.8698607256748	4.36062557956775	5.01977157639358	7.97886839467863	5.72783940423374	0	DOWN_pEhEx_UP_U2AF84
EHI_029620A	0.0702287948307967	5.74268311848917	0.936500011866226	1	514	541	89	785	574	286	66.7807796661375	71.0468842101028	25.8730451054353	63.5567852817574	71.5604759147739	21.0020778155237	0	DOWN_pEhEx_UP_U2AF84
EHI_029720A	-0.0823754224440068	2.33776368316458	0.939379798677888	1	41	63	1	81	54	22	5.32687152978918	8.27348189507666	0.290708371971183	6.55808867238516	6.73217020801009	1.61554444734798	0	UP_pEhEx_DOWN_U2AF84
EHI_029930A	1.19002590817474	1.4051749969136	0.366603343732574	1	10	2	31	12	4	41	1.29923695848517	0.262650218891323	9.01195953110668	0.971568692205208	0.498679274667414	3.01078737914851	0	DOWN_pEhEx_UP_U2AF84
EHI_030060A	0.182363105085465	2.2081116638889	0.836883346308952	1	18	20	32	45	14	94	2.3386265252733	2.62650218891323	9.30266790307786	3.64338259576953	1.74537746133595	6.90278082048682	0	DOWN_pEhEx_UP_U2AF84
EHI_030070A	-0.682786702431153	10.5202840152672	0.346119340181396	1	5049	10417	4671	22124	18829	17567	655.98474033916	1368.01366509545	1357.8988054774	1791.24881219567	2347.40801567819	1290.01224120736	0	UP_pEhEx_DOWN_U2AF84
EHI_030080A	0.336660724466681	2.34200768678348	0.701045697301581	1	44	57	10	75	40	25	5.71664261733473	7.4855312384027	2.90708371971183	6.07230432628255	4.98679274667414	1.83584596289543	0	DOWN_pEhEx_UP_U2AF84
EHI_030170A	-1.1959678135544	3.43964991520896	0.0919211652284306	1	53	50	20	151	161	164	6.88595587997138	6.56625547228307	5.81416743942366	12.2255727102489	20.0718408053634	12.043149516594	0	UP_pEhEx_DOWN_U2AF84
EHI_030390A	-1.26804481365827	3.31078015274528	0.27457418611231	1	23	97	4	147	209	43	2.98824500451588	12.7385356162292	1.16283348788473	11.9017164795138	26.0559921013724	3.15765505618014	0	UP_pEhEx_DOWN_U2AF84
EHI_030400A	0.582990022743977	2.5409045624268	0.464997761970092	1	34	31	41	45	27	87	4.41740565884956	4.0710783928155	11.9190432508185	3.64338259576953	3.36608510400505	6.3887439508761	0	DOWN_pEhEx_UP_U2AF84
EHI_030420A	0.164441609115636	3.11965304140855	0.824755675874921	1	77	81	21	124	63	83	10.0041245803358	10.6373338650986	6.10487581139485	10.0395431527872	7.85419857601178	6.09500859681283	0	DOWN_pEhEx_UP_U2AF84
EHI_030430A	-0.399574014246697	4.12953873142631	0.737954658714806	1	166	168	3	323	213	85	21.5673335108538	22.0626183868711	0.87212511591355	26.1513906318569	26.5546713760398	6.24187627384446	0	UP_pEhEx_DOWN_U2AF84
EHI_030460A	0.696513885174424	2.7302997040832	0.671254071752246	1	9	7	76	6	8	181	1.16931326263665	0.919275766119629	22.0938362698099	0.485784346102604	0.997358549334829	13.2915247713629	0	DOWN_pEhEx_UP_U2AF84
EHI_030470A	0.560855620483721	1.37184157576022	0.456057329091605	1	19	20	12	29	6	35	2.46855022112182	2.62650218891323	3.4885004636542	2.34795767282925	0.748018912001121	2.5701843480536	0	DOWN_pEhEx_UP_U2AF84
EHI_030480A	-0.267630948527243	4.51879353245183	0.753967370135044	1	114	65	133	290	188	373	14.8113013267309	8.53613211396799	38.6642134721674	23.4795767282925	23.4379259093685	27.3908217663998	0	UP_pEhEx_DOWN_U2AF84
EHI_030600A	0.0864989305105446	4.80825350783989	0.91827869259049	1	108	146	182	222	215	491	14.0317591516398	19.1734659790666	52.9089236987554	17.9740208057964	26.8040110133735	36.0560147112663	0	DOWN_pEhEx_UP_U2AF84
EHI_030710A	-0.151612662193312	11.8065260981243	0.819788119384739	1	29618	28123	9080	37407	30365	61212	3848.08002364136	3693.25605294033	2639.63201749834	3028.62250577669	3785.59904381901	4495.0321232302	0	UP_pEhEx_DOWN_U2AF84
EHI_030720A	0.00953126698838131	4.06881022311942	0.991779755823404	1	117	105	72	191	113	271	15.2010724142764	13.7891364917944	20.9310027819252	15.4641350175996	14.0876895093545	19.9005702377865	0	DOWN_pEhEx_UP_U2AF84
EHI_030730A	0.852657226693244	2.69805940060491	0.37549624220126	1	34	40	51	33	14	122	4.41740565884956	5.25300437782645	14.8261269705303	2.67181390356432	1.74537746133595	8.9589282989297	0	DOWN_pEhEx_UP_U2AF84
EHI_030750A	-0.0206316884468005	6.47954865956475	0.985674176923663	1	964	984	36	1498	1023	274	125.24644279797	129.223907694531	10.4655013909626	121.284158410284	127.537224496191	20.1208717533339	0	UP_pEhEx_DOWN_U2AF84
EHI_030760A	-0.380899178813018	11.6085145305964	0.651051595041196	1	25306	30092	3088	48915	38419	25144	3287.84904714256	3951.83519343884	897.707452647014	3960.35688160148	4789.68976336185	1846.42043564171	0	UP_pEhEx_DOWN_U2AF84
EHI_030770A	0.814242031877066	1.15458785831761	0.345576328212239	1	25	24	4	28	13	7	3.24809239621291	3.15180262669587	1.16283348788473	2.26699361514549	1.6207076426691	0.514036869610721	0	DOWN_pEhEx_UP_U2AF84
EHI_030780A	0.190179666559076	1.42535829672803	0.828619186444804	1	11	9	19	26	9	49	1.42916065433368	1.18192598501095	5.52345906745248	2.10506549977795	1.12202836800168	3.59825808727504	0	DOWN_pEhEx_UP_U2AF84
EHI_030790A	-0.0791207300591635	8.72843217067131	0.928196714272938	1	4689	4052	328	5241	3486	6097	609.212209833694	532.12934347382	95.3523460065481	424.332626320625	434.598987872652	447.726113430938	0	UP_pEhEx_DOWN_U2AF84
EHI_030800A	2.99012328121834	15.0328165536175	0.0566741522808702	1	33001	31065	585741	39539	39924	194810	4287.6118866969	4079.61452492947	170279.812506773	3201.23787675848	4977.31784045546	14305.6460812664	0	DOWN_pEhEx_UP_U2AF84
EHI_030810A	-0.17003178759659	6.79010132176702	0.818964726454781	1	548	744	492	1314	877	1839	71.1981853249871	97.705881427572	143.028519009822	106.38677179647	109.335430970831	135.044829030588	0	UP_pEhEx_DOWN_U2AF84
EHI_030820A	0.121765667596496	7.71557000961451	0.906879626123901	1	634	531	1736	1418	1199	4617	82.3716231679595	69.7336331156462	504.669733741974	114.807033795582	149.479112581557	339.044032427528	0	DOWN_pEhEx_UP_U2AF84
EHI_030830A	-0.0578829409090047	5.03666568807939	0.940030287048549	1	289	312	59	474	306	317	37.5479481002213	40.9734341470463	17.1517939462998	38.3769633421057	38.1489645120572	23.2785268095141	0	UP_pEhEx_DOWN_U2AF84
EHI_030840A	2.06029646489812	4.21750144695956	0.203495269479721	1	22	13	293	29	21	224	2.85832130866737	1.7072264227936	85.1775529875567	2.34795767282925	2.61806619200392	16.4491798275431	0	DOWN_pEhEx_UP_U2AF84
EHI_030870A	-0.512234596378358	0.615304044473787	0.582592604500607	1	9	5	5	14	4	39	1.16931326263665	0.656625547228307	1.45354185985592	1.13349680757274	0.498679274667414	2.86391970211687	0	UP_pEhEx_DOWN_U2AF84
EHI_030880A	-0.835446361662749	1.19656504817375	0.279070872382087	1	12	7	7	22	19	50	1.5590843501822	0.919275766119629	2.03495860379828	1.78120926904288	2.36872655467022	3.67169192579086	0	UP_pEhEx_DOWN_U2AF84
EHI_030890A	-0.363492137200813	1.75756090970133	0.616978047292465	1	26	27	4	53	29	38	3.37801609206143	3.54577795503286	1.16283348788473	4.29109505723967	3.61542474133875	2.79048586360105	0	UP_pEhEx_DOWN_U2AF84
EHI_030900A	-0.0607516858712952	0.509679767002314	1	1	7	9	5	18	15	5	0.909465870939616	1.18192598501095	1.45354185985592	1.45735303830781	1.8700472800028	0.367169192579086	0	UP_pEhEx_DOWN_U2AF84
EHI_031100A	-0.0602431205439768	3.06494269522383	0.937016378032736	1	56	71	25	106	98	57	7.27572696751693	9.32408277064195	7.26770929927958	8.58219011447934	12.2176422293517	4.18572879540158	0	UP_pEhEx_DOWN_U2AF84
EHI_031210A	0.208099749178997	1.0199338707962	0.801070018429323	1	24	11	4	24	5	33	3.1181687003644	1.44457620390227	1.16283348788473	1.94313738441042	0.623349093334268	2.42331667102197	0	DOWN_pEhEx_UP_U2AF84
EHI_031220A	0.440002264441271	3.78616467354749	0.690969483908478	1	159	185	6	199	115	56	20.6578676399141	24.2951452474473	1.7442502318271	16.1118474790697	14.3370291466882	4.11229495688576	0	DOWN_pEhEx_UP_U2AF84
EHI_031230A	0.986803187994739	2.35412217128087	0.511739837295801	1	13	4	61	15	5	110	1.68900804603072	0.525300437782645	17.7332106902422	1.21446086525651	0.623349093334268	8.07772223673989	0	DOWN_pEhEx_UP_U2AF84
EHI_031240A	1.03287190776942	5.94865392944637	0.470293880092639	1	57	72	797	191	226	1058	7.40565066336545	9.45540788008762	231.694572461033	15.4641350175996	28.1753790187089	77.6930011497346	0	DOWN_pEhEx_UP_U2AF84
EHI_031250A	-0.680530556616002	4.69216022509921	0.405415314550971	1	174	225	23	402	270	388	22.6067230776419	29.5481496252738	6.68629255533722	32.5475511888745	33.6608510400505	28.4923293441371	0	UP_pEhEx_DOWN_U2AF84
EHI_031260A	0.514939969542247	1.87048214101525	0.488778708499316	1	37	27	13	58	18	21	4.80717674639511	3.54577795503286	3.77920883562538	4.69591534565851	2.24405673600336	1.54211060883216	0	DOWN_pEhEx_UP_U2AF84
EHI_031270A	0.509097803029476	0.679800150266454	0.517040559076804	1	13	13	5	24	9	5	1.68900804603072	1.7072264227936	1.45354185985592	1.94313738441042	1.12202836800168	0.367169192579086	0	DOWN_pEhEx_UP_U2AF84
EHI_031300A	1.21974657716876	2.26653321526902	0.369951006313263	1	11	9	59	19	5	84	1.42916065433368	1.18192598501095	17.1517939462998	1.53831709599158	0.623349093334268	6.16844243532865	0	DOWN_pEhEx_UP_U2AF84
EHI_031330A	-0.190323504717636	3.77134130211296	0.799572147198116	1	129	109	22	207	84	214	16.7601567644586	14.3144369295771	6.39558418336603	16.7595599405398	10.4722647680157	15.7148414423849	0	UP_pEhEx_DOWN_U2AF84
EHI_031350A	-1.14140932632034	1.39281450568799	0.107435675050418	1	8	13	6	31	23	60	1.03938956678813	1.7072264227936	1.7442502318271	2.50988578819679	2.86740582933763	4.40603031094903	0	UP_pEhEx_DOWN_U2AF84
EHI_031360A	-0.26574095894845	4.13539870493663	0.776866491570354	1	175	163	10	329	116	214	22.7366467734904	21.4059928396428	2.90708371971183	26.6371749779595	14.461698965355	15.7148414423849	0	UP_pEhEx_DOWN_U2AF84
EHI_031380A	0.270314198730084	2.57105867532077	0.867461485471617	1	8	13	56	13	3	193	1.03938956678813	1.7072264227936	16.2796688303863	1.05253274988898	0.374009456000561	14.1727308335527	0	DOWN_pEhEx_UP_U2AF84
EHI_031390A	-0.173175295160287	6.856950761295	0.809505582366262	1	1008	871	278	1518	939	1742	130.963085415305	114.384170327171	80.8169274079889	122.903439563959	117.064959728176	127.921746694554	0	UP_pEhEx_DOWN_U2AF84
EHI_031400A	0.758961769098445	10.7611835084978	0.337065551618101	1	9709	9496	13885	14090	10081	20015	1261.42916299325	1247.063239296	4036.48574481988	1140.78357276428	1256.79644198055	1469.77827789408	0	DOWN_pEhEx_UP_U2AF84
EHI_031410A	0.283055074784152	7.62359701690184	0.715940754474668	1	2121	2037	363	2730	1300	2044	275.568158894704	267.509247940812	105.52713902554	221.031877476685	162.07076426691	150.09876592633	0	DOWN_pEhEx_UP_U2AF84
EHI_031510A	0.360016335090678	0.597504868790551	0.788134843639309	1	15	17	0	19	9	10	1.94885543772775	2.23252686057624	0	1.53831709599158	1.12202836800168	0.734338385158172	0	DOWN_pEhEx_UP_U2AF84
EHI_031630A	-0.544218997577939	1.53394756392787	0.531319062618897	1	24	22	1	38	36	27	3.1181687003644	2.88915240780455	0.290708371971183	3.07663419198316	4.48811347200673	1.98271363992707	0	UP_pEhEx_DOWN_U2AF84
EHI_031640A	-0.904446084988554	1.43137150548991	0.414422249005767	1	16	22	0	30	44	24	2.07877913357627	2.88915240780455	0	2.42892173051302	5.48547202134156	1.76241212437961	0	UP_pEhEx_DOWN_U2AF84
EHI_031740A	0.130235640710429	0.533570917776662	0.96047531127576	1	16	12	0	13	11	15	2.07877913357627	1.57590131334794	0	1.05253274988898	1.37136800533539	1.10150757773726	0	DOWN_pEhEx_UP_U2AF84
EHI_032470A	-0.537221503005612	1.5925515752882	0.697658923178907	1	24	25	1	40	53	1	3.1181687003644	3.28312773614153	0.290708371971183	3.23856230735069	6.60750038934324	0.0734338385158172	0	UP_pEhEx_DOWN_U2AF84
EHI_032670A	-0.840545496533404	1.60141769133163	0.463668123411458	1	6	4	17	25	47	39	0.7795421750911	0.525300437782645	4.94204232351012	2.02410144209418	5.85948147734212	2.86391970211687	0	UP_pEhEx_DOWN_U2AF84
EHI_032780A	-1.24021783652082	2.68480256288562	0.122258604156164	1	23	18	20	63	97	120	2.98824500451588	2.3638519700219	5.81416743942366	5.10073563407734	12.0929724106848	8.81206062189807	0	UP_pEhEx_DOWN_U2AF84
EHI_033240A	-2.85742263840647	0.265086498626358	0.0443447961306908	1	0	0	3	12	18	23	0	0	0.87212511591355	0.971568692205208	2.24405673600336	1.6889782858638	0	UP_pEhEx_DOWN_U2AF84
EHI_033250A	-0.206876333079848	7.03359030743844	0.817204110644987	1	1319	1204	119	2187	1311	1089	171.369354824193	158.115431772576	34.5942962645708	177.068394154399	163.442132272245	79.969450143725	0	UP_pEhEx_DOWN_U2AF84
EHI_033680A	-0.205539152452041	2.7038075795262	0.868044666020974	1	48	76	4	102	93	5	6.2363374007288	9.98070831787026	1.16283348788473	8.25833388374427	11.5942931360174	0.367169192579086	0	UP_pEhEx_DOWN_U2AF84
EHI_033710A	0.506128958963546	12.5214376194009	0.591583804021567	1	19145	23342	52105	31107	51199	77259	2487.38915701985	3065.39070468063	15147.3597215585	2518.54894236895	6382.97004592424	5673.42492989352	0	DOWN_pEhEx_UP_U2AF84
EHI_033740A	-1.19763535446413	4.91315036862497	0.13789098929937	1	137	135	65	299	209	1015	17.7995463312468	17.7288897751643	18.8960441781269	24.2082532474464	26.0559921013724	74.5353460935545	0	UP_pEhEx_DOWN_U2AF84
EHI_033750A	0.320737570254559	0.87868784252721	0.858018432612677	1	17	23	0	22	18	4	2.20870282942478	3.02047751725021	0	1.78120926904288	2.24405673600336	0.293735354063269	0	DOWN_pEhEx_UP_U2AF84
EHI_033850A	-1.54119466346846	1.32180350575229	0.125885513391198	1	11	14	0	49	33	28	1.42916065433368	1.83855153223926	0	3.9672388265046	4.11410401600617	2.05614747844288	0	UP_pEhEx_DOWN_U2AF84
EHI_034010A	0.584981051238938	5.65075321726173	0.68195282048942	1	625	714	17	679	510	20	81.2023099053229	93.7661281442022	4.94204232351012	54.974595167278	63.5816075200953	1.46867677031634	0	DOWN_pEhEx_UP_U2AF84
EHI_034710A	-0.0317591713274547	1.05213702736653	0.984345184819504	1	14	27	0	23	30	0	1.81893174187923	3.54577795503286	0	1.86217332672665	3.74009456000561	0	0	UP_pEhEx_DOWN_U2AF84
EHI_035060A	-0.576142106358485	3.20693599235898	0.804780558922805	1	0	42	56	228	112	0	0	5.51565459671778	16.2796688303863	18.459805151899	13.9630196906876	0	0	UP_pEhEx_DOWN_U2AF84
EHI_035080A	0.445752224081701	5.53576932930679	0.606695165713324	1	197	229	359	358	304	686	25.5949680821578	30.0734500630564	104.364305537655	28.9851326507887	37.8996248747235	50.3756132218506	0	DOWN_pEhEx_UP_U2AF84
EHI_035090A	-0.572992052781574	8.75236451986868	0.634117058926477	1	3560	4178	97	8525	6019	1442	462.528357220719	548.676307263973	28.1987120812048	690.218591754117	750.387638555792	105.891595139808	0	UP_pEhEx_DOWN_U2AF84
EHI_035100A	1.1090840701755	1.0973177302582	0.383618076950961	1	8	2	24	16	2	29	1.03938956678813	0.262650218891323	6.9770009273084	1.29542492294028	0.249339637333707	2.1295813169587	0	DOWN_pEhEx_UP_U2AF84
EHI_035110A	-0.0272272102100302	1.40042146676472	0.974613751665154	1	30	17	3	41	20	21	3.8977108754555	2.23252686057624	0.87212511591355	3.31952636503446	2.49339637333707	1.54211060883216	0	UP_pEhEx_DOWN_U2AF84
EHI_035130A	0.527927881897899	1.64288345811666	0.603902748294008	1	13	8	27	21	8	60	1.68900804603072	1.05060087556529	7.84912604322195	1.70024521135911	0.997358549334829	4.40603031094903	0	DOWN_pEhEx_UP_U2AF84
EHI_035140A	1.35262587667001	2.63788907775998	0.28706953092282	1	18	15	76	27	7	97	2.3386265252733	1.96987664168492	22.0938362698099	2.18602955746172	0.872688730667975	7.12308233603427	0	DOWN_pEhEx_UP_U2AF84
EHI_035150A	1.07487107645931	0.475251562751724	0.132537634984141	1	13	9	7	14	4	8	1.68900804603072	1.18192598501095	2.03495860379828	1.13349680757274	0.498679274667414	0.587470708126538	0	DOWN_pEhEx_UP_U2AF84
EHI_035160A	1.13400853336265	1.48374330544758	0.424736559938579	1	37	39	2	32	18	0	4.80717674639511	5.12167926838079	0.581416743942367	2.59084984588056	2.24405673600336	0	0	DOWN_pEhEx_UP_U2AF84
EHI_035170A	-0.196121723018275	2.32696881428992	0.817351973059738	1	18	28	26	52	50	66	2.3386265252733	3.67710306447852	7.55841767125076	4.2101309995559	6.23349093334268	4.84663334204394	0	UP_pEhEx_DOWN_U2AF84
