logFC	logCPM	PValue	FDR	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_148470A	-2.17115414599569	5.73598188962972	0.000794655188038455	0.344735868847228	103	173	190	564	909	1038	17.3821832194397	24.1251290873894	16.3276698701547	50.7830640470864	126.738194433685	83.0974437167529	65.53	UP_pEhEx_DOWN_CDC5
EHI_005070A	-2.21651157806646	3.95276067369882	0.00134993074904231	0.353381930858556	33	48	46	174	154	476	5.56904899263603	6.69367743465141	3.95301481066902	15.6671155038884	21.4715972967959	38.1063422053703	64.66	UP_pEhEx_DOWN_CDC5
EHI_006960A	-2.07880657138508	0.853031957538095	0.00133517589912743	0.353381930858556	3	4	8	25	22	30	0.50627718114873	0.557806452887617	0.687480836638091	2.2510223425127	3.06737104239941	2.40166022302754	64.66	UP_pEhEx_DOWN_CDC5
EHI_030150A	2.92235317006336	1.18932500638144	0.00120036204008925	0.353381930858556	16	22	60	5	7	1	2.70014496612656	3.06793549088189	5.15610627478568	0.450204468502539	0.975981695308903	0.0800553407675847	64.66	DOWN_pEhEx_UP_CDC5
EHI_031240A	-3.00734077586513	4.65883579898791	0.000944902608291442	0.353381930858556	42	55	22	191	226	1058	7.08788053608222	7.66983872720474	1.89057230075475	17.197810696797	31.5102661628303	84.6985505321046	64.66	UP_pEhEx_DOWN_CDC5
EHI_054690A	-3.75738231348095	2.49832932457756	0.00120322559066177	0.353381930858556	8	4	4	26	30	294	1.35007248306328	0.557806452887617	0.343740418319045	2.34106323621321	4.18277869418101	23.5362701856699	64.66	UP_pEhEx_DOWN_CDC5
EHI_063340A	-3.01030322532504	2.83672944300897	0.00155511746605819	0.353381930858556	13	13	7	64	44	310	2.19386778497783	1.81287097188476	0.601545732058329	5.7626171968325	6.13474208479882	24.8171556379513	64.66	UP_pEhEx_DOWN_CDC5
EHI_086030A	2.88928645124953	1.24095076398604	0.00147095229756351	0.353381930858556	24	13	64	5	7	2	4.05021744918984	1.81287097188476	5.49984669310473	0.450204468502539	0.975981695308903	0.160110681535169	64.66	DOWN_pEhEx_UP_CDC5
EHI_087380A	-3.01030322532504	2.83672944300897	0.00155511746605819	0.353381930858556	13	13	7	64	44	310	2.19386778497783	1.81287097188476	0.601545732058329	5.7626171968325	6.13474208479882	24.8171556379513	64.66	UP_pEhEx_DOWN_CDC5
EHI_134840A	-2.31161497611211	2.90535493928429	0.00126865006838888	0.353381930858556	12	19	30	69	91	217	2.02510872459492	2.64958065121618	2.57805313739284	6.21282166533504	12.6877620390157	17.3720089465659	64.66	UP_pEhEx_DOWN_CDC5
EHI_148260A	2.00400618034369	1.54920176204641	0.00155114128035509	0.353381930858556	27	34	45	13	6	15	4.55649463033857	4.74135484954475	3.86707970608926	1.1705316181066	0.836555738836203	1.20083011151377	64.66	DOWN_pEhEx_UP_CDC5
EHI_068330A	-3.04576841058995	2.24777281379927	0.00248256368571935	0.455645919548182	6	12	3	41	31	200	1.01255436229746	1.67341935866285	0.257805313739284	3.69167664172082	4.32220465065372	16.0110681535169	54.44	UP_pEhEx_DOWN_CDC5
EHI_080100A	3.19493426497368	1.41193687732146	0.00233532990820043	0.455645919548182	26	28	58	3	9	0	4.38773556995566	3.90464517021332	4.98423606562616	0.270122681101524	1.2548336082543	0	54.44	DOWN_pEhEx_UP_CDC5
EHI_159820A	-1.92233204047943	3.16875442502902	0.00247293975085808	0.455645919548182	21	33	33	144	106	173	3.54394026804111	4.60190323632284	2.83585845113212	12.9658886928731	14.7791513861063	13.8495739527922	54.44	UP_pEhEx_DOWN_CDC5
