logFC	logCPM	PValue	FDR	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000700A	0.149145899479412	2.469689261934	0.895626697890685	1	79	66	2	79	52	39	8.74714331835611	7.05637384382242	0.717685239256696	6.06805474026146	6.2778906527061	2.84280730421851	0	DOWN_pEhEx_UP_EhMyb10
EHI_000710A	-0.379641447950905	1.31006418264707	0.735190719773852	1	23	29	0	46	26	14	2.54663666230621	3.10052790107349	0	3.5332976968611	3.13894532635305	1.02049492971947	0	UP_pEhEx_DOWN_EhMyb10
EHI_000720A	-0.0894493856251549	3.89453437745771	0.906525473703656	1	149	123	36	218	107	215	16.4977766384185	13.15051489076	12.9183343066205	16.7447586503418	12.9179673046068	15.6718864206918	0	UP_pEhEx_DOWN_EhMyb10
EHI_000730A	-0.40436095393648	6.7697981066214	0.645630277886132	1	945	448	359	916	835	2757	104.633549820842	47.8978103338249	128.824500446577	70.3587106592342	100.808436442492	200.964608659755	0	UP_pEhEx_DOWN_EhMyb10
EHI_000740A	0.838073156272272	3.40106548954066	0.319399560872777	1	109	175	25	124	79	45	12.0688433126686	18.7100821616504	8.9710654907087	9.52454161762559	9.53756464545734	3.28016227409828	0	DOWN_pEhEx_UP_EhMyb10
EHI_000780A	0.339817830930609	1.25719426810704	0.805851910213254	1	28	34	1	28	29	2	3.10025332802495	3.63510167712064	0.358842619628348	2.15070294591546	3.50113132554763	0.145784989959924	0	DOWN_pEhEx_UP_EhMyb10
EHI_000790A	0.214245904100363	3.57995559089686	0.823340654784483	1	60	80	64	71	40	306	6.64339998862489	8.55318041675445	22.9659276562143	5.45356818428562	4.82914665592777	22.3051034638683	0	DOWN_pEhEx_UP_EhMyb10
EHI_000800A	-0.0821687574308246	4.91767502346669	0.914956888158394	1	234	294	84	344	211	558	25.9092599556371	31.4329380315726	30.1427800487812	26.4229219069613	25.473748610019	40.6740121988187	0	UP_pEhEx_DOWN_EhMyb10
EHI_000900A	-0.965056253474431	1.9636694313763	0.284739984049122	1	16	18	11	27	35	112	1.77157333029997	1.92446559376975	3.94726881591183	2.07389212641847	4.2255033239368	8.16395943775572	0	UP_pEhEx_DOWN_EhMyb10
EHI_001040A	2.13192701251601	2.17262656363177	0.297766376420759	1	0	8	59	6	2	58	0	0.855318041675445	21.1717145580725	0.460864916981883	0.241457332796388	4.22776470883778	0	DOWN_pEhEx_UP_EhMyb10
EHI_001050A	-0.46379543365367	5.90087601102554	0.554000274305933	1	587	446	104	774	494	1207	64.9945965553802	47.6839808234061	37.3196324413482	59.4515742906629	59.6399612007079	87.9812414408139	0	UP_pEhEx_DOWN_EhMyb10
EHI_001060A	0.635610990106092	1.25816962339459	0.625567916448197	1	3	3	22	22	16	22	0.332169999431245	0.320744265628292	7.89453763182366	1.68983802893357	1.93165866237111	1.60363488955916	0	DOWN_pEhEx_UP_EhMyb10
EHI_001070A	-0.505526004031329	5.60835004638592	0.691817994763604	1	642	449	3	892	651	327	71.0843798782864	48.0047250890344	1.07652785888504	68.5152509913066	78.5943618252244	23.8358458584475	0	UP_pEhEx_DOWN_EhMyb10
EHI_001100A	0.798655279798388	3.58474100593943	0.570195719128338	1	23	36	109	25	19	298	2.54663666230621	3.8489311875395	39.1138455394899	1.92027048742451	2.29384466156569	21.7219635040286	0	DOWN_pEhEx_UP_EhMyb10
EHI_001120A	-0.452531200806645	2.84065771427245	0.670726198750491	1	123	28	2	105	90	71	13.618969976681	2.99361314586406	0.717685239256696	8.06513604718296	10.8655799758375	5.17536714357729	0	UP_pEhEx_DOWN_EhMyb10
EHI_001130A	0.448062855886322	7.06873576230113	0.751634988263639	1	1586	2481	64	1537	1816	39	175.607206365985	265.255507674597	22.9659276562143	118.058229566859	219.243258179121	2.84280730421851	0	DOWN_pEhEx_UP_EhMyb10
EHI_001140A	-0.406948065081144	1.41075601808624	0.693326210591966	1	19	19	6	57	30	5	2.10374332973122	2.03138034897918	2.15305571777009	4.37821671132789	3.62185999194582	0.364462474899809	0	UP_pEhEx_DOWN_EhMyb10
EHI_001150A	0.242654335172547	2.68525793504064	0.80507470923933	1	78	86	6	115	47	36	8.63641998521236	9.19466894801104	2.15305571777009	8.83324424215276	5.67424732071512	2.62412981927862	0	DOWN_pEhEx_UP_EhMyb10
EHI_001180A	1.77505854682174	3.69343509603653	0.34839329330313	1	7	11	162	11	4	221	0.775063332006238	1.17606230730374	58.1325043797924	0.844919014466786	0.482914665592777	16.1092413905716	0	DOWN_pEhEx_UP_EhMyb10
EHI_001400A	-0.115265118910315	7.60705330299314	0.884276064687154	1	2110	2029	307	2391	1910	2653	233.626232933309	216.930038319935	110.164684225903	183.65466941728	230.591752820551	193.383789181839	0	UP_pEhEx_DOWN_EhMyb10
EHI_001410A	-0.322678645698933	1.0562317537512	0.636639089633014	1	20	17	2	35	14	26	2.21446666287496	1.81755083856032	0.717685239256696	2.68837868239432	1.69020132957472	1.89520486947901	0	UP_pEhEx_DOWN_EhMyb10
EHI_001420A	-0.356864824212839	9.59083520719372	0.72933085063933	1	10326	7310	287	12112	10697	5153	1143.32913804234	781.546860580938	102.987831833336	930.332645747428	1291.43454446148	375.615026631743	0	UP_pEhEx_DOWN_EhMyb10
EHI_001430A	-0.00646336103049854	0.274455630331974	1	1	9	11	2	12	16	3	0.996509998293734	1.17606230730374	0.717685239256696	0.921729833963767	1.93165866237111	0.218677484939885	0	UP_pEhEx_DOWN_EhMyb10
EHI_001635A	-0.0834965961229269	4.52888408702464	0.961040005282654	1	535	67	0	548	210	42	59.2369832319053	7.16328859903185	0	42.0923290843453	25.3530199436208	3.0614847891584	0	UP_pEhEx_DOWN_EhMyb10
EHI_001780A	-0.183698386404705	9.88565499680965	0.859608844620432	1	3162	7441	4212	6330	2494	30597	350.107179400532	795.552693513373	1511.4451138746	486.212487415887	301.097293997096	2230.29166890189	0	UP_pEhEx_DOWN_EhMyb10
EHI_001800A	0.94884864558225	1.29066552104532	0.46442704643617	1	7	16	19	12	1	49	0.775063332006238	1.71063608335089	6.81800977293861	0.921729833963767	0.120728666398194	3.57173225401813	0	DOWN_pEhEx_UP_EhMyb10
EHI_001810A	-0.283298985792371	5.51978019187583	0.759518796629471	1	501	537	29	847	447	431	55.4723899050179	57.4132235474643	10.4064359692221	65.0587641139425	53.9657138799928	31.4166653363635	0	UP_pEhEx_DOWN_EhMyb10
EHI_001820A	-0.737105212075182	1.19099270361237	0.450963006439077	1	25	15	0	34	21	36	2.76808332859371	1.60372132814146	0	2.61156786289734	2.53530199436208	2.62412981927862	0	UP_pEhEx_DOWN_EhMyb10
EHI_001830A	-0.84069288904271	2.26153056013784	0.278252192023813	1	33	42	4	70	39	104	3.65386999374369	4.49041971879609	1.43537047851339	5.37675736478864	4.70841798952957	7.58081947791603	0	UP_pEhEx_DOWN_EhMyb10
EHI_001840A	0.53498868777996	4.55074523390448	0.539429399686517	1	168	141	137	167	124	399	18.6015199681497	15.0749804845297	49.1614388890837	12.8274068559958	14.9703546333761	29.0841054970048	0	DOWN_pEhEx_UP_EhMyb10
EHI_001850A	-0.234332459325793	4.51601019150355	0.777412371975354	1	216	143	65	235	131	543	23.9162399590496	15.2888099949486	23.3247702758426	18.0505425817904	15.8154552981634	39.5806247741193	0	UP_pEhEx_DOWN_EhMyb10
EHI_001870A	0.256594127385503	0.518232733789658	0.754923325360059	1	11	5	7	13	3	26	1.21795666458123	0.534573776047153	2.51189833739844	0.998540653460747	0.362185999194582	1.89520486947901	0	DOWN_pEhEx_UP_EhMyb10
EHI_001910A	1.08620343864217	2.06462275961653	0.308615256350094	1	17	22	35	22	9	67	1.88229666344372	2.35212461460747	12.5594916869922	1.68983802893357	1.08655799758375	4.88379716365744	0	DOWN_pEhEx_UP_EhMyb10
EHI_001930A	1.03514797781192	1.41232154497204	0.453650341111143	1	4	10	25	7	3	55	0.442893332574993	1.06914755209431	8.9710654907087	0.537675736478864	0.362185999194582	4.0090872238979	0	DOWN_pEhEx_UP_EhMyb10
EHI_001940A	1.76764804118955	8.5076956805636	0.228997674859489	1	505	257	4472	1316	1251	3341	55.9152832375929	27.4770920888237	1604.74419497797	101.083038458026	151.031561664141	243.533825728052	0	DOWN_pEhEx_UP_EhMyb10
EHI_001950A	-0.499580612737926	4.13499892477859	0.70181107898191	1	236	150	2	338	267	38	26.1307066219246	16.0372132814146	0.717685239256696	25.9620569899794	32.2345539283178	2.76991480923855	0	UP_pEhEx_DOWN_EhMyb10
EHI_001990A	-0.410638215580094	2.08595439720562	0.684057170099571	1	40	19	11	54	8	118	4.42893332574993	2.03138034897918	3.94726881591183	4.14778425283695	0.965829331185553	8.60131440763549	0	UP_pEhEx_DOWN_EhMyb10
EHI_002110A	0.170429118933182	3.53329064942519	0.854596303730381	1	132	139	18	227	89	54	14.6154799749748	14.8611509741109	6.45916715331026	17.4360560258146	10.7448513094393	3.93619472891794	0	DOWN_pEhEx_UP_EhMyb10
EHI_002130A	0.0342717450871996	3.77755988227991	0.977374178907175	1	193	144	11	227	118	115	21.3696032967434	15.395724750158	3.94726881591183	17.4360560258146	14.2459826349869	8.38263692269561	0	DOWN_pEhEx_UP_EhMyb10
EHI_002140A	0.601633973937681	5.57230424858942	0.484561598439125	1	306	396	266	359	232	786	33.881339941987	42.3382430629345	95.4521368211406	27.575084199416	28.009050604381	57.29350105425	0	DOWN_pEhEx_UP_EhMyb10
EHI_002150A	0.739623728457442	1.66511538533624	0.368007188330358	1	20	20	20	36	20	20	2.21446666287496	2.13829510418861	7.17685239256696	2.7651895018913	2.41457332796388	1.45784989959924	0	DOWN_pEhEx_UP_EhMyb10
EHI_002160A	0.0278793990217342	7.17506293986302	0.97739756747682	1	1843	1868	92	1930	1532	1311	204.063102983928	199.716762731216	33.013521005808	148.244881629172	184.956316922033	95.5620609187299	0	DOWN_pEhEx_UP_EhMyb10
EHI_002180A	0.0354926510271588	5.40196661646635	0.975224304479077	1	613	507	15	784	300	387	67.8734032171177	54.2057808911813	5.38263929442522	60.2196824856327	36.2185999194582	28.2093955572452	0	DOWN_pEhEx_UP_EhMyb10
EHI_002190A	-0.363982541685835	4.10188308621592	0.791173348440891	1	153	219	11	185	353	6	16.9406699709935	23.4143313908653	3.94726881591183	14.2100016069414	42.6172192385625	0.437354969879771	0	UP_pEhEx_DOWN_EhMyb10
EHI_002200A	0.698779078890336	4.00784315957436	0.564851812341307	1	247	273	6	253	124	26	27.3486632865058	29.1877281721746	2.15305571777009	19.4331373327361	14.9703546333761	1.89520486947901	0	DOWN_pEhEx_UP_EhMyb10
EHI_002210A	0.213963569517621	1.24478225995736	0.763738086377194	1	17	16	10	27	20	20	1.88229666344372	1.71063608335089	3.58842619628348	2.07389212641847	2.41457332796388	1.45784989959924	0	DOWN_pEhEx_UP_EhMyb10
EHI_002670A	0.754403426255594	5.87532082656045	0.503942238032846	1	169	190	507	352	282	955	18.7122433012935	20.3138034897918	181.933208151572	27.0374084629372	34.0454839242907	69.6123327058635	0	DOWN_pEhEx_UP_EhMyb10
EHI_002780A	2.41239621651055	5.53518318479494	0.193925590624235	1	21	36	636	47	20	520	2.32518999601871	3.8489311875395	228.223906083629	3.61010851635809	2.41457332796388	37.9040973895801	0	DOWN_pEhEx_UP_EhMyb10
EHI_002790A	-0.183720466260712	2.42429654032797	0.839129344657903	1	29	37	21	48	47	96	3.2109766611687	3.95584594274893	7.53569501219531	3.68691933585507	5.67424732071512	6.99767951807633	0	UP_pEhEx_DOWN_EhMyb10
EHI_002990A	0.0908658978636969	2.16355935689345	0.937107359866349	1	45	55	6	83	37	22	4.98254999146867	5.88031153651869	2.15305571777009	6.37529801824939	4.46696065673318	1.60363488955916	0	DOWN_pEhEx_UP_EhMyb10
EHI_003000A	0.0997200711962294	3.11966636597776	0.894848110549846	1	68	92	25	100	60	132	7.52918665377488	9.83615747926762	8.9710654907087	7.68108194969805	7.24371998389165	9.62180933735496	0	DOWN_pEhEx_UP_EhMyb10
