pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_089770A	37.1587431139726	0.0579762708474589	5.93356274079422	1	9.32402344909423	0	0	51	35	0.573633966341356	0.579149527131624	36.3225438295398	38.4348887451497	100	UP_pEhEx_DOWN_U2AF84
EHI_105180A	10307.7073858342	12168.099659666	-2.77759624215757	1	-0.239380386434167	10491	10497	14541	9451	12035.9878817743	12158.6651726013	10356.1982318694	10378.5181008689	100	DOWN_pEhEx_UP_U2AF84
EHI_127330A	16514.1601295822	21467.6337854894	-2.96825944970389	1	-0.378459583130039	18941	18097	22288	15802	21730.4019129432	20961.737985002	15873.6638602506	17352.8031985959	100	DOWN_pEhEx_UP_U2AF84
EHI_140370A	16619.6261723502	20700.4294518486	-2.90194465094468	1	-0.316772766512443	18381	17336	22786	15670	21087.9318706409	20080.2724047077	16228.342817645	17207.8487610427	100	DOWN_pEhEx_UP_U2AF84
EHI_140640A	39.0911795042916	0.0579762708474589	3.53564048676814	1	9.39716486132748	0	0	32	51	0.573633966341356	0.579149527131624	22.7906157361818	56.0051236000753	100	UP_pEhEx_DOWN_U2AF84
EHI_156660A	8678.50934165624	3997.61910640345	5.60442987921745	1	1.11830624191639	3568	3330	12553	7754	4093.45198381191	3857.13585069662	8940.33122925907	8514.97506656831	100	UP_pEhEx_DOWN_U2AF84
EHI_156690A	31513.7537907424	47149.4040894287	-2.58486465347329	1	-0.581257924539293	43643	37750	46465	27579	50070.2143860716	43725.7892984376	33092.6862556777	30285.5941914995	100	DOWN_pEhEx_UP_U2AF84
EHI_161180A	11480.1701920981	14208.5161467188	-2.63283055498522	1	-0.307611865974269	12145	12360	16421	10378	13933.5690424315	14316.5763106937	11695.14690637	11396.4935827761	100	DOWN_pEhEx_UP_U2AF84
EHI_169100A	12287.79949739	15330.1718569856	-2.61478843877606	1	-0.319147289635519	13611	12840	17726	11010	15615.4638317444	14872.5598567401	12624.5767043612	12090.5178595457	100	DOWN_pEhEx_UP_U2AF84
EHI_181180A	11021.0553853428	15456.1909921635	-2.55341570272088	1	-0.4879224425902	13968	12706	14732	10639	16025.0384837121	14717.3477834688	10492.2297195447	11683.1080388471	100	DOWN_pEhEx_UP_U2AF84
EHI_195110A	0.0449518903185059	419.47152868059	-4.66814521179097	1	-13.1879034864009	559	169	0	0	641.322774369636	195.752540170489	0.356103370877841	0.549069839216425	100	DOWN_pEhEx_UP_U2AF84
EHI_098470A	4385.90067666195	0.0579762708474589	4.39522551599228	1	16.2070510761879	0	0	486	7755	0.573633966341356	0.579149527131624	346.132476493261	8516.07320624675	100	UP_pEhEx_DOWN_U2AF84
EHI_160980A	18427.6636770281	11140.9300137167	1.81886064912822	1	0.726003502835816	8579	10614	23229	18708	9842.41159448498	12294.1861619501	16543.8504042427	20543.9971041217	100	UP_pEhEx_DOWN_U2AF84
EHI_033240A	14.0480230555302	0.0579762708474589	3.01931215659341	1	7.92068886310994	0	0	12	18	0.573633966341356	0.579149527131624	8.54648090106818	19.7665142117913	100	UP_pEhEx_DOWN_U2AF84
EHI_036530A	60267.0385728841	77960.4159666578	-2.70490494211372	1	-0.371372613501945	70780	63770	86275	54435	81203.6242752823	73864.7306903673	61445.6366449714	59777.2333954921	100	DOWN_pEhEx_UP_U2AF84
