CmasM_1	CmasM_2	pEhEx_1	pEhEx_2
EHI_001870A	13.2102224826442	3.15735205660167	9.42529455467139	3.35561079086071
EHI_001910A	26.4204449652884	12.6294082264067	15.9504984771362	10.0668323725821
EHI_001940A	247.391439220427	750.397338785664	954.129817995965	1399.28969978892
EHI_001950A	147.714305942294	262.060220697939	245.057658421456	298.649360386603
EHI_001990A	30.0232329151004	31.5735205660167	39.1512235347889	8.94829544229523
EHI_002110A	129.700366193234	196.808278194837	164.580143377724	99.5497867955344
EHI_002130A	158.52266979173	128.398983635135	164.580143377724	131.987357773855
EHI_002140A	369.886229514037	266.270023440074	260.283134240541	259.500567826562
EHI_002150A	25.2195156486843	25.2588164528134	26.1008156898592	22.3707386057381
EHI_002160A	1928.69248246605	1407.12656655881	1399.29373003968	1713.59857719954
EHI_002180A	683.328781147685	688.302748339164	568.41776391249	335.561079086071
EHI_002190A	132.102224826442	522.015540024809	134.129191739554	394.843536391277
EHI_002200A	254.597015120051	247.325911100464	183.430732487066	138.698579355576
EHI_002210A	24.0185863320803	19.9965630251439	19.5756117673944	22.3707386057381
EHI_002670A	199.354266556267	196.808278194837	255.207975634179	315.427414340907
EHI_002780A	24.0185863320803	23.1539150817456	34.0760649284273	22.3707386057381
EHI_002790A	27.6213742818924	33.6784219370845	34.801087586479	52.5712357234845
EHI_002990A	48.0371726641607	49.4651822200928	60.1768806182866	41.3858664206154
EHI_003000A	132.102224826442	83.1436041571773	72.5022658051645	67.1122158172142
EHI_003010A	644.899043016357	892.478181332739	888.877778771317	1203.54573698871
EHI_003040A	13.2102224826442	9.47205616980501	13.7754305029813	13.4224431634428
EHI_003240.mRNA	66.0511124132209	10.5245068553389	53.6516766958218	5.59268465143452
EHI_003260A	1726.93635727658	1159.80065545835	1041.13253696216	1247.1686772699
EHI_003890A	43.2334553977446	23.1539150817456	25.3757930318076	11.185369302869
EHI_003900A	19.2148690656643	27.3637178238811	27.5508610059625	27.9634232571726
EHI_003930A	114.088285077382	194.70337682377	99.3281041530754	181.202982706478
EHI_003940A	7000.21698648481	10759.203358213	9297.6905668543	10697.6872012639
EHI_003950A	18.0139397490602	11.5769575408728	17.4005437932395	10.0668323725821
EHI_004170A	526.007040672559	738.820381244791	824.350762204721	1303.09552378424
EHI_004190A	44.4343847143486	36.8357739936862	32.626019612324	27.9634232571726
EHI_004200A	87116.6135557719	53667.6178074297	44606.2940139694	64702.8872693762
EHI_004230A	351.872289764977	373.619993364531	464.014501153053	607.365553145789
EHI_004350A	22.8176570154763	66.3043931886351	58.7268353021833	81.653195910944
EHI_004370A	264.204449652884	125.241631578533	238.532454498991	286.345454153447
EHI_004380A	407.115038328761	472.550357804717	479.964999630189	482.089416953655
EHI_004400A	70.8548296796369	150.500448031346	168.930279326033	253.907883175127
EHI_004430A	109.284567810965	181.021517911829	57.27678998608	68.2307527475011
EHI_004440A	61.2473951468048	0	136.304259713709	108.49808223783
EHI_004470A	14.4111517992482	17.8916616540761	13.0504078449296	5.59268465143452
EHI_004490A	404.713179695553	209.437686421244	295.809244485071	598.417257703493
EHI_004510A	7.2055758996241	8.41960548427112	8.70027189661975	2.23707386057381
EHI_004530A	127.298507560026	121.031828836397	79.0274697276294	70.4678266080749
EHI_004550A	3205.28034601612	2153.31410260234	1854.60795929611	3959.62073321564
EHI_004560A	3.60278794981205	6.31470411320334	12.325385186878	14.5409800937297
EHI_004570A	91.2706280619052	102.087716496787	123.978874526831	97.3127129349606
EHI_004580A	14.4111517992482	14.7343095974745	18.1255664512911	26.8448863268857
EHI_004590A	38.4297381313285	25.2588164528134	34.801087586479	34.674644838894
EHI_004600A	593.259082402384	600.949341439851	656.145505536739	966.415907767885
EHI_004610A	74.457617629449	87.3534068993129	100.053126811127	117.446377680125
EHI_004630A	9.60743453283213	8.41960548427112	4.35013594830987	2.23707386057381
EHI_004640A	169.331033641166	149.447997345812	138.479327687864	102.905397586395
EHI_004750A	271.410025552508	410.455767358217	342.935717258428	336.679616016358
EHI_004760A	528.408899305767	603.054242810919	534.341698984063	655.462641148125
EHI_004770A	377.091805413661	271.532276867744	301.609425749485	281.8713064323
EHI_004780A	199.354266556267	226.276897389786	219.681865389649	168.899076473322
EHI_004790A	3967.87046205967	4802.33247809114	4585.76831217666	5409.24459486747
