pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_163670A	3701.65505570379	1420.37798477273	1.44289922880095	0.992826230129525	1.38189555725079	1184	1265	3643	4428	1358.36523229633	1465.24830364301	2594.56916021595	4862.56249610066	99.28	UP_pEhEx_DOWN_U2AF84
EHI_169350A	2526.87358473717	291.172560081521	1.44356936152986	0.992659058423166	3.11740718208187	153	347	1248	3834	175.531993700455	401.929771829347	888.834013711091	4210.26752711154	99.27	UP_pEhEx_DOWN_U2AF84
EHI_096340A	2180.61532983162	1077.26495255942	1.45653994114027	0.989623880081899	1.01736217129304	880	977	2553	2342	1009.59578076079	1131.65817601519	1818.26381170225	2571.84312688973	98.96	UP_pEhEx_DOWN_U2AF84
EHI_177520A	2079.52485106672	761.178979170976	1.35046042400406	0.988312088270889	1.44994630021038	484	825	2107	2448	555.277679418432	955.59671976718	1500.61960487922	2688.24593280361	98.83	UP_pEhEx_DOWN_U2AF84
EHI_020080A	838.630883577036	368.395580789799	1.46564066115469	0.988067529820221	1.18678020490795	299	336	1073	841	343.033111872131	389.188482232451	764.197833903846	923.535469562026	98.81	UP_pEhEx_DOWN_U2AF84
EHI_188880A	83.9515564867895	6.95715250169506	1.4690792471137	0.98766622285455	3.592988223176	6	6	68	110	6.88360759609627	6.94979432557949	48.4300584393863	120.795364627613	98.77	UP_pEhEx_DOWN_U2AF84
EHI_030070A	18100.2655774496	9002.33784809176	1.4698538890034	0.987590225598697	1.00763925185975	5049	10417	22124	18829	5792.55579211501	12066.0012482603	15756.8619546027	20676.8720052121	98.76	UP_pEhEx_DOWN_U2AF84
EHI_017750A	816.057606628909	291.240550661083	1.47738152208315	0.987077347888258	1.48645975552761	236	266	950	880	270.75523211312	308.107548434024	676.596404667897	966.362917020907	98.71	UP_pEhEx_DOWN_U2AF84
EHI_114920A	2092.94119806615	457.062412742067	1.48197209898707	0.98692775154395	2.19506869252777	158	625	1963	2567	181.268333363868	723.93690891453	1398.0618340664	2818.92455453712	98.69	UP_pEhEx_DOWN_U2AF84
EHI_090020A	16890.6437409901	5442.11519843645	1.49128873032172	0.986771188771935	1.63398491266477	2808	6536	16174	20499	3221.52835497305	7570.64261866459	11519.2318411564	22510.765268195	98.68	UP_pEhEx_DOWN_U2AF84
EHI_048140A	1666.97312626097	368.793489226196	1.34094471069023	0.985476948189585	2.17634575502187	181	452	1320	2204	207.655495815571	523.551172526988	940.1128991175	2420.299851266	98.55	UP_pEhEx_DOWN_U2AF84
EHI_178340A	3309.86047553656	395.875944018802	1.52963496785783	0.984789562373506	3.06365009501556	217	463	1876	4864	248.957141392148	536.292462123884	1336.09984753366	5341.35139589738	98.48	UP_pEhEx_DOWN_U2AF84
EHI_155680A	534.128887615812	117.778353923305	1.53558757761889	0.984634567828669	2.18111349689467	95	108	550	623	108.990453604858	125.096297860431	391.713707965625	684.141019663665	98.46	UP_pEhEx_DOWN_U2AF84
EHI_134810A	921.602166022291	318.201769272304	1.53675537506823	0.984619281490339	1.534202250125	193	354	1181	923	221.422711007763	410.03786520919	841.11616201346	1013.58292319352	98.46	UP_pEhEx_DOWN_U2AF84
EHI_197480A	20741.3694867999	7756.80142818373	1.53827376192027	0.984599913407121	1.41897737920541	3594	9715	22670	23333	4123.28095006167	11252.8753121675	16145.7268356013	25622.8931168737	98.46	UP_pEhEx_DOWN_U2AF84
EHI_058090A	2984.9724482671	1236.89342948519	1.53854461564058	0.98459644071415	1.27099641194062	1047	1086	3209	3393	1201.1895255188	1257.91277292989	2285.47143429398	3725.98792892266	98.46	UP_pEhEx_DOWN_U2AF84
