U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2
EHI_001140A	20.6508227882888	26.6408782480547	40.5957842800739	32.9441903529855
EHI_001150A	91.7814346146169	85.7141300154804	81.9037753019034	51.6125648863439
EHI_001180A	9.17814346146169	2.3165981085265	7.8342741593125	4.3925587137314
EHI_001400A	2121.29840753033	1958.68370075915	1702.88631953783	2097.44678580674
EHI_001410A	25.2398945190197	24.3242801395282	24.9272359614489	15.3739554980599
EHI_001420A	8019.40284945215	10224.3057519817	8626.24805614482	11746.8001401962
EHI_001430A	8.03087552877898	10.4246914883692	8.54648090106818	17.5702348549256
EHI_001635A	328.118628747256	527.026069689778	390.289294482114	230.609332470898
EHI_001780A	5553.92406211701	3604.62665686723	4508.26867531346	2738.76035801153
EHI_001800A	8.03087552877898	9.26639243410598	8.54648090106818	1.09813967843285
EHI_001810A	541.51046422624	494.593696170407	603.239110267062	490.868436259484
EHI_001820A	16.061751057558	0	24.2150292196932	23.0609332470898
EHI_001830A	33.2707700477986	35.9072706821607	49.8544719228977	42.8274474588811
EHI_001840A	103.254113941444	123.937998806168	118.938525873199	136.169320125673
EHI_001850A	150.292099181435	154.053774217012	167.368584312585	143.856297874703
EHI_001910A	32.1235021151159	15.0578877054222	15.668548318625	9.88325710589564
EHI_001940A	385.482025381391	566.408237534728	937.264072150477	1373.77273771949
EHI_001950A	191.593744758013	236.293007069703	240.72587871342	293.203294141571
EHI_001990A	30.9762341824332	19.6910839224752	38.4591640548068	8.78511742746279
EHI_002110A	153.733902979483	169.111661922434	161.67093037854	97.7344313805236
EHI_002130A	133.083080191195	136.679288403063	161.67093037854	129.580482055076
EHI_002140A	315.498681487746	289.574763565812	255.68222029029	254.768405396421
EHI_002150A	27.5344303843851	20.8493829767385	25.6394427032045	21.962793568657
EHI_002160A	1622.23685681335	1522.00495730191	1374.55901158847	1682.34998735912
EHI_002180A	712.453386195964	606.948704433942	558.370085536454	329.441903529855
EHI_002190A	100.959578076079	309.265847488287	131.758247224801	387.643306486796
EHI_002200A	268.460696247755	281.466670185969	180.188305664187	136.169320125673
EHI_002210A	19.5035548556061	18.532784868212	19.2295820274034	21.962793568657
EHI_002670A	196.182816488744	138.99588651159	250.696773098	309.675389318063
EHI_002780A	44.7434493746258	30.1157754108444	33.473716862517	21.962793568657
EHI_002790A	34.4180379804814	34.7489716278974	34.1859236042727	51.6125648863439
EHI_002990A	60.8052004321837	40.5404668992137	59.1131595657216	40.6311681020154
EHI_003000A	80.3087552877898	88.0307281240068	71.2206741755682	65.8883807059709
EHI_003010A	687.213491676944	860.616197317593	873.165465392466	1181.59829399375
EHI_003040A	14.9144831248753	15.0578877054222	13.5319280933579	13.1776761411942
EHI_003240.mRNA	161.764778508262	96.1388215038496	52.7032988899204	5.49069839216425
EHI_003260A	1561.43165638117	1357.52649159653	1022.72888116116	1224.42574145263
EHI_003890A	43.596181441943	30.1157754108444	24.9272359614489	10.9813967843285
EHI_003900A	22.9453586536542	20.8493829767385	27.0638561867159	27.4534919608212
