CDC5_1	CDC5_2	pEhEx_1	pEhEx_2
EHI_002670A	169.924022015111	194.76631056543	237.707117938649	296.597161310788
EHI_002780A	51.2469272743986	31.9108644429236	31.7393026793083	21.0352596674318
EHI_002790A	31.0178770345044	27.5093658990721	32.414606991634	49.4328602184647
EHI_002990A	41.8067038291147	55.0187317981442	56.0502579230338	38.9152303847488
EHI_003000A	110.585474644755	77.0262245174018	67.5304312325709	63.1057790022953
EHI_003010A	663.512847868529	672.328902573322	827.923086911319	1131.69697010783
EHI_003040A	4.04581004797884	14.3048702675175	12.8307819341885	12.6211558004591
EHI_003240.mRNA	59.3385473703563	127.643457771694	49.9725191121024	5.25881491685794
EHI_003260A	875.243573712755	1237.92146545824	969.736992499718	1172.71572645932
EHI_003890A	52.5955306237249	44.0149854385153	23.6356509313998	10.5176298337159
