UmasM_1	UmasM_2	pEhEx_1	pEhEx_2
EHI_004750A	357.498732207565	368.283086433171	383.871324296601	384.553306503963
EHI_004760A	630.953902808439	485.820241677799	598.125086694704	748.665241233628
EHI_004770A	407.673992868276	225.671338069687	337.611989233374	321.951605445178
EHI_004780A	298.54280093123	195.111677706084	245.904886388732	192.915446119928
EHI_004790A	5801.51451389469	4040.14381627538	5133.16305745455	6178.40461878127
EHI_004800A	124.183770135259	98.7312104054883	133.908601498814	80.4879013612945
EHI_004810A	1231.80264922045	771.82731943973	877.304231637686	912.196215428004
EHI_004820A	235.823725105341	184.925124251549	215.876896961725	258.0723186505
EHI_004830A	178.122175345523	163.768436307516	172.052263743931	200.580960535289
EHI_004840A	692.41859711781	956.752443691279	1187.32293328949	1908.71308942498
EHI_004850A	13.7981966816955	25.8581741538184	16.2313456362199	7.66551441536138
EHI_004860A	265.928881501767	555.558953789613	575.401202803996	550.639452170126
EHI_004870A	16.306959714731	23.5074310489258	24.3470184543299	14.0534430948292
EHI_004880A	163.06959714731	495.22321409737	384.682891578412	633.682525003207
EHI_004900A	51.4296421772286	21.1566879440332	32.4626912724398	53.6586009075297
EHI_004930A	36.3770639790154	88.5446569509538	84.4029973083436	98.3741016638044
EHI_004940A	109.131191937046	145.74607250334	133.097034217003	148.199945363653
EHI_004960A	183.139701411595	148.096815608232	185.848907534718	172.474074345631
EHI_004970A	836.672471517353	258.581741538184	517.779925795415	314.286091029817
EHI_004980A	15.0525781982133	11.7537155244629	18.6660474816529	17.8862003025099
EHI_004990A	50.1752606607108	47.7984431328157	45.4477677814158	75.3775584177202
EHI_005000A	17.5613412312488	29.7760793286393	30.0279894270068	48.5482579639554
EHI_005010A	62.7190758258886	235.857891524222	160.690321798577	242.741289819777
EHI_005020A	568.23482698255	1669.02760447373	1274.16063244326	2055.63544905274
EHI_005030A	5.01752606607108	14.1044586293555	12.1735092271649	30.6620576614455
EHI_005040A	5.01752606607108	34.4775655384245	12.1735092271649	22.9965432460841
EHI_005060A	377.568836471849	509.327672726725	591.632548440216	1023.34617445074
EHI_005070A	53.9384052102642	194.32809667112	141.212707035113	196.748203327609
EHI_005080A	77.7716540241018	47.0148620978516	67.3600843903127	74.0999726818267
EHI_005100A	27.596393363391	124.589384559307	87.6492664355875	109.872373286846
EHI_005120A	17.5613412312488	10.1865534545345	11.3619419453539	11.4982716230421
EHI_005130A	110.385573453564	121.45506041945	115.242554017161	111.14995902274
EHI_005140A	339.937390976316	258.581741538184	288.106385042904	519.97739450868
EHI_005150A	1440.0299809624	2754.28733789914	2220.44808303488	2233.21986634195
EHI_005260A	27.596393363391	6.26864827971354	5.68097097267697	8.94310015125494
EHI_005460A	4262.38839312739	1955.81826327062	2694.40337561251	3054.70749452151
EHI_005657A	16.306959714731	8.61939138460612	9.73880738173195	17.8862003025099
EHI_005860A	17.5613412312488	82.2760086712402	32.4626912724398	34.4948148691262
EHI_005870A	361.261876757118	263.283227747969	307.583999806367	410.105021221834
EHI_005890A	26458.6693279093	12248.1551575253	15740.3474307243	15719.4148944344
EHI_005900A	30.1051563964265	36.0447276083529	40.5783640905498	43.4379150203812
EHI_005910A	570.743590015586	456.827743384124	426.884390232584	332.172291332326
EHI_005920A	17.5613412312488	6.26864827971354	5.68097097267697	5.11034294357425
EHI_005940A	107.876810420528	93.2461431607389	111.184717608106	48.5482579639554
EHI_005950A	159.306452597757	252.31309325847	251.585857361409	329.617119860539
EHI_005960A	15.0525781982133	112.835669034844	29.2164221451958	66.4344582664653
EHI_005970A	19129.318126896	5982.64120195161	10299.6003734633	9930.67392510067
EHI_006000A	5.01752606607108	12.5372965594271	9.73880738173195	3.83275720768069
EHI_006010A	196.93789809329	146.529653538304	165.559725489443	158.420631250802
EHI_006020A	17.5613412312488	14.8880396643197	13.7966437907869	3.83275720768069
EHI_006030A	53.9384052102642	97.9476293705241	97.3880738173195	77.9327298895074
EHI_006040A	43.903353078122	42.3133758880664	26.7817202997629	15.3310288307228
EHI_006050A	262.165736952214	186.492286321478	214.253762398103	200.580960535289
EHI_006060A	26.3420118468732	39.9626327831738	26.7817202997629	37.0499863409133
EHI_006070A	2072.23826528736	1524.06511300535	2115.75590368127	2418.46979804652
EHI_006130A	33.8683009459798	38.3954707132454	41.3899313723608	42.1603292844876
EHI_006150A	71.499746441513	37.6118896782812	42.2014986541718	33.2172291332326
EHI_006160A	62.7190758258886	108.917763860023	133.097034217003	104.762030343272
EHI_006170A	85.2979431232084	251.529512223506	202.891820452749	427.991221524344
EHI_006190A	159.306452597757	108.917763860023	115.242554017161	117.537887702208
EHI_006200A	82.7891800901729	0	48.6940369086597	0
EHI_006550A	85.2979431232084	100.298372475417	84.4029973083436	75.3775584177202
EHI_006670A	2986.68239082881	1590.66950097731	2176.62344981709	1846.1113883662
EHI_006680A	67.7366018919596	0	64.9253825448797	76.6551441536138
EHI_006690A	3.76314454955331	14.8880396643197	9.73880738173195	10.2206858871485
EHI_006700A	28.8507748799087	80.7088466013118	33.2742585542508	31.9396433973391
EHI_006710A	10.0350521321422	27.4253362237467	22.7238838907079	22.9965432460841
EHI_006720A	33.8683009459798	33.6939845034603	37.3320949633058	43.4379150203812
EHI_006730A	104.113665870975	47.0148620978516	65.7369498266907	49.825843699849
EHI_006740A	13.7981966816955	19.5895258741048	14.6082110725979	7.66551441536138
EHI_006750A	11.2894336486599	14.8880396643197	9.73880738173195	5.11034294357425
EHI_006760A	11.2894336486599	11.7537155244629	12.1735092271649	6.38792867946782
EHI_006800A	5.01752606607108	10.9701344894987	8.11567281810996	6.38792867946782
EHI_006810A	303.560326997301	1381.45336464187	567.285529985886	765.273855800244
