EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2
EHI_004170A	697.021099453683	497.790533791905	853.45253849122	1379.20845867642
EHI_004190A	26.0975138641004	51.459358978488	33.7778049534784	29.5967480402665
EHI_004200A	66544.3107678121	81718.5122488386	46181.0149323956	68482.1394854903
EHI_004230A	538.261223447072	296.153861876196	480.395448227248	642.841367434589
EHI_004350A	54.3698205502093	36.7566849846343	60.8000489162611	86.4225042775783
EHI_004370A	148.973308307573	328.709782862587	246.95328510432	303.070699932329
EHI_004380A	372.976968974436	342.36226585688	496.90904176006	510.247936214195
EHI_004400A	194.643957569749	42.0076399824392	174.893967870232	268.73847220562
EHI_004430A	0	0	59.2988131405509	72.2160652182503
EHI_004440A	201.168336035774	174.331705927123	141.116162916754	114.835382396234
EHI_004470A	11.961360521046	13.6524829942927	13.5111219813913	5.91934960805331
EHI_004490A	303.383598670168	581.805813756783	306.252098244871	633.370408061704
EHI_004510A	4.34958564401674	10.5019099956098	9.0074146542609	2.36773984322132
EHI_004530A	150.060704718578	178.532469925367	81.8173497762032	74.5838050614717
EHI_004550A	3433.99786595122	3637.86162247924	1920.08055713328	4190.89952250174
EHI_004560A	29.359703097113	8.40152799648784	12.7605040935363	15.3903089809386
EHI_004570A	113.089226744435	100.818335957854	128.355658823218	102.996683180128
EHI_004580A	11.961360521046	9.45171899604882	18.7654471963769	28.4128781186559
EHI_004590A	30.4470995081172	46.2084039806831	36.0296586170436	36.6999675699305
EHI_004600A	631.777314793432	538.747982774783	679.309188508843	1022.86361227161
EHI_004610A	79.3799380033055	82.9650889653174	103.585268524	124.306341769119
EHI_004640A	178.333011404686	170.130941928879	143.368016580319	108.916032788181
EHI_004750A	377.326554618452	259.397176891562	355.04226095545	356.344846404809
EHI_004760A	520.862880871005	572.354094760734	553.20538334919	693.747774063848
EHI_004770A	403.424068482553	331.86035586127	312.257041347711	298.335220245887
EHI_004780A	203.343128857783	196.385716917903	227.437220020088	178.76435816321
EHI_004790A	4908.50739927289	3266.09400863465	4747.65814068335	5725.19494090916
EHI_004800A	109.827037511423	113.420627952586	123.851951496087	74.5838050614717
EHI_004810A	888.402867790419	716.230261700589	811.417936771336	845.283124030012
EHI_004820A	192.469164747741	150.17731293722	199.66435816945	239.141724165354
EHI_004830A	133.749758553515	134.424447943805	159.130992225276	185.867577692874
EHI_004840A	1277.69078292992	584.956386755466	1098.15396993197	1768.70166288633
EHI_004850A	11.961360521046	14.7026739938537	15.0123577571015	7.10321952966397
EHI_004860A	285.985256094101	213.188772910879	532.188082489248	510.247936214195
EHI_004870A	14.1361533430544	12.6022919947318	22.5185366356522	13.0225691377173
EHI_004880A	280.54827403908	195.335525918342	355.792878843305	587.199481118888
EHI_004900A	67.4185774822595	52.509549978049	30.024715514203	49.7225367076478
EHI_004930A	88.079109291339	30.4555389872684	78.0642603369278	91.1579839640209
EHI_004940A	133.749758553515	69.3126059710247	123.101333608232	137.328910906837
EHI_004960A	274.023895573055	211.088390911757	171.891496318812	159.822439417439
EHI_004970A	279.460877628076	534.547218776539	478.894212451538	291.232000716223
