pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_023840A	18101.5074563034	25117.8047612487	-2.10442688848348	0.999999993685176	-0.472600534501963	22227	24013	22456	16894	24169.56002739	25218.2364724578	16855.8752896736	20000.2984556905	100	DOWN_pEhEx_UP_EhMyb10
EHI_175460A	11151.9896319873	16664.3471680245	-1.88178851497266	0.998792357085837	-0.57946367539736	14034	16646	15002	9642	15260.5212320327	17481.4793786921	11260.7695536018	11414.87378417	99.88	DOWN_pEhEx_UP_EhMyb10
EHI_083250A	13902.5752542935	21985.7078233132	-2.02355008504696	0.998536304526185	-0.661213833999208	20775	19695	15949	13827	22590.6604386119	20683.5117363535	11971.6046934006	16369.3694061106	99.85	DOWN_pEhEx_UP_EhMyb10
EHI_049000A	5901.70848140485	1798.87644621966	1.37271634215322	0.998163122385023	1.71403655957664	3092	215	6747	5885	3362.22970282494	225.791064905611	5064.41888935819	6967.07448867874	99.82	UP_pEhEx_DOWN_EhMyb10
EHI_020300A	18042.6107057552	28527.6707174258	-2.02052906606507	0.998058536711276	-0.66095384889492	24366	28154	26491	14143	26495.500950528	29567.0774016398	19884.6184671688	16743.4723013396	99.81	DOWN_pEhEx_UP_EhMyb10
EHI_042930A	14377.1129129445	19775.9883544356	-1.74329257481957	0.998027160945652	-0.459975803426749	16885	19523	19649	12228	18360.6883998057	20502.878884429	14748.8908784644	14476.3614014552	99.8	DOWN_pEhEx_UP_EhMyb10
EHI_025850A	10020.581807977	14908.2094420743	-1.71149546342784	0.997800889483712	-0.573140716708957	12833	14613	14656	7892	13954.5581424167	15346.4410765846	11001.055764404	9343.10142135134	99.78	DOWN_pEhEx_UP_EhMyb10
EHI_152800A	1095.59417829424	161.412094366018	1.36248964207399	0.99752230635437	2.76289291831289	191	106	755	1419	207.692714501799	111.320245953464	566.716505330582	1679.91141876553	99.75	UP_pEhEx_DOWN_EhMyb10
EHI_044550A	60965.2420264903	106037.526249463	-1.75085689455435	0.996545658268506	-0.798516057305474	82789	112452	80340	53808	90024.4614706255	118096.078282631	60304.6411102767	63701.6727420265	99.65	DOWN_pEhEx_UP_EhMyb10
EHI_155680A	563.081085825918	76.6022653896148	1.64381318534374	0.996486738601861	2.8778837275643	74	67	550	623	80.4673344143097	70.3627969705857	412.839838320291	737.550961163442	99.65	UP_pEhEx_DOWN_EhMyb10
