pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_066770A	1061.36374867474	300.765453978047	2.13020488174211	1	1.81920840564483	194	315	1430	1086	261.629049769298	346.618010328308	965.685166625763	1142.21459994155	100	UP_pEhEx_DOWN_CDC5
EHI_083140A	75.90738465769	0.0609275189815029	2.84526084331721	1	10.2829305360381	0	0	27	127	0.67430167466314	0.550187317981442	18.2332164327941	133.573898888192	100	UP_pEhEx_DOWN_CDC5
EHI_083270A	3764.57484673735	554.094040346989	6.2538695974486	1	2.7642841878634	353	586	5365	3660	476.056982312177	644.81953667425	3623.00763562743	3849.45251914001	100	UP_pEhEx_DOWN_CDC5
EHI_083410A	3764.57484673735	554.094040346989	6.2538695974486	1	2.7642841878634	353	586	5365	3660	476.056982312177	644.81953667425	3623.00763562743	3849.45251914001	100	UP_pEhEx_DOWN_CDC5
EHI_087110A	11346.3034555973	19770.0645421229	-2.71999151301825	1	-0.801095226600773	14991	17816	18494	9508	20216.9128097503	19604.2745143147	12489.0779521517	10000.1624458971	100	DOWN_pEhEx_UP_CDC5
EHI_090020A	16314.5811238487	2602.26075791809	2.3078124750339	1	2.64832450800407	1723	2668	16174	20499	2323.64357088918	2935.79952874897	10922.371947556	21560.0893961342	100	UP_pEhEx_DOWN_CDC5
EHI_092430A	9668.91636747647	3811.73079197364	2.21311260639277	1	1.34290797960757	2451	4002	11807	10693	3305.42680919871	4403.69929312346	7973.31801562964	11246.5015811924	100	UP_pEhEx_DOWN_CDC5
EHI_092470A	14833.7573781525	5720.27759023346	2.6345838152814	1	1.37472701344845	4043	5535	18512	16144	5452.40334132615	6090.57361005456	12501.2334297735	16979.6616035509	100	UP_pEhEx_DOWN_CDC5
EHI_098440A	532.889949321865	1518.66017460729	-2.682195354188	1	-1.51088955079196	1090	1448	726	540	1469.97765076564	1593.34247287426	490.270930748464	567.952011020658	100	DOWN_pEhEx_UP_CDC5
EHI_103310A	2787.94483486041	509.558194822518	2.2749785601476	1	2.45188318887925	237	652	3240	3191	319.618993790328	717.4442626478	2187.9859719353	3356.17567993874	100	UP_pEhEx_DOWN_CDC5
EHI_105140A	9924.45728400321	2571.79699202616	2.43009654323979	1	1.94821144481881	1784	2532	11325	11496	2405.90837519808	2786.14857825802	7647.82133708865	12091.0672568398	100	UP_pEhEx_DOWN_CDC5
EHI_111570A	7698.91654253717	3977.21857852432	2.7094324817864	1	0.952895580263542	2785	3882	10322	7911	3755.86032787369	4271.65433680791	6970.49111182596	8320.49696145264	100	UP_pEhEx_DOWN_CDC5
EHI_111760A	9847.69043363107	3646.95430067246	4.20808154498352	1	1.43309328916276	2672	3407	13331	10035	3603.46814939982	3748.97638472554	9002.48178761402	10554.4415381339	100	UP_pEhEx_DOWN_CDC5
EHI_114920A	2021.55023101341	121.68184357007	2.64688992842537	1	4.05427623045641	92	110	1963	2567	124.071508138018	121.041209955917	1325.62236509537	2699.87557831487	100	UP_pEhEx_DOWN_CDC5
EHI_116360A	156218.505085218	246292.531446196	-2.76538551130254	1	-0.656807520242607	190353	217306	242646	138762	256710.693354305	239118.01064255	163859.890168584	145944.735098608	100	DOWN_pEhEx_UP_CDC5
EHI_117850A	6461.69219174537	1153.35485870886	2.44478314363542	1	2.48607556542115	716	1244	7024	7714	965.599998117616	1368.86604713783	4743.33748977578	8113.29965372844	100	UP_pEhEx_DOWN_CDC5
EHI_118750A	19551.5179478367	4485.36647889059	2.03713143399254	1	2.12398284923959	2920	4663	19632	24403	3937.92178003274	5131.04692749493	13257.5742595783	25666.1720832169	100	UP_pEhEx_DOWN_CDC5
EHI_119540A	3552.98493731981	861.842951099449	2.00482857693925	1	2.04353466846245	716	696	3831	4262	965.599998117616	765.860746630167	2587.09082051979	4482.61383512971	100	UP_pEhEx_DOWN_CDC5
