pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_016370A	1564.51097872319	3000.22962130873	-1.4398057115334	0.999493381009606	-0.93936113849088	2797	2492	2381	1260	3358.99929854143	2622.70710835045	1726.27894882097	1409.3565321615	99.95	DOWN_pEhEx_UP_CmasM
EHI_108690A	1564.51097872319	3000.22962130873	-1.4398057115334	0.999493381009606	-0.93936113849088	2797	2492	2381	1260	3358.99929854143	2622.70710835045	1726.27894882097	1409.3565321615	99.95	DOWN_pEhEx_UP_CmasM
EHI_191750A	12735.8451418289	16967.4648177383	-1.42890646306413	0.998527440116211	-0.413876322651951	15235	14761	17126	11742	18296.1581384622	15535.2245691657	12416.7380417925	13133.8606354288	99.85	DOWN_pEhEx_UP_CmasM
EHI_069450A	16125.3482784493	17134.1998748239	-1.40680199572396	0.991530409711594	-0.087548502620354	14150	16320	22082	14605	16993.1498299468	17175.9951879131	16009.9503350964	16336.2318668402	99.15	DOWN_pEhEx_UP_CmasM
EHI_114920A	2135.58758315785	399.751261591582	1.34492203661293	0.976818719213825	2.4174585740619	40	713	1963	2567	48.0371726641607	750.397338785664	1423.21947775538	2871.28430004648	97.68	UP_pEhEx_DOWN_CmasM
EHI_147570A	2816.95739591679	1216.57207548281	1.34044847352177	0.976625938883051	1.21131594945825	808	1384	3071	3069	970.350887816045	1456.5917487789	2226.5445828766	3432.78983905051	97.66	UP_pEhEx_DOWN_CmasM
EHI_141800A	1632.50532308497	665.513570852006	1.33203715035745	0.974031403171274	1.29454770561777	429	772	1890	1706	515.198676823123	812.491929232163	1370.29282371761	1908.22400306946	97.4	UP_pEhEx_DOWN_CmasM
EHI_058090A	3046.52741414368	1268.59102634602	1.35732427977241	0.973052742573775	1.26393868038621	882	1398	3209	3393	1059.21965724474	1471.32605837638	2326.59770968773	3795.19580446346	97.31	UP_pEhEx_DOWN_CmasM
EHI_135060A	1870.45206085967	486.931059598922	1.32452272429331	0.96941129063039	1.94159755747407	188	709	1817	2184	225.774711521555	746.187536043528	1317.36616967984	2442.8846557466	96.94	UP_pEhEx_DOWN_CmasM
EHI_049000A	5714.25126035636	2019.08971770733	1.17811549174065	0.968625123543604	1.50085945630482	211	3591	6747	5885	253.396085803447	3779.3504117522	4891.72787387445	6582.58983473843	96.86	UP_pEhEx_DOWN_CmasM
EHI_087570A	5372.77525366682	1945.08152752254	1.18102989799438	0.968388216660731	1.46583686391044	683	2910	5229	6267	820.234723240543	3062.63149490362	3791.14347895205	7009.87094210802	96.84	UP_pEhEx_DOWN_CmasM
EHI_010020A	921.695263637663	185.447894506228	1.18211590973793	0.968222709378995	2.31327594887778	131	202	610	1264	157.321740475126	212.595038477846	442.263821411504	1413.83067988265	96.82	UP_pEhEx_DOWN_CmasM
EHI_178340A	3375.10573519505	459.732266596352	1.4363519717986	0.967521347715826	2.87606686829782	287	544	1876	4864	344.666713865353	572.533172930436	1360.14250650489	5440.5636289155	96.75	UP_pEhEx_DOWN_CmasM
EHI_158570A	8294.8633541076	1340.3301281179	1.19176797156369	0.964857290935938	2.62962982964579	215	2298	4325	12142	258.199803069863	2418.53167535688	3135.72299607337	13581.2754075436	96.49	UP_pEhEx_DOWN_CmasM
EHI_163670A	3777.38726311898	1425.03876572997	1.36931363205235	0.964496540757824	1.40638753265978	1116	1427	3643	4428	1340.23711733008	1501.84712825686	2641.25754328214	4952.88152731041	96.45	UP_pEhEx_DOWN_CmasM
EHI_103310A	2946.02737782087	1033.37503362181	1.15674014585557	0.963635227739492	1.51140690385921	238	1689	3240	3191	285.821177351756	1777.58920786674	2349.07341208733	3569.25134454551	96.36	UP_pEhEx_DOWN_CmasM
EHI_015310A	11028.2277915585	4887.706107526	1.15572696990457	0.963214773617307	1.17397152690712	1597	7449	12746	11539	1917.88411861661	7839.70515654195	9241.13879952627	12906.7976385806	96.32	UP_pEhEx_DOWN_CmasM
EHI_183560A	12.1043007813717	2.7870291286948	0.98308880493976	0.961425563162764	2.11871975684131	2	3	15	12	2.40185863320803	3.15735205660167	10.8753398707747	13.4224431634428	96.14	UP_pEhEx_DOWN_CmasM
EHI_062500A	133.000666258115	32.6881081692356	0.974913097333706	0.961236563399771	2.0245956844594	21	38	157	137	25.2195156486843	39.9931260502878	113.828557314108	153.239559449306	96.12	UP_pEhEx_DOWN_CmasM
EHI_030820A	1180.01081409541	665.819714555582	0.974609154295917	0.961170429259546	0.825596587457396	557	626	1418	1199	668.917629348437	658.834129144215	1028.08212911723	1341.125779414	96.12	UP_pEhEx_DOWN_CmasM
EHI_172280A	174.795653069584	20.4778494341805	0.985360787923416	0.960835467774597	3.09353318958337	6	32	135	227	7.2055758996241	33.6784219370845	97.8780588369721	253.907883175127	96.08	UP_pEhEx_DOWN_CmasM
EHI_035670A	266.143198395827	76.3289501707008	0.970889956407905	0.959955873898138	1.80190044322309	75	59	284	294	90.0696987453012	62.0945904464995	205.906434886667	328.84985750435	96	UP_pEhEx_DOWN_CmasM
EHI_068380A	13.9679486139801	0.629631739576121	0.98810684909042	0.959736309228942	4.47146807783331	1	0	11	18	1.20092931660402	0.526225342766945	7.9752492385681	20.1336647451643	95.97	UP_pEhEx_DOWN_CmasM
EHI_198930A	1201.92033170366	520.120694154283	0.968963504598967	0.959110125657653	1.20842292636165	312	630	1232	1361	374.689946780453	663.043931886351	893.227914719627	1522.32876212048	95.91	UP_pEhEx_DOWN_CmasM
