pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_087570A	5085.45698183362	1440.16573998914	1.80174084484666	0.999999999999998	1.82014256894835	978	1445	5229	6267	1318.9340756411	1590.04134896637	3531.16624915113	6591.39861678975	100	UP_pEhEx_DOWN_CDC5
EHI_089770A	35.8952934777212	0.0609275189815029	4.79203955603088	0.999999999999974	9.20248498386707	0	0	51	35	0.67430167466314	0.550187317981442	34.4405199286111	36.8117044180056	100	UP_pEhEx_DOWN_CDC5
EHI_090020A	16314.5811238487	2602.26075791809	2.3078124750339	1	2.64832450800407	1723	2668	16174	20499	2323.64357088918	2935.79952874897	10922.371947556	21560.0893961342	100	UP_pEhEx_DOWN_CDC5
EHI_092170A	149.37255439951	35.6286815405246	1.35300792227174	0.985481136102567	2.06780409095104	24	36	230	134	32.3664803838307	39.6134868946638	155.319991834913	140.936239771793	98.55	UP_pEhEx_DOWN_CDC5
EHI_092430A	9668.91636747647	3811.73079197364	2.21311260639277	1	1.34290797960757	2451	4002	11807	10693	3305.42680919871	4403.69929312346	7973.31801562964	11246.5015811924	100	UP_pEhEx_DOWN_CDC5
EHI_092470A	14833.7573781525	5720.27759023346	2.6345838152814	1	1.37472701344845	4043	5535	18512	16144	5452.40334132615	6090.57361005456	12501.2334297735	16979.6616035509	100	UP_pEhEx_DOWN_CDC5
EHI_092930A	610.359289088542	135.457032245825	1.7069988362933	0.999999999949094	2.17182344481458	71	163	814	630	95.7508378021658	179.36106566195	549.697710233127	662.610679524101	100	UP_pEhEx_DOWN_CDC5
EHI_094020A	304.945504612898	0.0609275189815029	5.13851847146645	0.999999999999999	12.2891698341381	0	0	594	192	0.67430167466314	0.550187317981442	401.130761521471	201.938492807345	100	UP_pEhEx_DOWN_CDC5
EHI_095830A	291.501436259914	53.7337428420398	1.54860116312343	0.994069526865386	2.43960275369284	31	61	384	304	41.8067038291147	67.1228527937359	259.316855933072	319.735946944963	99.41	UP_pEhEx_DOWN_CDC5
EHI_097930A	94.6923227897394	20.715356453711	1.0616405939584	0.984631943117005	2.19254681817184	17	17	103	113	22.9262569385467	18.706368811369	69.556344169548	118.84921712099	98.46	UP_pEhEx_DOWN_CDC5
EHI_098440A	532.889949321865	1518.66017460729	-2.682195354188	1	-1.51088955079196	1090	1448	726	540	1469.97765076564	1593.34247287426	490.270930748464	567.952011020658	100	DOWN_pEhEx_UP_CDC5
EHI_098800A	544.591262574243	216.196817145431	1.22497767093428	0.989314085034061	1.33282855211981	170	187	699	580	229.262569385467	205.770056925059	472.03771431567	610.022530355521	98.93	UP_pEhEx_DOWN_CDC5
EHI_099860A	125.211175701826	7.15666396971749	1.79228356691346	0.999999999999999	4.12893228359709	5	7	117	162	6.7430167466314	7.70262245174018	79.0106045421079	170.385603306197	100	UP_pEhEx_DOWN_CDC5
EHI_103310A	2787.94483486041	509.558194822518	2.2749785601476	1	2.45188318887925	237	652	3240	3191	319.618993790328	717.4442626478	2187.9859719353	3356.17567993874	100	UP_pEhEx_DOWN_CDC5
EHI_103510A	2933.1501837566	533.428168920001	1.81359374862087	0.999999999999998	2.45908502525971	326	582	2698	3823	439.644691880367	640.418038130398	1821.97103465476	4020.88988542958	100	UP_pEhEx_DOWN_CDC5
EHI_103900A	51.8171428931162	308.392216099849	-1.99647096628364	0.999025218752632	-2.57326497657722	233	279	79	47	314.224580393023	307.004523433644	53.349040673731	49.4328602184647	99.9	DOWN_pEhEx_UP_CDC5
EHI_105140A	9924.45728400321	2571.79699202616	2.43009654323979	1	1.94821144481881	1784	2532	11325	11496	2405.90837519808	2786.14857825802	7647.82133708865	12091.0672568398	100	UP_pEhEx_DOWN_CDC5
EHI_105280A	103.939562650716	22.3112245610618	1.33923353590682	0.981873495961824	2.21990328986514	17	20	136	109	22.9262569385467	22.0074927192577	91.8413864762964	114.642165187503	98.19	UP_pEhEx_DOWN_CDC5
EHI_111760A	9847.69043363107	3646.95430067246	4.20808154498352	1	1.43309328916276	2672	3407	13331	10035	3603.46814939982	3748.97638472554	9002.48178761402	10554.4415381339	100	UP_pEhEx_DOWN_CDC5
EHI_112800A	203.987578313937	65.4244027723024	1.00358911454142	0.97409687559521	1.64058054814807	55	52	250	225	74.1731842129454	57.2194810700699	168.826078081427	236.646671258607	97.41	UP_pEhEx_DOWN_CDC5
