logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_000440A	-0.321170524853417	5.10822421888227	-0.686452121164028	0.511412635227489	0.999593478972769	-4.60982761555783	282	711	84	545	235	422	37.5969030538155	59.0867290021237	13.3064357631828	48.2633579750286	31.9552569435711	36.4771868872724	0.04	UP_pEhEx_DOWN_UmasM
EHI_000480A	-0.624653228331547	0.816717980743817	-1.52265855061388	0.165517466555932	0.999593478972769	-4.57405312844867	16	25	3	34	19	16	2.13315762007464	2.07759244029971	0.4752298486851	3.01092508468068	2.58361651884192	1.38302130378284	0.04	UP_pEhEx_DOWN_UmasM
EHI_000510A	-0.328882870212399	9.97909833499808	-0.85652086076522	0.416092876223988	0.999593478972769	-4.60131610196448	9230	10046	4482	12568	10304	10746	1230.56530208056	834.859746210035	709.993393935539	1112.9796018902	1401.13603211301	928.87168315315	0.04	UP_pEhEx_DOWN_UmasM
EHI_000520A	-0.235831230321108	0.747982993888899	-0.463329684843252	0.655205799695127	0.999593478972769	-4.6112929575772	20	31	2	23	17	18	2.6664470250933	2.57621462597164	0.3168198991234	2.03680226316635	2.31165688527961	1.5558989667557	0.04	UP_pEhEx_DOWN_UmasM
EHI_000540A	0.025165191092998	1.98500363938611	0.0511325483832242	0.960446436495637	0.999593478972769	-4.62174855026702	32	35	33	44	11	106	4.26631524014927	2.90862941641959	5.2275283355361	3.89649128605736	1.49577798459269	9.16251613756132	0.04	DOWN_pEhEx_UP_UmasM
EHI_000550A	-0.0879233841214691	4.59902390346376	-0.262953086705505	0.799088356745739	0.999593478972769	-4.62202634514202	252	319	91	388	225	171	33.5972325161755	26.5100795382243	14.4153054101147	34.3599686134149	30.5954587757596	14.7810401841791	0.04	UP_pEhEx_DOWN_UmasM
EHI_000560A	0.31432203655603	1.87598691368746	0.859108611607	0.414744176358945	0.999593478972769	-4.60161395281503	56	68	10	63	41	12	7.46605167026123	5.65105143761521	1.584099495617	5.57906706867303	5.5751724880273	1.03726597783713	0.04	DOWN_pEhEx_UP_UmasM
EHI_000570A	-0.0432865377803903	3.01946689332328	-0.109950392831922	0.915098257883082	0.999593478972769	-4.62360850478919	62	84	55	67	41	189	8.26598577778922	6.98071059940703	8.7125472258935	5.9332935492237	5.5751724880273	16.3369391509348	0.04	UP_pEhEx_DOWN_UmasM
EHI_000580A	0.0401427405285495	4.10153018660812	0.119511652514099	0.90775297360538	0.999593478972769	-4.62414818213528	133	196	114	187	100	247	17.7318727168704	16.2883247319497	18.0587342500338	16.5600879657438	13.5979816781154	21.3503913771476	0.04	DOWN_pEhEx_UP_UmasM
EHI_000590A	-0.454431980014665	9.87031150748312	-1.02272295935813	0.335728041552625	0.999593478972769	-4.59466655528195	12570	10945	2149	13989	9838	9040	1675.86195527114	909.569970363213	340.422981608093	1238.81855910583	1337.76943749299	781.407036637305	0.04	UP_pEhEx_DOWN_UmasM
