logFC	AveExpr	t	P.Value	adj.P.Val	B	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_004860A	-0.685507994273154	5.19514801571303	-2.57964839879826	0.0377307814762819	0.5753435730758	-4.08438659260296	271	295	60	709	431	442	35.209321574948	38.7409072864701	17.442502318271	57.4035168977911	53.7326918454139	32.4577566239912	42.47	UP_pEhEx_DOWN_U2AF84
EHI_005020A	-1.03104974178916	6.50422925962233	-3.21589208337092	0.0155383930814927	0.5753435730758	-3.92876675007222	478	612	175	1570	1609	1170	62.1035266155909	80.3709669807447	50.8739650949571	127.113570563515	200.593738234967	85.9175910635062	42.47	UP_pEhEx_DOWN_U2AF84
EHI_005100A	-1.41734754043852	2.9051263975788	-4.37826719993935	0.00355520250484773	0.5753435730758	-3.74447076739647	33	34	16	108	86	268	4.28748196300105	4.46505372115249	4.65133395153893	8.74411822984688	10.7216044053494	19.680268722239	42.47	UP_pEhEx_DOWN_U2AF84
EHI_006160A	-0.775269009815619	3.29382112301402	-2.78005704038657	0.0283892256480271	0.5753435730758	-4.03643834054637	55	55	27	164	82	210	7.14580327166841	7.22288101951137	7.84912604322195	13.2781054601378	10.222925130682	15.4211060883216	42.47	UP_pEhEx_DOWN_U2AF84
EHI_006810A	-0.930399286468951	6.1581716120405	-3.33634274248431	0.0132128010694458	0.5753435730758	-3.8854335105023	254	289	379	699	599	3077	33.0006187455232	37.9529566297961	110.178472977078	56.5938763209534	74.6772213814453	225.95592111317	42.47	UP_pEhEx_DOWN_U2AF84
EHI_006850A	-1.52966373074501	1.94345171347407	-3.06900141751011	0.0189866393430299	0.5753435730758	-4.08125758119249	20	16	7	61	105	53	2.59847391697033	2.10120175113058	2.03495860379828	4.93880751870981	13.0903309600196	3.89199344133831	42.47	UP_pEhEx_DOWN_U2AF84
EHI_006960A	-1.21214135545093	0.636510661977965	-2.96410094074823	0.0219463681177572	0.5753435730758	-4.24555697688583	6	7	4	25	22	30	0.7795421750911	0.919275766119629	1.16283348788473	2.02410144209418	2.74273601067078	2.20301515547452	42.47	UP_pEhEx_DOWN_U2AF84
EHI_007510A	1.06671315042667	10.4155539852516	3.27866213767543	0.014275859498893	0.5753435730758	-3.94850371190073	32508	34983	1357	37214	15620	1967	4223.55950464358	4594.14630373757	394.491260764896	3012.99644264372	1947.34256757625	144.444360360612	42.47	DOWN_pEhEx_UP_U2AF84
EHI_007620A	1.08105769919371	8.51604825020616	3.35802901533985	0.0128354984999183	0.5753435730758	-3.90954995441408	7739	8407	462	8869	3753	653	1005.47948217167	1104.05019510967	134.307267850687	718.070227597333	467.885829456701	47.9522965508286	42.47	DOWN_pEhEx_UP_U2AF84
EHI_007930A	-1.20328707398949	3.72284216535156	-4.21865806935518	0.00430127499892949	0.5753435730758	-3.7114243428497	66	61	32	201	186	288	8.57496392600209	8.01083167618534	9.30266790307786	16.2737755944372	23.1885862720348	21.1489454925554	42.47	UP_pEhEx_DOWN_U2AF84
EHI_008040A	-1.23296488655112	1.98034353541122	-3.05907482778867	0.0192475433297708	0.5753435730758	-4.07378706950941	22	21	6	53	51	118	2.85832130866737	2.75782729835889	1.7442502318271	4.29109505723967	6.35816075200953	8.66519294486643	42.47	UP_pEhEx_DOWN_U2AF84
EHI_008200A	-0.822961022374208	5.6352972811025	-3.05984894282829	0.0192270598478131	0.5753435730758	-3.94434116760234	160	186	352	457	357	2376	20.7877913357627	24.426470356893	102.329346933857	37.0005743614817	44.5071252640667	174.478800313582	42.47	UP_pEhEx_DOWN_U2AF84
