logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_023400A	2.08273015030123	7.28850005249221	4.63648756195639	0.00304273603174655	0.367305026866252	-1.8537503098236	2623	3888	1610	1723	438	578	442.655015384373	542.187872206764	138.355518373416	155.140459845975	61.0685689350428	46.271986963664	63.27	DOWN_pEhEx_UP_CDC5
EHI_024240A	-1.79840676717865	3.90756032033391	-3.6905608859272	0.00916563837892782	0.367305026866252	-2.55714044443564	54	163	29	468	546	83	9.11298926067714	22.7306129551704	2.49211803281308	42.1391382518377	76.1265722340945	6.64459328370953	63.27	UP_pEhEx_DOWN_CDC5
EHI_024510A	-1.9283097630974	3.988091609038	-3.5882344249816	0.0104110952742869	0.367305026866252	-2.62607997108963	77	128	25	331	309	301	12.9944476494841	17.8498064924038	2.14837761449403	29.8035358148681	43.0826205500644	24.096657571043	63.27	UP_pEhEx_DOWN_CDC5
EHI_025360A	-1.79299726632228	5.31375518405355	-4.34595261226916	0.0042089832748912	0.367305026866252	-2.04928428337637	126	152	254	545	379	1916	21.2636416082467	21.1966452097295	21.8275165632594	49.0722870667768	52.8424375031535	153.386032910692	63.27	UP_pEhEx_DOWN_CDC5
EHI_025830A	-1.21650031261571	7.36697976046111	-3.95771879545951	0.00662168904860534	0.367305026866252	-2.29528767573728	618	832	1218	2317	1872	3656	104.293099316638	116.023742200624	104.668957378149	208.624750704077	261.005390516895	292.68232584629	63.27	UP_pEhEx_DOWN_CDC5
EHI_026310A	1.53682908544978	4.63859279758595	3.37947673713226	0.0135680982376814	0.367305026866252	-2.74910802850039	289	269	489	250	158	77	48.771368450661	37.5124839566923	42.0222661395033	22.510223425127	22.0293011226867	6.16426123910402	63.27	DOWN_pEhEx_UP_CDC5
EHI_026360A	-2.70781759420034	1.54301638999534	-3.55635402354283	0.0108362070181535	0.367305026866252	-2.97229392843425	9	18	3	57	78	108	1.51883154344619	2.51012903799428	0.257805313739284	5.13233094092895	10.8752246048706	8.64597680289915	63.27	UP_pEhEx_DOWN_CDC5
EHI_028930A	1.37572702205863	1.31330607660519	3.64233866343457	0.00973089714882302	0.367305026866252	-2.80529848619291	29	30	35	21	13	12	4.89401275110439	4.18354839665713	3.00772866029165	1.89085876771067	1.81253743414511	0.960664089211016	63.27	DOWN_pEhEx_UP_CDC5
EHI_029210A	-1.60058551406083	2.74928114863894	-4.046325510035	0.00595915066349642	0.367305026866252	-2.39966788760803	24	17	65	90	91	195	4.05021744918984	2.37067742477237	5.58578179768449	8.10368043304571	12.6877620390157	15.610791449679	63.27	UP_pEhEx_DOWN_CDC5
EHI_030150A	3.09901564051343	0.249682612415189	3.78713298439146	0.00813911675183397	0.367305026866252	-3.22899403645506	16	22	60	5	7	1	2.70014496612656	3.06793549088189	5.15610627478568	0.450204468502539	0.975981695308903	0.0800553407675847	63.27	DOWN_pEhEx_UP_CDC5
EHI_031240A	-2.97432008061327	3.70662229689295	-3.6477697648655	0.00966535933106034	0.367305026866252	-2.61138991735667	42	55	22	191	226	1058	7.08788053608222	7.66983872720474	1.89057230075475	17.197810696797	31.5102661628303	84.6985505321046	63.27	UP_pEhEx_DOWN_CDC5
EHI_035220A	-3.01406415495071	2.20831270566713	-5.9885712993635	0.000781337460364587	0.367305026866252	-1.79264928039311	4	14	28	166	101	152	0.67503624153164	1.95232258510666	2.40618292823332	14.9467883542843	14.0820216037427	12.1684117966729	63.27	UP_pEhEx_DOWN_CDC5
EHI_035510A	-1.9028789718837	3.60133032129213	-5.27029680727645	0.0015622577265605	0.367305026866252	-1.6672543162182	33	37	101	168	119	612	5.56904899263603	5.15970968921046	8.67944556255589	15.1268701416853	16.5916888202514	48.9938685497618	63.27	UP_pEhEx_DOWN_CDC5
EHI_035670A	-1.97224010615288	4.32619985185242	-3.94234233506758	0.00674476605325703	0.367305026866252	-2.36718891955151	40	29	401	284	294	797	6.7503624153164	4.04409678343522	34.4599769364843	25.5716138109442	40.9912312029739	63.804106591765	63.27	UP_pEhEx_DOWN_CDC5
EHI_035970A	-2.74698494952222	1.80376256597244	-3.38772518666406	0.0134251865849342	0.367305026866252	-2.9931760831969	8	14	16	34	29	430	1.35007248306328	1.95232258510666	1.37496167327618	3.06139038581727	4.04335273770831	34.4237965300614	63.27	UP_pEhEx_DOWN_CDC5
EHI_036900A	-1.21037808648157	5.74958350780308	-3.41523916519201	0.01296022815922	0.367305026866252	-2.70982249870597	200	262	416	610	572	1557	33.751812076582	36.5363226641389	35.7490035051807	54.9249451573098	79.7516471023847	124.646165575129	63.27	UP_pEhEx_DOWN_CDC5
EHI_038300A	-1.81576582963669	2.3691583084098	-3.34883732817082	0.0141136508451725	0.367305026866252	-2.90665093781022	11	12	64	138	75	96	1.85634966421201	1.67341935866285	5.49984669310473	12.4256433306701	10.4569467354525	7.68531271368813	63.27	UP_pEhEx_DOWN_CDC5
EHI_039070A	-1.7753738303256	3.41462468425772	-3.25310867397375	0.0159777869190854	0.367305026866252	-2.90669511925122	36	49	56	116	110	550	6.07532617378476	6.83312904787331	4.81236585646663	10.4447436692589	15.3368552119971	44.0304374221716	63.27	UP_pEhEx_DOWN_CDC5
EHI_040310A	-1.09152047381792	7.02098915797425	-3.65102964102711	0.00962625492986472	0.367305026866252	-2.5217993948939	463	477	1575	1757	1241	3103	78.1354449572873	66.5184195068483	135.347789713124	158.201850231792	173.027611982621	248.411722401815	63.27	UP_pEhEx_DOWN_CDC5
EHI_040820A	-3.11078176563454	0.850257281639286	-3.80879052671394	0.00792672096759674	0.367305026866252	-2.91019428889137	0	5	60	33	4	673	0	0.697258066109522	5.15610627478568	2.97134949211676	0.557703825890802	53.8772443365845	63.27	UP_pEhEx_DOWN_CDC5
EHI_041580A	2.37733426999692	2.15730646818197	4.14729248789778	0.00529229191536623	0.367305026866252	-2.4366899501227	80	86	88	30	37	5	13.5007248306328	11.9928387370838	7.562289203019	2.70122681101524	5.15876038948992	0.400276703837923	63.27	DOWN_pEhEx_UP_CDC5
EHI_044550A	1.31467788491402	13.4214273534681	4.15537810374798	0.00524258234985893	0.367305026866252	-2.13640541797531	98905	103273	250407	80340	53808	77595	16691.1148671717	14401.5864522657	21518.7517325043	7233.8853998988	7502.23186588307	6211.89416686073	63.27	DOWN_pEhEx_UP_CDC5
EHI_044610A	-2.17272902445954	1.13437562060909	-3.64608487966178	0.00968563903827671	0.367305026866252	-2.97643319995245	5	2	37	19	32	168	0.84379530191455	0.278903226443809	3.17959886945117	1.71077698030965	4.46163060712642	13.4492972489542	63.27	UP_pEhEx_DOWN_CDC5
EHI_044730A	1.03820414860906	8.84238639050893	3.27549316114857	0.015519087722509	0.367305026866252	-2.82936203594129	3741	3798	9890	3515	2411	3861	631.327644892467	529.637227016793	849.89818429384	316.493741357285	336.155981055681	309.093670703644	63.27	DOWN_pEhEx_UP_CDC5
EHI_044830A	1.4989656769183	12.1059106145411	3.83054208493079	0.00771953891502452	0.367305026866252	-2.37625618279836	42177	50178	95027	36062	26602	18706	7117.75088977	6997.40304824871	8166.15518290098	3247.05470862772	3709.00929408678	1497.51520439844	63.27	DOWN_pEhEx_UP_CDC5
EHI_046600A	-1.49630848555436	3.23196102375125	-3.69931137223603	0.0090669875347303	0.367305026866252	-2.58234599116107	25	28	113	126	139	232	4.21897650957275	3.90464517021332	9.71066681751303	11.345152606264	19.3802079497054	18.5728390580796	63.27	UP_pEhEx_DOWN_CDC5
EHI_046650A	-1.74379023241331	2.20453360849333	-3.41412259691719	0.0129787511813514	0.367305026866252	-2.87942471401437	14	54	9	141	104	42	2.36262684536074	7.53038711398283	0.773415941217852	12.6957660117716	14.5002994731608	3.36232431223856	63.27	UP_pEhEx_DOWN_CDC5
