logFC	AveExpr	t	P.Value	adj.P.Val	B	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_006680A	-1.37175110451624	1.05659249101974	-3.04042432185526	0.0176303738427454	0.57749795563435	-3.90016941144339	22	35	0	80	60	14	2.43591332916246	3.74201643233007	0	6.14486555975844	7.24371998389165	1.02049492971947	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_006810A	-1.24439002348651	5.95305485237166	-2.78146940412155	0.0257885781971038	0.57749795563435	-3.87534854281388	371	332	123	699	599	3077	41.0783565963306	35.495698729531	44.1376422142868	53.6907628283894	72.3164711725183	224.290207053342	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_007140A	-1.27729411629753	0.496586873107742	-2.94772716420518	0.0201852125524712	0.57749795563435	-3.97492022769808	17	17	0	45	41	9	1.88229666344372	1.81755083856032	0	3.45648687736412	4.94987532232596	0.656032454819656	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_007300A	1.69787821127653	0.221982388223052	3.26947063773445	0.0126746308609182	0.57749795563435	-3.97709711240552	8	10	21	8	2	21	0.885786665149986	1.06914755209431	7.53569501219531	0.614486555975844	0.241457332796388	1.5307423945792	42.25	DOWN_pEhEx_UP_EhMyb10
EHI_007510A	1.32407999613846	10.4959925672325	3.08436094442384	0.0165406786634519	0.57749795563435	-3.85990498302063	35225	64615	1213	37214	15620	1967	3900.22940998853	6908.29690785736	435.276097609186	2858.43783676063	1885.78176913979	143.379537625585	42.25	DOWN_pEhEx_UP_EhMyb10
EHI_007620A	1.34338435243051	8.59919324597853	3.22089053639815	0.01358617898431	0.57749795563435	-3.77461534758752	8495	15845	404	8869	3753	653	940.594715056141	1694.06429629343	144.972418329853	681.23515811872	453.094684992423	47.5987992219151	42.25	DOWN_pEhEx_UP_EhMyb10
EHI_007930A	-1.06884554278146	3.74784021921344	-2.8802568765898	0.0222876773027196	0.57749795563435	-3.81428986068217	91	63	32	201	186	288	10.0758233160811	6.73562957819413	11.4829638281071	15.4389747188931	22.4555319500641	20.993038554229	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_008040A	-1.82379941448422	1.67745416324393	-4.08759336030445	0.00413468417184309	0.57749795563435	-3.65253115803246	9	18	6	53	51	118	0.996509998293734	1.92446559376975	2.15305571777009	4.07097343333997	6.1571619863079	8.60131440763549	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_009240A	-1.27907575990411	3.61344018694564	-2.55510367683022	0.0361403174252479	0.57749795563435	-3.97138907635492	133	101	7	222	207	249	14.7262033081185	10.7983902761525	2.51189833739844	17.0520019283297	24.9908339444262	18.1502312500105	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_009260A	-0.967456527445134	5.6268556637747	-2.51518768038458	0.0383706531736517	0.57749795563435	-3.98404686544738	552	398	47	1075	659	683	61.119279895349	42.5520725733534	16.8656031225324	82.5716309592541	79.5601911564099	49.7855740713139	42.25	UP_pEhEx_DOWN_EhMyb10
EHI_009490A	-2.82200943085129	1.98449129511391	-3.76403370214527	0.00636535886116848	0.57749795563435	-3.70895250193077	53	17	0	174	124	131	5.86833665661866	1.81755083856032	0	13.3650825924746	14.9703546333761	9.54891684237499	42.25	UP_pEhEx_DOWN_EhMyb10
