logFC	logCPM	PValue	FDR	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_026350A	0.691178682769352	1.38791376477144	0.296695021528132	1	15	34	17	12	2.37599415295936	3.42495859686364	1.74219961767155	1.89117377925107	0	DOWN_pEhEx_UP_UmasM
EHI_026360A	-1.60415269440059	2.63547668520446	0.026431703290731	1	10	42	57	78	1.58399610197291	4.23083120789038	5.84149283572227	12.292629565132	0	UP_pEhEx_DOWN_UmasM
EHI_026370A	-0.335119534039667	1.38058694635321	0.608735549842708	1	10	25	24	18	1.58399610197291	2.51835190945856	2.45957593083043	2.83676066887661	0	UP_pEhEx_DOWN_UmasM
EHI_026390A	0.0185664752610586	1.77802174582812	1	1	27	22	28	22	4.27678947532686	2.21614968032353	2.8695052526355	3.46715192862697	0	DOWN_pEhEx_UP_UmasM
EHI_026410A	-0.0224251085943959	12.0188322308166	0.971243863392403	1	35983	25166	38074	28311	5699.69317372912	2535.07376613737	3901.91224960157	4461.7517386981	0	UP_pEhEx_DOWN_UmasM
EHI_026420A	0.609140907755693	1.53787125338587	0.318980186316704	1	16	38	21	13	2.53439376315665	3.82789490237701	2.15212893947662	2.04877159418866	0	DOWN_pEhEx_UP_UmasM
EHI_026430A	-0.502413165684565	2.35515602338825	0.365473310448735	1	22	45	62	32	3.4847914243404	4.53303343702541	6.3539044879786	5.04313007800287	0	UP_pEhEx_DOWN_UmasM
EHI_026440A	-0.415600103446763	6.2557307984819	0.441878259255335	1	341	759	760	611	54.0142670772762	76.4571639711619	77.8865711429635	96.2922649268672	0	UP_pEhEx_DOWN_UmasM
EHI_026450A	-0.233649253549937	3.60327423421031	0.68643961175295	1	78	95	113	90	12.3551695953887	9.56973725594253	11.5805033409933	14.1838033443831	0	UP_pEhEx_DOWN_UmasM
EHI_026470A	0.203938027184076	4.9643555889261	0.715475854846205	1	241	280	332	149	38.1743060575471	28.2055413859359	34.0241337098209	23.4820744257008	0	DOWN_pEhEx_UP_UmasM
EHI_026480A	-0.278428853707163	6.13350148212	0.622339925829456	1	475	509	593	588	75.2398148437132	51.2736448765763	60.7720219576018	92.6675151833026	0	UP_pEhEx_DOWN_UmasM
EHI_026490A	0.285054602786128	2.90970829720579	0.614707991623661	1	50	80	75	34	7.91998050986455	8.05872611026739	7.68617478384509	5.35832570787804	0	DOWN_pEhEx_UP_UmasM
EHI_027030A	-0.760586618655791	0.0629467180055284	0.40524516543349	1	2	8	13	4	0.316799220394582	0.805872611026739	1.33227029586648	0.630391259750358	0	UP_pEhEx_DOWN_UmasM
EHI_027360A	-0.162587724580367	0.393188947240968	0.906479564768204	1	4	13	10	8	0.633598440789164	1.30954299291845	1.02482330451268	1.26078251950072	0	UP_pEhEx_DOWN_UmasM
EHI_027370A	0.406206941476229	3.10107675594607	0.573404233634891	1	30	140	69	46	4.75198830591873	14.1027706929679	7.07128080113748	7.24949948712912	0	DOWN_pEhEx_UP_UmasM
EHI_027380A	0.258636733978845	8.14669431658046	0.630171396579802	1	1782	3322	2708	1511	282.268105371572	334.638601728853	277.522150862033	238.130298370698	0	DOWN_pEhEx_UP_UmasM
EHI_027490A	0.117583725540714	4.06999453077937	0.859558738294971	1	110	169	224	55	17.423957121702	17.0240589079399	22.956042021084	8.66787982156742	0	DOWN_pEhEx_UP_UmasM
EHI_027500A	1.53469106058059	3.12204265646362	0.0297366008748437	1	54	164	59	16	8.55357895065371	16.5203885260482	6.0464574966248	2.52156503900143	0	DOWN_pEhEx_UP_UmasM
EHI_027520A	-0.232747982356031	3.59926545710951	0.774620263716417	1	25	176	112	90	3.95999025493227	17.7291974425883	11.478021010542	14.1838033443831	0	UP_pEhEx_DOWN_UmasM
EHI_027530A	-0.372907935038444	2.49592770823099	0.50262569945794	1	26	52	59	39	4.11838986512956	5.2381719716738	6.0464574966248	6.14631478256599	0	UP_pEhEx_DOWN_UmasM
EHI_027550A	-0.117744240166031	3.38764451656418	0.863152184890486	1	32	143	97	72	5.06878752631331	14.404972922103	9.94078605377298	11.3470426755064	0	UP_pEhEx_DOWN_UmasM
EHI_027570A	0.175445112400441	9.46614525650904	0.787788567367553	1	6889	4059	6686	4080	1091.21491464914	408.879616019692	685.196861397177	642.999084945365	0	DOWN_pEhEx_UP_UmasM
EHI_027600A	-0.285553642656317	6.52571424317535	0.598989519078285	1	417	988	1026	614	66.0526374522703	99.5252674618023	105.146871043001	96.76505837168	0	UP_pEhEx_DOWN_UmasM
EHI_027610A	-0.861773464636888	6.55943136075004	0.232447433215652	1	179	1043	1143	797	28.3535302253151	105.065641662611	117.137303705799	125.605458505259	0	UP_pEhEx_DOWN_UmasM
EHI_027620A	-0.288331831060079	0.563977169206857	0.818285629217732	1	7	11	14	8	1.10879727138104	1.10807484016177	1.43475262631775	1.26078251950072	0	UP_pEhEx_DOWN_UmasM
EHI_027640A	-0.0242785310293286	6.20487402637822	0.964517781565574	1	398	821	692	491	63.0430448585218	82.7026767066191	70.9177726722773	77.3805271343565	0	UP_pEhEx_DOWN_UmasM
EHI_027650A	-0.326189074021932	2.88693727718995	0.555898367355784	1	42	60	68	57	6.65278362828622	6.04404458270054	6.96879847068621	8.9830754514426	0	UP_pEhEx_DOWN_UmasM
EHI_027690A	1.24115780928692	0.644062306240574	0.132780876968697	1	7	25	10	3	1.10879727138104	2.51835190945856	1.02482330451268	0.472793444812769	0	DOWN_pEhEx_UP_UmasM
EHI_027700A	0.0678378686611353	4.87094048621898	0.904445407276225	1	217	249	311	157	34.3727154128121	25.0827850182073	31.8720047703443	24.7428569452016	0	DOWN_pEhEx_UP_UmasM
EHI_027710A	0.0442274385055677	4.08722591156612	0.943762657289604	1	106	171	180	92	16.7903586809128	17.2255270606965	18.4468194812282	14.4989989742582	0	DOWN_pEhEx_UP_UmasM
EHI_027720A	0.116464545286005	3.47451837827858	0.861824354606986	1	99	70	108	62	15.6815614095318	7.05138534648397	11.0680916887369	9.77106452613055	0	DOWN_pEhEx_UP_UmasM
EHI_027730A	-0.180195782318117	2.13936434215853	0.750003265046504	1	21	44	49	24	3.32639181414311	4.43229936064707	5.02163419211212	3.78234755850215	0	UP_pEhEx_DOWN_UmasM
EHI_027750A	1.05748580712755	0.452998329194236	0.16415863573162	1	12	12	9	3	1.90079532236749	1.20880891654011	0.92234097406141	0.472793444812769	0	DOWN_pEhEx_UP_UmasM
EHI_027760A	-0.113592576748993	1.48722197132288	0.901203387565863	1	15	25	23	19	2.37599415295936	2.51835190945856	2.35709360037916	2.9943584838142	0	UP_pEhEx_DOWN_UmasM
EHI_027770A	0.194023325542426	1.51990030177842	0.814390766424259	1	14	33	26	14	2.21759454276207	3.3242245204853	2.66454059173296	2.20636940912625	0	DOWN_pEhEx_UP_UmasM
EHI_027800A	-0.236639056160117	5.34255783825202	0.678499943007122	1	177	456	360	320	28.0367310049205	45.9347388285241	36.8936389624564	50.4313007800286	0	UP_pEhEx_DOWN_UmasM
EHI_027810A	0.390303826073452	2.16377877354259	0.526572455797	1	22	60	39	21	3.4847914243404	6.04404458270054	3.99681088759944	3.30955411368938	0	DOWN_pEhEx_UP_UmasM
EHI_028010A	-1.14668479069128	-0.0382354357098859	0.250200388474071	1	0	8	13	4	0	0.805872611026739	1.33227029586648	0.630391259750358	0	UP_pEhEx_DOWN_UmasM
EHI_028530A	0.362776131656285	1.24178956448256	0.559768510781374	1	17	21	19	11	2.69279337335395	2.11541560394519	1.94716427857409	1.73357596431348	0	DOWN_pEhEx_UP_UmasM
EHI_028880A	-0.372072896312456	6.46289528576964	0.568245946507304	1	257	1117	1057	572	40.7086998207038	112.519963314608	108.32382328699	90.1459501443012	0	UP_pEhEx_DOWN_UmasM
EHI_028910A	-0.0169236087628202	4.7837237477894	0.986383940878272	1	225	186	253	184	35.6399122943905	18.7365382063717	25.9280296041708	28.9979979485165	0	UP_pEhEx_DOWN_UmasM
EHI_028930A	0.853637095075376	1.68102303690194	0.140788596840108	1	24	38	21	13	3.80159064473498	3.82789490237701	2.15212893947662	2.04877159418866	0	DOWN_pEhEx_UP_UmasM
EHI_028940A	0.183908015300609	1.10673134421097	0.871648773711603	1	10	24	29	3	1.58399610197291	2.41761783308022	2.97198758308677	0.472793444812769	0	DOWN_pEhEx_UP_UmasM
EHI_028950A	0.451827569239485	1.6690480853373	0.526428473921832	1	24	30	35	8	3.80159064473498	3.02202229135027	3.58688156579437	1.26078251950072	0	DOWN_pEhEx_UP_UmasM
EHI_028960A	0.847088811526428	0.580598981172264	0.257944892467657	1	11	15	12	3	1.7423957121702	1.51101114567514	1.22978796541521	0.472793444812769	0	DOWN_pEhEx_UP_UmasM
EHI_028990A	-0.93107701204429	5.8148881501099	0.343494284798675	1	50	686	450	641	7.91998050986455	69.1035763955429	46.1170487030705	101.020199374995	0	UP_pEhEx_DOWN_UmasM
EHI_029010A	0.3176647338016	1.59878504052039	0.73316899028737	1	11	43	35	8	1.7423957121702	4.33156528426872	3.58688156579437	1.26078251950072	0	DOWN_pEhEx_UP_UmasM
EHI_029020A	-0.357613269177048	5.61467954877206	0.502513199386905	1	252	452	468	391	39.9167017697173	45.5318025230108	47.9617306511933	61.6207456405975	0	UP_pEhEx_DOWN_UmasM
EHI_029030A	0.674895852725954	0.756920950639324	0.621654298663975	1	17	9	21	0	2.69279337335395	0.906606687405082	2.15212893947662	0	0	DOWN_pEhEx_UP_UmasM
EHI_029040A	-0.17875446413252	0.133408964614377	1	1	5	8	11	4	0.791998050986455	0.805872611026739	1.12730563496395	0.630391259750358	0	UP_pEhEx_DOWN_UmasM
EHI_029050A	0.0349084231092293	4.58271620717994	0.956292187334184	1	124	281	260	128	19.6415516644641	28.3062754623142	26.6454059173296	20.1725203120115	0	DOWN_pEhEx_UP_UmasM
EHI_029060A	-0.227838325939932	3.78936540800392	0.685973005382063	1	66	144	140	95	10.4543742730212	14.5057069984813	14.3475262631775	14.971792419071	0	UP_pEhEx_DOWN_UmasM
EHI_029090A	0.0137770259931168	4.78654526332162	0.986983097494591	1	239	171	253	181	37.8575068371525	17.2255270606965	25.9280296041708	28.5252045037037	0	DOWN_pEhEx_UP_UmasM
EHI_029100A	0.433958087740971	0.41396945363094	0.534174953562024	1	9	11	10	5	1.42559649177562	1.10807484016177	1.02482330451268	0.787989074687948	0	DOWN_pEhEx_UP_UmasM
EHI_029200A	-0.501621764280107	1.97546398306439	0.379484617756388	1	18	32	40	29	2.85119298355124	3.22349044410696	4.09929321805071	4.5703366331901	0	UP_pEhEx_DOWN_UmasM
EHI_029210A	0.0763770861471981	3.62555651889396	0.93988009058448	1	28	201	90	91	4.43518908552415	20.2475493520468	9.2234097406141	14.3414011593206	0	DOWN_pEhEx_UP_UmasM
EHI_029230A	0.69961750571162	2.01822724258239	0.337030753472022	1	16	67	23	22	2.53439376315665	6.74918311734894	2.35709360037916	3.46715192862697	0	DOWN_pEhEx_UP_UmasM
EHI_029370A	-0.132865052894596	5.82676951099265	0.807980212476201	1	391	456	505	422	61.9342475871408	45.9347388285241	51.7535768778902	66.5062779036628	0	UP_pEhEx_DOWN_UmasM
EHI_029530A	-0.360990149570178	9.16657537138382	0.505232695241017	1	2826	5541	5867	4382	447.637298417544	558.167517212395	601.263832757588	690.593625056517	0	UP_pEhEx_DOWN_UmasM
EHI_029550A	0.494503601709852	0.715472845600536	0.639416552508467	1	19	4	12	7	3.00959259374853	0.40293630551337	1.22978796541521	1.10318470456313	0	DOWN_pEhEx_UP_UmasM
EHI_029560A	0.0453497880286412	3.15804326480425	0.967298797532268	1	24	136	58	71	3.80159064473498	13.6998343874546	5.94397516617353	11.1894448605689	0	DOWN_pEhEx_UP_UmasM
EHI_029570A	-0.432091825490864	3.63381868648214	0.437718424370357	1	58	114	118	101	9.18717739144287	11.483684707131	12.0929149932496	15.9173793086965	0	UP_pEhEx_DOWN_UmasM
EHI_029600A	0.744651035341383	4.60300941376584	0.329832394211179	1	306	119	185	108	48.470280720371	11.9873550890227	18.9592311334845	17.0205640132597	0	DOWN_pEhEx_UP_UmasM
EHI_029610A	0.823297761765339	3.53382055706973	0.288297960378004	1	144	63	62	64	22.8095438684099	6.34624681183557	6.3539044879786	10.0862601560057	0	DOWN_pEhEx_UP_UmasM
EHI_029620A	-0.230653863614104	6.31064581274847	0.65650443913271	1	450	738	785	574	71.2798245887809	74.3417483672167	80.4486294042452	90.4611457741764	0	UP_pEhEx_DOWN_UmasM
EHI_029720A	-0.203767037513334	3.0174049163212	0.7114493635184	1	47	71	81	54	7.44478167927267	7.15211942286231	8.30106876655269	8.51028200662983	0	UP_pEhEx_DOWN_UmasM
EHI_030060A	0.451827527569811	2.11652797567022	0.540554966927148	1	17	66	45	14	2.69279337335395	6.6484490409706	4.61170487030705	2.20636940912625	0	DOWN_pEhEx_UP_UmasM
EHI_030070A	-0.903010987875306	10.9720864892728	0.264799717109827	1	2970	23118	22124	18829	470.446842285954	2328.77037771452	2267.31907890385	2967.40925745987	0	UP_pEhEx_DOWN_UmasM
EHI_030080A	-0.0443332267217672	2.83893603148678	0.941318489166384	1	46	63	75	40	7.28638206907538	6.34624681183557	7.68617478384509	6.30391259750358	0	UP_pEhEx_DOWN_UmasM
EHI_030150A	1.67393111320849	0.921101598952866	0.0754170276840526	1	25	12	5	7	3.95999025493227	1.20880891654011	0.512411652256339	1.10318470456313	0	DOWN_pEhEx_UP_UmasM
EHI_030170A	-0.145950985180992	4.29766583718662	0.843816073041526	1	52	283	151	161	8.23677973025913	28.5077436150709	15.4748318981414	25.3732482049519	0	UP_pEhEx_DOWN_UmasM
EHI_030390A	-0.458547468593098	4.38828390369435	0.556815899218185	1	49	268	147	209	7.76158089966726	26.9967324693958	15.0649025763364	32.9379433219562	0	UP_pEhEx_DOWN_UmasM
EHI_030400A	0.180614051119	2.31885804278296	0.768392744247428	1	42	35	45	27	6.65278362828622	3.52569267324198	4.61170487030705	4.25514100331492	0	DOWN_pEhEx_UP_UmasM
EHI_030420A	0.187826586049549	3.62955179628417	0.74095925895711	1	87	120	124	63	13.7807660871643	12.0880891654011	12.7078089759572	9.92866234106814	0	DOWN_pEhEx_UP_UmasM
EHI_030430A	-0.352659376968163	4.9048876189106	0.552585805726556	1	112	341	323	213	17.7407563420966	34.3503200450148	33.1017927357595	33.5683345817066	0	UP_pEhEx_DOWN_UmasM
EHI_030460A	0.632128069323123	0.505718618254392	0.578973880951872	1	4	21	6	8	0.633598440789164	2.11541560394519	0.614893982707607	1.26078251950072	0	DOWN_pEhEx_UP_UmasM
EHI_030470A	0.636612821627048	1.49278434208364	0.372991396563506	1	24	25	29	6	3.80159064473498	2.51835190945856	2.97198758308677	0.945586889625537	0	DOWN_pEhEx_UP_UmasM
EHI_030480A	-0.249283794801257	4.78462741161157	0.689517400207219	1	95	345	290	188	15.0479629687426	34.7532563505281	29.7198758308677	29.6283892082668	0	UP_pEhEx_DOWN_UmasM
EHI_030600A	-0.98218785049084	4.42847444875513	0.104398854857172	1	65	181	222	215	10.2959746628239	18.23286782448	22.7510773601815	33.8835302115817	0	UP_pEhEx_DOWN_UmasM
EHI_030710A	-0.103213249440736	12.0227029554987	0.867229330585533	1	34594	25258	37407	30365	5479.67611516508	2544.34130116417	3833.55653519058	4785.45765057991	0	UP_pEhEx_DOWN_UmasM
EHI_030720A	-0.171053887981596	4.16231874565874	0.763969513174748	1	123	137	191	113	19.4831520542668	13.8005684638329	19.5741251161922	17.8085530879476	0	UP_pEhEx_DOWN_UmasM
EHI_030730A	1.05103385971116	2.19925149406301	0.0604366639732111	1	36	60	33	14	5.70238596710247	6.04404458270054	3.38191690489184	2.20636940912625	0	DOWN_pEhEx_UP_UmasM
EHI_030750A	0.00875137013516806	7.30460458454959	0.98782298355051	1	933	1676	1498	1023	147.786836314072	168.830312010102	153.518531015999	161.222564681154	0	DOWN_pEhEx_UP_UmasM
EHI_030760A	-0.330497434121422	12.2783260745976	0.545589082379317	1	30491	39430	48915	38419	4829.7625145256	3971.94463159804	5012.92319402377	6054.75045208725	0	UP_pEhEx_DOWN_UmasM
EHI_030770A	0.271646132329814	1.58037781871366	0.647789294410517	1	21	27	28	13	3.32639181414311	2.71982006221524	2.8695052526355	2.04877159418866	0	DOWN_pEhEx_UP_UmasM
EHI_030780A	0.221806719426764	1.3183606589041	0.774005367029023	1	9	33	26	9	1.42559649177562	3.3242245204853	2.66454059173296	1.41838033443831	0	DOWN_pEhEx_UP_UmasM
EHI_030790A	0.276613463009124	9.23096845487792	0.675157915738121	1	6110	3459	5241	3486	967.821618305448	348.439170192686	537.109893895095	549.385982872437	0	DOWN_pEhEx_UP_UmasM
EHI_030800A	-0.00391177956790039	12.3346072275268	0.995683488690924	1	49829	24055	39539	39924	7892.89417652081	2423.15820728103	4052.04886371268	6291.93516356832	0	UP_pEhEx_DOWN_UmasM
EHI_030810A	-0.36279738974184	6.92488256773526	0.531834499416537	1	460	1382	1314	877	72.8638206907538	139.214493554869	134.661782212966	138.213283700266	0	UP_pEhEx_DOWN_UmasM
EHI_030820A	-0.196505989581501	7.29210606714175	0.763554093009217	1	507	2097	1418	1199	80.3086023700265	211.239358165384	145.319944579898	188.95978011017	0	UP_pEhEx_DOWN_UmasM
EHI_030830A	-0.29415467041244	5.46534399319874	0.575518699507034	1	233	417	474	306	36.9071091759688	42.0061098497688	48.5766246339009	48.2249313709024	0	UP_pEhEx_DOWN_UmasM
EHI_030840A	0.74236180873206	2.14940744834048	0.216873698794633	1	25	64	29	21	3.95999025493227	6.44698088821391	2.97198758308677	3.30955411368938	0	DOWN_pEhEx_UP_UmasM
EHI_030870A	0.707512466884718	0.728362018433742	0.345052627337163	1	10	19	14	4	1.58399610197291	1.91394745118851	1.43475262631775	0.630391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_030880A	0.376191180191683	1.70342126598258	0.655841012299379	1	9	52	22	19	1.42559649177562	5.2381719716738	2.25461126992789	2.9943584838142	0	DOWN_pEhEx_UP_UmasM
EHI_030890A	0.215004976805936	2.50231820454186	0.701750411386592	1	36	59	53	29	5.70238596710247	5.9433105063222	5.43156351391719	4.5703366331901	0	DOWN_pEhEx_UP_UmasM
EHI_030900A	-0.400781642934785	1.05689329609551	0.600194402960793	1	4	24	18	15	0.633598440789164	2.41761783308022	1.84468194812282	2.36396722406384	0	UP_pEhEx_DOWN_UmasM
EHI_031100A	-0.845935890684109	3.387136627048	0.155351836122904	1	55	59	106	98	8.711978560851	5.9433105063222	10.8631270278344	15.4445858638838	0	UP_pEhEx_DOWN_UmasM
EHI_031210A	1.26254119333207	1.63256248678476	0.0704998512865838	1	25	41	24	5	3.95999025493227	4.13009713151204	2.45957593083043	0.787989074687948	0	DOWN_pEhEx_UP_UmasM
EHI_031220A	0.122266368278323	4.34852811185463	0.834890480651498	1	163	161	199	115	25.8191364621584	16.2181862969131	20.3939837598023	18.1237487178228	0	DOWN_pEhEx_UP_UmasM
EHI_031230A	0.199100337498443	0.616298951343069	0.838079938968903	1	10	12	15	5	1.58399610197291	1.20880891654011	1.53723495676902	0.787989074687948	0	DOWN_pEhEx_UP_UmasM
EHI_031240A	-0.490435241423228	4.57527591764655	0.543269012261314	1	46	316	191	226	7.28638206907538	31.8319681355562	19.5741251161922	35.6171061758952	0	UP_pEhEx_DOWN_UmasM
EHI_031250A	-0.369162194590799	5.22436393054327	0.493799227533278	1	171	374	402	270	27.0863333437367	37.6745445655001	41.1978968414097	42.5514100331492	0	UP_pEhEx_DOWN_UmasM
EHI_031260A	0.47732791503701	2.47335562951172	0.467704191135557	1	50	45	58	18	7.91998050986455	4.53303343702541	5.94397516617353	2.83676066887661	0	DOWN_pEhEx_UP_UmasM
EHI_031270A	0.461240933447933	1.37503237719177	0.481382934904555	1	18	26	24	9	2.85119298355124	2.6190859858369	2.45957593083043	1.41838033443831	0	DOWN_pEhEx_UP_UmasM
EHI_031300A	0.386676214401453	0.907203282655581	0.623328141917566	1	12	18	19	5	1.90079532236749	1.81321337481016	1.94716427857409	0.787989074687948	0	DOWN_pEhEx_UP_UmasM
EHI_031320A	0.37701427776796	0.382443175395867	0.748307225130698	1	3	18	10	5	0.475198830591873	1.81321337481016	1.02482330451268	0.787989074687948	0	DOWN_pEhEx_UP_UmasM
EHI_031330A	-0.0572690151507572	4.1023600116745	0.932205894884013	1	115	149	207	84	18.2159551726885	15.009377380373	21.2138424034124	13.2382164547575	0	UP_pEhEx_DOWN_UmasM
EHI_031350A	-0.0209398481446895	1.85542943826212	0.970409725511767	1	9	51	31	23	1.42559649177562	5.13743789529546	3.1769522439893	3.62474974356456	0	UP_pEhEx_DOWN_UmasM
EHI_031360A	0.289193480041706	4.86710761338208	0.623618180515524	1	192	330	329	116	30.4127251578799	33.242245204853	33.7166867184671	18.2813465327604	0	DOWN_pEhEx_UP_UmasM
EHI_031380A	-0.0481420682209024	0.214579571013474	0.999999999999994	1	10	3	13	3	1.58399610197291	0.302202229135027	1.33227029586648	0.472793444812769	0	UP_pEhEx_DOWN_UmasM
EHI_031390A	-0.012122388133815	7.24218653376467	0.983048859062836	1	1067	1311	1518	939	169.012384080509	132.062374132007	155.568177625025	147.984348226397	0	UP_pEhEx_DOWN_UmasM
EHI_031400A	-0.167580416669925	10.485282458374	0.771818811025689	1	10847	9749	14090	10081	1718.16057181001	982.05651061246	1443.97603605836	1588.74357238584	0	UP_pEhEx_DOWN_UmasM
EHI_031410A	0.155507966832485	8.00222047592837	0.784397553997941	1	2067	2110	2730	1300	327.4119942778	212.548901158302	279.776762131961	204.877159418866	0	DOWN_pEhEx_UP_UmasM
EHI_031510A	0.0163945135045905	0.9704925090151	1	1	11	17	19	9	1.7423957121702	1.71247929843182	1.94716427857409	1.41838033443831	0	DOWN_pEhEx_UP_UmasM
EHI_031630A	-0.471849970492135	2.11530598485299	0.494188648357504	1	12	48	38	36	1.90079532236749	4.83523566616044	3.89432855714818	5.67352133775322	0	UP_pEhEx_DOWN_UmasM
EHI_031640A	-1.39266909737546	1.86675672641982	0.0487380570047556	1	8	24	30	44	1.26719688157833	2.41761783308022	3.07446991353803	6.93430385725394	0	UP_pEhEx_DOWN_UmasM
EHI_031740A	0.893060855124066	1.27575053145369	0.249373085186647	1	27	15	13	11	4.27678947532686	1.51101114567514	1.33227029586648	1.73357596431348	0	DOWN_pEhEx_UP_UmasM
EHI_032470A	-0.679194465937028	2.39633804972656	0.309861781517621	1	32	27	40	53	5.06878752631331	2.71982006221524	4.09929321805071	8.35268419169225	0	UP_pEhEx_DOWN_UmasM
EHI_032670A	-3.0245736303054	1.57429267081894	0.00708875405023332	1	0	11	25	47	0	1.10807484016177	2.5620582612817	7.40709730206671	0	UP_pEhEx_DOWN_UmasM
EHI_032780A	-1.80106929290528	2.84943962200167	0.216263426981461	1	0	61	63	97	0	6.14477865907889	6.45638681842987	15.2869880489462	0	UP_pEhEx_DOWN_UmasM
EHI_033240A	-0.808703532531164	0.870569845731961	0.5467865842938	1	0	22	12	18	0	2.21614968032353	1.22978796541521	2.83676066887661	0	UP_pEhEx_DOWN_UmasM
EHI_033250A	0.194992486230879	7.85304230973886	0.717472233188967	1	1367	2745	2187	1311	216.532267139697	276.51503965855	224.128856696923	206.61073538318	0	DOWN_pEhEx_UP_UmasM
EHI_033350A	0.371523159553818	0.363980049779219	0.620130927403855	1	8	11	11	4	1.26719688157833	1.10807484016177	1.12730563496395	0.630391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_033680A	-0.340553758804268	3.5173529102997	0.560866385369035	1	50	117	102	93	7.91998050986455	11.7858869362661	10.4531977060293	14.6565967891958	0	UP_pEhEx_DOWN_UmasM
EHI_033710A	-1.09488022376589	12.0125929985331	0.0932404672779365	1	17788	24346	31107	51199	2817.61226618941	2452.47182350712	3187.91785334759	8068.85052698965	0	UP_pEhEx_DOWN_UmasM
EHI_033740A	0.761604466253981	5.43029553007849	0.330323791263714	1	122	877	299	209	19.3247524440695	88.3437849838063	30.6422168049291	32.9379433219562	0	DOWN_pEhEx_UP_UmasM
EHI_033750A	-0.0740916187325784	1.43967791253738	0.948765142602885	1	15	24	22	18	2.37599415295936	2.41761783308022	2.25461126992789	2.83676066887661	0	UP_pEhEx_DOWN_UmasM
EHI_033850A	-1.13446918630317	1.9875949628447	0.163961956483836	1	25	8	49	33	3.95999025493227	0.805872611026739	5.02163419211212	5.20072789294045	0	UP_pEhEx_DOWN_UmasM
EHI_033910A	1.21949731316083	0.373319584950943	0.138032549403156	1	12	11	6	4	1.90079532236749	1.10807484016177	0.614893982707607	0.630391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_034010A	0.353380468795167	6.419808706254	0.592636209896039	1	898	491	679	510	142.242849957167	49.4604315017661	69.5855023764108	80.3748856181707	0	DOWN_pEhEx_UP_UmasM
EHI_034710A	-0.458737165151967	1.708493466668	0.506256921111533	1	19	21	23	30	3.00959259374853	2.11541560394519	2.35709360037916	4.72793444812769	0	UP_pEhEx_DOWN_UmasM
EHI_034960A	-0.085509657336	0.207876850543444	1	1	12	0	4	10	1.90079532236749	0	0.409929321805071	1.5759781493759	0	UP_pEhEx_DOWN_UmasM
EHI_035060A	-1.19644090238504	3.90855188692398	0.459083193009377	1	0	177	228	112	0	17.8299315189666	23.3659713428891	17.65095527301	0	UP_pEhEx_DOWN_UmasM
EHI_035080A	-0.532136027569497	5.16977784660422	0.323696143663529	1	173	308	358	304	27.4031325641313	31.0260955245295	36.6886743015539	47.9097357410272	0	UP_pEhEx_DOWN_UmasM
EHI_035090A	-0.280229604597309	9.69858378337631	0.629517588681945	1	3373	9591	8525	6019	534.281885195462	966.140526544682	873.661867097058	948.581248109351	0	UP_pEhEx_DOWN_UmasM
EHI_035100A	0.707574053135305	0.682677657450794	0.534747303149055	1	4	26	16	2	0.633598440789164	2.6190859858369	1.63971728722028	0.315195629875179	0	DOWN_pEhEx_UP_UmasM
EHI_035110A	0.304812836278791	2.13294870325951	0.597695524348938	1	32	41	41	20	5.06878752631331	4.13009713151204	4.20177554850198	3.15195629875179	0	DOWN_pEhEx_UP_UmasM
EHI_035130A	0.416213973998119	1.18376837291215	0.602176674874716	1	9	31	21	8	1.42559649177562	3.12275636772861	2.15212893947662	1.26078251950072	0	DOWN_pEhEx_UP_UmasM
EHI_035140A	1.1147995185723	1.76142639435354	0.107465031657606	1	21	52	27	7	3.32639181414311	5.2381719716738	2.76702292218423	1.10318470456313	0	DOWN_pEhEx_UP_UmasM
EHI_035150A	0.73039590594204	0.734244963957192	0.347718436329268	1	16	11	14	4	2.53439376315665	1.10807484016177	1.43475262631775	0.630391259750358	0	DOWN_pEhEx_UP_UmasM
EHI_035160A	0.0484429528560008	1.75455117654191	0.95909442845877	1	24	26	32	18	3.80159064473498	2.6190859858369	3.27943457444057	2.83676066887661	0	DOWN_pEhEx_UP_UmasM
EHI_035170A	-0.875481900737504	2.40980834097459	0.193440870439388	1	12	51	52	50	1.90079532236749	5.13743789529546	5.32908118346593	7.87989074687948	0	UP_pEhEx_DOWN_UmasM
EHI_035180A	0.34067773122275	1.67939897508646	0.590618025538841	1	18	37	29	14	2.85119298355124	3.72716082599867	2.97198758308677	2.20636940912625	0	DOWN_pEhEx_UP_UmasM
EHI_035200A	-0.25836604992727	3.31984983094616	0.647883799241361	1	56	88	104	67	8.87037817104829	8.86459872129413	10.6581623669319	10.5590536008185	0	UP_pEhEx_DOWN_UmasM
EHI_035210A	-0.446519882035762	0.624652765054217	0.507835744794717	1	6	12	14	10	0.950397661183746	1.20880891654011	1.43475262631775	1.5759781493759	0	UP_pEhEx_DOWN_UmasM
EHI_035220A	-0.611784057629502	3.79445949775937	0.449071450609124	1	22	178	166	101	3.4847914243404	17.9306655953449	17.0120668549105	15.9173793086965	0	UP_pEhEx_DOWN_UmasM
