logFC	logCPM	PValue	FDR	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_028990A	-2.78996244705272	5.27622389965774	6.12170589421611e-09	8.08405272808427e-07	58	61	450	641	10.6558653969489	8.71483280722242	42.2563177906321	91.844342567338	100	UP_pEhEx_DOWN_CDC5
EHI_025840A	7.23905684096696	0.474078301967379	9.31509442615395e-09	1.19686375410637e-06	14	17	0	0	2.57210544064283	2.42872389709477	0	0	100	DOWN_pEhEx_UP_CDC5
EHI_105140A	-1.97477819160531	9.732060454495	1.42237806004831e-08	1.73384238396658e-06	1784	2532	11325	11496	327.759721864773	361.736994555527	1063.45066439757	1647.18028417179	100	UP_pEhEx_DOWN_CDC5
EHI_167270A	-1.97477819160531	9.732060454495	1.42237806004831e-08	1.73384238396658e-06	1784	2532	11325	11496	327.759721864773	361.736994555527	1063.45066439757	1647.18028417179	100	UP_pEhEx_DOWN_CDC5
EHI_035670A	-2.58897011361411	4.3558564080387	1.52618433922513e-08	1.81387008716906e-06	40	29	284	294	7.34887268755096	4.14311723622049	26.66843167231	42.1251742820552	100	UP_pEhEx_DOWN_CDC5
EHI_151350A	-3.09873333233708	2.59321121132674	1.95699157944147e-08	2.26915560211336e-06	10	4	99	75	1.83721817188774	0.571464446375241	9.29638991393906	10.7462179290957	100	UP_pEhEx_DOWN_CDC5
EHI_135060A	-2.57413740743213	7.14569054238091	2.12076901378884e-08	2.40050854560765e-06	279	210	1817	2184	51.2583869956679	30.0018834347001	170.62162094573	312.929866095267	100	UP_pEhEx_DOWN_CDC5
EHI_017660A	-2.87193007541186	4.73219720818458	2.45299570964007e-08	2.71198641944858e-06	30	49	293	452	5.51165451566322	7.0004394680967	27.5135580281227	64.7638733860168	100	UP_pEhEx_DOWN_CDC5
EHI_118670A	-2.98035130657208	3.50599027948246	2.52480462685322e-08	2.72793663546822e-06	10	21	138	182	1.83721817188774	3.00018834347001	12.9586041224605	26.0774888412723	100	UP_pEhEx_DOWN_CDC5
EHI_177520A	-2.17843933859112	7.390834945032	3.13021211536347e-08	3.30689519920843e-06	328	426	2107	2448	60.2607560379178	60.8609635389631	197.853470188582	350.756553205684	100	UP_pEhEx_DOWN_CDC5
