EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2
EHI_002200A	32.5022846726019	35.5409490855453	23.7860239224315	17.7645705490122
EHI_002210A	2.23699934993616	2.08298602699167	2.53842943045712	2.86525331435681
EHI_002670A	22.2384053023065	24.735459070526	33.0935985007743	40.400071732431
EHI_002780A	2.76335213815643	4.68671856073125	4.41874752709202	2.86525331435681
EHI_002790A	3.81605771459698	4.81690518741823	4.51276343192377	6.7333452887385
EHI_002990A	5.92146886747808	7.16026446778385	7.80332010103485	5.3007186315601
EHI_003000A	8.94799739974465	11.9771696552021	9.40159048317451	8.59575994307043
EHI_003010A	110.270909132147	68.608352264038	115.26349932372	154.150628312396
EHI_003040A	0.921117379385478	1.56223952024375	1.78630219180316	1.71915198861409
EHI_003240.mRNA	4.07923410870712	11.7167964018281	6.95717695754914	0.716313328589202
