logFC	logCPM	PValue	FDR	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_188880A	-3.10129568482167	2.70012122630531	4.50916494814014e-06	0.00190696684897708	6	12	68	110	0.932684678618786	1.61245909049258	6.47853615153584	15.9240796208035	99.81	UP_pEhEx_DOWN_CmasM
EHI_062500A	-2.04129284694708	3.47114613841839	1.91162932131369e-05	0.00635207114482233	21	38	157	137	3.26439637516575	5.10612045322651	14.9577967028107	19.8327173459098	99.36	UP_pEhEx_DOWN_CmasM
EHI_099860A	-3.02751478554757	3.31691785839015	1.90230781605662e-05	0.00635207114482233	6	24	117	162	0.932684678618786	3.22491818098516	11.1468930842602	23.4518263506379	99.36	UP_pEhEx_DOWN_CmasM
EHI_179390A	-2.23454944238879	4.54619203686533	1.79250681041266e-05	0.00635207114482233	37	77	300	329	5.75155551814918	10.3466124973274	28.5817771391287	47.6274745022214	99.36	UP_pEhEx_DOWN_CmasM
EHI_169350A	-3.39173288568045	7.52933008848834	2.24763432538791e-05	0.00697066325446972	175	275	1248	3834	27.2033031263813	36.952187490455	118.900192898775	555.026556965097	99.3	UP_pEhEx_DOWN_CmasM
EHI_073540A	1.96662735954069	1.96858477260235	7.22327310778614e-05	0.0198896853465875	42	40	20	7	6.5287927503315	5.37486363497527	1.90545180927525	1.01335052132386	98.01	DOWN_pEhEx_UP_CmasM
EHI_147990A	3.87772042337608	0.812087358137468	7.26837168727401e-05	0.0198896853465875	12	29	0	3	1.86536935723757	3.89677613535707	0	0.434293080567368	98.01	DOWN_pEhEx_UP_CmasM
EHI_019860A	-2.14880988722214	1.42982185593972	8.26380544457393e-05	0.0213573460711988	7	5	41	27	1.08813212505525	0.671857954371909	3.90617620901426	3.90863772510631	97.86	UP_pEhEx_DOWN_CmasM
EHI_057550A	1.81701657320986	5.96747575302896	0.000104335870104388	0.0243866858383477	774	552	341	156	120.316323541823	74.1731181626587	32.487953348143	22.5832401895032	97.56	DOWN_pEhEx_UP_CmasM
EHI_075530A	-2.23194786422969	2.66980872179489	0.000108443895017117	0.0243866858383477	7	23	92	78	1.08813212505525	3.09054659011078	8.76507832266613	11.2916200947516	97.56	UP_pEhEx_DOWN_CmasM
EHI_178340A	-2.90611622738085	7.96791915263812	0.000110086071067348	0.0243866858383477	287	544	1876	4864	44.6134171272653	73.0981454356637	178.731379710018	704.133847959893	97.56	UP_pEhEx_DOWN_CmasM
EHI_035670A	-1.82828463840464	4.49676186675313	0.00012212879582227	0.0248298396541003	75	59	284	294	11.6585584827348	7.92792386158852	27.0574156917085	42.5607218956021	97.52	UP_pEhEx_DOWN_CmasM
EHI_172280A	-3.10462102134125	3.70063013001594	0.000124726857737661	0.0248298396541003	6	32	135	227	0.932684678618786	4.29989090798022	12.8617997126079	32.8615097629309	97.52	UP_pEhEx_DOWN_CmasM
EHI_187780A	-2.06621178682926	3.08153140349194	0.000128098914810492	0.0248298396541003	16	28	99	118	2.48715914298343	3.76240454448269	9.43198645591247	17.0821945023165	97.52	UP_pEhEx_DOWN_CmasM
EHI_032670A	-3.63740741259151	1.44428163966888	0.000142795398237256	0.025549392023066	0	5	25	47	0	0.671857954371909	2.38181476159406	6.80392492888877	97.45	UP_pEhEx_DOWN_CmasM
EHI_142900A	-2.30372140491606	1.03155600787031	0.000139640488725331	0.025549392023066	4	4	32	19	0.621789785745857	0.537486363497527	3.04872289484039	2.75052284359333	97.45	UP_pEhEx_DOWN_CmasM
EHI_068380A	-4.34461541680403	0.276493168501711	0.000197359105436952	0.0340042429071371	1	0	11	18	0.155447446436464	0	1.04799849510139	2.60575848340421	96.6	UP_pEhEx_DOWN_CmasM
EHI_010020A	-2.34121603452954	6.17766906661667	0.000222017753951557	0.0368866639779515	131	202	610	1264	20.3636154831768	27.1430613566251	58.116280182895	182.982151279051	96.31	UP_pEhEx_DOWN_CmasM
EHI_017750A	-1.70411850684326	6.15910094348132	0.000311931339961134	0.0452745695273965	159	313	950	880	24.7161439833978	42.0583079436815	90.5089609405742	127.392636966428	95.47	UP_pEhEx_DOWN_CmasM
EHI_048860A	-1.95632287385223	1.37832395000725	0.000290436902417044	0.0452745695273965	5	8	39	25	0.777237232182322	1.07497272699505	3.71563102808673	3.61910900472807	95.47	UP_pEhEx_DOWN_CmasM
EHI_150530A	-1.74681403861668	1.72303866330814	0.000307662230292658	0.0452745695273965	9	10	50	31	1.39902701792818	1.34371590874382	4.76362952318812	4.48769516586281	95.47	UP_pEhEx_DOWN_CmasM
EHI_180000A	-1.80364272173942	2.13381239933062	0.000321165261049889	0.0452745695273965	13	12	54	53	2.02081680367404	1.61245909049258	5.14471988504317	7.67251109002351	95.47	UP_pEhEx_DOWN_CmasM
EHI_194430A	-2.3727836625945	2.98553343855805	0.000305097584620717	0.0452745695273965	8	27	92	117	1.24357957149171	3.62803295360831	8.76507832266613	16.9374301421274	95.47	UP_pEhEx_DOWN_CmasM
EHI_050000A	-2.0904170874514	2.35065917217243	0.000338181932429757	0.0462712455783303	14	11	54	73	2.1762642501105	1.4780874996182	5.14471988504317	10.567798293806	95.37	UP_pEhEx_DOWN_CmasM
EHI_083100A	-2.34445798676219	2.85052911042762	0.000349304112965122	0.0464275066718214	10	22	70	115	1.55447446436464	2.9561749992364	6.66908133246336	16.6479014217491	95.36	UP_pEhEx_DOWN_CmasM
EHI_100350A	-2.19565699540565	1.96516797081747	0.00039269634678144	0.0507450945896461	6	12	41	56	0.932684678618786	1.61245909049258	3.90617620901426	8.10680417059087	94.93	UP_pEhEx_DOWN_CmasM
EHI_011880A	-1.81021957053413	1.61557086048788	0.000444746269590275	0.0530502473367682	6	11	41	33	0.932684678618786	1.4780874996182	3.90617620901426	4.77722388624105	94.69	UP_pEhEx_DOWN_CmasM
EHI_112590A	1.81646344974329	1.5351053551344	0.000444664113891784	0.0530502473367682	31	27	15	6	4.81887083953039	3.62803295360831	1.42908885695644	0.868586161134737	94.69	DOWN_pEhEx_UP_CmasM
EHI_194730A	1.51905704151788	2.4577467489868	0.000433866818594451	0.0530502473367682	50	59	31	17	7.77237232182322	7.92792386158852	2.95345030437663	2.46099412321509	94.69	DOWN_pEhEx_UP_CmasM
EHI_109010A	2.6582242501588	0.535633291299054	0.000537790915882536	0.062545083517139	14	16	6	0	2.1762642501105	2.14994545399011	0.571635542782574	0	93.75	DOWN_pEhEx_UP_CmasM
EHI_138790A	-1.71193065461462	1.47869346044004	0.000770905356555789	0.087469554114574	8	8	38	28	1.24357957149171	1.07497272699505	3.62035843762297	4.05340208529544	91.25	UP_pEhEx_DOWN_CmasM
EHI_000620A	-2.11526917329155	1.1618293209283	0.000914807987064614	0.0987938684053114	4	6	25	28	0.621789785745857	0.806229545246291	2.38181476159406	4.05340208529544	90.12	UP_pEhEx_DOWN_CmasM
EHI_038540A	-1.63993101857852	1.57694266126461	0.000934421799190391	0.0987938684053114	8	10	39	31	1.24357957149171	1.34371590874382	3.71563102808673	4.48769516586281	90.12	UP_pEhEx_DOWN_CmasM
EHI_166370A	1.52370663344824	3.20441085139756	0.000908760856114659	0.0987938684053114	86	100	60	24	13.3684803935359	13.4371590874382	5.71635542782574	3.47434464453895	90.12	DOWN_pEhEx_UP_CmasM
EHI_048140A	-2.26433357754638	7.07237263562098	0.00096446679453225	0.0997044339592006	168	494	1320	2204	26.115171001326	66.3795658919446	125.759819412166	319.060649856827	90.03	UP_pEhEx_DOWN_CmasM
EHI_045280A	-1.48418939227997	2.55800086212716	0.00104117158772543	0.105294135349972	16	25	78	63	2.48715914298343	3.35928977185954	7.43126205617346	9.12015469191473	89.47	UP_pEhEx_DOWN_CmasM
EHI_074380A	-3.26740090618362	2.13097838507399	0.0011031107255167	0.109184491385185	0	11	49	71	0	1.4780874996182	4.66835693272435	10.2782695734277	89.08	UP_pEhEx_DOWN_CmasM
EHI_023400A	2.1438398761467	8.26982154892807	0.001126965097552	0.109221700704415	4388	2413	1723	438	682.103394963205	324.238648779883	164.154673369063	63.4067897628358	89.08	DOWN_pEhEx_UP_CmasM
EHI_000130A	-2.05993181214129	4.56777725906092	0.0012475573490377	0.113796799759282	35	94	236	368	5.44066062527625	12.6309295421919	22.4843313494479	53.2732845495972	88.62	UP_pEhEx_DOWN_CmasM
EHI_095830A	-1.78270344525231	4.71642564569563	0.00123236938184607	0.113796799759282	42	125	384	304	6.5287927503315	16.7964488592977	36.5846747380847	44.0083654974933	88.62	UP_pEhEx_DOWN_CmasM
EHI_188170A	-1.49019368232926	5.4369228480316	0.00123199131476679	0.113796799759282	120	197	510	542	18.6536935723757	26.4712034022532	48.5890211365188	78.4622832225045	88.62	UP_pEhEx_DOWN_CmasM
EHI_058320A	-1.89582427028618	2.8433242222855	0.00129599745097179	0.115941925806169	13	28	76	101	2.02081680367404	3.76240454448269	7.24071687524594	14.6212003791014	88.41	UP_pEhEx_DOWN_CmasM
EHI_134840A	-1.89847159417091	2.70137498734295	0.00140859798102187	0.121348107550254	11	26	69	91	1.70992191080111	3.49366136273393	6.5738087419996	13.1735567772102	87.87	UP_pEhEx_DOWN_CmasM
EHI_156380A	-2.18087401633062	1.06639130906492	0.00139349252362604	0.121348107550254	2	7	25	25	0.310894892872929	0.940601136120672	2.38181476159406	3.61910900472807	87.87	UP_pEhEx_DOWN_CmasM
EHI_125600A	-1.52586699565812	1.75610286635557	0.00151354340760105	0.125656527675362	9	13	45	34	1.39902701792818	1.74683068136696	4.28726657086931	4.92198824643017	87.43	UP_pEhEx_DOWN_CmasM
EHI_157360A	-1.80379996733799	3.0426212865846	0.00153964361081161	0.125656527675362	14	36	98	107	2.1762642501105	4.83737727147774	9.33671386544871	15.4897865402361	87.43	UP_pEhEx_DOWN_CmasM
EHI_164840A	-2.41031974201242	0.768890133855383	0.00150940485953763	0.125656527675362	4	2	19	21	0.621789785745857	0.268743181748764	1.81017921881148	3.04005156397158	87.43	UP_pEhEx_DOWN_CmasM
EHI_103900A	2.077404126327	4.24465862620047	0.00158612091477642	0.127217836129999	88	349	79	47	13.6793752864089	46.8956852151592	7.52653464663722	6.80392492888877	87.28	DOWN_pEhEx_UP_CmasM
EHI_159740A	-2.04823417841587	0.856314821430351	0.00162565906454276	0.128179084207677	5	3	23	19	0.777237232182322	0.403114772623145	2.19126958066653	2.75052284359333	87.18	UP_pEhEx_DOWN_CmasM
EHI_119540A	-1.67379450054896	8.33401154714208	0.0017362471702249	0.133030531828399	719	1458	3831	4262	111.766713987818	195.913779494849	364.989294066673	616.985703126041	86.7	UP_pEhEx_DOWN_CmasM
EHI_189950A	-1.86949641717478	1.30804270133548	0.00174438143627093	0.133030531828399	4	9	29	29	0.621789785745857	1.20934431786944	2.76290512344911	4.19816644548456	86.7	UP_pEhEx_DOWN_CmasM
EHI_068610A	1.47573232827509	4.1927036001127	0.00180390136573732	0.135350792796936	220	142	96	69	34.1984382160222	19.0807659041622	9.14616868452118	9.98874085304947	86.46	DOWN_pEhEx_UP_CmasM
EHI_148190A	-1.71243291490407	7.28931172571202	0.0019177799919739	0.141611309883533	346	686	1695	2191	53.7848164670167	92.1789113398259	161.487040836077	317.178713174368	85.84	UP_pEhEx_DOWN_CmasM
EHI_051690A	-2.72892610305147	2.4848285949821	0.00204983271360939	0.148997215370483	1	19	77	77	0.155447446436464	2.55306022661325	7.3359894657097	11.1468557345625	85.1	UP_pEhEx_DOWN_CmasM
EHI_012420A	-1.31649547397809	3.00353395615838	0.00216610358316045	0.153795482438106	31	30	113	78	4.81887083953039	4.03114772623145	10.7658027224051	11.2916200947516	84.62	UP_pEhEx_DOWN_CmasM
EHI_017660A	-2.43127002086771	4.8026062646036	0.00218196514207115	0.153795482438106	20	105	293	452	3.10894892872929	14.1090170418101	27.9148690058824	65.4334908054835	84.62	UP_pEhEx_DOWN_CmasM
EHI_110570A	-1.49430821423867	4.94087174142934	0.00228502481237297	0.158655752644165	82	142	341	397	12.7466906077901	19.0807659041622	32.487953348143	57.4714509950817	84.13	UP_pEhEx_DOWN_CmasM
EHI_118670A	-2.31461619768145	3.59843497824815	0.00241042735295619	0.164787595434028	9	48	138	182	1.39902701792818	6.44983636197033	13.1476174839992	26.3471135544203	83.52	UP_pEhEx_DOWN_CmasM
EHI_181610A	1.30678541465548	4.46289818385582	0.00244418402513927	0.164787595434028	240	186	139	82	37.3073871447514	24.993115902635	13.242890074463	11.8706775355081	83.52	DOWN_pEhEx_UP_CmasM
EHI_126130A	-1.95107687727926	2.20107343798962	0.00251025847936812	0.166824606371721	6	19	48	64	0.932684678618786	2.55306022661325	4.57308434226059	9.26491905210386	83.32	UP_pEhEx_DOWN_CmasM
EHI_079930A	1.58289140069224	2.01861023027365	0.00257454282911867	0.168686947057184	47	32	23	11	7.30602998251382	4.29989090798022	2.19126958066653	1.59240796208035	83.13	DOWN_pEhEx_UP_CmasM
EHI_013340A	-1.29615868003202	3.35486259202902	0.00262046717151104	0.169311295581519	34	46	136	106	5.28521317883979	6.18109318022156	12.9570723030717	15.345022180047	83.07	UP_pEhEx_DOWN_CmasM
EHI_017890A	-1.62073740659351	1.48602606397249	0.00294772323606519	0.173579854356649	7	10	32	32	1.08813212505525	1.34371590874382	3.04872289484039	4.63245952605193	82.64	UP_pEhEx_DOWN_CmasM
EHI_044610A	-2.259437930456	1.12791862952615	0.00283977387540367	0.173579854356649	4	5	19	32	0.621789785745857	0.671857954371909	1.81017921881148	4.63245952605193	82.64	UP_pEhEx_DOWN_CmasM
EHI_055430A	-1.45295066292768	3.15969987078498	0.00276533468528626	0.173579854356649	30	34	100	110	4.66342339309393	4.56863408972898	9.52725904637623	15.9240796208035	82.64	UP_pEhEx_DOWN_CmasM
EHI_092100A	-1.71034032427361	1.31632358567065	0.00279200070412682	0.173579854356649	9	5	37	22	1.39902701792818	0.671857954371909	3.52508584715921	3.1848159241607	82.64	UP_pEhEx_DOWN_CmasM
EHI_104690A	-2.90172319140179	0.303219106012857	0.00280404818674482	0.173579854356649	0	3	12	16	0	0.403114772623145	1.14327108556515	2.31622976302596	82.64	UP_pEhEx_DOWN_CmasM
EHI_191530A	-1.62073740659351	1.48602606397249	0.00294772323606519	0.173579854356649	7	10	32	32	1.08813212505525	1.34371590874382	3.04872289484039	4.63245952605193	82.64	UP_pEhEx_DOWN_CmasM
EHI_196530A	-1.25627217948782	3.36203553711484	0.00290889987829362	0.173579854356649	35	47	141	102	5.44066062527625	6.31546477109594	13.4334352553905	14.7659647392905	82.64	UP_pEhEx_DOWN_CmasM
EHI_166800A	1.85508986463166	2.05699470832298	0.00315804623226472	0.183640388406193	58	26	19	11	9.01595189331493	3.49366136273393	1.81017921881148	1.59240796208035	81.64	DOWN_pEhEx_UP_CmasM
EHI_039020A	-3.28230916830856	5.9290657445712	0.00331844942983482	0.186813261907257	26	138	248	1359	4.04163360734807	18.5432795406647	23.6276024350131	196.734765497018	81.32	UP_pEhEx_DOWN_CmasM
EHI_148470A	-1.58932852797811	5.9530290694734	0.00333308270384832	0.186813261907257	183	246	564	909	28.446882697873	33.0554113550979	53.733741021562	131.590803411913	81.32	UP_pEhEx_DOWN_CmasM
EHI_151350A	-1.60765520716709	2.81099363813326	0.0032562535451322	0.186813261907257	12	35	99	75	1.86536935723757	4.70300568060336	9.43198645591247	10.8573270141842	81.32	UP_pEhEx_DOWN_CmasM
EHI_079890A	-1.39909566426503	2.94856086378761	0.00346661778536933	0.189725952206331	22	35	92	89	3.41984382160222	4.70300568060336	8.76507832266613	12.8840280568319	81.03	UP_pEhEx_DOWN_CmasM
EHI_124880A	-1.32524890014254	3.40128563974306	0.00345286657646547	0.189725952206331	39	42	124	122	6.06245041102211	5.64360681672403	11.8138012175065	17.661251943073	81.03	UP_pEhEx_DOWN_CmasM
EHI_006960A	-1.77443661660601	1.0466102298532	0.00352916871456898	0.190903405350871	5	6	25	22	0.777237232182322	0.806229545246291	2.38181476159406	3.1848159241607	80.91	UP_pEhEx_DOWN_CmasM
EHI_010030A	-1.90053575664327	5.82916740969233	0.00358854066337978	0.191883806506238	71	273	704	770	11.036768696989	36.6834443087062	67.0719036864887	111.468557345625	80.81	UP_pEhEx_DOWN_CmasM
EHI_062790A	-1.25750376114298	3.83416983578219	0.00366995219790387	0.194007018461918	62	51	189	148	9.63774167906079	6.85295113459347	18.0065195976511	21.4251253079902	80.6	UP_pEhEx_DOWN_CmasM
EHI_114000A	2.18231801644369	0.430039903069308	0.0037424069367167	0.195614349096698	10	16	5	2	1.55447446436464	2.14994545399011	0.476362952318812	0.289528720378246	80.44	DOWN_pEhEx_UP_CmasM
EHI_135060A	-1.97345499631598	7.26419477408088	0.0037881726433538	0.195806434854243	188	709	1817	2184	29.2241199300553	95.2694579299367	173.110296872656	316.165362653044	80.42	UP_pEhEx_DOWN_CmasM
EHI_163670A	-1.43554716009977	8.40339880520684	0.00400549467553915	0.204764409127562	1116	1427	3643	4428	173.479350223094	191.748260177743	347.078047059486	641.016586917436	79.52	UP_pEhEx_DOWN_CmasM
EHI_094000A	-1.62900726796627	1.14285973481172	0.00406086747226851	0.205338646532534	4	9	32	19	0.621789785745857	1.20934431786944	3.04872289484039	2.75052284359333	79.47	UP_pEhEx_DOWN_CmasM
EHI_103400A	2.69938779377189	1.35901489519222	0.00425814292728608	0.212998719330482	46	9	7	4	7.15058253607736	1.20934431786944	0.666908133246336	0.579057440756491	78.7	DOWN_pEhEx_UP_CmasM
EHI_176820A	-1.49654331244008	6.87826503287261	0.00433005686465666	0.214291750365774	389	464	1125	1655	60.4690566637846	62.3484181657131	107.181664271733	239.585016112998	78.57	UP_pEhEx_DOWN_CmasM
EHI_001060A	-2.52576896742551	0.662031614376307	0.00438120287699708	0.214540587197794	5	0	22	16	0.777237232182322	0	2.09599699020277	2.31622976302596	78.55	UP_pEhEx_DOWN_CmasM
EHI_049660A	-1.37886579867483	3.56469253966778	0.00446710395488104	0.216468412480277	32	58	137	141	4.97431828596686	7.79355227071414	13.0523448935354	20.4117747866663	78.35	UP_pEhEx_DOWN_CmasM
EHI_070450A	1.49209361024409	2.70532052443745	0.00453677034560337	0.217577893275741	79	48	40	19	12.2803482684807	6.44983636197033	3.81090361855049	2.75052284359333	78.24	DOWN_pEhEx_UP_CmasM
EHI_028930A	1.3381132941843	1.87421550990686	0.00467026362714195	0.219832599213443	38	30	21	13	5.90700296458564	4.03114772623145	2.00072439973901	1.8819366824586	78.02	DOWN_pEhEx_UP_CmasM
EHI_031240A	-1.34322423471914	4.16866162217414	0.00467829478119752	0.219832599213443	62	77	191	226	9.63774167906079	10.3466124973274	18.1970647785786	32.7167454027417	78.02	UP_pEhEx_DOWN_CmasM
EHI_009940A	-1.8508547545525	3.19483756178659	0.00479403819204122	0.220610649440139	28	25	72	146	4.352528500221	3.35928977185954	6.85962651339089	21.1355965876119	77.94	UP_pEhEx_DOWN_CmasM
EHI_065360A	-2.80663377652841	-0.147292061896993	0.00492469736308209	0.220610649440139	0	2	11	8	0	0.268743181748764	1.04799849510139	1.15811488151298	77.94	UP_pEhEx_DOWN_CmasM
EHI_118270A	-2.32894152738255	11.6623336020196	0.00504752383418749	0.220610649440139	3177	12339	25137	58145	493.856537328647	1658.011059799	2394.86710648759	8417.32372319654	77.94	UP_pEhEx_DOWN_CmasM
EHI_140770A	-2.13051225434601	1.26691087138726	0.00484940924023057	0.220610649440139	3	8	21	35	0.466342339309393	1.07497272699505	2.00072439973901	5.0667526066193	77.94	UP_pEhEx_DOWN_CmasM
EHI_141050A	-3.24750520263055	1.19588676829193	0.00511880981989681	0.220610649440139	5	0	16	41	0.777237232182322	0	1.5243614474202	5.93533876775403	77.94	UP_pEhEx_DOWN_CmasM
EHI_141800A	-1.32444196287923	7.22544233296586	0.0050284968684885	0.220610649440139	429	772	1890	1706	66.6869545212432	103.734868155023	180.065195976511	246.967998482643	77.94	UP_pEhEx_DOWN_CmasM
EHI_152990A	-1.21060977612656	3.92894750789704	0.00510797622717215	0.220610649440139	65	59	188	165	10.1040840183702	7.92792386158852	17.9112470071873	23.8861194312053	77.94	UP_pEhEx_DOWN_CmasM
EHI_153800A	-1.36742118818806	1.86054032026058	0.00493180587585819	0.220610649440139	9	17	47	36	1.39902701792818	2.28431704486449	4.47781175179683	5.21151696680842	77.94	UP_pEhEx_DOWN_CmasM
EHI_168290A	-1.19770025738096	3.18166083847275	0.00512165738167133	0.220610649440139	33	41	119	91	5.12976573240332	5.50923522584965	11.3374382651877	13.1735567772102	77.94	UP_pEhEx_DOWN_CmasM
EHI_048300A	-2.09280340965425	2.74553439665763	0.00539353549708039	0.230190157178146	5	30	78	93	0.777237232182322	4.03114772623145	7.43126205617346	13.4630854975884	76.98	UP_pEhEx_DOWN_CmasM
EHI_017450A	1.45966654993024	1.31680611081697	0.00564883660443869	0.230278818482844	25	21	13	8	3.88618616091161	2.82180340836202	1.23854367602891	1.15811488151298	76.97	DOWN_pEhEx_UP_CmasM
EHI_032780A	-2.25415749038748	2.65631874469346	0.00569261911554753	0.230278818482844	4	26	63	97	0.621789785745857	3.49366136273393	6.00217319921703	14.0421429383449	76.97	UP_pEhEx_DOWN_CmasM
EHI_046600A	-1.6614483086672	3.43619939648195	0.00560757646867894	0.230278818482844	18	54	126	139	2.79805403585636	7.25606590721662	12.0043463984341	20.1222460662881	76.97	UP_pEhEx_DOWN_CmasM
EHI_066970A	2.39725829143702	1.22442576725423	0.00563273338331281	0.230278818482844	23	27	13	0	3.57529126803868	3.62803295360831	1.23854367602891	0	76.97	DOWN_pEhEx_UP_CmasM
EHI_104360A	-1.3598520254954	6.5765462174474	0.00569161120415513	0.230278818482844	286	463	1006	1231	44.4579696808288	62.2140465748388	95.8442260065449	178.20492739281	76.97	UP_pEhEx_DOWN_CmasM
EHI_188960A	-1.58100026171764	9.16840509853023	0.00555634256031699	0.230278818482844	1117	2996	7493	6979	173.634797669531	402.577286259648	713.877520344971	1010.31046975989	76.97	UP_pEhEx_DOWN_CmasM
EHI_098440A	1.20860242884545	6.93268099445769	0.00579426681689143	0.232370079587749	890	1504	726	540	138.348227328453	202.09487267507	69.1679006766915	78.1727545021263	76.76	DOWN_pEhEx_UP_CmasM
EHI_012570A	-1.18109498643611	4.04814668838363	0.00585283792476948	0.232712837829296	63	75	195	184	9.79318912549725	10.0778693155786	18.5781551404337	26.6366422747986	76.73	UP_pEhEx_DOWN_CmasM
EHI_092930A	-1.61260614066202	5.81433202147271	0.00601992584198805	0.233372458474403	89	307	814	630	13.8348227328453	41.2520783984352	77.5518886375025	91.2015469191473	76.66	UP_pEhEx_DOWN_CmasM
EHI_151890A	-1.59877942843874	2.23589196413247	0.00600032220047398	0.233372458474403	7	24	64	50	1.08813212505525	3.22491818098516	6.09744578968079	7.23821800945614	76.66	UP_pEhEx_DOWN_CmasM
EHI_179990A	-1.37670209144316	1.88690142967628	0.00597309291483175	0.233372458474403	14	12	42	41	2.1762642501105	1.61245909049258	4.00144879947802	5.93533876775403	76.66	UP_pEhEx_DOWN_CmasM
EHI_006160A	-1.2111558670099	3.34479756870561	0.00641002129948661	0.246441480043072	34	49	164	82	5.28521317883979	6.58420795284471	15.624704836057	11.8706775355081	75.36	UP_pEhEx_DOWN_CmasM
EHI_006850A	-1.7002909945954	2.8268771142258	0.0064685943588881	0.246654925881536	24	20	61	105	3.73073871447514	2.68743181748764	5.8116280182895	15.2002578198579	75.33	UP_pEhEx_DOWN_CmasM
EHI_069950A	-1.5905899332022	2.46816336419017	0.00675701929694462	0.254955748445299	9	28	66	66	1.39902701792818	3.76240454448269	6.28799097060831	9.5544477724821	74.5	UP_pEhEx_DOWN_CmasM
EHI_153250A	-1.52131770729481	2.07867280903523	0.00685070261299706	0.254955748445299	14	14	42	54	2.1762642501105	1.88120227224134	4.00144879947802	7.81727545021263	74.5	UP_pEhEx_DOWN_CmasM
EHI_166410A	-2.63102414978661	0.698258897529115	0.00680067394102484	0.254955748445299	0	5	33	9	0	0.671857954371909	3.14399548530416	1.3028792417021	74.5	UP_pEhEx_DOWN_CmasM
EHI_112800A	-1.3541922255166	4.312778114814	0.00693846568175186	0.255618966385682	47	109	250	225	7.30602998251382	14.6465034053076	23.8181476159406	32.5719810425526	74.44	UP_pEhEx_DOWN_CmasM
EHI_180390A	-3.50378662903006	3.47603882265792	0.00697841976160396	0.255618966385682	7	18	19	266	1.08813212505525	2.41868863573887	1.81017921881148	38.5073198103067	74.44	UP_pEhEx_DOWN_CmasM
EHI_162230A	-2.30396492483951	2.49732138700834	0.00703769414203609	0.255776196474624	3	23	55	88	0.466342339309393	3.09054659011078	5.23999247550693	12.7392636966428	74.42	UP_pEhEx_DOWN_CmasM
EHI_155310A	-1.19270945998126	4.47336237814376	0.00740323150225753	0.266975449213194	93	91	248	259	14.4566125185912	12.2278147695687	23.6276024350131	37.4939692889828	73.3	UP_pEhEx_DOWN_CmasM
EHI_058090A	-1.29376907846327	8.13308338399937	0.00765849103090703	0.274056155967535	882	1398	3209	3393	137.104647756962	187.851484042386	305.729742798213	491.185474121694	72.59	UP_pEhEx_DOWN_CmasM
EHI_182550A	-1.6690276054274	4.28940975231859	0.00800947111765164	0.28442793617798	30	102	220	261	4.66342339309393	13.7059022691869	20.9599699020277	37.783498009361	71.56	UP_pEhEx_DOWN_CmasM
EHI_078540A	1.82669765473971	0.649793149287987	0.00810085669071639	0.285493828221308	16	13	5	5	2.48715914298343	1.74683068136696	0.476362952318812	0.723821800945614	71.45	DOWN_pEhEx_UP_CmasM
EHI_030170A	-1.25748825001914	3.76641091413854	0.00829285105318154	0.290062730070681	42	68	151	161	6.5287927503315	9.13726817945796	14.3861611600281	23.3070619904488	70.99	UP_pEhEx_DOWN_CmasM
