logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_170060A	-1.59415971823145	5.90128320481	4.82861612563648e-05	0.00544254017589598	137	243	839	673	21.1715626569046	37.9135514377366	79.4282547909925	99.0946293693642	99.46	UP_pEhEx_DOWN_U2AF84
EHI_172280A	-3.15888016465155	3.71573140330196	1.33076478514479e-07	3.93740030804715e-05	17	16	135	227	2.62712821290057	2.49636552676455	12.7804700795995	33.4241914811971	100	UP_pEhEx_DOWN_U2AF84
EHI_176820A	-1.49247015335056	6.89374429358319	0.00114839367103827	0.0423941945542364	413	388	1125	1655	63.8237618781139	60.5368640240404	106.503917329996	243.687387230754	95.76	UP_pEhEx_DOWN_U2AF84
EHI_177520A	-1.4595458792147	7.5786553896179	0.00114977111694997	0.0423941945542364	484	825	2107	2448	74.7958855908163	128.718847473797	199.47000339049	360.451192713527	95.76	UP_pEhEx_DOWN_U2AF84
EHI_179390A	-2.03751666990622	4.5977964790218	5.86278259085173e-05	0.00590519420959406	38	82	300	329	5.87240424060128	12.7938733246683	28.4010446213323	48.4429911775941	99.41	UP_pEhEx_DOWN_U2AF84
EHI_182550A	-1.72315223359231	4.29237948769204	0.000317871864151291	0.0188771596056708	42	73	220	261	6.49055205540141	11.3896677158633	20.8274327223103	38.4304580466628	98.11	UP_pEhEx_DOWN_U2AF84
EHI_187780A	-2.50333895382754	3.03256378732737	6.21797304982797e-07	0.00017315226128168	14	16	99	118	2.16351735180047	2.49636552676455	9.37234472503964	17.3746898448514	99.98	UP_pEhEx_DOWN_U2AF84
EHI_188170A	-1.28373506148495	5.50630257749435	0.000578616714595328	0.0280055032567651	154	184	510	542	23.7986908698052	28.7082035577924	48.2817758562648	79.8057787788936	97.2	UP_pEhEx_DOWN_U2AF84
EHI_188880A	-3.56894789930743	2.68584710751712	1.07672477426316e-07	3.39814338757453e-05	6	6	68	110	0.927221722200202	0.936137072536707	6.43757011416864	16.1967447706242	100	UP_pEhEx_DOWN_U2AF84
EHI_188960A	-1.50235227904408	9.19928750063517	5.38933717545799e-05	0.0056300150611563	1556	2388	7493	6979	240.459499957252	372.58255486961	709.363424492142	1027.60983412896	99.44	UP_pEhEx_DOWN_U2AF84
EHI_194430A	-2.15819181031186	3.04156435060389	5.44609368423399e-05	0.0056300150611563	14	23	92	117	2.16351735180047	3.58852544472404	8.70965368387522	17.227446710573	99.44	UP_pEhEx_DOWN_U2AF84
EHI_194730A	1.72068009486158	2.59928530702842	3.34480492556236e-06	0.000754014596076772	59	58	31	17	9.11768026830199	9.0493250345215	2.934774610871	2.50313328273282	99.92	DOWN_pEhEx_UP_U2AF84
EHI_195110A	11.7356483760532	4.8174293147877	1.6634468035123e-19	7.87475716782723e-16	559	169	0	0	86.3861571183188	26.3678608764506	0	0	100	DOWN_pEhEx_UP_U2AF84
EHI_201940A	-1.19331599258435	4.24804326277374	0.000203536410096529	0.0133825189638468	77	69	246	195	11.8993454349026	10.7655763341721	23.2888565894924	28.7124111842883	98.66	UP_pEhEx_DOWN_U2AF84
