logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_020080A	-1.19141874983356	6.34612507668666	7.56880317154976e-05	0.00731239065594215	299	336	1073	841	46.2065491563101	52.4236760620556	101.581069595632	123.831475928136	99.27	UP_pEhEx_DOWN_U2AF84
EHI_017450A	1.75338706611407	1.50549870655235	7.89310079952492e-05	0.0074731878369902	28	25	13	8	4.32703470360094	3.90057113556961	1.23071193359106	1.17794507422721	99.25	DOWN_pEhEx_UP_U2AF84
EHI_077770A	-1.81587723552605	3.3754441802545	9.38414263249331e-05	0.008381987023061	36	21	126	132	5.56333033320121	3.27647975387848	11.9284387409595	19.436093724749	99.16	UP_pEhEx_DOWN_U2AF84
EHI_083140A	-5.40678301633033	2.4988192807558	9.36725864602627e-05	0.008381987023061	0	3	27	127	0	0.468068536268354	2.5560940159199	18.699878053357	99.16	UP_pEhEx_DOWN_U2AF84
EHI_092110A	-1.60058071590676	4.51800899386115	9.26299487036285e-05	0.008381987023061	80	64	260	295	12.3629562960027	9.98546210705821	24.6142386718213	43.4367246121284	99.16	UP_pEhEx_DOWN_U2AF84
EHI_028930A	1.56532516436901	2.02203329391679	9.74734988970253e-05	0.00854517673663922	40	35	21	13	6.18147814800135	5.46079958979746	1.98807312349326	1.91416074561922	99.15	DOWN_pEhEx_UP_U2AF84
EHI_028990A	-1.99901615296531	5.42952193347159	0.000110645751580376	0.00935351764252682	81	139	450	641	12.5174932497027	21.6871755137671	42.6015669319984	94.3828490724553	99.06	UP_pEhEx_DOWN_U2AF84
EHI_134810A	-1.54145796130872	6.38472285676239	0.000109129746301573	0.00935351764252682	193	354	1181	923	29.8256320641065	55.2320872796657	111.805445659311	135.905412938965	99.06	UP_pEhEx_DOWN_U2AF84
EHI_052720A	-2.02616341976776	1.89879848620536	0.000114774565701042	0.00936797920739191	6	11	46	45	0.927221722200202	1.71625129965063	4.35482684193761	6.62594104252806	99.06	UP_pEhEx_DOWN_U2AF84
EHI_103400A	2.72539044186928	1.37798585185032	0.000113815402086341	0.00936797920739191	39	16	7	4	6.02694119430131	2.49636552676455	0.662691041164419	0.588972537113606	99.06	DOWN_pEhEx_UP_U2AF84
