logFC	logCPM	PValue	FDR	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_030070A	-1.59848566918671	10.6334003181167	9.59448824329762e-07	5.36614083631022e-05	3730	6240	22124	18829	685.282378114127	891.484536345375	2077.50838844432	2697.87383182591	99.99	UP_pEhEx_DOWN_CDC5
EHI_035060A	-10.1426533676705	3.31300635973914	1.01674333583298e-25	1.61119927285e-22	0	0	228	112	0	0	21.4098676805869	16.0476854407829	100	UP_pEhEx_DOWN_CDC5
EHI_035220A	-3.3920921360157	3.1207287252463	4.62537238713057e-12	1.37431377052617e-09	4	14	166	101	0.734887268755096	2.00012556231334	15.5878861183221	14.4715734778489	100	UP_pEhEx_DOWN_CDC5
EHI_035510A	-1.53266026625661	3.51488294629364	4.13927687292612e-05	0.00129680165814067	33	37	168	119	6.06281996722954	5.28604612897098	15.7756919751693	17.0506657808319	99.87	UP_pEhEx_DOWN_CDC5
EHI_035600A	-1.20338560633258	8.70825096937821	9.26480409201863e-05	0.00256074875892189	1435	1697	5632	4443	263.640807665891	242.443791374696	528.861292881867	636.60595011963	99.74	UP_pEhEx_DOWN_CDC5
EHI_035650A	-1.65946077976952	3.6798056370599	6.63093058573727e-06	0.000269431145338419	33	41	187	141	6.06281996722954	5.85751057534622	17.5598476152182	20.2028897066999	99.97	UP_pEhEx_DOWN_CDC5
EHI_035670A	-2.58897011361411	4.3558564080387	1.52618433922513e-08	1.81387008716906e-06	40	29	284	294	7.34887268755096	4.14311723622049	26.66843167231	42.1251742820552	100	UP_pEhEx_DOWN_CDC5
EHI_036560A	-1.76198133466159	3.70841812612053	2.34668240203872e-06	0.000119958367089162	29	43	225	125	5.32793269847444	6.14324279853384	21.1281588953161	17.9103632151595	99.99	UP_pEhEx_DOWN_CDC5
EHI_037810A	-1.99152109381146	2.80506716893462	7.35745818934555e-06	0.00029178867536024	13	20	93	87	2.38838362345406	2.8573222318762	8.7329723433973	12.465612797751	99.97	UP_pEhEx_DOWN_CDC5
EHI_038300A	-2.66875033471912	2.87327990090019	3.07583653612162e-09	4.30074320374182e-07	11	12	138	75	2.02093998907651	1.71439333912572	12.9586041224605	10.7462179290957	100	UP_pEhEx_DOWN_CDC5
