NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_CmasM_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_CmasM_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_005890A	13964.0218392795	13771.7073903171	31715.0979365321	10381.4490841168	10133.7548203577	4091.65459653411	20486.3474242863	20367.896692954	16143.5306619518	14798.9011491562	14917.1718942291	1955.29911169124
EHI_005910A	219.030290981982	274.815861477115	909.721700354456	227.497322261616	173.387619625349	47.9999637106618	397.554276817692	503.576630333792	338.115743441093	401.351998167372	315.219822212253	15.4997947815398
EHI_005960A	36.6466133676325	34.6465306244615	16.9241864294805	55.6039223196292	120.246795652939	185.342869541559	18.1295109949436	17.2064907858927	32.913921927894	27.4689580494779	63.0439644424506	366.570146583415
EHI_006160A	55.4423140563421	69.6316811914196	55.9054066836442	158.063085105973	122.091049317595	152.881543928018	44.0288124162916	56.2078699005827	62.087625454891	125.136364447622	99.4154823900182	162.747845206168
EHI_006170A	96.4163538297301	226.330728636745	153.613191366949	248.50115024942	510.077042057526	340.22414480366	75.1079741219093	180.09460355901	183.270701643955	190.756653121374	406.148617081172	383.619920843109
EHI_006680A	1.71424331807696	1.70495519695185	2.57628738211552	49.656213011395	57.0383235341593	22.0778049192186	0	0	0	61.0421289988398	72.7430358951353	10.8498563470778
EHI_006770A	152.163936779988	151.364436496373	19.5761173737309	3.00311060666631	2.99773664213041	18.3965447750035	68.6331487665722	68.8259631435706	47.8747955314822	0	0	41.8494459101574
EHI_006810A	547.380071832303	439.710053176047	335.654539056002	874.030979886299	1151.68318080536	1509.33090434104	343.165743832861	277.598051345735	562.528847494916	533.355602127363	726.217975019767	2384.64342713989
EHI_006940A	131.343942707603	169.126591254422	113.660124114498	230.318280796598	322.184439882306	362.084011805217	90.6475549747181	118.151236729796	161.577434918752	155.657428947042	225.503411274919	488.243535618503
EHI_006960A	9.17967712604385	9.55795269924005	9.34453550435575	23.7036158233579	31.3765555617089	26.6109056516951	6.47482535533701	6.88259631435706	7.48043680179409	19.0756653121374	26.6724464948829	23.2496921723096
EHI_007510A	30086.4041903087	27750.2155714712	103064.542173682	18065.8580409942	11668.3181635501	3662.70155681331	48667.3773008551	45251.9236675119	45700.9805968808	28395.2723570353	18937.4370113669	1524.40481676444
EHI_007620A	7843.45894895096	6861.2159924414	21268.2740263205	4516.00415836448	2940.99811048372	1139.15956317154	12097.5636939117	10668.0242872534	10084.3768524986	6767.28302613388	4550.07689524071	506.068299617273
EHI_008630A	109.62867649577	238.252178184382	819.445577046619	84.1828384229706	182.022355855942	22.6112811344005	178.705179807301	394.602188689805	350.832486004143	132.766630572477	299.45883110164	7.74989739076988
EHI_009620A	504.477732694018	287.378684600414	228.39619509045	640.153455877702	634.304832248638	1134.12211826995	244.748398431739	139.946125058594	548.316017571507	302.158538544257	309.157902554325	2569.86597477929
EHI_009940A	81.587779817449	64.6412768615282	40.2541244992684	125.525628191477	385.297307241669	429.706335373898	36.2590219898872	28.6774846431544	101.7339405044	54.9379160989558	177.008054011496	1051.66107592747
EHI_010020A	280.611866871033	379.302150360745	260.170311309245	787.733773445378	2506.09939866303	1821.33186463633	169.64042430983	231.714075916688	455.55860122926	465.446233616154	1532.45328952418	3010.8351363141
EHI_010030A	122.554573194109	408.783383700452	251.649449062397	725.750584232713	1219.89228334021	836.449311964525	91.9425200457855	313.158132303246	320.162695116787	537.17073518979	933.535627320902	1004.38670184378
EHI_010350A	134.517960862746	96.602142191042	46.9864056936927	228.779987925887	128.627678826266	457.992595255316	54.3885329848308	39.00137911469	139.13612451337	90.8001668857742	52.1325090581803	1305.85771034473
EHI_011880A	15.0737494659589	22.7410253997243	17.9609688889398	54.5875614689356	67.0058137633893	64.1231106947939	7.76979042640441	12.6180932429879	28.4256598468176	31.2840911119054	40.0086697423244	101.523655819085
