NOISeq_EhMyb10_1	NOISeq_EhMyb10_2	NOISeq_EhMyb10_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_EhMyb10_1	DESeq2_EhMyb10_2	DESeq2_EhMyb10_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_014110A	4836.4153807899	325.754071444447	1306.45298537284	4585.46093937435	6224.0202522002	4507.44432414153	8723.07636485855	601.139518792515	508.00887341237	7894.06368864331	10674.7306171177	1576.1905324915
EHI_015310A	4658.48844479515	1109.17510692263	2528.89341951593	7061.34001448526	10192.9403248453	7173.31476462956	5206.95041388473	1272.47197540811	1937.95977635089	7534.65147337484	10835.3023039164	4936.64411987585
EHI_017750A	319.938532366295	362.664447734312	471.42836982395	1054.19094222031	1555.91081169481	960.048315699531	177.509673200616	206.979175632153	959.572316445587	561.581586356982	826.333826800106	1756.81285404835
EHI_018630A	53.3932561951522	145.778295622152	38.5604627916349	5.53940367590632	5.61987653190103	13.6487838299214	9.86164851114533	29.6970121559177	313.585724328623	0	0	94.4286909050986
EHI_023000A	51.511685101562	7.39487754474509	13.8778002960943	71.8587980004154	107.909103284021	111.76451911371	69.0315395780173	8.09918513343209	6.27171448657247	92.8087463768908	139.913341128654	55.4494057059009
EHI_023230A	133192.939248879	202081.454791455	327595.583583494	115247.249388389	105450.258408048	57321.0925514204	74441.102043131	116073.021785052	669994.715171563	61480.7697973385	56038.579677019	105213.325812888
EHI_025230A	645.615072938957	114.836189384048	224.438079369353	610.252336562725	948.87322795281	868.787288516218	713.624746806516	128.687052675643	172.472148380743	643.749839518688	998.173702146037	603.904418579119
EHI_025380A	22.4062765124655	32.4166260066845	34.2365442953359	12.0277368075241	4.76312478421886	6.7990505496293	4.48256750506606	7.19927567416186	206.966578056891	1.77341553586416	0	31.8422329796263
EHI_025600A	7745.9127504384	5328.87825516278	38.3226439703177	4732.50775494295	5876.34881398737	610525.865073914	91933.8734749008	64995.0607863332	0	53608.5782336375	66313.2896007085	14880.2048737895
EHI_025830A	1178.38249190159	411.460121834271	483.322236846366	1496.36456040149	1927.28922180169	2352.72782787629	1129.60701127665	404.059347212334	457.83515751979	1369.66793219908	1757.83741337477	2007.15868575024
EHI_026360A	22.2506412719797	11.1727034086154	3.47063542884674	21.9210849559804	46.0295935669889	163.316142301537	35.8605400405285	17.0982797261344	0	33.6948951814189	73.2432255572821	59.2924338241317
EHI_027570A	13215.3652043291	14499.2448181213	21898.781327057	7619.45611804248	7414.40225324144	4952.51146421889	7182.86617011785	8099.18513343209	46573.7517772871	3952.35209092925	3831.18410607322	9451.10415076321
EHI_028990A	167.36277970335	62.8859986746388	241.027149145865	366.279707786592	829.176025005772	231.790443932027	126.408403642863	47.6952013413223	313.585724328623	266.012330379623	601.909071566896	270.658980326823
EHI_029370A	1169.03756947483	1122.27530438305	2994.13495416424	783.867085106394	1043.45479974425	376.962729653307	467.083534027883	460.753643146359	9799.55388526948	298.524948537133	396.264630579142	1104.04707796601
EHI_029530A	1532.5891225204	803.820352919349	614.650557123454	1564.57156559581	1863.14039175971	2615.26975606146	3559.15859902245	1916.80714824559	166.20043389417	3468.20964963833	4114.76685117962	638.491671643196
EHI_030070A	13157.9771677946	1193.67231948894	8349.18445638577	16678.3177998394	22633.594237907	9062.39816900502	10809.2632817163	1006.09877546412	9899.90131705464	13078.3484384862	17680.7268463855	9644.35356470853
EHI_030800A	102859.711766175	163351.316334791	510519.563049515	75178.9370628251	121045.327439839	27154.2073572836	33503.6060463647	54682.0983830964	2240516.69075488	23373.0256241776	37489.2632967812	106951.472530362
