NOISeq_U2AF84_1	NOISeq_U2AF84_2	NOISeq_U2AF84_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_U2AF84_1	DESeq2_U2AF84_2	DESeq2_U2AF84_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_035440A	4662.03072463234	5056.66197397536	1394.3133045506	4406.5026701328	5188.80227305322	14907.7628829288	9427.02678945766	10404.6152822781	462.089677617632	8466.10681018573	10158.9066050174	4478.39043074491
EHI_035670A	66.9818054296829	113.301628063354	275.524559217799	403.756008738309	649.243146216344	178.943771241104	28.2942169691086	49.6788554212027	780.365731078756	168.668841395493	277.163932987669	456.838240535478
EHI_036560A	17.4876872125226	35.105836736295	4.42028865000912	63.5212985164945	55.1794501238017	353.766295614401	36.3782789602825	77.6232115956292	0	133.62848349995	117.841808243056	89.4187773193659
EHI_037810A	17.60602049687	29.1321138242836	14.4315876974891	45.2421896010734	65.1737405806231	82.2643332144845	21.2206627268315	37.259141565902	7.07280118802498	55.2331065133127	82.0178985371673	42.9897967881567
EHI_039020A	62.7445890211492	490.727149453329	852.642552682725	456.276154028709	3866.97720437674	313.058308611461	20.2101549779347	169.736089355776	3486.89098569631	147.288284035501	1281.17613921851	1154.41934308463
EHI_048140A	85.4350950757984	212.567940929789	232.565718617335	380.338845321698	986.992786841371	313.614974452322	182.901902550309	467.809221882992	68.3704114842415	783.953769866374	2077.78676294157	83.6868044142784
EHI_048860A	1.59871457346228	6.72234804041605	3.05765558667641	16.9563807889292	16.9528994039749	14.0743658557396	0	8.27980923686712	0	23.1622704733247	23.5683616486113	4.58557832407005
EHI_049000A	865.539839642393	2417.0228087046	1781.34829884341	3792.08740250123	5151.85202919477	3496.18597858485	960.992869200796	2734.40700047537	1376.83863126886	4007.07279188517	5547.9923320831	2444.68644401984
EHI_049690A	863.482496864332	1415.96366987147	748.451384085952	2150.40929557907	2151.44108045674	3020.62256056564	1142.88426400221	1908.49602909787	450.30167563759	2707.61002789454	2760.32651628535	1647.36901292216
EHI_050000A	2.55740463162316	17.6946648008559	14.3571708904879	58.3913894604792	120.187178803449	34.4296693250489	0	9.31478539147551	23.5760039600833	32.070836039988	68.819616013945	54.4537425983318
EHI_052110A	17.60602049687	29.1321138242836	14.4315876974891	45.2421896010734	65.1737405806231	82.2643332144845	21.2206627268315	37.259141565902	7.07280118802498	55.2331065133127	82.0178985371673	42.9897967881567
EHI_054230A	46.085393794897	45.2292150932874	35.4929582334772	78.8578743788918	106.498548170863	118.844479854916	39.4098022069727	39.3290938751188	35.3640059401249	65.3294808221978	90.5025087306673	111.200274358699
EHI_056250A	12.9410713324912	20.2492282220411	13.4320359231787	36.8451121423963	44.1231640137385	46.7969387601945	14.1471084845543	23.804451555993	7.07280118802498	42.1672103488731	51.8503956269448	25.793878072894
EHI_066770A	190.527018894228	388.532641909661	238.308154316352	583.824959567587	690.408809946606	674.738872588517	290.015723933363	604.4260742913	115.522419404408	849.283250688572	1023.80963001567	298.062591064553
EHI_077770A	11.4127812056226	7.21994479346931	7.57647352567457	23.2197309070609	37.1117240553262	29.5040508343394	36.3782789602825	21.7344992467762	0	74.831950759972	124.440949504668	2.86598645254378
EHI_080590A	4.96327171700806	4.9770074974238	2.47713971464436	9.18765912499781	14.9095148415907	27.9958098850255	4.04203099558695	4.13990461843356	0	8.90856556666334	16.0264859210557	14.9031295532277
EHI_083270A	377.22451905142	1176.41812785802	885.695954190719	2196.08509186256	2333.71727627284	1585.17569010134	573.968401373346	1826.73291288381	436.15607326154	3186.29695100992	3450.40814535669	706.752259197296
EHI_083410A	377.22451905142	1176.41812785802	885.695954190719	2196.08509186256	2333.71727627284	1585.17569010134	573.968401373346	1826.73291288381	436.15607326154	3186.29695100992	3450.40814535669	706.752259197296
EHI_083560A	84.3859799574889	76.4967087548828	6.14438309936336	63.2572813788724	152.692089094065	1262.24760717331	250.605921726391	230.799682477671	0	177.577406962156	442.142464527948	214.375786650275
EHI_086080A	95.0143324141955	137.796475105631	111.807288347295	198.565042741646	476.441681366592	303.968659515329	110.145344629744	163.526232428126	77.8008130682748	220.932426053251	543.015052384004	193.74068419196
EHI_090020A	3155.05819596177	7389.23667315505	8089.84084670255	11235.8033296096	22181.1492493545	9461.1178484055	2837.50575890204	6764.60414652044	8449.63981929384	9605.80929834752	19325.1138173953	8934.99936445049
EHI_098800A	204.680944846927	235.832885506872	159.26653732782	402.269197165545	519.440388369574	616.735456569851	221.301197008385	259.779014806706	124.952820988441	415.139155406512	546.785990247782	441.935110982251
EHI_103310A	282.210907231564	576.307364569873	334.439705442969	963.277978540519	1477.1169569647	1280.30376138757	591.147033104591	1231.62162398398	103.734417424366	1924.25016239928	3008.26568082874	362.260687601534
EHI_112810A	4.40397310043161	10.6590448824068	2.83849181128706	13.5722328676747	20.9137420149193	46.5840443100066	4.04203099558695	13.4546900099091	0	16.6293223911049	27.3392995123891	20.6351024583152
EHI_112990A	136.443331674223	152.678999651006	22.5320443237996	147.916497713953	156.914562370405	738.117418792181	1120.65309352648	1277.16057478675	0	1155.14400181068	1249.1231673764	29.2330618159466
EHI_114180A	27.9320907851829	50.0547667334283	47.5327961431242	6.02592309322796	6.09617643105777	5.99920857242199	4.04203099558695	8.27980923686712	455.016876429607	0	0	42.9897967881567
EHI_114920A	187.791281187019	741.456068449454	738.107933994145	1429.138268144	2909.13765877365	1040.22113660242	159.660224325684	646.860096630244	820.444937810897	1165.83428049068	2419.99937407941	1046.08505517848
EHI_117850A	1143.60357437981	2653.63649751971	2325.18555599431	4227.08392778031	7230.35176065908	4074.51086712432	1186.33609720477	2803.75040283413	1980.38433264699	4171.58430268289	7272.2536702955	3138.82836282595
EHI_124880A	67.3974946996739	59.6203399660642	58.6673102877803	106.325775302158	161.787981944375	146.188663398065	48.5043719470434	43.4689984935524	77.8008130682748	73.6441420177503	115.013604845223	178.264357348223
EHI_126980A	1.74523410315234	23.3518094607317	2.49715051457534	31.7404712745146	99.075646575667	141.025783194999	0	27.9443561744265	0	36.2281666377642	119.727277174945	80.2476206712258
