NOISeq	DESeq2
EHI_101230A	1	0
EHI_101730A	1	0
EHI_102170A	1	0
EHI_103280A	1	0
EHI_103320A	1	0
EHI_103370A	1	0
EHI_103410A	1	0
EHI_103430A	1	0
EHI_103470A	1	0
EHI_103510A	1	0
EHI_103540A	1	0
EHI_103560A	1	0
EHI_104360A	1	0
EHI_104390A	1	0
EHI_104560A	1	0
EHI_105120A	1	0
EHI_105270A	1	0
EHI_106330A	1	0
EHI_107090A	1	0
EHI_107130A	1	0
EHI_107170A	1	0
EHI_107290A	1	0
EHI_107660A	1	0
EHI_108690A	1	0
EHI_109000A	1	0
EHI_110280A	1	0
EHI_110400A	1	0
EHI_110470A	1	0
EHI_110570A	1	0
EHI_110730A	1	0
EHI_110740A	1	0
EHI_110750A	1	0
EHI_110810A	1	0
EHI_111050A	1	0
EHI_111070A	1	0
EHI_111610A	1	0
EHI_111800A	1	0
EHI_112830A	1	0
EHI_113950A	1	0
EHI_114320A	1	0
EHI_114330A	1	0
EHI_114770A	1	0
EHI_114920A	1	0
EHI_115270A	1	0
EHI_115390A	1	0
EHI_115400A	1	0
EHI_115500A	1	0
EHI_116360A	1	0
EHI_116830A	1	0
EHI_117270A	1	0
EHI_117880A	1	0
EHI_118080A	1	0
EHI_118270A	1	0
EHI_118670A	1	0
EHI_118720A	1	0
EHI_119590A	1	0
EHI_119890A	1	0
EHI_120300A	1	0
EHI_120310A	1	0
EHI_120360A	1	0
EHI_120470A	1	0
EHI_120600A	1	0
EHI_120650A	1	0
EHI_121060A	1	0
EHI_121620.mRNA	1	0
EHI_121800A	1	0
EHI_122720A	1	0
EHI_122760A	1	0
EHI_122790A	1	0
EHI_122800A	1	0
EHI_122830A	1	0
EHI_122900A	1	0
EHI_123230A	1	0
EHI_123710A	1	0
EHI_124550A	1	0
EHI_124830A	1	0
EHI_124880A	1	0
EHI_125150A	1	0
EHI_125310A	1	0
EHI_125760A	1	0
EHI_125780A	1	0
EHI_125880A	1	0
EHI_125960A	1	0
EHI_126190A	1	0
EHI_126240A	1	0
EHI_126260A	1	0
EHI_126270A	1	0
EHI_126980A	1	0
EHI_127020A	1	0
EHI_127200A	1	0
EHI_127250A	1	0
EHI_127340A	1	0
EHI_127430A	1	0
EHI_128180A	1	0
EHI_128200A	1	0
EHI_128450A	1	0
EHI_129520A	1	0
EHI_129750A	1	0
EHI_129910A	1	0
EHI_130260A	1	0
EHI_131140A	1	0
EHI_131230A	1	0
EHI_131480A	1	0
EHI_131670A	1	0
EHI_131890A	1	0
EHI_131910A	1	0
EHI_132350A	1	0
EHI_133100A	1	0
EHI_133530A	1	0
EHI_133540A	1	0
EHI_134340A	1	0
EHI_134720A	1	0
EHI_134740A	1	0
EHI_134810A	1	0
EHI_135060A	1	0
EHI_135470A	1	0
EHI_135580A	1	0
EHI_135780A	1	0
EHI_136160A	1	0
EHI_136360A	1	0
EHI_136420A	1	0
EHI_136740A	1	0
EHI_136980A	1	0
EHI_137010A	1	0
EHI_137110A	1	0
EHI_137270A	1	0
EHI_138050A	1	0
EHI_138060A	1	0
EHI_138370A	1	0
EHI_138770A	1	0
EHI_139070A	1	0
EHI_140000A	1	0
EHI_140010A	1	0
EHI_140020A	1	0
EHI_140120A	1	0
EHI_140300A	1	0
EHI_140380A	1	0
EHI_140480A	1	0
EHI_140550A	1	0
EHI_140600A	1	0
EHI_141050A	1	0
EHI_141220A	1	0
EHI_142050A	1	0
EHI_142200A	1	0
EHI_142250A	1	0
EHI_142710A	1	0
EHI_142730A	1	0
EHI_142900A	1	0
EHI_143430A	1	0
EHI_143660A	1	0
EHI_143780A	1	0
EHI_144610A	1	0
EHI_144710A	1	0
EHI_145610A	1	0
EHI_146170A	1	0
EHI_146780A	1	0
EHI_146920A	1	0
EHI_146980A	1	0
EHI_147540A	1	0
EHI_148040A	1	0
EHI_148190A	1	0
EHI_148260A	1	0
EHI_148320A	1	0
EHI_148400A	1	0
EHI_148520A	1	0
EHI_148560A	1	0
EHI_148630A	1	0
EHI_148650A	1	0
EHI_148850A	1	0
EHI_148870A	1	0
EHI_150460A	1	0
EHI_151290A	1	0
EHI_151350A	1	0
EHI_151370A	1	0
EHI_151380A	1	0
EHI_151550A	1	0
EHI_151820A	1	0
EHI_151890A	1	0
EHI_151930A	1	0
EHI_151990A	1	0
EHI_152010A	1	0
EHI_152040A	1	0
EHI_152160A	1	0
EHI_152240A	1	0
EHI_152280A	1	0
EHI_152360A	1	0
EHI_152460A	1	0
EHI_152770A	1	0
EHI_152800A	1	0
EHI_152870A	1	0
EHI_152920A	1	0
EHI_153060A	1	0
EHI_153070A	1	0
EHI_153260A	1	0
EHI_153440A	1	0
EHI_153450A	1	0
EHI_153620A	1	0
EHI_153730A	1	0
EHI_153770A	1	0
EHI_154200A	1	0
EHI_154330A	1	0
EHI_155200.mRNA	1	0
EHI_155250A	1	0
EHI_155310A	1	0
EHI_155370A	1	0
EHI_155530A	1	0
EHI_155680A	1	0
EHI_155700A	1	0
EHI_156310A	1	0
EHI_156330A	1	0
EHI_156380A	1	0
EHI_156690A	1	0
EHI_157010A	1	0
EHI_158130A	1	0
EHI_158200A	1	0
EHI_158270A	1	0
EHI_158570A	1	0
EHI_159150A	1	0
EHI_159520A	1	0
EHI_159670A	1	0
EHI_159750A	1	0
EHI_159780A	1	0
EHI_160910A	1	0
EHI_160980A	1	0
EHI_161170A	1	0
EHI_161200A	1	0
EHI_161660A	1	0
EHI_161860A	1	0
EHI_161870A	1	0
EHI_163260A	1	0
EHI_163640A	1	0
EHI_163750A	1	0
EHI_164500A	1	0
EHI_164750A	1	0
EHI_164800A	1	0
EHI_164820A	1	0
EHI_164840A	1	0
EHI_164900A	1	0
EHI_165150A	1	0
EHI_165160A	1	0
EHI_165290A	1	0
EHI_166030A	1	0
EHI_166050A	1	0
EHI_166370A	1	0
EHI_166970A	1	0
EHI_167090A	1	0
EHI_167130A	1	0
EHI_167300A	1	0
EHI_167310A	1	0
EHI_167320A	1	0
EHI_168240A	1	0
EHI_169250A	1	0
EHI_169280A	1	0
EHI_169300A	1	0
EHI_169310A	1	0
EHI_169580A	1	0
EHI_169820A	1	0
EHI_170000A	1	0
EHI_170460A	1	0
EHI_171070A	1	0
EHI_171280A	0	1
EHI_171320A	1	0
EHI_172160A	1	0
EHI_172280A	1	0
EHI_172720.mRNA	1	0
EHI_172850A	1	0
EHI_174110A	1	0
EHI_174160A	1	0
EHI_174170A	1	0
EHI_174220A	1	0
