baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1.1	CmasM_2.1	CmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_079890A	95.7521173312487	-1.59019528181238	0.466706226327007	-3.40727248129356	0.000656155870452558	0.0669136345281076	22	35	88	92	89	338	28.4892315634828	40.1484785004162	65.827843855788	70.1984483486658	107.902169911117	261.946531808022	93.31	UP_pEhEx_DOWN_CmasM
EHI_188960A	4646.03598130425	-1.59863709820163	0.470293496059384	-3.3992328441637	0.000675751607231464	0.0674457614792085	1117	2996	2743	7493	6979	8726	1446.47598438229	3436.70975963563	2051.88381473212	5717.35840735383	8461.22745853582	6762.5604631858	93.26	UP_pEhEx_DOWN_CmasM
EHI_055430A	81.8829480583535	-1.57333617016837	0.466500181959243	-3.37263784884403	0.000744518076392039	0.0716471164659589	30	34	59	100	110	206	38.848952132022	39.00137911469	44.1345771305852	76.3026612485498	133.362232474415	159.64788624986	92.84	UP_pEhEx_DOWN_CmasM
EHI_151350A	68.7456943325706	-1.85046095585718	0.54890139491139	-3.37120833179136	0.000748392391138773	0.0716471164659589	12	35	41	99	75	206	15.5395808528088	40.1484785004162	30.6697908873558	75.5396346360643	90.9287948689191	159.64788624986	92.84	UP_pEhEx_DOWN_CmasM
EHI_013340A	96.0604878735316	-1.36194596953258	0.40735214205626	-3.34341182706848	0.000827549877553399	0.0752043484049131	34	46	84	136	106	238	44.0288124162916	52.7665717434041	62.8356691350704	103.771619298028	128.512696748072	184.447557900323	92.48	UP_pEhEx_DOWN_CmasM
EHI_118270A	35752.6416285494	-2.19069298389288	0.656539738702305	-3.33672564622353	0.000847715838818722	0.0752043484049131	3177	12339	28792	25137	58145	109725	4114.10403078113	14154.0593204753	21537.6736397256	19180.199958048	70494.063702044	85035.7491202225	92.48	UP_pEhEx_DOWN_CmasM
EHI_134740A	133.248168966794	-2.14379068171363	0.642607001524645	-3.33608360417376	0.000849676074495927	0.0752043484049131	17	10	114	34	76	726	22.0144062081458	11.4709938572618	85.2769795404527	25.9429048245069	92.1411788005047	562.642550569893	92.48	UP_pEhEx_DOWN_CmasM
EHI_155310A	340.367641558354	-1.49287500673808	0.44621126645711	-3.3456685632154	0.000820844491339026	0.0752043484049131	93	91	325	248	259	1382	120.431751609268	104.386044101082	243.114196058308	189.230599896403	314.007438280667	1071.0358194044	92.48	UP_pEhEx_DOWN_CmasM
EHI_000620A	23.3001322807283	-2.18419518940518	0.65779454038509	-3.3204823927643	0.000898620272409816	0.0753843975361507	4	6	17	25	28	80	5.1798602842696	6.88259631435706	12.71674256305	19.0756653121374	33.9467500843965	61.9991791261591	92.46	UP_pEhEx_DOWN_CmasM
EHI_011880A	36.9383266982542	-1.80930543246793	0.54495857622148	-3.32007883060197	0.000899920328719769	0.0753843975361507	6	11	38	41	33	131	7.76979042640441	12.6180932429879	28.4256598468176	31.2840911119054	40.0086697423244	101.523655819085	92.46	UP_pEhEx_DOWN_CmasM
EHI_012570A	191.68955413868	-1.3997577851378	0.420473095624652	-3.32900677761161	0.000871562834133637	0.0753843975361507	63	75	174	195	184	620	81.5827994772463	86.0324539294633	130.159600351217	148.790189434672	223.078643411748	480.493638227733	92.46	UP_pEhEx_DOWN_CmasM
EHI_112800A	222.331158915449	-1.61193155192728	0.487809771540721	-3.30442653257248	0.000951709161360018	0.0783239943147341	47	109	164	250	225	725	60.8633583401678	125.033833044153	122.679163549423	190.756653121374	272.786384606757	561.867560830816	92.17	UP_pEhEx_DOWN_CmasM
EHI_040280A	158.71697924659	-1.3895061181836	0.422086636318941	-3.29199268259621	0.000994802000568097	0.0804588997356024	37	35	189	120	79	691	47.9137076294938	40.1484785004162	141.380255553908	91.5631934982597	95.7783305952614	535.517909702199	91.95	UP_pEhEx_DOWN_CmasM
EHI_006810A	804.584941160089	-1.37505057523676	0.42179767101031	-3.25997668963693	0.00111421370770528	0.0856848607023847	265	242	752	699	599	3077	343.165743832861	277.598051345735	562.528847494916	533.355602127363	726.217975019767	2384.64342713989	91.43	UP_pEhEx_DOWN_CmasM
EHI_115270A	230.442466599383	1.446760528026	0.443304070352635	3.26358503064306	0.00110012166800787	0.0856848607023847	279	242	490	144	147	115	361.295254827805	277.598051345735	366.541403287911	109.875832197912	178.220437943081	89.1238199938536	91.43	DOWN_pEhEx_UP_CmasM
EHI_115400A	230.442466599383	1.446760528026	0.443304070352635	3.26358503064306	0.00110012166800787	0.0856848607023847	279	242	490	144	147	115	361.295254827805	277.598051345735	366.541403287911	109.875832197912	178.220437943081	89.1238199938536	91.43	DOWN_pEhEx_UP_CmasM
EHI_123020A	13.6782721108789	4.88049943694674	1.51009573139649	3.23191393464401	0.0012296408552403	0.0930362137408425	28	22	13	0	0	14	36.2590219898872	25.2361864859759	9.72456784233232	0	0	10.8498563470778	90.7	DOWN_pEhEx_UP_CmasM
EHI_069950A	71.0285023273554	-1.87729029737653	0.581725371973403	-3.22710747686343	0.0012504848042052	0.0930375014280481	9	28	52	66	66	275	11.6546856396066	32.1187828003329	38.8982713693293	50.3597564240428	80.0173394846488	213.122178246172	90.7	UP_pEhEx_DOWN_CmasM
EHI_188880A	52.700893800647	-2.31746776738038	0.719079289140823	-3.22282647042908	0.00126932425738544	0.0930375014280481	6	12	52	68	110	91	7.76979042640441	13.7651926287141	38.8982713693293	51.8858096490138	133.362232474415	70.5240662560059	90.7	UP_pEhEx_DOWN_CmasM
EHI_074380A	27.1792611617601	-3.05961011037606	0.952269384368179	-3.21296700345573	0.00131371381351329	0.0948097153721671	0	11	5	49	71	30	0	12.6180932429879	3.74021840089705	37.3883040117894	86.0792591425767	23.2496921723096	90.52	UP_pEhEx_DOWN_CmasM
EHI_005960A	87.5554987973457	-2.08818307999255	0.657386281389281	-3.17649324165924	0.00149067262796892	0.0984893703915806	14	15	44	36	52	473	18.1295109949436	17.2064907858927	32.913921927894	27.4689580494779	63.0439644424506	366.570146583415	90.15	UP_pEhEx_DOWN_CmasM
EHI_010030A	533.392735303381	-1.78832704163338	0.561358370826959	-3.18571368054764	0.00144397425830229	0.0984893703915806	71	273	428	704	770	1296	91.9425200457855	313.158132303246	320.162695116787	537.17073518979	933.535627320902	1004.38670184378	90.15	UP_pEhEx_DOWN_CmasM
EHI_049660A	123.195479888297	-1.45000159590861	0.45623589260568	-3.17818396011606	0.00148200687966947	0.0984893703915806	32	58	115	137	141	348	41.4388822741568	66.5317643721182	86.0250232206321	104.534645910513	170.946134353568	269.696429198792	90.15	UP_pEhEx_DOWN_CmasM
EHI_083400A	448.826478868367	1.46942956362584	0.460088965322383	3.19379440581935	0.00140416079656809	0.0984893703915806	576	559	687	488	270	119	745.899880934823	641.228556620933	513.906008283254	372.356986892923	327.343661528109	92.2237789501616	90.15	DOWN_pEhEx_UP_CmasM
EHI_095830A	225.672938165562	-1.58711639545032	0.498546531359859	-3.18348698790708	0.00145512653353985	0.0984893703915806	42	125	192	384	304	453	54.3885329848308	143.387423215772	143.624386594447	293.002219194431	368.564715202019	351.070351801876	90.15	UP_pEhEx_DOWN_CmasM
EHI_195110A	245.855207588399	12.2348232379562	3.84504817585805	3.18196877604165	0.00146277587572937	0.0984893703915806	1073	0	72	0	0	41	1389.49752125532	0	53.8591449729175	0	0	31.7745793021565	90.15	DOWN_pEhEx_UP_CmasM
EHI_104360A	1054.06598252622	-1.35989929190671	0.429981472657696	-3.16269276325149	0.00156317208483234	0.101845003471507	286	463	1145	1006	1231	2976	370.360010325277	531.10701559122	856.510013805424	767.604772160411	1492.44461978186	2306.36946349312	89.82	UP_pEhEx_DOWN_CmasM
EHI_166850A	14.2758005798994	-3.66107131858922	1.16011218059073	-3.15579077596185	0.0016006363240034	0.102857328710958	0	0	14	16	4	75	0	0	10.4726115225117	12.208425799768	4.84953572634235	58.1242304307741	89.71	UP_pEhEx_DOWN_CmasM
EHI_046600A	96.2646454615566	-1.72276220438267	0.54802077757405	-3.1436074595728	0.00166879131134042	0.10578783839862	18	54	64	126	139	232	23.3093712792132	61.9433668292135	47.8747955314822	96.1413531731727	168.521366490397	179.797619465861	89.42	UP_pEhEx_DOWN_CmasM
EHI_124880A	112.74721068822	-1.31462327042769	0.419092791063091	-3.13683102754633	0.00170784522703367	0.106820026133533	39	42	126	124	122	311	50.5036377716286	48.1781742004994	94.2535037026056	94.6152999482017	147.910839653442	241.021808852943	89.32	UP_pEhEx_DOWN_CmasM
EHI_025360A	523.126727482459	-1.35686647032296	0.433548346832926	-3.12967741714361	0.00174998360418228	0.108015435358146	180	199	424	545	379	1916	233.093712792132	228.272777759509	317.17052039607	415.849503804596	459.493510070938	1484.88034007151	89.2	UP_pEhEx_DOWN_CmasM
EHI_098440A	1039.49760223979	2.47071455347519	0.799250727480918	3.09128846371201	0.00199289924008194	0.121411562795122	890	1504	2819	726	540	54	1152.51891324999	1725.23747613217	2108.73513442576	553.957320664471	654.687323056217	41.8494459101574	87.86	DOWN_pEhEx_UP_CmasM
EHI_144610A	1477.55219662359	-1.50452295020032	0.492255467278133	-3.05638647046299	0.00224022299532085	0.134729308603206	363	870	1057	1654	1930	3877	470.072320797467	997.976465581774	790.682169949636	1262.04601705101	2339.90098796018	3004.63521840148	86.53	UP_pEhEx_DOWN_CmasM
EHI_014250A	222.24638701515	2.22916573520027	0.731459354653042	3.04755926767475	0.002307080255594	0.136993841506221	219	354	452	117	167	18	283.597350563761	406.073182547067	338.115743441093	89.2741136608032	202.468116574793	13.9498153033858	86.3	DOWN_pEhEx_UP_CmasM
EHI_093910A	80.117034247624	-2.0818550650494	0.685465894223077	-3.03713880237474	0.00238835449788247	0.140047136869583	13	19	42	32	68	392	16.8345459238762	21.7948883287974	31.4178345675352	24.4168515995359	82.44210734782	303.795977718179	86	UP_pEhEx_DOWN_CmasM
EHI_178620A	148.997418155136	-1.93790577011909	0.640415493320569	-3.02601325285089	0.00247801441226984	0.143510686517998	33	20	91	59	99	768	42.7338473452242	22.9419877145235	68.0719748963263	45.0185701366444	120.026009226973	595.192119611127	85.65	UP_pEhEx_DOWN_CmasM
EHI_006160A	91.6039999692621	-1.24307005960231	0.41228138616715	-3.0151010967503	0.00256893612302159	0.146961943330418	34	49	83	164	82	210	44.0288124162916	56.2078699005827	62.087625454891	125.136364447622	99.4154823900182	162.747845206168	85.3	UP_pEhEx_DOWN_CmasM
EHI_022970A	661.174585710611	-1.03751646264047	0.34553737488902	-3.00261719292653	0.00267668891755612	0.148596674809224	254	271	815	693	541	1978	328.92112805112	310.863933531794	609.655599346219	528.77744245245	655.899706987803	1532.92970389428	85.14	UP_pEhEx_DOWN_CmasM
EHI_025370A	282.688607842969	1.67408768699259	0.559108612364192	2.99420837020147	0.00275157958947172	0.148596674809224	325	396	457	235	216	49	420.863648096905	454.251356747566	341.85596184199	179.311253934092	261.874929222487	37.9744972147724	85.14	DOWN_pEhEx_UP_CmasM
EHI_100810A	105.131834246545	2.23905150084076	0.747913625851448	2.99373005578252	0.00275589654836975	0.148596674809224	199	112	136	141	24	8	257.698049142413	128.475131201332	101.7339405044	107.586752360455	29.0972143580541	6.19991791261591	85.14	DOWN_pEhEx_UP_CmasM
EHI_159690A	82.9078418655378	-1.25328926333542	0.418308250793876	-2.99609023000837	0.00273465502671346	0.148596674809224	35	34	79	118	72	228	45.323777487359	39.00137911469	59.0954507341733	90.0371402732887	87.2916430741623	176.697660509553	85.14	UP_pEhEx_DOWN_CmasM
EHI_197840A	1719.08243806651	-1.11413530195007	0.370580390014706	-3.00646049270405	0.00264308396840051	0.148596674809224	589	869	1856	1876	1627	4855	762.734426858699	996.829366196048	1388.36907041298	1431.43792502279	1972.54865668975	3762.57518321878	85.14	UP_pEhEx_DOWN_CmasM
EHI_004430A	86.8390668229836	1.37233574884442	0.460212596536305	2.98196042258082	0.00286409021713999	0.149432646570814	91	172	73	79	61	22	117.841821467133	197.301094344902	54.6071886530969	60.2791023863543	73.9554198267208	17.0497742596937	85.06	DOWN_pEhEx_UP_CmasM
EHI_140380A	51.9587404647967	1.77593260863005	0.594312710319797	2.98821239692893	0.00280614467257665	0.149432646570814	47	68	133	46	22	15	60.8633583401678	78.00275822938	99.4898094638615	35.0992241743329	26.6724464948829	11.6248460861548	85.06	DOWN_pEhEx_UP_CmasM
EHI_156660A	10615.2063864369	-0.998824052910434	0.334990022138978	-2.98165314457052	0.00286696614610387	0.149432646570814	3553	5119	13342	12553	7754	31302	4601.01089750248	5872.0017555323	9980.39878095368	9578.27306653045	9400.82500551465	24258.7288125879	85.06	UP_pEhEx_DOWN_CmasM
EHI_112590A	17.4795025291289	2.04791287234638	0.690200228491362	2.96712865022184	0.00300595153120573	0.153270854705283	31	27	17	15	6	3	40.1439172030894	30.9716834146068	12.71674256305	11.4453991872825	7.27430358951353	2.32496921723096	84.67	DOWN_pEhEx_UP_CmasM
EHI_141810A	440.584955234853	-1.18173753202068	0.397958681018764	-2.9694980619482	0.00298286693945659	0.153270854705283	142	248	428	537	448	1164	183.885040091571	284.480647660092	320.162695116787	409.745290904712	543.148001350343	902.088056285614	84.67	UP_pEhEx_DOWN_CmasM
EHI_131230A	1098.31305893529	2.03324341149408	0.686952954069405	2.95980008448825	0.00307838733024202	0.15527650501253	1024	1704	2240	680	844	118	1326.04423277302	1954.65735327741	1675.61784360188	518.858096490138	1023.25203825824	91.4487892110846	84.47	DOWN_pEhEx_UP_CmasM
EHI_180780A	142.65700656344	-1.55426193073706	0.527270158715055	-2.94775250419019	0.00320093220392846	0.159740137964132	37	26	127	83	83	670	47.9137076294938	29.8245840288806	95.001547382785	63.3312088362963	100.627866321604	519.243125181582	84.03	UP_pEhEx_DOWN_CmasM
EHI_007620A	7445.56550910926	2.00460744127577	0.680812284326306	2.94443488671686	0.00323545018275819	0.159763124287565	9342	9300	13481	8869	3753	653	12097.5636939117	10668.0242872534	10084.3768524986	6767.28302613388	4550.07689524071	506.068299617273	84.02	DOWN_pEhEx_UP_CmasM
EHI_016370A	2217.39175762221	0.963899299766622	0.328775746072765	2.93178347636778	0.0033702162910635	0.161982193543029	2797	2492	3089	2381	1260	1508	3622.01730377552	2858.57166922963	2310.7069280742	1816.76636432797	1527.60375379784	1168.6845265281	83.8	DOWN_pEhEx_UP_CmasM
EHI_108690A	2217.39175762221	0.963899299766622	0.328775746072765	2.93178347636778	0.0033702162910635	0.161982193543029	2797	2492	3089	2381	1260	1508	3622.01730377552	2858.57166922963	2310.7069280742	1816.76636432797	1527.60375379784	1168.6845265281	83.8	DOWN_pEhEx_UP_CmasM
