baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1.1	UmasM_2.1	UmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_103400A	45.9722556483547	3.45548794776694	1.1348337514916	3.04492877765146	0.0023273541717237	0.880635013131453	156	2	39	7	4	23	187.184730174109	1.3554209437135	60.8823135379427	5.19230624797085	4.70102203327284	16.5177409531198	11.94	DOWN_pEhEx_UP_UmasM
EHI_112990A	735.133905603606	-1.87129609642589	0.62505829265053	-2.9937945283323	0.00275531429997868	0.968099360113938	659	861	0	1945	1325	51	790.73549477396	583.508716268661	0	1442.71937890047	1557.21354852163	36.6262951569178	3.19	UP_pEhEx_DOWN_UmasM
EHI_000130A	407.380618113746	0.0660127749151178	0.737444291767163	0.0895156090461139	0.928672149157435	0.999717028849961	44	632	562	236	368	666	52.7956931260307	428.313018213465	877.32974893138	175.05489636016	432.494027061102	478.296324990339	0.03	DOWN_pEhEx_UP_UmasM
EHI_000140A	210.781686642442	-0.295120630108393	0.541463562183384	-0.54504245663061	0.585724317641772	0.999717028849961	98	547	28	476	290	54	117.590407417068	370.707628105642	43.7103789503178	353.076824862017	340.824097412281	38.7807831073248	0.03	UP_pEhEx_DOWN_UmasM
EHI_000240A	2373.7761154466	0.0710575439821927	0.588857946427626	0.12067009439759	0.903952347078206	0.999717028849961	620	1719	4551	1584	1644	2955	743.939312230432	1164.98430112175	7104.49766438916	1174.94472811226	1932.12005567514	2122.17063115083	0.03	DOWN_pEhEx_UP_UmasM
EHI_000250A	634.261121441774	0.747634049613165	0.536743350086202	1.39290789442122	0.163647644882232	0.999717028849961	587	314	1011	438	278	917	704.342542385909	212.801088163019	1578.25689709898	324.89001951589	326.721031312463	658.555150174385	0.03	DOWN_pEhEx_UP_UmasM
EHI_000260A	96.7101898152931	0.667911385024506	0.4866325508577	1.37251686893386	0.169902591170428	0.999717028849961	99	142	89	147	57	70	118.790309533569	96.2348870036584	138.93656166351	109.038431207388	66.989563974138	50.2713855094951	0.03	DOWN_pEhEx_UP_UmasM
EHI_000280A	58.6121526523903	-0.42548340906261	0.466745438066784	-0.91159628859989	0.361981276854798	0.999717028849961	48	88	22	74	71	86	57.5953015920335	59.6385215233939	34.3438691752497	54.8900946214061	83.443141090593	61.7619879116654	0.03	UP_pEhEx_DOWN_UmasM
EHI_000290A	38.3499450017714	0.218613140379377	0.517317117505648	0.422590192710935	0.672594283257994	0.999717028849961	22	29	45	25	12	113	26.3978465630153	19.6536036838457	70.2488233130108	18.5439508856102	14.1030660998185	81.1523794653277	0.03	DOWN_pEhEx_UP_UmasM
EHI_000300A	81.9176190739756	-0.523168443259534	0.45839317940536	-1.14130939718214	0.253741192960993	0.999717028849961	67	170	10	180	98	44	80.3934418055467	115.210780215647	15.6108496251135	133.516446376393	115.175039815185	31.5991566059683	0.03	UP_pEhEx_DOWN_UmasM
