baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1.1	CDC5_2.1	CDC5_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_134840A	60.6760265151401	-2.25306785101179	0.581796599454537	-3.87260402196257	0.000107678694580236	0.0210061696442841	12	19	30	69	91	217	17.0811408002404	22.2558594761906	21.1999047882086	49.6828266811562	101.719342271181	152.117085073863	97.9	UP_pEhEx_DOWN_CDC5
EHI_147570A	1913.41165387526	-1.55663408519586	0.402885718588697	-3.86371125451835	0.000111677223310025	0.0210061696442841	650	825	1446	3071	3069	4173	925.228460013023	966.372845676699	1021.83541079166	2211.24580779465	3430.51276296984	2925.27463600567	97.9	UP_pEhEx_DOWN_CDC5
EHI_056460A	203.423221055341	-1.92669981025604	0.501671476341274	-3.84056080745829	0.00012275356026593	0.0219784669948863	63	110	68	387	305	477	89.6759892012622	128.849712756893	48.0531175199396	278.655853994311	340.927465853959	334.377187005681	97.8	UP_pEhEx_DOWN_CDC5
EHI_023400A	1926.83926514902	2.0045531019772	0.524717565737978	3.82025156554068	0.000133315628881772	0.0228317505289261	2623	3888	1610	1723	438	578	3733.65269325255	4554.25166544364	1137.72822363386	1240.63058509612	489.594196865686	405.178226602271	97.72	DOWN_pEhEx_UP_CDC5
EHI_098470A	1568.08635837016	-14.5045429803115	3.84337632114204	-3.77390652602072	0.000160710996818113	0.0259014831606417	0	0	552	486	7755	0	0	0	390.078248103039	349.939909667274	8668.49999245067	0	97.41	UP_pEhEx_DOWN_CDC5
EHI_163670A	2997.76806177112	-1.80532054703362	0.479086331522178	-3.76825726022627	0.000164391236104606	0.0259014831606417	1009	1046	1743	3643	4428	9302	1436.23925562022	1225.24363221555	1231.71446819492	2623.10924057177	4949.59612721748	6520.7056468068	97.41	UP_pEhEx_DOWN_CDC5
EHI_005070A	127.80145453784	-2.12753442734531	0.569435766201161	-3.73621495807787	0.000186810989582474	0.0283018649217449	33	48	46	174	154	476	46.9731372006612	56.2253292030079	32.5065206752532	125.287128152481	172.140425381999	333.676186613635	97.17	UP_pEhEx_DOWN_CDC5
EHI_041580A	57.210392063042	2.44488027554856	0.662272104655053	3.69165522504075	0.00022279935426779	0.0313430948736009	80	86	88	30	37	5	113.874272001603	100.737048155389	62.1863873787453	21.601228991807	41.3584138904803	3.50500196022726	96.87	DOWN_pEhEx_UP_CDC5
EHI_169350A	3732.0679354625	-3.05814288281169	0.827725402443295	-3.6946345657444	0.000220203252428213	0.0313430948736009	133	100	9142	1248	3834	14895	189.315977202665	117.136102506267	6460.31765246011	898.611126059173	4285.62591502977	10441.400839517	96.87	UP_pEhEx_DOWN_CDC5
EHI_196580A	89.458153527629	-1.67001951080443	0.455025452914619	-3.67016724033193	0.000242391828339354	0.0329234969596109	21	29	88	118	97	310	29.8919964004207	33.9694697268173	62.1863873787453	84.964834034441	108.426112091259	217.31012153409	96.71	UP_pEhEx_DOWN_CDC5
