logFC	AveExpr	t	P.Value	adj.P.Val	B	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_007510A	0.874193636609966	11.9147061158218	3.56112497420929	0.01207818528207	0.277819085702849	-2.88277061777807	32508	34983	37214	15620	5023.68729088069	5458.14720142527	3523.05491512753	2299.93775742863	72.22	DOWN_pEhEx_UP_U2AF84
EHI_007620A	0.874172817566685	9.85133036872557	3.5012584384002	0.0129811553496566	0.277819085702849	-2.9194319624352	7739	8407	8869	3753	1195.96148468456	1311.68406146935	839.629549155319	552.603482946841	72.22	DOWN_pEhEx_UP_U2AF84
EHI_007930A	-1.19617388753459	3.91416065632496	-4.47093650472801	0.00431974995925333	0.277819085702849	-1.64621034474392	66	61	201	186	10.1994389442022	9.51739357078986	19.0286998962926	27.3872229757827	72.22	UP_pEhEx_DOWN_U2AF84
EHI_008200A	-0.82978790906575	5.16251662697273	-3.7854422910797	0.00926439188114231	0.277819085702849	-2.49474159722242	160	186	457	357	24.7259125920054	29.0202492486379	43.2642579731628	52.5657989373893	72.22	UP_pEhEx_DOWN_U2AF84
EHI_008470A	-1.01083464514667	4.83510859976798	-3.51652632388592	0.0127439792988178	0.277819085702849	-2.81864714941317	113	147	347	339	17.4626757681038	22.9353582771493	32.8505416120076	49.9154225203781	72.22	UP_pEhEx_DOWN_U2AF84
EHI_009490A	-0.898866833408548	3.67013514864515	-3.74341012285578	0.00973067596629713	0.277819085702849	-2.47597102961068	68	52	174	124	10.5085128516023	8.1131879619848	16.4726058803727	18.2581486505218	72.22	UP_pEhEx_DOWN_U2AF84
EHI_009810A	-0.844310295289911	6.62896080934281	-4.32871473637013	0.00503157780297768	0.277819085702849	-1.86781196393257	480	470	1317	958	74.1777377760161	73.3307373487087	124.680585887649	141.058922638709	72.22	UP_pEhEx_DOWN_U2AF84
EHI_010020A	-2.27168424925905	5.55898800097541	-4.21337470748351	0.00570657569983718	0.277819085702849	-1.97968286415558	140	135	610	1264	21.6351735180047	21.0630841320759	57.7487907300422	186.115321727899	72.22	UP_pEhEx_DOWN_U2AF84
EHI_010030A	-2.10928451408522	5.38835896298065	-6.96190498983742	0.00045222286663013	0.277819085702849	0.613037396140678	124	135	704	770	19.1625822588042	21.0630841320759	66.647784711393	113.377213394369	72.22	UP_pEhEx_DOWN_U2AF84
EHI_012380A	-0.916852359151243	2.8810235609	-3.7313295713846	0.00986948051859489	0.277819085702849	-2.43019916846134	36	32	100	73	5.56333033320121	4.99273105352911	9.46701487377742	10.7487488023233	72.22	UP_pEhEx_DOWN_U2AF84
EHI_012420A	-1.09572812032641	2.92863136319358	-4.62292003208756	0.00368184517215875	0.277819085702849	-1.43096158277266	33	33	113	78	5.09971947210111	5.14875389895189	10.6977268073685	11.4849644737153	72.22	UP_pEhEx_DOWN_U2AF84
EHI_012570A	-1.22703798415469	3.86878525924009	-4.3898263877463	0.00471066399691058	0.277819085702849	-1.73261939449722	66	56	195	184	10.1994389442022	8.73727934367593	18.460679003866	27.0927367072259	72.22	UP_pEhEx_DOWN_U2AF84
EHI_013220A	-1.20820441289124	7.05335440085695	-3.48710097212789	0.0132054481777123	0.277819085702849	-2.88720985264192	435	723	1690	1738	67.2235748595146	112.804517240673	159.992551366838	255.908567375862	72.22	UP_pEhEx_DOWN_U2AF84
EHI_013340A	-1.30846765688897	3.17364594754108	-5.12918677360386	0.00221270100404666	0.277819085702849	-0.930036120038678	40	33	136	106	6.18147814800135	5.14875389895189	12.8751402283373	15.6077722335106	72.22	UP_pEhEx_DOWN_U2AF84
EHI_014400A	-1.00817509742759	5.9590526442094	-4.93888633524398	0.00266862869796213	0.277819085702849	-1.2007235774872	282	282	850	656	43.5794209434095	43.9984424092252	80.469626427108	96.5914960866313	72.22	UP_pEhEx_DOWN_U2AF84
EHI_015310A	-1.1978658395549	9.88298957497845	-4.06110778090664	0.00675881927139932	0.277819085702849	-2.22841467196614	3206	5014	12746	11539	495.445473562308	782.298546949842	1206.66571581167	1699.03852643847	72.22	UP_pEhEx_DOWN_U2AF84
EHI_015440A	-1.09862627231877	5.02478485880919	-3.82421768038957	0.00885621453858294	0.277819085702849	-2.44172248550118	129	158	401	405	19.9352670273043	24.6516095768	37.9627296438474	59.6334693827526	72.22	UP_pEhEx_DOWN_U2AF84
EHI_016010A	0.704502671404603	7.41208966846992	3.49701556973223	0.0130479289149935	0.277819085702849	-2.87298033648031	1434	1368	1537	829	221.605991605848	213.439252538369	145.508018609959	122.064558316795	72.22	DOWN_pEhEx_UP_U2AF84
