logFC	AveExpr	t	P.Value	adj.P.Val	B	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_188960A	-2.09762801539098	8.66291819083738	-6.43970852853092	0.000598551091418502	0.255363661093366	0.316203641007902	1658	1348	7493	6979	218.173230717303	175.491572774048	704.461174904266	999.830144044808	74.46	UP_pEhEx_DOWN_EhMyb10
EHI_017750A	-1.92434192215373	5.76871945836411	-6.02455237684014	0.000858573904446092	0.276570039601138	-0.0385035223066819	198	230	950	880	26.0544630169035	29.9429241380052	89.3151095901579	126.0711458317	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_040310A	-1.63244024653743	6.60484327167596	-5.53380765989218	0.00134812455696123	0.276570039601138	-0.490717680986679	380	468	1757	1241	50.003514880926	60.9273412895062	165.185944789376	177.78896815584	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_062500A	-2.07286303598065	3.0565110936485	-6.1487327292958	0.000769261865520215	0.276570039601138	0.0829456484912434	32	29	157	137	4.21082230576219	3.77541217392239	14.760497058584	19.6269852033441	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_083380A	4.53762653794468	-1.83753582089264	5.52297482333091	0.00136205574154416	0.276570039601138	-1.03960393301796	12	8	0	0	1.57905836466082	1.04149301349583	0	0	72.34	DOWN_pEhEx_UP_EhMyb10
EHI_092170A	-2.340969168364	3.18326546073815	-6.21960818318864	0.000723058139454234	0.276570039601138	0.142724211913445	40	23	230	134	5.26352788220273	2.99429241380052	21.6236581113014	19.1971972061906	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_099860A	-2.7595207879466	2.61952173061478	-5.56105929821512	0.00131378831164065	0.276570039601138	-0.427569557407107	17	18	117	162	2.23699934993616	2.34335928036562	10.9998608653142	23.2085518462902	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_112800A	-1.78986886686126	3.89080937705264	-5.5973819122997	0.00126955609537601	0.276570039601138	-0.423149294951278	58	63	250	225	7.63211542919396	8.20175748127968	23.5039762079363	32.2340997865141	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_143440A	-2.24010878645171	3.9928682399691	-5.62214988476087	0.00124036464243952	0.276570039601138	-0.397955891255553	70	44	291	304	9.21117379385478	5.72821157422708	27.3586283060378	43.5518503782235	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_155900A	-7.6220129617425	-0.113261313744905	-5.86590192446448	0.00099038562580199	0.276570039601138	-0.735373771697269	0	0	82	153	0	0	7.7093041962031	21.9191878548296	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_172280A	-3.39132455968759	2.650887167141	-5.55959519271022	0.00131560759543842	0.276570039601138	-0.42603483230953	17	12	135	227	2.23699934993616	1.56223952024375	12.6921471522856	32.5206251179498	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_183200A	-5.73719419372963	-1.0409293252881	-5.84779134548037	0.00100684729092847	0.276570039601138	-0.770772778082208	0	0	26	36	0	0	2.44441352562537	5.15745596584226	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_187780A	-2.62603005853771	2.33657016733308	-5.69787578265774	0.00115573700752947	0.276570039601138	-0.303034942060604	14	16	99	118	1.84223475877096	2.08298602699167	9.30757457834277	16.9049945547052	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_194430A	-2.89261585073056	2.14418362759801	-5.48338349611365	0.0014143790646553	0.276570039601138	-0.494719328586839	14	10	92	117	1.84223475877096	1.30186626686979	8.64946324452055	16.7617318889873	72.34	UP_pEhEx_DOWN_EhMyb10
EHI_020080A	-1.62427842391973	5.97342938426328	-5.43813300807456	0.00147699593836382	0.277261677549657	-0.583239607462457	250	298	1073	841	32.8970492637671	38.7956147527198	100.879065884463	120.483901868704	72.27	UP_pEhEx_DOWN_EhMyb10
